stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A000180,성창기업지주,20190129,2130,2135,2085,2115,109941,2850560,-65,2104,2041,2048,2326
A000180,성창기업지주,20190128,2120,2195,2105,2130,78997,2866469,-75,2097,2032,2046,2330
A000180,성창기업지주,20190125,2090,2105,2060,2100,94218,2865756,3,2089,2022,2043,2334
A000180,성창기업지주,20190124,2085,2100,2070,2095,89214,2864665,12,2084,2012,2040,2339
A000180,성창기업지주,20190123,2070,2080,2050,2080,34398,2865899,85,2075,2006,2037,2344
A000180,성창기업지주,20190122,2085,2100,2065,2080,66120,2863568,625,2081,2000,2036,2348
A000180,성창기업지주,20190121,2080,2090,2010,2090,196754,2862151,-744,2090,1995,2036,2352
A000180,성창기업지주,20190118,2060,2085,2050,2075,75250,2855731,122,2083,1989,2039,2356
A000180,성창기업지주,20190117,2110,2135,2050,2050,122248,2844653,-1,2075,1983,2043,2360
A000180,성창기업지주,20190116,2115,2125,2080,2110,113204,2840714,42,2070,1979,2049,2364
A000180,성창기업지주,20190115,2070,2210,2070,2125,1031645,2846222,839,2048,1973,2054,2368
A000180,성창기업지주,20190114,2025,2075,2020,2055,204749,2895500,-11732,2017,1968,2060,2371
A000180,성창기업지주,20190111,2010,2065,2010,2035,113185,2884594,393,1997,1966,2066,2376
A000180,성창기업지주,20190110,1990,2030,1980,2025,112095,2883711,363,1972,1964,2072,2381
A000180,성창기업지주,20190109,1970,2045,1970,2000,55362,2882944,216,1949,1964,2077,2386
A000180,성창기업지주,20190108,1960,1975,1945,1970,84797,2879524,85,1932,1968,2083,2391
A000180,성창기업지주,20190107,1920,1960,1915,1955,65893,2881109,357,1925,1972,2089,2396
A000180,성창기업지주,20190104,1900,1915,1860,1910,126066,2862696,-431,1918,1980,2097,2401
A000180,성창기업지주,20190103,1915,1935,1895,1910,107481,2883725,-137,1918,1990,2108,2406
A000180,성창기업지주,20190102,1940,1955,1910,1915,68314,2897581,-539,1928,2000,2119,2412
A000180,성창기업지주,20181228,1925,1960,1910,1935,89855,2902934,-1006,1938,2010,2131,2418
A000180,성창기업지주,20181227,1925,1945,1905,1920,62943,2966335,2,1947,2020,2143,2426
A000180,성창기업지주,20181226,1920,1980,1890,1910,102194,2968683,359,1958,2029,2156,2434
A000180,성창기업지주,20181224,1965,1980,1930,1960,82695,2994585,-1037,1966,2041,2169,2441
A000180,성창기업지주,20181221,1980,2005,1960,1965,72031,3004709,-1705,1969,2049,2183,2450
A000180,성창기업지주,20181220,1960,1995,1950,1980,58140,3020920,9185,1975,2056,2197,2457
A000180,성창기업지주,20181219,1950,1975,1935,1975,80837,3020835,8871,1983,2063,2210,2465
A000180,성창기업지주,20181218,1970,1980,1920,1950,179503,3022795,345,1991,2072,2223,2473
A000180,성창기업지주,20181217,1995,2000,1950,1975,105750,3055581,1998,2001,2080,2239,2483
A000180,성창기업지주,20181214,2020,2030,1975,1995,109525,3062608,791,2012,2084,2255,2490
A000180,성창기업지주,20181213,2015,2025,1995,2020,42409,3095600,1598,2027,2086,2272,2498
A000180,성창기업지주,20181212,1990,2020,1990,2015,56664,3090913,1723,2033,2088,2287,2507
A000180,성창기업지주,20181211,2030,2045,1980,2000,89860,3095471,833,2053,2091,2303,2515
A000180,성창기업지주,20181210,2065,2065,2020,2030,87803,3118239,131,2076,2093,2319,2525
A000180,성창기업지주,20181207,2060,2085,2055,2070,91742,3129524,162,2091,2096,2333,2534
A000180,성창기업지주,20181206,2115,2135,2045,2050,111695,3111481,152,2099,2097,2346,2542
A000180,성창기업지주,20181205,2085,2165,2085,2115,96878,3115256,-3080,2116,2100,2359,2552
A000180,성창기업지주,20181204,2110,2125,2100,2115,65734,3090796,-251,2115,2096,2368,2560
A000180,성창기업지주,20181203,2135,2135,2095,2105,120460,3079140,348,2120,2095,2377,2569
A000180,성창기업지주,20181130,2145,2165,2100,2110,77954,3071720,20,2124,2093,2386,2577
A000180,성창기업지주,20181129,2135,2145,2100,2135,101000,3079058,86,2123,2092,2395,2584
A000180,성창기업지주,20181128,2140,2140,2095,2110,73930,3077398,27,2121,2086,2403,2591
A000180,성창기업지주,20181127,2165,2165,2130,2140,69423,3098236,35,2129,2078,2412,2599
A000180,성창기업지주,20181126,2115,2135,2105,2125,46519,3101208,385,2121,2067,2420,2607
A000180,성창기업지주,20181123,2130,2165,2100,2105,43727,3098588,15,2110,2056,2429,2614
A000180,성창기업지주,20181122,2160,2185,2110,2125,72719,3106909,53,2096,2052,2439,2621
A000180,성창기업지주,20181121,2070,2165,2070,2150,162941,3111062,719,2081,2050,2449,2628
A000180,성창기업지주,20181120,2060,2220,2045,2100,289610,3100646,1952,2066,2056,2459,2633
A000180,성창기업지주,20181119,2035,2070,2030,2070,117457,3092167,11004,2055,2066,2470,2640
A000180,성창기업지주,20181116,2045,2060,2020,2035,155232,3047708,-15606,2059,2084,2481,2648
A000180,성창기업지주,20181115,2070,2085,2015,2050,244652,3028454,150,2070,2103,2492,2656
A000180,성창기업지주,20181114,2055,2090,2045,2075,57107,3037261,2128,2080,2123,2504,2663
A000180,성창기업지주,20181113,2080,2085,2005,2045,158965,3026951,50498,2075,2141,2515,2671
A000180,성창기업지주,20181112,2050,2105,2050,2090,106823,3058074,50041,2085,2157,2526,2678
