stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A000300,대유플러스,20190129,935,936,917,925,243739,2254807,-271,925,884,874,895
A000300,대유플러스,20190128,934,949,926,935,275246,2245941,-131,923,881,872,897
A000300,대유플러스,20190125,918,936,915,934,279783,2240669,-22013,922,876,870,898
A000300,대유플러스,20190124,916,922,908,916,243979,2235590,-10,912,871,867,900
A000300,대유플러스,20190123,920,928,900,915,210800,2290717,82,905,866,864,901
A000300,대유플러스,20190122,933,949,910,916,354006,2276173,-280,897,862,862,902
A000300,대유플러스,20190121,887,936,880,930,550857,2315322,-1155,889,858,859,902
A000300,대유플러스,20190118,877,886,877,884,197073,2238979,132,877,853,856,903
A000300,대유플러스,20190117,885,885,872,879,119870,2179058,-125,874,849,854,904
A000300,대유플러스,20190116,879,882,868,877,145432,2192941,23,871,845,853,905
A000300,대유플러스,20190115,871,878,865,875,177883,2182752,-513,869,841,852,907
A000300,대유플러스,20190114,885,885,865,871,120425,2122016,-110,865,839,851,908
A000300,대유플러스,20190111,858,869,856,869,136921,2117928,363,862,836,850,910
A000300,대유플러스,20190110,870,870,855,865,119171,2082108,165,856,834,850,912
A000300,대유플러스,20190109,852,867,852,865,122051,2080492,-20,850,835,849,913
A000300,대유플러스,20190108,857,863,850,857,118885,2057905,169,847,835,847,915
A000300,대유플러스,20190107,851,863,845,853,174790,2057347,548,846,841,846,917
A000300,대유플러스,20190104,836,854,833,841,99498,1990898,627,844,846,845,919
A000300,대유플러스,20190103,840,849,830,836,199016,1984431,5099,840,850,845,920
A000300,대유플러스,20190102,861,862,841,847,207420,1945713,-207,839,852,845,922
A000300,대유플러스,20181228,859,862,851,854,218590,1939721,-405,836,854,845,923
A000300,대유플러스,20181227,825,861,825,843,402398,1902603,36,832,855,846,924
A000300,대유플러스,20181226,805,837,805,820,103297,1869294,518,827,857,847,926
A000300,대유플러스,20181224,860,868,833,833,382386,1860418,-1521,825,860,848,928
A000300,대유플러스,20181221,834,845,829,832,175364,1937029,-2489,819,863,849,931
A000300,대유플러스,20181220,822,865,812,832,647393,1941068,-588,813,866,851,933
A000300,대유플러스,20181219,814,822,805,818,204619,1895158,175,811,870,852,936
A000300,대유플러스,20181218,801,818,795,811,329197,1888760,464,812,876,854,939
A000300,대유플러스,20181217,805,813,795,801,259065,1886451,2868,816,881,856,942
A000300,대유플러스,20181214,819,826,801,805,294025,1866897,1978,830,887,858,945
A000300,대유플러스,20181213,828,830,816,818,362227,1865310,1970,843,890,860,948
A000300,대유플러스,20181212,827,846,820,823,421981,1849431,860,874,892,862,950
A000300,대유플러스,20181211,870,870,832,835,565896,1814405,5146,903,895,864,953
A000300,대유플러스,20181210,870,900,832,871,831750,1787421,188,918,896,866,956
A000300,대유플러스,20181207,989,1025,868,870,3451874,1869409,458,921,898,868,958
A000300,대유플러스,20181206,1000,1095,933,969,5777916,1954319,-9763,922,902,869,961
A000300,대유플러스,20181205,907,976,880,970,1089783,2251104,-23,904,897,869,963
A000300,대유플러스,20181204,888,911,885,910,295993,2148820,33,886,890,869,965
A000300,대유플러스,20181203,885,895,875,885,190921,2109173,1475,882,888,870,968
A000300,대유플러스,20181130,906,906,872,876,327692,2085530,36,881,887,871,971
A000300,대유플러스,20181129,883,892,878,880,211181,2118708,124,886,885,872,974
A000300,대유플러스,20181128,890,895,873,877,216041,2078757,127,892,881,873,976
A000300,대유플러스,20181127,897,897,880,890,194221,2079305,65,903,876,875,979
A000300,대유플러스,20181126,904,912,861,883,263364,2064076,221,907,869,876,981
A000300,대유플러스,20181123,922,922,892,898,220578,2037228,-45,914,863,877,984
A000300,대유플러스,20181122,932,941,914,914,266463,2090148,-108,907,856,878,987
A000300,대유플러스,20181121,910,935,900,930,269837,2153063,241,897,848,880,990
A000300,대유플러스,20181120,890,930,890,912,269528,2141491,2,888,840,881,992
A000300,대유플러스,20181119,874,930,865,918,764957,2115891,1969,878,833,883,995
A000300,대유플러스,20181116,867,873,861,863,197002,1982443,31,877,827,884,998
A000300,대유플러스,20181115,890,905,857,863,404877,1952334,88,893,825,887,1002
A000300,대유플러스,20181114,868,921,861,884,1009365,1902349,107,893,823,889,1005
A000300,대유플러스,20181113,905,905,842,862,983862,2022126,-119158,883,820,891,1009
A000300,대유플러스,20181112,942,945,902,911,1189622,1968263,123421,884,818,893,1012
A000300,대유플러스,20181109,860,1035,860,944,7920918,2005342,-163774,875,813,895,1015
A000300,대유플러스,20181108,853,874,853,865,106868,2163221,233,854,805,897,1018
A000300,대유플러스,20181107,868,885,829,833,285460,2148912,6,840,800,900,1021
A000300,대유플러스,20181106,872,897,835,867,445306,2203163,-2,831,799,904,1023
A000300,대유플러스,20181105,839,871,829,866,212689,2283606,20,807,797,908,1026
A000300,대유플러스,20181102,795,840,795,840,240900,2313063,102,784,796,912,1029
A000300,대유플러스,20181101,789,799,785,792,114794,2331059,3177,771,797,916,1031
A000300,대유플러스,20181031,764,795,738,788,246988,2359543,-4872,762,802,921,1033
A000300,대유플러스,20181030,732,764,725,751,330927,2369866,584,758,808,927,1035
A000300,대유플러스,20181029,775,806,750,750,311492,2352352,604,764,815,933,1038
A000300,대유플러스,20181026,741,790,741,775,344769,2428422,839,773,823,938,1041
A000300,대유플러스,20181025,760,760,725,748,257473,2487269,45,782,830,942,1043
A000300,대유플러스,20181024,785,793,722,765,287996,2501742,126,798,838,946,1046
A000300,대유플러스,20181023,800,801,762,782,154724,2522342,-169,810,846,950,1049
A000300,대유플러스,20181022,819,819,790,797,79486,2537811,29,816,853,954,1051
A000300,대유플러스,20181019,816,828,793,816,141429,2560889,748,821,859,958,1052
A000300,대유플러스,20181018,825,841,805,830,58107,2594588,-9,815,865,962,1053
A000300,대유플러스,20181017,823,830,810,824,85022,2615023,43,802,871,965,1054
A000300,대유플러스,20181016,820,836,808,815,69324,2619280,-13858,799,877,969,1054
A000300,대유플러스,20181015,785,863,785,820,376100,2618274,424,799,884,974,1054
A000300,대유플러스,20181012,730,803,730,785,127400,2634656,395,804,891,978,1054
A000300,대유플러스,20181011,770,810,766,766,234075,2637754,136,820,899,983,1054
A000300,대유플러스,20181010,804,820,780,808,344882,2625567,202,844,909,988,1054
A000300,대유플러스,20181008,828,846,812,815,241767,2582807,131,864,917,992,1053
A000300,대유플러스,20181005,870,870,844,845,185146,2543366,2046,881,924,996,1053
A000300,대유플러스,20181004,885,895,864,868,113908,2524333,324,893,930,999,1052
A000300,대유플러스,20181002,847,895,842,885,706978,2545369,147,901,934,1001,1051
A000300,대유플러스,20181001,903,921,900,906,67094,2405518,267,907,938,1003,1050
A000300,대유플러스,20180928,909,910,885,903,161494,2412614,721,910,941,1006,1048
A000300,대유플러스,20180927,909,923,901,905,105371,2424166,2446,915,943,1008,1047
A000300,대유플러스,20180921,911,919,902,908,75832,2419213,1511,917,945,1012,1045
A000300,대유플러스,20180920,905,914,896,912,246317,2424708,52,923,949,1016,1044
A000300,대유플러스,20180919,934,934,909,920,182787,2448137,9,930,953,1020,1042
A000300,대유플러스,20180918,917,930,891,930,355734,2441364,82,934,957,1024,1040
A000300,대유플러스,20180917,941,945,910,915,371519,2456428,12,940,962,1028,1038
A000300,대유플러스,20180914,957,959,940,940,117377,2454403,-61,949,967,1031,1036
A000300,대유플러스,20180913,944,954,932,943,163665,2471548,-8,951,970,1035,1035
A000300,대유플러스,20180912,960,967,940,944,239433,2451086,1220,954,972,1039,1033
A000300,대유플러스,20180911,955,965,950,960,173161,2466859,156,960,975,1042,1031
A000300,대유플러스,20180910,952,971,947,960,308989,2419235,1796,961,978,1046,1029
A000300,대유플러스,20180907,959,970,938,948,353871,2386983,3,961,982,1049,1028
A000300,대유플러스,20180906,967,975,958,960,234238,2326478,57,962,986,1053,1026
A000300,대유플러스,20180905,969,999,959,973,578238,2323005,-3,961,990,1057,1024
A000300,대유플러스,20180904,960,1055,950,964,2342053,2347592,-6003,958,995,1061,1022
A000300,대유플러스,20180903,950,960,948,960,112039,2679568,2397,957,1002,1065,1020
A000300,대유플러스,20180831,958,958,942,951,178214,2664834,16,953,1010,1071,1018
A000300,대유플러스,20180830,964,964,952,955,212264,2675516,8,960,1017,1076,1016
A000300,대유플러스,20180829,957,967,956,962,166016,2687294,-16,968,1025,1079,1014
A000300,대유플러스,20180828,945,973,945,957,277132,2687318,13,976,1032,1082,1012
A000300,대유플러스,20180827,986,986,939,939,662412,2627858,20,989,1042,1086,1009
A000300,대유플러스,20180824,1000,1000,984,985,339169,2663938,-39,1003,1046,1091,1007
A000300,대유플러스,20180823,1005,1010,995,996,304320,2664772,63,1006,1047,1095,1005
A000300,대유플러스,20180822,1015,1025,1000,1005,196155,2652318,-70,1007,1046,1100,1003
A000300,대유플러스,20180821,1005,1025,999,1020,173720,2651905,25,1006,1046,1104,1001
A000300,대유플러스,20180820,1000,1015,998,1010,240451,2648859,85,1003,1046,1108,999
A000300,대유플러스,20180817,1000,1020,996,1000,198491,2637819,160,1009,1048,1112,997
A000300,대유플러스,20180816,1000,1010,985,1000,178492,2614740,110,1015,1051,1117,995
A000300,대유플러스,20180814,1000,1015,997,1000,191600,2618457,287,1023,1053,1122,993
A000300,대유플러스,20180813,1030,1040,992,1005,1561111,2606944,162,1040,1056,1127,992
A000300,대유플러스,20180810,1030,1075,1010,1040,591083,2711917,18,1057,1059,1130,990
A000300,대유플러스,20180809,1040,1050,1020,1030,369443,2703551,146,1077,1060,1134,988
A000300,대유플러스,20180808,1085,1090,1030,1040,812169,2711680,-19,1088,1064,1138,986
A000300,대유플러스,20180807,1110,1120,1070,1085,549131,2604884,-48718,1102,1066,1142,984
A000300,대유플러스,20180806,1150,1200,1065,1090,2246578,2633822,29445,1107,1065,1143,981
A000300,대유플러스,20180803,1085,1150,1080,1140,641887,2799180,24939,1118,1062,1145,978
A000300,대유플러스,20180802,1115,1115,1075,1085,311519,2743476,-201,1093,1056,1145,974
A000300,대유플러스,20180801,1110,1120,1085,1110,314242,2771659,1641,1077,1052,1146,971
A000300,대유플러스,20180731,1135,1150,1080,1110,597121,2804256,-40049,1053,1046,1145,967
A000300,대유플러스,20180730,1025,1160,1025,1145,1782446,2879451,5,1033,1044,1144,964
A000300,대유플러스,20180727,1000,1025,986,1015,157127,2868283,-48,1008,1040,1142,960
A000300,대유플러스,20180726,990,1025,986,1005,116048,2843941,16,1014,1046,1144,958
A000300,대유플러스,20180725,1030,1030,985,988,296404,2848292,-460,1023,1053,1144,955
A000300,대유플러스,20180724,1020,1040,1000,1010,129326,2859888,19,1035,1060,1146,953
A000300,대유플러스,20180723,1065,1065,1015,1020,218641,2837891,-516,1046,1068,1148,950
A000300,대유플러스,20180720,1050,1065,1040,1045,242099,2856976,5,1055,1076,1149,948
A000300,대유플러스,20180719,1065,1070,1050,1050,143511,2838425,9,1058,1080,1147,945
A000300,대유플러스,20180718,1060,1085,1040,1050,344614,2829860,-17,1067,1086,1144,942
A000300,대유플러스,20180717,1065,1085,1050,1065,209411,2800140,490,1076,1092,1142,938
A000300,대유플러스,20180716,1060,1090,1030,1065,432117,2812570,21,1073,1095,1139,935
A000300,대유플러스,20180713,1095,1105,1060,1060,395250,2857398,-40,1066,1100,1135,932
A000300,대유플러스,20180712,1085,1120,1085,1095,337674,2900167,38,1061,1105,1130,928
A000300,대유플러스,20180711,1065,1115,1035,1095,602279,2901159,825,1040,1108,1125,925
A000300,대유플러스,20180710,1025,1060,1025,1050,351431,2943031,156,1019,1114,1119,921
A000300,대유플러스,20180709,1030,1050,1020,1030,516249,2842130,-16,1022,1123,1114,918
A000300,대유플러스,20180706,980,1160,980,1035,3878294,2933612,-2,1031,1133,1109,916
A000300,대유플러스,20180705,950,1030,939,989,1454113,3027785,369,1053,1145,1105,913
A000300,대유플러스,20180704,1065,1070,974,993,881696,2968547,-99,1083,1159,1102,911
A000300,대유플러스,20180703,1055,1110,1020,1065,808736,2803295,2,1110,1165,1097,908
A000300,대유플러스,20180702,1135,1170,1050,1075,548758,2647517,2,1131,1171,1091,906
A000300,대유플러스,20180629,1145,1155,1120,1145,242492,2642207,4,1150,1177,1085,903
A000300,대유플러스,20180628,1130,1155,1120,1135,214796,2686679,6,1146,1182,1078,899
A000300,대유플러스,20180627,1175,1180,1125,1130,240414,2691102,4,1153,1186,1071,896
A000300,대유플러스,20180626,1135,1185,1135,1170,178783,2774278,-727,1161,1193,1064,893
A000300,대유플러스,20180625,1120,1170,1115,1170,296898,2817169,63,1155,1197,1056,889
A000300,대유플러스,20180622,1185,1185,1115,1125,356748,2763259,218,1151,1201,1048,885
A000300,대유플러스,20180621,1170,1190,1160,1170,299972,2858915,69,1159,1209,1041,881
A000300,대유플러스,20180620,1130,1175,1130,1170,331620,2908425,98,1158,1215,1034,878
A000300,대유플러스,20180619,1140,1195,1125,1140,451566,2845779,4,1164,1222,1027,874
A000300,대유플러스,20180618,1130,1180,1125,1150,451055,2878951,-14,1185,1229,1020,871
A000300,대유플러스,20180615,1165,1195,1160,1165,314941,2785260,119,1200,1232,1013,868
A000300,대유플러스,20180614,1215,1215,1165,1165,466288,2728311,48,1222,1237,1006,865
A000300,대유플러스,20180612,1245,1245,1170,1200,869556,2707705,-39,1244,1243,999,861
A000300,대유플러스,20180611,1225,1260,1215,1245,765935,2737921,0,1225,1245,991,858
A000300,대유플러스,20180608,1255,1275,1205,1225,833872,2700061,-2,1214,1242,982,854
A000300,대유플러스,20180607,1235,1350,1235,1275,2588524,2699913,38,1207,1240,974,850
A000300,대유플러스,20180605,1130,1400,1110,1275,6471489,2923559,50,1201,1234,965,846
A000300,대유플러스,20180604,1190,1220,1090,1105,1777936,2981962,731,1190,1227,955,842
A000300,대유플러스,20180601,1195,1225,1155,1190,630685,2706700,15,1222,1224,949,839
A000300,대유플러스,20180531,1245,1265,1190,1190,488306,2485228,436,1234,1217,941,836
A000300,대유플러스,20180530,1205,1250,1190,1245,716740,2618347,77,1245,1210,932,832
A000300,대유플러스,20180529,1275,1285,1205,1220,668211,2359612,46,1254,1202,923,828
A000300,대유플러스,20180528,1230,1265,1225,1265,644894,2471789,16,1269,1194,915,824
A000300,대유플러스,20180525,1230,1285,1160,1250,884675,2292357,123,1275,1186,906,819
A000300,대유플러스,20180524,1300,1310,1235,1245,829959,2178721,44,1283,1180,898,815
A000300,대유플러스,20180523,1295,1320,1275,1290,542516,2276989,673,1278,1170,890,811
A000300,대유플러스,20180521,1310,1340,1280,1295,800315,2237347,43,1272,1151,881,806
A000300,대유플러스,20180518,1300,1310,1250,1295,856645,2400036,1149,1270,1132,873,802
A000300,대유플러스,20180517,1210,1350,1210,1290,1703157,2369590,309,1257,1112,864,797
A000300,대유플러스,20180516,1260,1260,1190,1220,1294203,2256425,-1818,1235,1091,856,792
A000300,대유플러스,20180515,1320,1330,1225,1260,1312046,2297973,6,1230,1072,850,788
A000300,대유플러스,20180514,1240,1325,1235,1285,2307095,2315518,13,1211,1048,842,784
A000300,대유플러스,20180511,1155,1250,1140,1230,1511455,2070057,9,1178,1023,835,780
A000300,대유플러스,20180510,1205,1205,1155,1180,885168,1931853,9,1144,999,827,776
A000300,대유플러스,20180509,1165,1200,1145,1195,1280997,1961366,-40,1116,978,819,772
A000300,대유플러스,20180508,1140,1210,1140,1165,2434850,1989233,-36,1085,955,810,768
A000300,대유플러스,20180504,1055,1190,1030,1120,3338132,1957084,66,1072,935,802,765
A000300,대유플러스,20180503,1055,1075,1020,1060,636695,1913632,8,1060,919,795,762
A000300,대유플러스,20180502,1100,1100,998,1040,1231505,1957650,0,1069,903,790,759
A000300,대유플러스,20180430,1070,1075,1010,1040,1654896,1842113,0,1085,886,784,757
A000300,대유플러스,20180427,1105,1110,1070,1100,975994,1574416,8,1086,869,779,754
A000300,대유플러스,20180426,1105,1105,1020,1060,1175919,1623575,41,1050,850,772,751
A000300,대유플러스,20180425,1120,1125,1030,1105,1609415,1585360,20,1018,832,766,749
A000300,대유플러스,20180424,1085,1125,1055,1120,4346679,1593160,58,979,811,760,746
A000300,대유플러스,20180423,920,1060,920,1045,5386334,1796568,0,929,791,753,742
A000300,대유플러스,20180420,885,935,885,920,1126270,1459764,60,886,774,747,740
A000300,대유플러스,20180419,910,924,871,902,1104821,1367911,271,858,763,743,738
A000300,대유플러스,20180418,894,915,870,910,2988820,1448548,-343,834,755,739,737
A000300,대유플러스,20180417,841,891,828,868,2617756,1378079,3,803,747,735,735
A000300,대유플러스,20180416,780,829,780,828,1211065,1514474,242,783,741,732,734
A000300,대유플러스,20180413,793,793,777,783,613590,1354235,39,764,736,729,733
A000300,대유플러스,20180412,761,795,753,780,831613,1374821,-28,760,734,727,733
A000300,대유플러스,20180411,765,767,751,757,428187,1376217,-1998,763,732,725,732
A000300,대유플러스,20180410,737,765,727,765,613635,1436058,495,759,730,724,732
A000300,대유플러스,20180409,763,764,736,736,567966,1461854,40,747,727,723,731
A000300,대유플러스,20180406,781,797,754,763,977408,2003929,4,740,727,722,731
A000300,대유플러스,20180405,737,809,728,795,3473932,2011748,-39309,730,725,721,731
A000300,대유플러스,20180404,698,757,695,736,1155231,1595738,39988,714,721,720,731
A000300,대유플러스,20180403,703,707,689,704,95374,1511035,0,704,719,719,731
A000300,대유플러스,20180402,714,719,698,704,176495,1507620,28,704,719,720,731
A000300,대유플러스,20180330,712,716,705,712,130004,1549133,3906,704,719,720,731
