stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A000440,중앙에너비스,20190129,7610,8130,7430,8130,113337,26947,-625,7762,7101,7605,7720
A000440,중앙에너비스,20190128,7700,7750,7300,7610,23946,27453,-5,7628,7030,7600,7708
A000440,중앙에너비스,20190125,7880,7880,7590,7640,27756,27653,-60,7602,6990,7606,7700
A000440,중앙에너비스,20190124,8000,8100,7610,7740,96480,27266,0,7538,6948,7611,7693
A000440,중앙에너비스,20190123,7470,7750,7280,7690,15706,29336,0,7412,6896,7614,7684
A000440,중앙에너비스,20190122,7500,7820,7320,7460,89199,30610,-15,7250,6848,7622,7676
A000440,중앙에너비스,20190121,7320,7520,7280,7480,18515,32500,-20,7090,6814,7634,7670
A000440,중앙에너비스,20190118,7440,7440,7070,7320,20022,33028,-30,6952,6782,7648,7663
A000440,중앙에너비스,20190117,7150,7380,6900,7110,48576,32350,-20,6848,6758,7660,7658
A000440,중앙에너비스,20190116,6800,7260,6570,6880,48493,31374,-20,6794,6747,7687,7655
A000440,중앙에너비스,20190115,6790,6800,6660,6660,7517,33554,0,6770,6728,7724,7653
A000440,중앙에너비스,20190114,6800,6800,6660,6790,1159,32656,0,6788,6720,7760,7653
A000440,중앙에너비스,20190111,6840,6990,6730,6800,2395,32293,0,6780,6698,7800,7650
A000440,중앙에너비스,20190110,6660,6920,6610,6840,6862,32333,-160,6682,6686,7834,7648
A000440,중앙에너비스,20190109,6750,6840,6650,6760,5374,32330,10,6630,6694,7866,7646
A000440,중앙에너비스,20190108,6760,6850,6610,6750,1921,32313,-195,6622,6706,7901,7645
A000440,중앙에너비스,20190107,6320,6850,6320,6750,6829,32453,-10,6612,6728,7928,7646
A000440,중앙에너비스,20190104,6580,6790,6310,6310,6429,31919,-5,6624,6832,7956,7646
A000440,중앙에너비스,20190103,6720,7080,6580,6580,23725,31919,0,6726,6958,8002,7649
A000440,중앙에너비스,20190102,6700,6740,6620,6720,782,31689,0,6746,7072,8055,7649
A000440,중앙에너비스,20181228,6810,6810,6600,6700,1533,31737,-15,6752,7178,8098,7650
A000440,중앙에너비스,20181227,6750,7020,6580,6810,17019,31776,5,6766,7302,8134,7651
A000440,중앙에너비스,20181226,6580,7010,6580,6820,4662,31829,121,6774,7416,8169,7651
A000440,중앙에너비스,20181224,6780,6780,6590,6680,3942,31865,10,6778,7529,8207,7651
A000440,중앙에너비스,20181221,6810,6810,6550,6750,6566,31958,19,6818,7648,8241,7652
A000440,중앙에너비스,20181220,6830,6830,6660,6770,3455,31962,16,6768,7766,8272,7652
A000440,중앙에너비스,20181219,6850,6980,6700,6850,4559,32052,666,6712,7897,8312,7652
A000440,중앙에너비스,20181218,6880,6880,6560,6840,14866,32208,40,6612,8004,8349,7649
A000440,중앙에너비스,20181217,6400,7000,6390,6880,38381,32814,0,6560,8112,8394,7646
A000440,중앙에너비스,20181214,6490,6590,6300,6500,15630,31755,2139,6580,8212,8447,7641
A000440,중앙에너비스,20181213,6430,6590,6210,6490,19398,31786,0,6680,8334,8512,7640
A000440,중앙에너비스,20181212,6570,6660,6110,6350,126511,32596,0,6820,8420,8598,7638
A000440,중앙에너비스,20181211,7260,7260,6540,6580,91793,34423,-40,7318,8500,8642,7637
A000440,중앙에너비스,20181210,6980,7080,6600,6980,50387,36918,-237,7770,8563,8648,7634
A000440,중앙에너비스,20181207,7230,7230,6860,7000,42892,38703,-441,8142,8609,8645,7628
A000440,중앙에너비스,20181206,9000,9000,7110,7190,187827,44319,-1,8510,8652,8636,7622
A000440,중앙에너비스,20181205,8840,8840,8840,8840,0,63595,0,8910,8698,8624,7615
A000440,중앙에너비스,20181204,8840,8840,8840,8840,0,63595,0,8960,8660,8586,7594
A000440,중앙에너비스,20181203,8840,8840,8840,8840,0,63595,0,9008,8618,8548,7572
A000440,중앙에너비스,20181130,9300,9370,8740,8840,20055,63595,10,9054,8574,8511,7550
A000440,중앙에너비스,20181129,9260,9260,9080,9190,2200,64135,0,9104,8536,8474,7529
A000440,중앙에너비스,20181128,9080,9290,9000,9090,5200,64305,-6,9146,8467,8431,7505
A000440,중앙에너비스,20181127,9260,9260,8890,9080,6110,65030,-9,9128,8411,8389,7482
A000440,중앙에너비스,20181126,9090,9090,8860,9070,5550,65990,-4,9112,8356,8347,7458
A000440,중앙에너비스,20181123,9260,9480,9050,9090,8990,65395,-29,9072,8300,8306,7434
A000440,중앙에너비스,20181122,9000,9460,8900,9400,15415,65615,-1,9044,8252,8265,7410
A000440,중앙에너비스,20181121,9010,9100,8930,9000,6375,65010,-12,8804,8191,8217,7384
A000440,중앙에너비스,20181120,8870,9100,8720,9000,7000,64595,10,8596,8156,8178,7361
A000440,중앙에너비스,20181119,9180,9180,8780,8870,23115,63990,20,8362,8110,8140,7338
A000440,중앙에너비스,20181116,8400,9080,8250,8950,27405,62415,0,8168,8103,8101,7317
A000440,중앙에너비스,20181115,7960,8740,7960,8200,24975,61230,-1,7952,8108,8062,7294
A000440,중앙에너비스,20181114,7850,8150,7800,7960,6285,60360,-2,7934,8142,8032,7277
A000440,중앙에너비스,20181113,7900,7900,7700,7830,4795,59955,-10,7958,8202,8010,7263
A000440,중앙에너비스,20181112,7780,7940,7600,7900,19380,59340,8,7988,8251,7988,7249
A000440,중앙에너비스,20181109,8100,8100,7720,7870,9090,58750,0,8002,8295,7966,7234
A000440,중앙에너비스,20181108,8150,8150,8000,8110,2305,58570,0,8046,8345,7946,7220
A000440,중앙에너비스,20181107,8160,8160,7940,8080,9010,58125,-1,7984,8358,7922,7203
A000440,중앙에너비스,20181106,7960,8050,7920,7980,3085,56620,-19,7962,8374,7900,7186
A000440,중앙에너비스,20181105,8160,8190,7830,7970,8225,55695,-130,7964,8430,7878,7170
A000440,중앙에너비스,20181102,7880,8130,7800,8090,6805,56190,-1,7956,8520,7857,7155
A000440,중앙에너비스,20181101,7970,8220,7700,7800,8555,55630,-1,7966,8580,7834,7139
A000440,중앙에너비스,20181031,7950,8100,7650,7970,11885,54705,-155,8042,8634,7816,7125
A000440,중앙에너비스,20181030,7650,8010,7630,7990,3245,53305,-15,8108,8680,7796,7110
A000440,중앙에너비스,20181029,8000,8440,7930,7930,16930,52560,18,8126,8736,7774,7095
A000440,중앙에너비스,20181026,8320,8440,7880,8140,12525,51265,30,8286,8775,7754,7080
A000440,중앙에너비스,20181025,8180,8180,7800,8180,14485,50640,-3,8470,8800,7730,7063
A000440,중앙에너비스,20181024,8160,8300,7870,8300,22235,47830,-10,8606,8848,7705,7045
A000440,중앙에너비스,20181023,8730,8800,8070,8080,62550,45745,-7,8778,8886,7679,7026
A000440,중앙에너비스,20181022,9280,9280,8600,8730,16530,43210,-12,8926,8960,7656,7008
A000440,중앙에너비스,20181019,8800,9100,8310,9060,34525,41610,-38,8936,9026,7623,6984
A000440,중앙에너비스,20181018,9390,9390,8860,8860,13845,33890,-84,8898,9092,7583,6958
A000440,중앙에너비스,20181017,8820,9160,8600,9160,15970,33180,-5,8798,9234,7545,6933
A000440,중앙에너비스,20181016,9140,9140,8810,8820,5975,27030,10,8650,9226,7501,6906
A000440,중앙에너비스,20181015,8800,9120,8500,8780,20250,26665,-31,8706,9131,7463,6882
A000440,중앙에너비스,20181012,8200,9100,8200,8870,28460,23895,-28,8902,9031,7426,6858
A000440,중앙에너비스,20181011,8100,9110,8000,8360,60560,14465,-4,8988,8910,7390,6834
A000440,중앙에너비스,20181010,9100,9180,8300,8420,41450,10355,-25,9088,8816,7364,6814
