stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A000990,DB하이텍,20190129,11950,12650,11750,12600,695071,13117942,75881,11740,10950,11342,13459
A000990,DB하이텍,20190128,12100,12250,11700,12000,501851,13157657,32057,11450,10862,11322,13498
A000990,DB하이텍,20190125,11050,12100,11000,12100,888300,13180929,92155,11360,10798,11311,13538
A000990,DB하이텍,20190124,11050,11250,10900,10950,365004,13052082,-112724,11070,10708,11293,13577
A000990,DB하이텍,20190123,11000,11400,10950,11050,379548,13079645,-20033,11020,10692,11283,13632
A000990,DB하이텍,20190122,11600,11650,11100,11150,350935,13077703,-10256,10980,10680,11287,13677
A000990,DB하이텍,20190121,10900,11550,10800,11550,514170,13198115,1038,10940,10665,11289,13729
A000990,DB하이텍,20190118,10750,10900,10550,10650,295482,13111349,-16296,10800,10648,11299,13778
A000990,DB하이텍,20190117,10900,11000,10700,10700,185068,13051021,-23107,10860,10668,11322,13831
A000990,DB하이텍,20190116,11000,11150,10700,10850,316810,13062066,-28455,10900,10695,11358,13893
A000990,DB하이텍,20190115,10950,11100,10850,10950,146221,13021093,-3797,10870,10705,11406,13955
A000990,DB하이텍,20190114,11000,11050,10750,10850,160660,13025938,-19169,10740,10735,11457,14019
A000990,DB하이텍,20190111,11000,11100,10900,10950,220808,13009041,-75756,10580,10750,11503,14085
A000990,DB하이텍,20190110,10700,11200,10700,10900,265948,12948065,-47959,10410,10742,11550,14150
A000990,DB하이텍,20190109,10300,10850,10300,10700,317809,12928295,13414,10250,10745,11595,14216
A000990,DB하이텍,20190108,10000,10500,10000,10300,210492,12852395,-6676,10210,10770,11647,14280
A000990,DB하이텍,20190107,10250,10550,9990,10050,568687,12788863,-373973,10320,10810,11694,14346
A000990,DB하이텍,20190104,10000,10250,9980,10100,211653,12657974,-46987,10450,10888,11758,14416
A000990,DB하이텍,20190103,10350,10450,10000,10100,259171,12621737,-20615,10490,10980,11830,14490
A000990,DB하이텍,20190102,10850,10950,10300,10500,225448,12585824,-56972,10600,11088,11905,14560
A000990,DB하이텍,20181228,10750,10950,10550,10850,126845,12601517,-1087,10660,11150,11980,14628
A000990,DB하이텍,20181227,10400,10900,10350,10700,241032,12630685,-9080,10660,11198,12058,14692
A000990,DB하이텍,20181226,10500,10600,10200,10300,288420,12567237,-8776,10760,11260,12140,14762
A000990,DB하이텍,20181224,10800,10900,10600,10650,145686,12660365,-23530,10910,11335,12232,14834
A000990,DB하이텍,20181221,10850,11150,10800,10800,317167,12675462,-158610,11030,11395,12318,14908
A000990,DB하이텍,20181220,11100,11200,10750,10850,208067,12640419,-14493,11080,11428,12412,14979
A000990,DB하이텍,20181219,11050,11300,11050,11200,138863,12706036,-3116,11220,11475,12507,15058
A000990,DB하이텍,20181218,11150,11200,10900,11050,206159,12721332,-2141,11210,11492,12599,15130
A000990,DB하이텍,20181217,11100,11250,10950,11250,170347,12712293,-28099,11160,11525,12697,15202
A000990,DB하이텍,20181214,11500,11500,11050,11050,205340,12655897,-32618,11100,11568,12791,15280
A000990,DB하이텍,20181213,11200,11550,11100,11550,248915,12698693,61914,11130,11622,12896,15349
A000990,DB하이텍,20181212,10800,11300,10800,11150,285385,12711033,-105501,11040,11648,12987,15414
A000990,DB하이텍,20181211,11000,11150,10750,10800,202758,12625558,-37294,11130,11670,13087,15480
A000990,DB하이텍,20181210,11000,11200,10850,10950,207399,12616234,-8357,11360,11725,13187,15552
A000990,DB하이텍,20181207,11300,11400,11050,11200,220943,12602049,2964,11620,11788,13291,15622
A000990,DB하이텍,20181206,11650,11700,11050,11100,284946,12568462,-20013,11730,11842,13401,15690
A000990,DB하이텍,20181205,11650,11900,11500,11600,332570,12610724,-25750,11870,11892,13513,15755
A000990,DB하이텍,20181204,12350,12400,11950,11950,239383,12600206,-24783,11940,11895,13628,15817
A000990,DB하이텍,20181203,11950,12350,11850,12250,244661,12605019,24106,11910,11900,13735,15875
A000990,DB하이텍,20181130,11750,12000,11700,11750,128906,12531003,-870,11830,11892,13838,15926
