stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A000995,DB하이텍1우,20190129,38450,43400,37100,38500,35681,1337,0,36590,35640,36490,36377
A000995,DB하이텍1우,20190128,35300,37850,35100,37400,2993,1337,0,36150,35535,36376,36371
A000995,DB하이텍1우,20190125,37000,37500,35050,35800,531,1337,0,35510,35515,36284,36370
A000995,DB하이텍1우,20190124,35200,37400,35000,36400,2381,1337,0,35200,35565,36216,36385
A000995,DB하이텍1우,20190123,36250,37100,34600,34850,585,1337,-8,34720,35595,36136,36394
A000995,DB하이텍1우,20190122,34150,36450,33550,36300,846,1337,0,34770,35710,36087,36400
A000995,DB하이텍1우,20190121,33600,34450,33600,34200,521,1337,0,34240,35760,35978,36399
A000995,DB하이텍1우,20190118,33500,34250,33350,34250,637,1337,0,34350,35875,35927,36407
A000995,DB하이텍1우,20190117,34200,34750,33550,34000,469,1337,0,34410,35992,35901,36413
A000995,DB하이텍1우,20190116,34500,35100,33150,35100,473,1337,0,34900,36172,35882,36428
A000995,DB하이텍1우,20190115,35000,35000,33100,33650,2045,1337,0,35330,36275,35839,36436
A000995,DB하이텍1우,20190114,34950,34950,34000,34750,318,1337,0,35750,36445,35820,36459
A000995,DB하이텍1우,20190111,37100,37100,34550,34550,877,1337,0,36010,36505,35776,36472
A000995,DB하이텍1우,20190110,37200,37200,36150,36450,97,1337,0,36060,36608,35740,36493
A000995,DB하이텍1우,20190109,36000,38900,35900,37250,555,1337,0,35970,36645,35679,36505
A000995,DB하이텍1우,20190108,35050,37450,34650,35750,600,1337,0,35870,36645,35601,36502
A000995,DB하이텍1우,20190107,40000,40000,35550,36050,526,1337,0,36000,36740,35560,36510
A000995,DB하이텍1우,20190104,35850,35950,34050,34800,419,1337,0,36190,36838,35526,36514
A000995,DB하이텍1우,20190103,36650,36650,35250,36000,44,1337,0,36590,37030,35548,36524
A000995,DB하이텍1우,20190102,36400,36750,36000,36750,6,1337,0,36790,37148,35530,36525
A000995,DB하이텍1우,20181228,36550,36750,36000,36400,90,1337,0,36870,37210,35517,36520
A000995,DB하이텍1우,20181227,37350,37350,36100,37000,12,1337,0,37050,37278,35523,36528
A000995,DB하이텍1우,20181226,36850,36850,35000,36800,115,1337,0,36950,37258,35525,36531
A000995,DB하이텍1우,20181224,37350,37350,37000,37000,7,1337,0,36910,37280,35533,36533
A000995,DB하이텍1우,20181221,37300,37300,36450,37150,10,1337,0,37030,37350,35538,36548
A000995,DB하이텍1우,20181220,36500,37400,35650,37300,172,1337,0,37030,37385,35548,36568
A000995,DB하이텍1우,20181219,38000,38350,36300,36500,1110,1337,0,36980,37452,35555,36574
A000995,DB하이텍1우,20181218,38850,38850,36000,36600,209,1337,20,36870,37558,35579,36591
A000995,DB하이텍1우,20181217,38000,38000,37150,37600,23,1337,0,36870,37660,35601,36608
A000995,DB하이텍1우,20181214,37300,37300,35700,37150,36,1337,0,36790,37728,35607,36628
A000995,DB하이텍1우,20181213,36400,37400,35500,37050,355,1337,0,36810,37808,35622,36638
A000995,DB하이텍1우,20181212,37050,37050,35350,35950,197,1337,0,36930,37825,35638,36660
A000995,DB하이텍1우,20181211,39000,39000,36150,36600,98,1337,0,37340,37895,35677,36685
A000995,DB하이텍1우,20181210,36500,37300,36500,37200,23,1337,0,37750,37912,35706,36711
A000995,DB하이텍1우,20181207,37400,37400,36050,37250,148,1337,0,37980,37828,35726,36731
A000995,DB하이텍1우,20181206,38000,38000,36600,37650,90,1337,0,38130,37682,35742,36741
A000995,DB하이텍1우,20181205,39000,39000,36400,38000,184,1337,0,38150,37512,35754,36744
A000995,DB하이텍1우,20181204,38000,38750,37100,38650,215,1337,0,37870,37342,35758,36752
A000995,DB하이텍1우,20181203,38850,38850,37050,38350,275,1337,0,37590,37080,35754,36762
A000995,DB하이텍1우,20181130,38500,38500,37950,38000,51,1337,0,37600,36838,35740,36772
A000995,DB하이텍1우,20181129,39000,39000,36650,37750,26,1337,0,37570,36620,35730,36783
A000995,DB하이텍1우,20181128,36700,37550,36000,36600,417,1337,0,37750,36315,35746,36789
A000995,DB하이텍1우,20181127,38950,38950,36700,37250,451,1337,0,38150,36080,35782,36808
A000995,DB하이텍1우,20181126,37800,38700,37500,38400,466,1337,0,38430,35802,35804,36830
A000995,DB하이텍1우,20181123,38950,38950,37500,37850,563,1337,0,38540,35462,35796,36831
A000995,DB하이텍1우,20181122,38000,40500,37500,38650,1114,1337,0,38720,35165,35812,36856
A000995,DB하이텍1우,20181121,39000,39000,37100,38600,144,1337,0,38470,34722,35816,36891
A000995,DB하이텍1우,20181120,38950,39500,38000,38650,157,1337,0,38220,34348,35816,36917
A000995,DB하이텍1우,20181119,40700,40700,38050,38950,936,1337,0,37880,34050,35807,36970
A000995,DB하이텍1우,20181116,40000,40000,37400,38750,2201,1337,0,37190,33748,35791,37101
A000995,DB하이텍1우,20181115,37200,37400,37000,37400,15,1370,0,36310,33435,35781,37129
A000995,DB하이텍1우,20181114,37950,37950,36600,37350,90,1370,0,35680,33190,35779,37153
A000995,DB하이텍1우,20181113,39000,39100,35050,36950,342,1370,0,35130,32928,35795,37162
A000995,DB하이텍1우,20181112,34400,35700,34400,35500,103,1370,0,34420,32700,35802,37170
A000995,DB하이텍1우,20181109,34250,34600,34250,34350,14,1370,0,34020,32565,35842,37202
A000995,DB하이텍1우,20181108,34650,35000,33600,34250,95,1370,0,33880,32475,35901,37242
A000995,DB하이텍1우,20181107,33650,34800,33550,34600,237,1370,0,33360,32428,35968,37280
A000995,DB하이텍1우,20181106,33450,33600,32800,33400,41,1370,0,32820,32398,36030,37312
A000995,DB하이텍1우,20181105,33650,33950,32500,33500,50,1370,0,32480,32532,36111,37356
A000995,DB하이텍1우,20181102,31850,33700,31850,33650,244,1370,0,32100,32605,36192,37400
A000995,DB하이텍1우,20181101,31900,33050,31650,31650,95,1370,0,31750,32720,36263,37425
A000995,DB하이텍1우,20181031,31000,32050,31000,31900,25,1370,0,31380,32978,36366,37465
A000995,DB하이텍1우,20181030,32050,32050,30950,31700,36,1370,0,31220,33238,36455,37502
A000995,DB하이텍1우,20181029,30000,31700,30000,31600,158,1370,0,31420,33518,36554,37536
A000995,DB하이텍1우,20181026,30900,31900,29550,31900,280,1370,0,31680,33802,36652,37565
A000995,DB하이텍1우,20181025,30300,30450,29350,29800,390,1370,0,31800,34095,36713,37577
A000995,DB하이텍1우,20181024,32350,32350,30500,31100,1381,1370,0,32340,34490,36820,37617
A000995,DB하이텍1우,20181023,32900,32900,32050,32700,14,1370,0,32540,34832,36887,37642
A000995,DB하이텍1우,20181022,32500,32900,32500,32900,7,1370,0,32480,35092,36925,37668
A000995,DB하이텍1우,20181019,31800,32500,31800,32500,11,1370,0,32460,35345,36973,37689
A000995,DB하이텍1우,20181018,32650,32800,32000,32500,352,1370,0,32470,35622,37032,37707
A000995,DB하이텍1우,20181017,32400,33600,32100,32100,341,1370,0,32630,35900,37098,37721
A000995,DB하이텍1우,20181016,32900,32900,32250,32400,286,1370,0,33010,36208,37169,37741
A000995,DB하이텍1우,20181015,32550,34200,32150,32800,560,1370,0,33750,36505,37247,37754
A000995,DB하이텍1우,20181012,33700,33700,32000,32550,1503,1370,0,34180,36785,37330,37762
A000995,DB하이텍1우,20181011,32500,33750,32300,33300,521,1370,0,34860,37068,37404,37768
A000995,DB하이텍1우,20181010,35800,36000,33650,34000,414,1370,0,35560,37322,37461,37764
A000995,DB하이텍1우,20181008,35650,36100,35650,36100,13,1370,0,36180,37532,37502,37748
A000995,DB하이텍1우,20181005,36550,36550,34950,34950,141,1370,0,36420,37650,37500,37729
A000995,DB하이텍1우,20181004,36800,37350,35600,35950,151,1370,0,36890,37778,37520,37724
A000995,DB하이텍1우,20181002,37350,37350,35150,36800,212,1370,0,37250,37850,37524,37722
A000995,DB하이텍1우,20181001,37000,37700,37000,37100,31,1370,0,37430,37945,37533,37705
A000995,DB하이텍1우,20180928,36750,37450,36000,37300,331,1370,0,37600,38030,37537,37688
A000995,DB하이텍1우,20180927,37750,37750,36500,37300,446,1370,0,37720,38092,37532,37675
A000995,DB하이텍1우,20180921,38150,38150,37000,37750,664,1370,0,37850,38122,37558,37653
A000995,DB하이텍1우,20180920,37950,37950,37700,37700,7,1370,0,37910,38178,37587,37624
A000995,DB하이텍1우,20180919,38150,38200,37200,37950,73,1370,0,37980,38235,37593,37602
A000995,DB하이텍1우,20180918,37950,38450,37200,37900,224,1370,0,38040,38268,37602,37583
A000995,DB하이텍1우,20180917,37700,37950,37550,37950,13,1370,0,38130,38278,37616,37567
A000995,DB하이텍1우,20180914,37000,38200,37000,38050,410,1370,0,38220,38280,37648,37549
A000995,DB하이텍1우,20180913,38150,38150,37550,38050,75,1370,0,38250,38285,37654,37533
A000995,DB하이텍1우,20180912,37150,38250,37150,38250,36,1370,0,38320,38248,37682,37518
A000995,DB하이텍1우,20180911,38200,38350,37350,38350,235,1370,0,38310,38250,37693,37505
A000995,DB하이텍1우,20180910,37000,38400,36800,38400,143,1370,0,38330,38200,37716,37490
A000995,DB하이텍1우,20180907,37700,38350,37000,38200,306,1370,0,38150,38175,37737,37470
A000995,DB하이텍1우,20180906,38200,38400,38200,38400,15,1370,0,37990,38160,37740,37449
A000995,DB하이텍1우,20180905,38700,38700,37900,38200,204,1370,0,38050,38155,37733,37433
A000995,DB하이텍1우,20180904,37500,38800,37500,38450,49,1370,0,38170,38160,37747,37422
A000995,DB하이텍1우,20180903,37400,37550,37000,37500,120,1370,0,38190,38150,37771,37414
A000995,DB하이텍1우,20180831,38100,38350,37000,37400,516,1370,0,38270,38192,37804,37408
A000995,DB하이텍1우,20180830,38750,38800,38050,38700,86,1370,0,38560,38220,37837,37398
A000995,DB하이텍1우,20180829,38500,39000,37700,38800,157,1370,0,38590,38175,37832,37371
A000995,DB하이텍1우,20180828,37900,38800,37650,38550,478,1370,0,38550,38098,37833,37339
A000995,DB하이텍1우,20180827,38050,38100,37650,37900,212,1370,0,38460,38052,37856,37302
A000995,DB하이텍1우,20180824,38800,38900,37700,38850,104,1370,0,38480,38032,37866,37278
A000995,DB하이텍1우,20180823,38850,38850,37500,38850,50,1370,0,38340,37868,37899,37246
