stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001020,페이퍼코리아,20190129,1125,1195,1060,1115,1535742,918322,-63,1098,979,908,997
A001020,페이퍼코리아,20190128,1195,1195,1080,1115,838236,844900,-15,1088,970,903,998
A001020,페이퍼코리아,20190125,1085,1130,1070,1115,581209,880972,0,1079,960,897,999
A001020,페이퍼코리아,20190124,1105,1150,1035,1085,687651,887768,-7,1041,948,891,1000
A001020,페이퍼코리아,20190123,1060,1060,1015,1060,378586,963215,-13,1008,937,885,1001
A001020,페이퍼코리아,20190122,1100,1120,1015,1065,778797,958359,-57,982,926,879,1002
A001020,페이퍼코리아,20190121,930,1090,930,1070,3285535,1026249,-15,955,915,874,1003
A001020,페이퍼코리아,20190118,919,932,912,923,95760,898731,-13,929,906,869,1005
A001020,페이퍼코리아,20190117,932,938,919,922,81511,872939,-15,930,904,868,1008
A001020,페이퍼코리아,20190116,930,943,929,932,61495,883868,-13,929,900,867,1011
A001020,페이퍼코리아,20190115,950,950,930,930,125200,860765,-245,925,895,866,1014
A001020,페이퍼코리아,20190114,930,945,927,936,91916,834305,-38,922,891,865,1016
A001020,페이퍼코리아,20190111,919,950,919,930,181444,801289,-7,919,886,863,1019
A001020,페이퍼코리아,20190110,903,940,902,918,91351,771670,-7,914,880,862,1021
A001020,페이퍼코리아,20190109,916,916,902,911,70065,761144,-40,908,877,862,1024
A001020,페이퍼코리아,20190108,919,990,908,917,193121,751114,-14,910,875,861,1026
A001020,페이퍼코리아,20190107,907,925,900,919,109915,771223,-16,913,874,860,1029
A001020,페이퍼코리아,20190104,895,909,865,907,70007,750374,-256,914,874,858,1031
A001020,페이퍼코리아,20190103,918,929,877,886,93616,999943,58,906,874,858,1033
A001020,페이퍼코리아,20190102,936,963,919,920,159771,990081,-131,902,876,858,1036
A001020,페이퍼코리아,20181228,923,955,904,935,244335,990098,-11,886,877,859,1038
A001020,페이퍼코리아,20181227,890,923,857,923,262538,1042296,350,869,874,860,1041
A001020,페이퍼코리아,20181226,865,878,849,865,161136,1043875,189,863,872,863,1043
A001020,페이퍼코리아,20181224,842,890,839,865,144880,1037706,7,865,875,868,1047
A001020,페이퍼코리아,20181221,841,868,831,840,110275,1035279,-1456,860,873,873,1051
A001020,페이퍼코리아,20181220,890,897,852,852,187182,1043343,8,860,873,878,1054
A001020,페이퍼코리아,20181219,891,1000,872,894,1353269,1057225,46,858,873,883,1058
A001020,페이퍼코리아,20181218,844,884,840,876,185718,1030780,114,846,872,887,1062
A001020,페이퍼코리아,20181217,840,842,822,840,38230,1067798,4,835,872,893,1065
A001020,페이퍼코리아,20181214,845,845,816,840,176560,1060355,5,836,873,899,1069
A001020,페이퍼코리아,20181213,836,849,829,838,59932,1047805,12,845,874,906,1072
A001020,페이퍼코리아,20181212,821,871,821,836,123300,1040114,-92,857,876,912,1076
A001020,페이퍼코리아,20181211,849,863,812,819,161022,1037113,-694,872,877,918,1080
A001020,페이퍼코리아,20181210,877,905,834,849,263083,1060069,59,892,879,925,1084
A001020,페이퍼코리아,20181207,897,917,877,882,188787,1064725,4,908,879,931,1089
A001020,페이퍼코리아,20181206,922,924,897,897,128964,1089781,28,916,878,937,1093
A001020,페이퍼코리아,20181205,893,915,893,915,166948,1117035,12,913,878,943,1097
A001020,페이퍼코리아,20181204,929,931,901,916,194827,1107703,-16763,908,876,949,1101
A001020,페이퍼코리아,20181203,934,942,912,928,295953,1104445,134,908,875,953,1105
A001020,페이퍼코리아,20181130,880,1010,880,922,1734867,1097012,24,889,874,958,1109
A001020,페이퍼코리아,20181129,880,901,880,885,113722,1151698,79,871,869,963,1113
A001020,페이퍼코리아,20181128,916,917,885,887,271544,1131926,38,866,865,968,1118
A001020,페이퍼코리아,20181127,848,968,835,916,1892570,1142713,51,862,859,973,1122
A001020,페이퍼코리아,20181126,831,852,814,833,77960,970282,121,852,850,978,1127
A001020,페이퍼코리아,20181123,868,868,830,835,116203,956604,67,859,844,984,1132
A001020,페이퍼코리아,20181122,868,870,850,859,83601,948593,47,866,839,990,1137
A001020,페이퍼코리아,20181121,867,878,857,868,57463,947868,110,869,833,996,1142
A001020,페이퍼코리아,20181120,881,881,860,867,62674,963437,43,866,830,1001,1146
A001020,페이퍼코리아,20181119,879,881,865,867,83207,954731,980,864,828,1007,1151
A001020,페이퍼코리아,20181116,876,879,860,871,118592,937703,19,862,828,1012,1156
A001020,페이퍼코리아,20181115,864,885,847,870,122047,942216,127,860,827,1018,1162
A001020,페이퍼코리아,20181114,858,864,839,856,71381,933327,87,862,827,1024,1167
A001020,페이퍼코리아,20181113,858,866,830,858,114484,942107,82,867,827,1031,1173
A001020,페이퍼코리아,20181112,858,885,843,857,116750,960354,88,874,828,1037,1178
A001020,페이퍼코리아,20181109,877,889,846,858,124393,946159,263,884,828,1044,1184
A001020,페이퍼코리아,20181108,880,911,877,883,203500,959472,130,879,829,1051,1191
A001020,페이퍼코리아,20181107,997,999,867,880,1089921,957158,0,861,827,1058,1196
A001020,페이퍼코리아,20181106,902,906,858,894,602138,1143493,3,840,824,1065,1202
A001020,페이퍼코리아,20181105,835,1010,810,907,4132502,1202276,15,809,824,1072,1207
A001020,페이퍼코리아,20181102,782,836,782,830,143120,1334285,-13,770,823,1078,1213
A001020,페이퍼코리아,20181101,772,806,770,796,121248,1326263,74,750,830,1086,1220
A001020,페이퍼코리아,20181031,775,796,740,772,139451,1315992,200,741,843,1094,1226
A001020,페이퍼코리아,20181030,704,740,674,740,246069,1325595,422,745,859,1101,1232
A001020,페이퍼코리아,20181029,730,755,712,712,189786,1244566,361,765,879,1109,1239
A001020,페이퍼코리아,20181026,766,773,715,730,160196,1227634,520,794,901,1117,1246
A001020,페이퍼코리아,20181025,791,791,732,752,203246,1179140,110,821,922,1125,1252
A001020,페이퍼코리아,20181024,828,845,788,791,172252,1139096,153,843,942,1133,1259
A001020,페이퍼코리아,20181023,860,864,822,839,131595,1152334,-87,858,960,1141,1265
A001020,페이퍼코리아,20181022,863,863,849,859,129841,1170986,115,862,979,1148,1272
A001020,페이퍼코리아,20181019,878,878,850,863,112033,1162665,306,865,997,1155,1278
A001020,페이퍼코리아,20181018,874,874,850,864,128799,1179089,-15,865,1015,1162,1282
A001020,페이퍼코리아,20181017,862,873,849,864,160333,1162466,224,862,1033,1168,1287
A001020,페이퍼코리아,20181016,850,872,850,862,117104,1143055,18,855,1051,1174,1292
A001020,페이퍼코리아,20181015,841,891,841,874,205200,1100916,167,860,1069,1180,1296
A001020,페이퍼코리아,20181012,880,880,831,860,220588,1075804,423,861,1086,1186,1300
A001020,페이퍼코리아,20181011,822,881,765,851,579331,1068297,155,886,1105,1192,1305
A001020,페이퍼코리아,20181010,891,911,805,829,536942,889869,181,925,1125,1198,1309
A001020,페이퍼코리아,20181008,879,920,878,888,492425,915045,127,979,1145,1204,1313
A001020,페이퍼코리아,20181005,990,997,841,879,1911601,876493,1212,1028,1161,1209,1317
A001020,페이퍼코리아,20181004,1040,1060,980,982,512163,674349,195,1082,1177,1214,1321
A001020,페이퍼코리아,20181002,1105,1115,1030,1045,373867,724012,87,1116,1189,1218,1324
A001020,페이퍼코리아,20181001,1135,1135,1090,1100,340272,726308,143,1136,1196,1221,1327
A001020,페이퍼코리아,20180928,1150,1165,1115,1135,231060,739414,245,1149,1201,1223,1329
A001020,페이퍼코리아,20180927,1140,1170,1135,1150,74000,729468,37,1164,1204,1225,1332
A001020,페이퍼코리아,20180921,1125,1165,1120,1150,138374,725991,526,1178,1206,1229,1334
A001020,페이퍼코리아,20180920,1170,1180,1130,1145,232896,685063,29,1193,1209,1231,1336
A001020,페이퍼코리아,20180919,1210,1210,1165,1165,326985,702509,1,1209,1212,1234,1338
A001020,페이퍼코리아,20180918,1230,1230,1185,1210,223953,739086,43,1220,1214,1236,1340
A001020,페이퍼코리아,20180917,1230,1230,1200,1220,191644,746653,4,1225,1213,1237,1342
A001020,페이퍼코리아,20180914,1225,1255,1205,1225,218415,764821,-39,1224,1212,1238,1343
A001020,페이퍼코리아,20180913,1220,1235,1215,1225,80532,719383,190,1227,1212,1239,1345
A001020,페이퍼코리아,20180912,1245,1245,1215,1220,74909,698118,794,1232,1213,1240,1348
A001020,페이퍼코리아,20180911,1220,1240,1205,1235,144126,699469,63,1234,1216,1242,1350
A001020,페이퍼코리아,20180910,1240,1245,1215,1215,130303,667418,29,1227,1215,1243,1353
A001020,페이퍼코리아,20180907,1250,1250,1220,1240,162948,640654,-45,1224,1217,1246,1356
A001020,페이퍼코리아,20180906,1235,1270,1200,1250,542628,633615,33,1219,1219,1248,1359
A001020,페이퍼코리아,20180905,1200,1245,1185,1230,460878,628404,-4,1208,1221,1250,1362
A001020,페이퍼코리아,20180904,1200,1245,1200,1200,323051,581352,-6,1202,1224,1254,1365
A001020,페이퍼코리아,20180903,1225,1225,1190,1200,206426,573460,48,1200,1230,1257,1369
A001020,페이퍼코리아,20180831,1205,1245,1195,1215,493720,576196,-57,1199,1234,1260,1372
A001020,페이퍼코리아,20180830,1200,1230,1190,1195,143896,569590,4,1196,1238,1264,1375
A001020,페이퍼코리아,20180829,1190,1220,1185,1200,144550,568513,-16,1201,1242,1268,1377
A001020,페이퍼코리아,20180828,1205,1205,1185,1190,152060,567656,7,1200,1243,1272,1380
A001020,페이퍼코리아,20180827,1200,1210,1185,1195,132175,566611,8,1201,1245,1276,1383
A001020,페이퍼코리아,20180824,1225,1225,1190,1200,125958,555608,-27,1201,1245,1279,1386
A001020,페이퍼코리아,20180823,1190,1225,1180,1220,189546,563078,37,1205,1245,1284,1390
A001020,페이퍼코리아,20180822,1200,1205,1180,1195,276211,542622,-92,1210,1244,1288,1394
A001020,페이퍼코리아,20180821,1185,1220,1185,1195,186616,557991,11,1226,1248,1292,1398
A001020,페이퍼코리아,20180820,1230,1230,1190,1195,236021,567970,0,1233,1251,1296,1402
A001020,페이퍼코리아,20180817,1225,1250,1215,1220,153539,572631,41,1244,1258,1300,1407
A001020,페이퍼코리아,20180816,1260,1260,1200,1245,281448,569680,14,1255,1260,1306,1411
A001020,페이퍼코리아,20180814,1230,1350,1225,1275,1068466,577651,188,1264,1260,1310,1416
A001020,페이퍼코리아,20180813,1260,1270,1225,1230,92880,616716,143,1269,1257,1314,1420
A001020,페이퍼코리아,20180810,1290,1290,1245,1250,178715,621732,55,1284,1256,1318,1424
A001020,페이퍼코리아,20180809,1300,1300,1270,1275,159787,601248,89,1292,1254,1324,1427
A001020,페이퍼코리아,20180808,1310,1340,1285,1290,303390,610427,-13,1297,1252,1330,1431
A001020,페이퍼코리아,20180807,1320,1330,1285,1300,98516,548477,104,1291,1248,1335,1434
A001020,페이퍼코리아,20180806,1300,1330,1285,1305,232192,562362,3269,1278,1244,1340,1437
A001020,페이퍼코리아,20180803,1305,1455,1285,1290,2841472,556531,-50,1262,1237,1343,1440
A001020,페이퍼코리아,20180802,1265,1325,1250,1300,238204,584287,-126,1244,1232,1348,1444
A001020,페이퍼코리아,20180801,1245,1265,1235,1260,92240,586583,8,1222,1226,1353,1446
A001020,페이퍼코리아,20180731,1230,1240,1210,1235,62521,576664,0,1213,1224,1358,1449
A001020,페이퍼코리아,20180730,1200,1230,1195,1225,90684,584218,1,1221,1224,1364,1452
A001020,페이퍼코리아,20180727,1205,1230,1195,1200,164216,569543,-37,1226,1227,1368,1454
A001020,페이퍼코리아,20180726,1215,1240,1190,1190,208666,543027,48,1250,1234,1374,1457
A001020,페이퍼코리아,20180725,1250,1290,1195,1215,299026,517326,-249,1266,1240,1380,1459
A001020,페이퍼코리아,20180724,1250,1275,1215,1275,201072,519678,71,1270,1244,1385,1461
A001020,페이퍼코리아,20180723,1345,1350,1240,1250,348350,501699,-347,1260,1245,1390,1461
A001020,페이퍼코리아,20180720,1275,1365,1255,1320,1259583,546205,45,1253,1247,1396,1462
A001020,페이퍼코리아,20180719,1245,1380,1215,1270,1933585,565614,49,1231,1244,1400,1462
A001020,페이퍼코리아,20180718,1250,1320,1215,1235,638225,645840,-12,1221,1245,1402,1462
A001020,페이퍼코리아,20180717,1205,1230,1200,1225,92631,735754,300,1218,1248,1405,1463
A001020,페이퍼코리아,20180716,1200,1225,1200,1215,65490,727572,-34,1215,1252,1409,1463
A001020,페이퍼코리아,20180713,1240,1240,1195,1210,182833,757136,27,1207,1258,1412,1464
A001020,페이퍼코리아,20180712,1230,1240,1190,1220,92432,750500,-4,1202,1266,1415,1464
A001020,페이퍼코리아,20180711,1210,1240,1205,1220,61307,735765,519,1194,1273,1418,1465
A001020,페이퍼코리아,20180710,1185,1245,1185,1210,149980,745036,174,1196,1282,1420,1466
A001020,페이퍼코리아,20180709,1185,1200,1165,1175,72230,705469,4,1199,1293,1422,1467
A001020,페이퍼코리아,20180706,1185,1215,1160,1185,111660,705609,-11,1222,1304,1424,1468
A001020,페이퍼코리아,20180705,1250,1250,1160,1180,286198,695460,92,1254,1315,1427,1468
A001020,페이퍼코리아,20180704,1225,1290,1200,1230,206525,700868,-63,1277,1328,1430,1470
A001020,페이퍼코리아,20180703,1290,1290,1225,1225,194918,695300,0,1292,1338,1433,1470
A001020,페이퍼코리아,20180702,1350,1350,1265,1290,182422,707407,0,1306,1348,1436,1471
A001020,페이퍼코리아,20180629,1300,1350,1280,1345,228827,716679,0,1307,1356,1438,1470
A001020,페이퍼코리아,20180628,1310,1325,1265,1295,132384,700409,2,1291,1359,1440,1470
A001020,페이퍼코리아,20180627,1295,1315,1265,1305,161343,713947,0,1287,1366,1442,1469
A001020,페이퍼코리아,20180626,1295,1300,1260,1295,108268,729249,24,1288,1376,1443,1468
A001020,페이퍼코리아,20180625,1295,1305,1255,1295,103296,754185,36,1289,1381,1445,1467
A001020,페이퍼코리아,20180622,1265,1295,1240,1265,87344,721950,70,1295,1389,1447,1468
A001020,페이퍼코리아,20180621,1320,1320,1275,1275,155692,727372,39,1317,1400,1449,1469
A001020,페이퍼코리아,20180620,1285,1320,1260,1310,217542,753427,57,1334,1412,1452,1470
A001020,페이퍼코리아,20180619,1300,1365,1285,1300,205687,738616,43,1352,1422,1455,1470
A001020,페이퍼코리아,20180618,1375,1385,1295,1325,260797,704595,-118,1377,1432,1458,1471
A001020,페이퍼코리아,20180615,1370,1380,1340,1375,157601,681178,73,1392,1441,1462,1472
A001020,페이퍼코리아,20180614,1400,1410,1355,1360,305101,668708,-9248,1399,1452,1466,1473
A001020,페이퍼코리아,20180612,1425,1445,1390,1400,178945,746605,9255,1412,1466,1470,1474
A001020,페이퍼코리아,20180611,1390,1435,1380,1425,252107,819831,0,1418,1476,1474,1474
A001020,페이퍼코리아,20180608,1425,1425,1395,1400,207548,812055,0,1422,1484,1477,1475
A001020,페이퍼코리아,20180607,1435,1445,1410,1410,172195,824873,0,1428,1489,1480,1476
A001020,페이퍼코리아,20180605,1435,1465,1405,1425,207453,825859,0,1428,1497,1483,1478
A001020,페이퍼코리아,20180604,1500,1505,1420,1430,157575,840237,8,1432,1507,1486,1479
A001020,페이퍼코리아,20180601,1470,1520,1435,1445,311863,864582,-20,1446,1512,1487,1480
A001020,페이퍼코리아,20180531,1410,1450,1400,1430,197327,880880,239,1436,1518,1489,1481
A001020,페이퍼코리아,20180530,1445,1450,1395,1410,320618,845489,19,1440,1522,1491,1484
A001020,페이퍼코리아,20180529,1515,1515,1440,1445,243035,839413,0,1454,1528,1494,1486
A001020,페이퍼코리아,20180528,1435,1520,1415,1500,535745,855418,-18,1469,1533,1497,1487
A001020,페이퍼코리아,20180525,1395,1425,1365,1395,490796,768697,46,1471,1534,1499,1488
A001020,페이퍼코리아,20180524,1500,1500,1435,1450,443561,718201,0,1495,1542,1504,1490
A001020,페이퍼코리아,20180523,1500,1520,1475,1480,308604,803772,386,1503,1552,1509,1491
A001020,페이퍼코리아,20180521,1500,1575,1495,1520,426194,874429,-78,1526,1555,1513,1492
