stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001140,국보,20190129,12950,12950,12600,12650,14918,59531,-4,12940,12710,11995,12925
A001140,국보,20190128,13200,13200,12800,13000,15513,61123,-3,13050,12645,11959,12939
A001140,국보,20190125,13000,13150,12800,12950,7719,61026,-1,13120,12558,11914,12947
A001140,국보,20190124,13100,13200,12750,13000,9720,60078,176,13210,12458,11865,12965
A001140,국보,20190123,13200,13200,12650,13100,26358,59913,3,13280,12372,11808,12981
A001140,국보,20190122,13350,13550,13050,13200,17637,56492,-3,13430,12275,11767,12994
A001140,국보,20190121,13400,13650,13100,13350,12118,56854,8,13400,12160,11730,12995
A001140,국보,20190118,13350,13550,13100,13400,15892,56529,2,13330,12038,11692,12995
A001140,국보,20190117,13850,13850,13100,13350,30878,56586,-2,13230,11925,11663,12986
A001140,국보,20190116,12900,14150,12900,13850,59761,55636,1,13020,11822,11640,12985
A001140,국보,20190115,13000,13350,12600,13050,28168,53354,1898,12800,11725,11618,12979
A001140,국보,20190114,12900,13300,12550,13000,20032,52142,1,12640,11688,11612,12982
A001140,국보,20190111,12300,12900,12300,12900,24241,52398,7,12410,11642,11608,12990
A001140,국보,20190110,12900,12950,12250,12300,16869,49938,3,12190,11612,11600,13000
A001140,국보,20190109,12450,13600,12300,12750,101266,49861,6,12000,11628,11600,13024
A001140,국보,20190108,11800,12400,11800,12250,28402,51730,3,11670,11668,11588,13040
A001140,국보,20190107,12000,12500,11700,11850,15595,50527,8,11490,11730,11589,13061
A001140,국보,20190104,11450,12500,11350,11800,78767,50108,-2,11370,11838,11606,13076
A001140,국보,20190103,11100,11400,11000,11350,9633,56106,8,11200,11942,11638,13086
A001140,국보,20190102,11350,11450,11100,11100,11258,55406,-1,11190,12032,11687,13116
A001140,국보,20181228,11300,11450,11250,11350,5509,55894,8,11200,12108,11745,13144
A001140,국보,20181227,10950,11300,10950,11250,11712,55345,5,11110,12182,11798,13174
A001140,국보,20181226,11000,11300,10850,10950,8860,54252,3,11040,12210,11858,13209
A001140,국보,20181224,11150,11300,10900,11300,13781,56250,-27,11080,12255,11922,13242
A001140,국보,20181221,10800,11600,10800,11150,11578,58489,20,11080,12280,11987,13287
A001140,국보,20181220,10900,11100,10800,10900,19843,60011,6,11230,12308,12052,13327
A001140,국보,20181219,11200,11300,10600,10900,32396,58110,5,11510,12355,12116,13374
A001140,국보,20181218,11250,11500,10800,11150,14110,52758,5,11750,12395,12174,13432
A001140,국보,20181217,11550,11800,11000,11300,33209,51839,-123,11980,12418,12247,13492
A001140,국보,20181214,12300,12500,11800,11900,15533,47542,23,12240,12465,12332,13560
A001140,국보,20181213,12250,12450,11950,12300,25320,48498,28,12570,12390,12403,13634
A001140,국보,20181212,12200,12300,11950,12100,22171,44164,-15,12810,12290,12472,13720
A001140,국보,20181211,12750,12750,12000,12300,29527,43375,7,13190,12198,12558,13808
A001140,국보,20181210,13000,13200,12500,12600,28777,39896,2,13510,12102,12641,13918
A001140,국보,20181207,13800,13900,13350,13550,17158,38183,10,13620,11990,12711,14015
A001140,국보,20181206,14100,14100,13200,13500,18185,36864,4,13430,11842,12733,14101
A001140,국보,20181205,13700,14000,13500,14000,20029,41467,-2,13300,11700,12738,14202
A001140,국보,20181204,13400,14100,13000,13900,72994,46146,3468,12860,11518,12732,14324
A001140,국보,20181203,12600,13250,12550,13150,29773,45348,5,12450,11360,12727,14445
