stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001380,SG충방,20190129,2505,2590,2465,2530,758256,731406,-97,2504,2623,2229,2187
A001380,SG충방,20190128,2550,2555,2495,2510,371536,671512,-57,2491,2642,2213,2187
A001380,SG충방,20190125,2485,2580,2445,2550,715011,659846,-9,2494,2664,2197,2187
A001380,SG충방,20190124,2480,2500,2415,2455,403978,605787,-6,2481,2668,2179,2186
A001380,SG충방,20190123,2480,2565,2475,2475,528068,554603,35,2497,2676,2163,2187
A001380,SG충방,20190122,2525,2615,2440,2465,824436,559508,-121,2520,2699,2149,2187
A001380,SG충방,20190121,2490,2540,2425,2525,388668,556884,-491,2540,2719,2137,2187
A001380,SG충방,20190118,2535,2570,2480,2485,478054,412074,63,2546,2736,2126,2186
A001380,SG충방,20190117,2590,2650,2525,2535,559317,314669,-63,2559,2745,2117,2186
A001380,SG충방,20190116,2595,2600,2520,2590,558953,374808,36,2563,2758,2106,2185
A001380,SG충방,20190115,2600,2630,2535,2565,495743,340781,-156,2593,2760,2095,2185
A001380,SG충방,20190114,2550,2665,2520,2555,780724,352661,-49,2621,2739,2086,2185
A001380,SG충방,20190111,2555,2630,2490,2550,861722,373662,170,2678,2714,2074,2186
A001380,SG충방,20190110,2785,2785,2510,2555,1282387,177488,77,2768,2693,2062,2188
A001380,SG충방,20190109,2690,2825,2670,2740,1318043,189910,-18,2844,2681,2049,2189
A001380,SG충방,20190108,2870,2875,2670,2705,1277569,131755,63,2876,2655,2032,2188
A001380,SG충방,20190107,2850,2945,2805,2840,2771313,89032,256,2914,2630,2016,2188
A001380,SG충방,20190104,2950,3050,2820,3000,2835988,72868,-226,2938,2573,2000,2186
A001380,SG충방,20190103,2975,3050,2815,2935,3455459,53626,148,2862,2509,1983,2182
A001380,SG충방,20190102,3100,3120,2865,2900,2735603,59539,-74,2800,2449,1966,2178
A001380,SG충방,20181228,2850,3035,2830,2895,2112287,40216,-205,2808,2388,1951,2174
A001380,SG충방,20181227,2675,3030,2620,2960,8974995,49817,64,2800,2328,1938,2170
A001380,SG충방,20181226,2540,2715,2535,2620,2292664,49001,205,2780,2267,1924,2166
A001380,SG충방,20181224,2745,2800,2600,2625,3978679,102147,-672,2791,2224,1915,2165
A001380,SG충방,20181221,2900,3090,2805,2940,7638461,73924,-1086,2826,2177,1908,2165
A001380,SG충방,20181220,2815,3090,2770,2855,6724878,22536,-246,2764,2114,1894,2162
A001380,SG충방,20181219,2620,2945,2495,2860,12522112,94017,-4934,2620,2056,1882,2161
A001380,SG충방,20181218,2785,2795,2570,2675,5110890,81066,242,2458,1999,1869,2161
A001380,SG충방,20181217,2745,2960,2680,2800,17600223,93885,-327,2350,1952,1861,2163
A001380,SG충방,20181214,2200,2775,2185,2630,31119069,231465,-24725,2253,1899,1851,2162
A001380,SG충방,20181213,2075,2140,2040,2135,3376600,225694,961,2171,1851,1843,2162
A001380,SG충방,20181212,2215,2320,1980,2050,11386335,223624,964,2186,1826,1844,2166
A001380,SG충방,20181211,2260,2270,2110,2135,5061705,177673,628,2116,1805,1847,2172
A001380,SG충방,20181210,2220,2315,2185,2315,8978293,331465,108,2032,1777,1848,2177
A001380,SG충방,20181207,2270,2280,2160,2220,11285415,463861,234,1916,1742,1845,2181
A001380,SG충방,20181206,1705,2210,1705,2210,22403474,1221566,40,1809,1714,1844,2186
A001380,SG충방,20181205,1675,1760,1655,1700,446437,1431516,13,1708,1686,1843,2192
A001380,SG충방,20181204,1740,1745,1705,1715,215196,1428988,14,1715,1682,1851,2202
A001380,SG충방,20181203,1695,1800,1690,1735,624941,1428219,180,1724,1682,1859,2212
