stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001510,SK증권,20190129,733,734,721,729,1753297,37103899,-4268,736,700,702,804
A001510,SK증권,20190128,741,747,727,732,1932747,37054743,-35651,735,697,702,807
A001510,SK증권,20190125,748,748,735,740,1921865,36479184,-5528,738,692,702,810
A001510,SK증권,20190124,749,758,740,744,3756209,36675389,-28377,740,685,701,813
A001510,SK증권,20190123,718,738,717,735,1832767,37508645,4046,735,679,700,816
A001510,SK증권,20190122,745,749,721,725,3133308,37130501,6768,731,675,700,819
A001510,SK증권,20190121,750,762,744,748,3614363,37190783,413885,725,671,699,822
A001510,SK증권,20190118,723,752,723,746,6090843,37614241,289602,711,666,699,825
A001510,SK증권,20190117,717,726,714,720,4687377,37430755,814549,696,661,699,829
A001510,SK증권,20190116,695,720,695,717,5812544,37557513,-54126,685,658,699,832
A001510,SK증권,20190115,679,702,679,694,4692439,37623106,-39897,676,655,700,837
A001510,SK증권,20190114,671,687,668,678,3796203,37625272,-299699,671,653,700,840
A001510,SK증권,20190111,670,675,665,669,1596286,37462373,36586,669,652,701,843
A001510,SK증권,20190110,670,677,666,669,1833551,37519248,3495,666,650,703,846
A001510,SK증권,20190109,673,677,669,671,2223576,37785440,36168,660,649,704,849
A001510,SK증권,20190108,668,675,662,670,1878302,38129244,8533,658,649,706,851
A001510,SK증권,20190107,697,710,665,668,9381536,37909812,-1485,656,648,709,854
A001510,SK증권,20190104,640,657,631,650,2087099,39150614,62547,647,649,713,857
A001510,SK증권,20190103,664,669,639,641,2860476,38979144,51932,640,651,718,859
A001510,SK증권,20190102,665,678,655,661,3599749,39458558,-4507,638,654,723,862
A001510,SK증권,20181228,627,705,627,660,17752173,39517095,-230823,635,656,728,865
A001510,SK증권,20181227,619,629,617,625,1946723,39697167,33130,630,659,733,867
A001510,SK증권,20181226,619,625,612,612,1796121,39507846,90562,635,663,738,870
A001510,SK증권,20181224,643,644,621,630,4581516,38955734,-8137,643,667,745,873
A001510,SK증권,20181221,635,648,635,647,1441245,27539380,23028,649,671,751,876
A001510,SK증권,20181220,631,650,631,637,2248776,27292129,-14327,650,674,756,879
A001510,SK증권,20181219,655,655,648,650,917190,27014699,-14357,654,678,762,882
A001510,SK증권,20181218,655,660,647,650,971261,27273002,-50824,654,681,767,885
A001510,SK증권,20181217,647,665,645,663,1361752,27785455,593847,651,683,772,888
A001510,SK증권,20181214,660,662,645,651,978050,28063562,82775,649,686,778,891
A001510,SK증권,20181213,655,669,648,656,1621387,28226430,-491278,652,691,783,893
A001510,SK증권,20181212,637,652,637,650,846550,28017286,18780,653,695,788,896
A001510,SK증권,20181211,654,660,635,637,1574371,27972896,6593,659,701,794,899
A001510,SK증권,20181210,660,662,646,650,1361743,28389642,-17430,672,709,799,903
A001510,SK증권,20181207,659,672,659,667,1249440,28649055,-55296,682,716,804,906
A001510,SK증권,20181206,680,681,659,659,3595515,28767482,-187885,687,723,809,910
A001510,SK증권,20181205,690,696,683,683,3466668,28882223,-447437,699,730,814,913
A001510,SK증권,20181204,705,705,697,700,2367955,29186391,-42059,703,735,819,917
A001510,SK증권,20181203,701,709,696,702,2476617,29176083,-90636,704,740,823,920
A001510,SK증권,20181130,716,716,693,693,9899291,29151088,296983,705,744,828,924
A001510,SK증권,20181129,708,729,707,716,6078137,29820268,-83865,707,749,832,927
A001510,SK증권,20181128,705,710,701,703,2338649,28044325,-461574,705,751,836,930
A001510,SK증권,20181127,715,715,702,704,2095521,27564390,-311644,707,753,841,933
A001510,SK증권,20181126,701,713,701,710,1929023,27700457,-267361,707,752,846,937
A001510,SK증권,20181123,706,711,702,703,927605,26279484,7314,710,750,850,940
A001510,SK증권,20181122,715,716,702,706,3021695,25550800,-1000946,718,750,854,943
A001510,SK증권,20181121,694,715,693,714,3638685,25502241,-858694,724,750,858,947
A001510,SK증권,20181120,718,718,699,701,5381442,24581162,-609766,736,750,862,950
A001510,SK증권,20181119,741,741,722,724,5591990,24702675,-1388319,754,752,867,954
A001510,SK증권,20181116,736,746,728,744,3366425,24492328,12500,767,753,870,957
A001510,SK증권,20181115,776,776,728,736,4323489,22685351,-621933,778,753,874,960
A001510,SK증권,20181114,794,794,774,776,1911800,23193089,-165556,790,753,877,964
A001510,SK증권,20181113,777,792,764,792,1168190,23643582,-41212,794,751,880,967
A001510,SK증권,20181112,793,798,785,787,1216756,23189571,-45038,793,749,883,969
A001510,SK증권,20181109,798,805,795,800,1406407,23155064,-5815,794,746,886,972
A001510,SK증권,20181108,810,810,795,797,1680269,22714467,14991,792,748,889,975
A001510,SK증권,20181107,795,810,781,792,2268736,22519680,-37734,784,750,892,978
A001510,SK증권,20181106,790,807,784,790,1805933,22387429,-39921,774,756,895,981
A001510,SK증권,20181105,786,793,772,790,1615624,22358394,-28013,752,763,899,984
A001510,SK증권,20181102,765,797,760,793,2927321,22126928,17421,730,770,902,987
A001510,SK증권,20181101,740,771,737,757,2885578,21835979,-1951,712,778,906,990
A001510,SK증권,20181031,679,770,679,740,5028971,21704252,1848,700,788,911,993
A001510,SK증권,20181030,632,690,632,681,4121378,21288009,-709632,698,800,917,996
A001510,SK증권,20181029,707,722,671,678,2957622,20315202,100585,708,815,924,1000
A001510,SK증권,20181026,702,718,700,705,4156534,20634541,784755,722,830,931,1004
A001510,SK증권,20181025,707,713,696,698,3613283,19637643,-9284,728,844,938,1008
A001510,SK증권,20181024,733,739,722,729,1973200,19510822,-15462,737,858,945,1011
A001510,SK증권,20181023,741,744,728,731,2395801,19340354,7041,740,870,952,1014
