stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001520,동양,20190129,1945,1970,1920,1935,189982,18171284,-15926,1950,1986,1934,1893
A001520,동양,20190128,1955,1975,1935,1960,245474,18196843,48062,1946,1993,1928,1893
A001520,동양,20190125,1920,1975,1915,1960,312050,18223646,36534,1944,1996,1921,1892
A001520,동양,20190124,1980,2000,1925,1925,292501,18215230,-50845,1947,2001,1916,1892
A001520,동양,20190123,1920,1975,1910,1970,269599,18316368,94323,1953,2008,1909,1892
A001520,동양,20190122,1950,1955,1915,1915,293857,18306576,-67491,1951,2014,1903,1891
A001520,동양,20190121,1985,1990,1940,1950,268493,18240903,-5979,1971,2020,1900,1890
A001520,동양,20190118,1990,2000,1965,1975,157140,18241263,24647,1985,2024,1895,1890
A001520,동양,20190117,1970,1975,1945,1955,320669,18217566,-17374,1991,2026,1889,1888
A001520,동양,20190116,2010,2020,1960,1960,353202,18162011,-106237,2004,2032,1885,1887
A001520,동양,20190115,2030,2050,2005,2015,328245,18251647,-46652,2020,2035,1881,1886
A001520,동양,20190114,1990,2035,1985,2020,259757,18192031,-24719,2027,2030,1876,1884
A001520,동양,20190111,2025,2030,1975,2005,272317,18129028,-16829,2031,2028,1871,1883
A001520,동양,20190110,2030,2075,2020,2020,261358,18107520,-55179,2032,2026,1866,1882
A001520,동양,20190109,2035,2065,2035,2040,308125,18147224,-5620,2025,2023,1861,1881
A001520,동양,20190108,2070,2070,2025,2050,153877,18031549,41740,2024,2018,1856,1879
A001520,동양,20190107,2030,2075,2005,2040,215820,17983557,23998,2028,2014,1850,1878
A001520,동양,20190104,1985,2030,1985,2010,202024,17959494,62377,2024,2007,1846,1876
A001520,동양,20190103,2035,2055,1980,1985,280074,17889576,-9448,2035,2004,1844,1875
A001520,동양,20190102,2070,2080,2010,2035,301118,17647615,58169,2052,2003,1842,1874
A001520,동양,20181228,2020,2090,2020,2070,268023,17673217,43905,2062,1999,1840,1873
A001520,동양,20181227,2035,2080,2020,2020,339261,17575119,70927,2053,1993,1837,1872
A001520,동양,20181226,2065,2080,2015,2065,329647,17626719,145608,2058,1988,1836,1870
A001520,동양,20181224,2090,2090,2040,2070,247022,17941800,67260,2045,1981,1834,1869
A001520,동양,20181221,2055,2085,2025,2085,471867,18039933,105906,2045,1974,1832,1868
A001520,동양,20181220,2080,2080,2010,2025,389628,17939797,170824,2034,1964,1830,1867
A001520,동양,20181219,2020,2060,2005,2045,365741,17921521,65709,2013,1957,1828,1866
