stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001750,한양증권,20190129,6940,6970,6900,6940,7242,530955,1910,6900,6763,6934,7109
A001750,한양증권,20190128,6960,6990,6900,6940,7669,530955,1422,6864,6758,6933,7113
A001750,한양증권,20190125,6870,6980,6870,6960,5029,530955,-240,6836,6748,6929,7117
A001750,한양증권,20190124,6860,6930,6800,6860,11932,530955,-634,6806,6746,6925,7121
A001750,한양증권,20190123,6750,6850,6750,6800,7257,530955,-1,6786,6750,6925,7126
A001750,한양증권,20190122,6800,6810,6750,6760,8258,530955,614,6776,6757,6926,7131
A001750,한양증권,20190121,6810,6850,6740,6800,6185,530955,-737,6760,6768,6930,7137
A001750,한양증권,20190118,6760,6850,6760,6810,9082,530955,-3459,6736,6778,6935,7142
A001750,한양증권,20190117,6750,6840,6740,6760,5162,530955,984,6714,6790,6940,7147
A001750,한양증권,20190116,6720,6800,6700,6750,15955,530955,-4867,6696,6805,6946,7153
A001750,한양증권,20190115,6730,6750,6670,6680,10440,530955,-294,6686,6820,6951,7159
A001750,한양증권,20190114,6710,6710,6640,6680,4865,530955,-336,6686,6838,6958,7165
A001750,한양증권,20190111,6700,6710,6650,6700,5354,529567,-879,6686,6854,6966,7172
A001750,한양증권,20190110,6710,6710,6610,6670,6334,529567,1223,6682,6868,6972,7177
A001750,한양증권,20190109,6730,6730,6630,6700,9045,529567,689,6684,6884,6980,7182
A001750,한양증권,20190108,6770,6770,6630,6680,9531,529567,-252,6690,6902,6987,7186
A001750,한양증권,20190107,6740,6840,6650,6680,11261,529567,-1656,6720,6920,6994,7191
A001750,한양증권,20190104,6750,6750,6600,6680,12543,529567,-1523,6734,6940,7004,7196
A001750,한양증권,20190103,6790,6790,6610,6680,12023,529567,7836,6782,6963,7017,7200
A001750,한양증권,20190102,6800,6800,6650,6730,6116,529567,1281,6836,6986,7030,7205
A001750,한양증권,20181228,6800,6870,6690,6830,3160,529567,-474,6876,6999,7042,7209
A001750,한양증권,20181227,6930,6930,6690,6750,9970,529567,-90,6908,7011,7053,7213
A001750,한양증권,20181226,6880,7020,6850,6920,12039,530055,-95,6958,7023,7065,7217
A001750,한양증권,20181224,6900,6980,6900,6950,9243,550534,3,6980,7026,7075,7219
A001750,한양증권,20181221,6990,6990,6900,6930,10741,551103,-224,7004,7026,7083,7222
A001750,한양증권,20181220,7010,7020,6920,6990,7911,551548,-93,7026,7030,7091,7226
A001750,한양증권,20181219,6970,7030,6970,7000,2515,552001,-88,7040,7031,7098,7229
A001750,한양증권,20181218,7070,7070,6940,7030,9879,552363,-3015,7040,7028,7105,7232
A001750,한양증권,20181217,7050,7100,6970,7070,5103,576981,3437,7030,7028,7112,7235
A001750,한양증권,20181214,7080,7090,6950,7040,4341,578201,-101,7012,7028,7118,7238
A001750,한양증권,20181213,7010,7060,6950,7060,4320,578471,23,7014,7029,7125,7242
A001750,한양증권,20181212,7050,7050,6950,7000,3974,578259,-36,7014,7030,7130,7246
A001750,한양증권,20181211,6940,7000,6900,6980,6523,578190,-137,7030,7030,7135,7251
A001750,한양증권,20181210,7040,7040,6930,6980,6128,578409,-327,7060,7030,7141,7256
A001750,한양증권,20181207,7120,7120,7000,7050,2478,578413,-281,7090,7033,7146,7262
A001750,한양증권,20181206,7070,7090,6980,7060,6092,578413,33,7080,7034,7150,7268
A001750,한양증권,20181205,7030,7100,7000,7080,3733,578413,4,7082,7039,7156,7274
A001750,한양증권,20181204,7080,7200,7040,7130,10447,577928,-380,7064,7042,7160,7281
A001750,한양증권,20181203,7000,7150,7000,7130,12400,580797,28,7036,7041,7164,7287
A001750,한양증권,20181130,7010,7040,6910,7000,17207,580234,3,7000,7034,7166,7294
A001750,한양증권,20181129,7020,7070,7000,7070,9812,579650,4,6998,7038,7172,7300
A001750,한양증권,20181128,7050,7050,6950,6990,5567,579240,1,6988,7030,7178,7307
A001750,한양증권,20181127,7070,7080,6910,6990,8234,578991,-95,6980,7016,7184,7314
A001750,한양증권,20181126,6950,7070,6950,6950,4432,580512,-141,6984,7002,7190,7321
A001750,한양증권,20181123,7070,7070,6910,6990,2076,580513,-257,7010,6997,7197,7328
A001750,한양증권,20181122,7090,7100,6900,7020,4723,580513,338,7024,6992,7203,7336
A001750,한양증권,20181121,6990,7030,6940,6950,2733,580480,-60,7038,6990,7208,7343
A001750,한양증권,20181120,7060,7070,7010,7010,4656,580488,-21,7046,6997,7214,7350
A001750,한양증권,20181119,7080,7130,7000,7080,1453,580540,227,7038,7003,7218,7357
A001750,한양증권,20181116,7080,7080,7020,7060,1590,580489,-2,7032,7006,7222,7364
A001750,한양증권,20181115,6910,7090,6900,7090,4880,580489,-195,7034,7004,7226,7371
A001750,한양증권,20181114,7020,7020,6980,6990,552,580489,42,7048,7005,7229,7379
A001750,한양증권,20181113,7000,7000,6890,6970,3933,580489,-24,7078,7012,7234,7387
