stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001780,알루코,20190129,3100,3110,2995,3010,250712,1631669,-4098,3077,2971,2865,3163
A001780,알루코,20190128,3095,3145,3075,3090,176890,1665916,-6983,3093,2960,2860,3168
A001780,알루코,20190125,3120,3120,3075,3095,98157,1666183,-70,3101,2942,2852,3171
A001780,알루코,20190124,3080,3150,3075,3090,246812,1658428,1171,3097,2924,2843,3175
A001780,알루코,20190123,3060,3115,3045,3100,109753,1678549,83,3087,2908,2832,3178
A001780,알루코,20190122,3130,3175,3055,3090,203937,1668150,837,3089,2893,2825,3181
A001780,알루코,20190121,3150,3160,3095,3130,272993,1660506,5327,3061,2877,2821,3184
A001780,알루코,20190118,3040,3135,3040,3075,291975,1678099,201,3016,2857,2816,3186
A001780,알루코,20190117,3110,3130,3005,3040,285097,1645420,-136,2981,2840,2815,3187
A001780,알루코,20190116,2970,3245,2970,3110,1231497,1652471,8861,2947,2826,2816,3190
A001780,알루코,20190115,2915,3010,2905,2950,277995,1729971,710,2913,2810,2816,3193
A001780,알루코,20190114,2930,2940,2865,2905,139349,1726827,-383,2900,2804,2819,3198
A001780,알루코,20190111,2850,2920,2850,2900,115621,1747631,881,2877,2795,2822,3204
A001780,알루코,20190110,2950,2960,2865,2870,139945,1745262,423,2846,2787,2825,3209
A001780,알루코,20190109,2910,2990,2890,2940,296610,1750484,501,2834,2783,2828,3215
A001780,알루코,20190108,2800,2935,2800,2885,335366,1753729,44,2804,2781,2829,3220
A001780,알루코,20190107,2770,2840,2765,2790,142306,1691223,2701,2786,2778,2830,3225
A001780,알루코,20190104,2810,2810,2730,2745,139833,1664138,95,2775,2788,2838,3231
A001780,알루코,20190103,2775,2850,2760,2810,138842,1684407,6997,2772,2801,2851,3236
A001780,알루코,20190102,2830,2850,2775,2790,95287,1678520,-571,2766,2810,2863,3241
A001780,알루코,20181228,2720,2795,2720,2795,90198,1683200,-1592,2765,2812,2876,3246
A001780,알루코,20181227,2710,2775,2710,2735,77511,1658018,54,2760,2817,2891,3251
A001780,알루코,20181226,2700,2740,2680,2730,152658,1648452,1807,2761,2825,2908,3256
A001780,알루코,20181224,2795,2800,2715,2780,94554,1687925,-1114,2761,2834,2925,3262
A001780,알루코,20181221,2760,2825,2750,2785,111202,1697657,-1847,2759,2838,2942,3269
A001780,알루코,20181220,2720,2830,2690,2770,162913,1701964,9115,2759,2838,2959,3274
A001780,알루코,20181219,2720,2755,2695,2740,112890,1710306,-3055,2769,2837,2974,3282
A001780,알루코,20181218,2720,2780,2705,2730,155846,1716646,-42995,2767,2843,2990,3289
A001780,알루코,20181217,2740,2805,2705,2770,103996,1928517,5294,2769,2848,3008,3298
A001780,알루코,20181214,2800,2890,2750,2785,142255,1933950,-9710,2772,2851,3025,3306
A001780,알루코,20181213,2770,2825,2730,2820,147108,1945269,1411,2795,2848,3043,3315
A001780,알루코,20181212,2740,2765,2715,2730,111475,1897838,2091,2799,2843,3060,3325
A001780,알루코,20181211,2785,2815,2710,2740,195120,1900194,731,2847,2841,3078,3334
A001780,알루코,20181210,2820,2865,2770,2785,176381,1905933,140,2903,2841,3096,3345
A001780,알루코,20181207,2850,2940,2835,2900,158150,1916548,153,2942,2839,3115,3356
A001780,알루코,20181206,2950,2960,2835,2840,249025,1876824,160,2930,2837,3130,3367
A001780,알루코,20181205,2940,3025,2910,2970,150776,1908493,-63,2940,2837,3144,3380
A001780,알루코,20181204,2965,3075,2965,3020,224457,1901102,-305,2925,2826,3156,3394
A001780,알루코,20181203,2890,3050,2870,2980,342317,1873513,-13022,2902,2818,3169,3406
A001780,알루코,20181130,2925,2930,2840,2840,93914,1816771,-168,2878,2811,3182,3418
A001780,알루코,20181129,2925,3000,2890,2890,159254,1819980,93,2869,2812,3197,3433
A001780,알루코,20181128,2890,2910,2855,2895,105645,1814331,31,2841,2802,3211,3446
A001780,알루코,20181127,2845,2930,2840,2905,181264,1829158,36,2832,2788,3223,3460
A001780,알루코,20181126,2870,2915,2830,2860,238234,1795436,11,2819,2770,3234,3476
