stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A001820,삼화콘덴서,20190129,64000,67600,62400,66200,545903,983988,44494,62900,57185,58198,66961
A001820,삼화콘덴서,20190128,65600,66200,64000,64400,289673,1062637,-7948,61440,56535,58165,67162
A001820,삼화콘덴서,20190125,60000,65900,59700,65300,1055216,1098397,127013,60560,55935,58027,67368
A001820,삼화콘덴서,20190124,59200,59800,58700,59600,86640,878252,-1871,59340,55265,57893,67586
A001820,삼화콘덴서,20190123,58300,59600,56800,59000,139898,859720,22398,59200,54940,57835,67931
A001820,삼화콘덴서,20190122,60400,60700,58500,58900,163611,847831,7265,59480,54665,57825,68293
A001820,삼화콘덴서,20190121,59500,60400,58500,60000,233743,866409,26516,59400,54345,57880,68640
A001820,삼화콘덴서,20190118,59600,60600,58800,59200,231065,868295,17217,58460,54065,57945,68990
A001820,삼화콘덴서,20190117,59700,60700,58500,58900,302977,894108,28566,57940,53630,58083,69312
A001820,삼화콘덴서,20190116,59100,60800,58100,60400,346497,919582,16963,57420,53295,58300,69663
A001820,삼화콘덴서,20190115,55700,59800,55700,58500,499240,939280,30358,56500,52910,58465,70018
A001820,삼화콘덴서,20190114,56000,56500,54600,55300,210001,909808,9057,54720,52825,58628,70389
A001820,삼화콘덴서,20190111,56700,58400,56300,56600,306636,895397,9828,53680,52880,58867,70799
A001820,삼화콘덴서,20190110,56300,57500,55200,56300,544976,898754,4293,52000,52785,59067,71202
A001820,삼화콘덴서,20190109,50500,56600,50400,55800,881949,899709,60261,50580,52725,59202,71629
A001820,삼화콘덴서,20190108,50400,51000,49600,49600,154631,796501,4072,49860,52905,59343,72043
A001820,삼화콘덴서,20190107,49400,50300,49100,50100,192633,791915,10938,50580,53355,59513,72501
A001820,삼화콘덴서,20190104,49100,49350,46400,48200,329405,748112,-33321,51040,53965,59742,72942
A001820,삼화콘덴서,20190103,52300,53300,48900,49200,395715,727650,-7216,51780,54740,60047,73373
A001820,삼화콘덴서,20190102,54100,54600,52000,52200,146194,793839,-139,52560,55480,60350,73732
A001820,삼화콘덴서,20181228,52700,54400,52700,53200,141785,791017,9477,52820,55940,60653,74050
A001820,삼화콘덴서,20181227,53700,54400,52400,52400,148662,770251,4915,52680,56370,60947,74359
A001820,삼화콘덴서,20181226,51300,53000,51100,51900,191893,780060,6160,53080,56910,61260,74714
A001820,삼화콘덴서,20181224,53000,54400,52500,53100,137413,796386,1615,52800,57425,61637,75031
A001820,삼화콘덴서,20181221,51900,55200,51700,53500,334145,795536,4870,52620,57720,62077,75318
A001820,삼화콘덴서,20181220,53800,54200,52300,52500,270732,787015,18726,52460,57950,62532,75608
A001820,삼화콘덴서,20181219,50900,58000,50800,54400,1027874,836635,-1541,53320,58280,62968,75900
A001820,삼화콘덴서,20181218,51500,51600,50000,50500,296201,832339,-49558,53720,58560,63402,76187
A001820,삼화콘덴서,20181217,52300,53200,51100,52200,202295,798701,-4781,54560,58980,63923,76508
A001820,삼화콘덴서,20181214,56400,56800,52600,52700,341991,779768,-96854,55140,59375,64372,76831
A001820,삼화콘덴서,20181213,56100,57100,55700,56800,142148,774696,-15994,56480,59700,64842,77171
A001820,삼화콘덴서,20181212,54800,56600,54800,56400,126612,770803,-534,56840,59880,65238,77481
A001820,삼화콘덴서,20181211,56000,56200,54500,54700,158908,752601,-27873,58020,60010,65665,77727
A001820,삼화콘덴서,20181210,57900,58200,55100,55100,357312,708203,-72696,59820,60215,66162,77998
A001820,삼화콘덴서,20181207,59500,60000,58300,59400,146382,747615,15661,61600,60405,66625,78309
A001820,삼화콘덴서,20181206,62200,63000,58500,58600,242667,758646,-32491,62000,60510,66998,78593
A001820,삼화콘덴서,20181205,61700,62800,61600,62300,173516,767824,19970,62640,60805,67423,78821
A001820,삼화콘덴서,20181204,63800,64200,62300,63700,218416,780958,41824,62820,60890,67805,78995
A001820,삼화콘덴서,20181203,62700,64400,61900,64000,338128,783738,68078,62520,60940,68177,79170
A001820,삼화콘덴서,20181130,62200,63300,60800,61400,198736,786982,11575,61520,61150,68513,79328
A001820,삼화콘덴서,20181129,65100,65600,61800,61800,412470,828212,2459,60860,61470,68957,79441
A001820,삼화콘덴서,20181128,62700,63400,60700,63200,323894,837631,-1495,60320,61590,69388,79548
A001820,삼화콘덴서,20181127,60100,62500,59700,62200,562565,821043,13173,59680,61235,69815,79649
A001820,삼화콘덴서,20181126,58100,60300,57800,59000,211040,774368,-1516,59020,60990,70232,79725
A001820,삼화콘덴서,20181123,59200,60800,57700,58100,232003,740758,3982,59240,60845,70718,79839
A001820,삼화콘덴서,20181122,60300,60700,59000,59100,142867,739203,-15811,59460,60860,71133,79955
A001820,삼화콘덴서,20181121,58300,60600,57100,60000,252878,733330,14109,59720,61015,71540,80072
A001820,삼화콘덴서,20181120,58600,59600,58300,58900,232991,708229,-39450,59520,61210,71918,80168
A001820,삼화콘덴서,20181119,59800,61000,59400,60100,249542,637067,-416,59500,61640,72293,80266
A001820,삼화콘덴서,20181116,60700,60900,59200,59200,220567,622245,-4029,59260,62230,72525,80362
A001820,삼화콘덴서,20181115,58400,60400,58000,60400,266434,653625,-6978,59720,62785,72772,80493
A001820,삼화콘덴서,20181114,58400,60500,58200,59000,285545,690642,-9246,60540,63180,73053,80612
A001820,삼화콘덴서,20181113,57000,58800,55500,58800,351777,715680,-35489,61540,63710,73287,80706
A001820,삼화콘덴서,20181112,60200,61300,58700,58900,313977,717429,-37734,62720,64200,73592,80822
A001820,삼화콘덴서,20181109,64600,64600,60300,61500,421751,725505,-65768,64580,64475,73873,80948
A001820,삼화콘덴서,20181108,66000,66700,64500,64500,291729,796819,-31914,65840,64615,74187,81044
A001820,삼화콘덴서,20181107,64900,66200,61200,64000,302335,808411,4026,65780,64380,74435,81092
A001820,삼화콘덴서,20181106,68200,68200,63800,64700,574973,832096,-68780,64200,64370,74750,81135
A001820,삼화콘덴서,20181105,67000,68300,65700,68200,237746,952499,-3941,62720,64460,75035,81187
