stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A002170,삼양통상,20190129,43700,43700,43250,43700,1225,154610,380,43530,42825,42382,41615
A002170,삼양통상,20190128,43550,43650,42800,43650,2206,154586,899,43390,42775,42318,41599
A002170,삼양통상,20190125,43700,43700,42700,43400,1517,154479,316,43200,42712,42248,41584
A002170,삼양통상,20190124,43500,43800,43100,43550,2741,154491,49,43120,42662,42182,41567
A002170,삼양통상,20190123,43000,43500,43000,43350,4259,154230,504,43010,42620,42095,41548
A002170,삼양통상,20190122,43150,43150,42850,43000,2384,152875,-1,42970,42592,42041,41527
A002170,삼양통상,20190121,43000,43300,42700,42700,3468,151828,-69,42980,42590,41994,41511
A002170,삼양통상,20190118,43200,43350,42950,43000,1660,151625,-7,43050,42602,41938,41499
A002170,삼양통상,20190117,43150,43150,42700,43000,1198,151401,-52,43010,42580,41878,41479
A002170,삼양통상,20190116,43050,43250,43000,43150,1388,151274,-133,42920,42558,41836,41458
A002170,삼양통상,20190115,43050,43350,43050,43050,1748,151046,189,42690,42538,41799,41432
A002170,삼양통상,20190114,42550,43100,42550,43050,2232,150761,305,42570,42538,41758,41407
A002170,삼양통상,20190111,43100,43100,42400,42800,1422,149913,120,42360,42530,41728,41382
A002170,삼양통상,20190110,41900,42550,41900,42550,6003,149742,2919,42200,42502,41703,41360
A002170,삼양통상,20190109,42000,42450,41950,42000,2516,149588,1662,42090,42490,41680,41340
A002170,삼양통상,20190108,41950,42450,41800,42450,1347,150368,1015,42110,42538,41680,41324
A002170,삼양통상,20190107,41550,42250,41550,42000,2172,151299,1013,42160,42562,41658,41303
A002170,삼양통상,20190104,41500,42400,41050,42000,2399,151992,682,42240,42610,41675,41286
A002170,삼양통상,20190103,42150,42450,41600,42000,7244,152990,6013,42320,42670,41707,41261
A002170,삼양통상,20190102,42700,42700,42100,42100,1475,153349,709,42460,42718,41724,41246
A002170,삼양통상,20181228,42250,42950,42200,42700,933,153375,608,42600,42760,41716,41223
A002170,삼양통상,20181227,41650,42400,41650,42400,503,153432,291,42650,42758,41685,41196
A002170,삼양통상,20181226,42650,42650,41550,42400,9595,153501,2414,42760,42735,41658,41175
A002170,삼양통상,20181224,42800,42850,42450,42700,529,155942,23,42790,42720,41624,41148
A002170,삼양통상,20181221,42950,43300,42500,42800,4629,156703,79,42760,42680,41585,41130
A002170,삼양통상,20181220,42550,42950,42150,42950,1123,156829,305,42750,42640,41546,41111
A002170,삼양통상,20181219,42550,43350,41600,42950,2740,157359,998,42770,42608,41501,41092
A002170,삼양통상,20181218,42150,42600,42150,42550,1308,157003,759,42760,42558,41460,41081
A002170,삼양통상,20181217,42100,42750,42100,42550,2131,156975,1253,42700,42515,41425,41067
A002170,삼양통상,20181214,43050,43250,42250,42750,1299,156934,-37,42650,42498,41390,41050
A002170,삼양통상,20181213,42950,44150,42950,43050,2825,157280,468,42690,42435,41352,41033
A002170,삼양통상,20181212,42900,43050,42350,42900,2766,157408,1371,42670,42348,41306,41020
A002170,삼양통상,20181211,42200,42800,41850,42250,3795,157299,2407,42680,42272,41259,41007
A002170,삼양통상,20181210,42600,43050,42150,42300,3930,157211,1904,42870,42198,41232,40999
A002170,삼양통상,20181207,42550,43250,42550,42950,1806,157110,-61,43000,42140,41196,41005
A002170,삼양통상,20181206,42650,42950,42150,42950,3526,156733,1327,43000,42045,41150,41005
A002170,삼양통상,20181205,42950,43000,42600,42950,3976,156324,217,42940,41958,41105,41012
A002170,삼양통상,20181204,42950,43250,42650,43200,2766,155929,1209,42740,41870,41062,41020
A002170,삼양통상,20181203,42950,43100,42800,42950,2381,155813,49,42520,41795,41019,41026
A002170,삼양통상,20181130,42950,43200,42300,42950,5947,155576,4615,42310,41692,40970,41037
A002170,삼양통상,20181129,41950,42750,41900,42650,4107,155215,1959,42120,41560,40926,41048
A002170,삼양통상,20181128,42400,42400,41550,41950,3275,154794,-594,42050,41420,40893,41062
A002170,삼양통상,20181127,41900,42400,41300,42100,3819,154969,1094,42050,41298,40872,41078
A002170,삼양통상,20181126,41500,42000,40900,41900,3008,154627,905,41970,41165,40854,41094
A002170,삼양통상,20181123,42300,42550,41750,42000,1837,154490,-131,42030,40985,40838,41115
A002170,삼양통상,20181122,41550,42400,41350,42300,5324,154478,3143,41930,40890,40822,41138
A002170,삼양통상,20181121,41050,41950,41050,41950,3493,154220,1537,41730,40785,40802,41155
A002170,삼양통상,20181120,41650,42150,41650,41700,1508,154256,8,41620,40652,40789,41172
A002170,삼양통상,20181119,41500,42250,41300,42200,4068,154115,902,41430,40540,40781,41190
A002170,삼양통상,20181116,41300,41550,40850,41500,3154,153859,847,41220,40452,40765,41208
A002170,삼양통상,20181115,41500,41750,40600,41300,6215,153036,1900,41130,40425,40772,41235
A002170,삼양통상,20181114,41250,41400,40700,41400,1919,153593,354,41110,40390,40771,41259
A002170,삼양통상,20181113,41450,41450,40700,40750,5191,153708,4421,41070,40380,40764,41280
A002170,삼양통상,20181112,40550,41700,40550,41150,909,154090,415,41260,40410,40768,41310
A002170,삼양통상,20181109,41200,41200,40750,41050,304,154269,18,41210,40410,40778,41352
A002170,삼양통상,20181108,41200,41650,40600,41200,1158,154281,-386,41060,40458,40791,41398
A002170,삼양통상,20181107,42000,42050,40250,41200,1871,154289,990,40790,40452,40802,41437
A002170,삼양통상,20181106,40800,41700,40300,41700,2664,154782,1012,40450,40545,40804,41468
A002170,삼양통상,20181105,40750,41000,39900,40900,1794,154297,845,40000,40655,40801,41493
A002170,삼양통상,20181102,40250,40300,39800,40300,4101,154489,1368,39480,40762,40822,41525
A002170,삼양통상,20181101,39850,40450,39650,39850,5509,154108,198,39440,40828,40848,41555
A002170,삼양통상,20181031,39050,39550,38950,39500,9724,153581,7806,39510,40878,40881,41589
A002170,삼양통상,20181030,38200,39900,38000,39450,10457,153233,4143,39470,40942,40919,41625
A002170,삼양통상,20181029,40150,40150,38050,38300,10448,153660,5315,39470,40988,40952,41663
A002170,삼양통상,20181026,40250,40350,39000,40100,4658,154064,1016,39900,41090,41000,41719
A002170,삼양통상,20181025,38050,40400,37900,40200,6413,155175,373,40070,41108,41012,41755
A002170,삼양통상,20181024,39450,39950,39300,39300,1352,155785,423,40150,41110,41028,41790
A002170,삼양통상,20181023,40100,40450,39450,39450,4436,156179,10,40530,41170,41061,41830
A002170,삼양통상,20181022,40950,40950,40350,40450,2845,156779,6,40910,41220,41080,41879
A002170,삼양통상,20181019,40600,41000,40200,40950,3260,157124,-841,41050,41220,41081,41912
A002170,삼양통상,20181018,40950,41400,40000,40600,3234,156610,379,41260,41195,41065,41936
A002170,삼양통상,20181017,41350,41600,40900,41200,3756,156900,395,41360,41180,41055,41962
A002170,삼양통상,20181016,41150,41650,40850,41350,3461,156860,155,41730,41125,41037,41979
A002170,삼양통상,20181015,41950,42000,41000,41150,5195,157802,-117,42240,41088,41016,41994
A002170,삼양통상,20181012,41000,42000,40700,42000,6682,158319,325,42620,41038,41001,42014
A002170,삼양통상,20181011,41500,42200,41000,41100,11853,158997,1176,42540,40948,40968,42027
A002170,삼양통상,20181010,43900,44150,42600,43050,6668,158004,190,42490,40905,40948,42050
A002170,삼양통상,20181008,43250,45000,42950,43900,27256,158267,1142,42040,40772,40897,42058
A002170,삼양통상,20181005,41650,43400,41600,43050,13270,157889,446,41330,40608,40816,42057
A002170,삼양통상,20181004,40900,41850,40850,41600,6959,157858,472,40790,40455,40768,42068
A002170,삼양통상,20181002,40900,40900,40700,40850,1350,157696,386,40560,40390,40731,42094
A002170,삼양통상,20181001,40350,40800,40350,40800,3460,157680,443,40440,40382,40708,42125
A002170,삼양통상,20180928,40400,41000,40050,40350,5942,157548,-38,40380,40378,40692,42160
A002170,삼양통상,20180927,40450,40500,40150,40350,3096,159892,473,40400,40410,40671,42202
A002170,삼양통상,20180921,40000,40450,40000,40450,1702,160995,208,40420,40440,40675,42252
A002170,삼양통상,20180920,40500,40500,40200,40250,1610,161185,403,40420,40468,40676,42304
A002170,삼양통상,20180919,40450,40550,40150,40500,3038,161776,-66,40430,40510,40684,42341
A002170,삼양통상,20180918,40400,40450,40200,40450,1537,161776,476,40350,40545,40702,42375
A002170,삼양통상,20180917,40400,40550,40200,40450,2135,161922,628,40380,40582,40708,42404
A002170,삼양통상,20180914,40600,40600,40300,40450,709,161918,-151,40320,40622,40711,42433
A002170,삼양통상,20180913,40100,40550,40100,40300,1963,161836,244,40270,40698,40714,42470
A002170,삼양통상,20180912,40750,40750,39850,40100,4592,161744,758,40260,40742,40734,42508
A002170,삼양통상,20180911,40150,40650,40150,40600,1286,161542,477,40320,40788,40754,42545
A002170,삼양통상,20180910,40200,40400,40100,40150,5040,161568,-625,40320,40808,40766,42580
A002170,삼양통상,20180907,40650,40650,40200,40200,519,161619,-46,40290,40888,40813,42619
A002170,삼양통상,20180906,40150,40400,40150,40250,2612,161619,-603,40310,40968,40860,42657
A002170,삼양통상,20180905,40050,40550,40050,40400,1891,161662,54,40400,41048,40920,42691
A002170,삼양통상,20180904,39800,40700,39800,40600,2468,161882,-187,40460,41095,40978,42724
A002170,삼양통상,20180903,40300,40450,39900,40000,2550,161815,125,40540,41140,41033,42755
A002170,삼양통상,20180831,40350,40650,40150,40300,1908,162011,306,40730,41248,41104,42788
A002170,삼양통상,20180830,40700,41000,40550,40700,735,162011,137,40870,41328,41171,42819
A002170,삼양통상,20180829,40550,40850,40550,40700,2834,162043,-2091,40950,41382,41230,42842
A002170,삼양통상,20180828,40500,41200,40450,41000,5382,161305,-3267,41050,41438,41283,42862
