stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A002250,알보젠코리아,20190129,28400,28400,28200,28350,829,0,-278,28240,28145,28131,27646
A002250,알보젠코리아,20190128,28600,28600,28350,28350,3655,0,-538,28190,28128,28106,27635
A002250,알보젠코리아,20190125,28150,28250,28150,28200,3796,0,247,28130,28118,28080,27625
A002250,알보젠코리아,20190124,28800,28800,28100,28200,1890,0,591,28130,28110,28055,27615
A002250,알보젠코리아,20190123,28350,28350,27900,28100,3711,0,-379,28120,28112,28032,27605
A002250,알보젠코리아,20190122,28200,28200,28000,28100,444,0,-123,28130,28145,28012,27595
A002250,알보젠코리아,20190121,28250,28300,28050,28050,1569,0,-15,28140,28175,27991,27585
A002250,알보젠코리아,20190118,28300,28300,28000,28200,1297,0,786,28140,28212,27978,27576
A002250,알보젠코리아,20190117,28150,28150,28000,28150,663,0,-16,28120,28245,27961,27566
A002250,알보젠코리아,20190116,28100,28150,27950,28150,3679,0,2751,28100,28282,27948,27557
A002250,알보젠코리아,20190115,28200,28200,28000,28150,930,0,723,28080,28318,27932,27548
A002250,알보젠코리아,20190114,28000,28150,27900,28050,1104,0,170,28080,28355,27922,27539
A002250,알보젠코리아,20190111,28050,28100,27950,28100,605,0,177,28110,28398,27908,27531
A002250,알보젠코리아,20190110,28000,28050,27850,28050,2666,0,1602,28110,28440,27892,27525
A002250,알보젠코리아,20190109,28100,28200,27950,28050,632,0,178,28120,28452,27878,27520
A002250,알보젠코리아,20190108,28100,28150,28050,28150,264,0,19,28130,28452,27862,27514
A002250,알보젠코리아,20190107,28100,28200,27900,28200,1016,0,222,28100,28448,27843,27507
A002250,알보젠코리아,20190104,27950,28200,27950,28100,811,0,-159,28090,28432,27823,27500
A002250,알보젠코리아,20190103,27900,28150,27900,28100,1530,0,748,28080,28405,27808,27490
A002250,알보젠코리아,20190102,28000,28250,27800,28100,1422,0,594,28110,28420,27793,27483
A002250,알보젠코리아,20181228,28150,28200,27800,28000,677,0,207,28240,28438,27778,27475
A002250,알보젠코리아,20181227,28050,28250,27750,28150,1285,0,-90,28380,28458,27765,27468
A002250,알보젠코리아,20181226,28250,28250,28000,28050,534,0,147,28510,28472,27751,27460
A002250,알보젠코리아,20181224,28650,28650,28000,28250,11047,0,-25,28670,28498,27732,27451
A002250,알보젠코리아,20181221,28650,28750,28400,28750,3980,0,-190,28800,28510,27712,27442
A002250,알보젠코리아,20181220,28850,28850,28600,28700,1575,0,22,28820,28495,27687,27431
A002250,알보젠코리아,20181219,28750,28800,28400,28800,1719,0,24,28860,28490,27663,27418
A002250,알보젠코리아,20181218,28850,28850,28700,28850,779,0,27,28880,28480,27640,27405
A002250,알보젠코리아,20181217,28750,28900,28750,28900,935,0,-345,28900,28480,27616,27392
A002250,알보젠코리아,20181214,28600,28900,28600,28850,2262,0,156,28780,28470,27590,27378
A002250,알보젠코리아,20181213,28900,28900,28800,28900,14475,0,-9295,28620,28470,27565,27367
A002250,알보젠코리아,20181212,28850,28900,28500,28900,7354,0,-3365,28450,28390,27538,27355
A002250,알보젠코리아,20181211,28550,29250,28250,28950,11398,0,-1189,28250,28290,27512,27344
A002250,알보젠코리아,20181210,28100,28300,27900,28300,2501,0,19,27970,28192,27483,27332
A002250,알보젠코리아,20181207,27950,28200,27700,28050,1488,0,58,27990,28128,27466,27326
A002250,알보젠코리아,20181206,27650,28300,27500,28050,4294,0,722,28070,28072,27450,27322
A002250,알보젠코리아,20181205,27550,27900,27550,27900,1136,0,-68,28140,28015,27437,27318
A002250,알보젠코리아,20181204,28800,28800,27500,27550,13866,0,6460,28250,27965,27422,27315
A002250,알보젠코리아,20181203,28700,28700,28350,28400,528,0,42,28450,27940,27418,27316
A002250,알보젠코리아,20181130,28400,28550,28400,28450,725,0,3,28470,27872,27402,27309
A002250,알보젠코리아,20181129,28450,28450,28350,28400,2167,0,13,28470,27810,27384,27302
A002250,알보젠코리아,20181128,28400,28600,28300,28450,528,0,3,28510,27732,27363,27294
A002250,알보젠코리아,20181127,28400,28550,28350,28550,249,0,4,28540,27650,27342,27284
A002250,알보젠코리아,20181126,28450,28500,28400,28500,1804,0,47,28600,27558,27318,27274
A002250,알보젠코리아,20181123,28700,28700,27950,28450,4573,0,134,28640,27475,27295,27264
A002250,알보젠코리아,20181122,28800,28800,28550,28600,2318,0,-18,28720,27395,27272,27256
A002250,알보젠코리아,20181121,28800,28800,28600,28600,2094,0,-151,28460,27308,27250,27246
A002250,알보젠코리아,20181120,28700,28850,28350,28850,6563,0,-3741,28120,27240,27228,27238
A002250,알보젠코리아,20181119,28850,28850,28250,28700,5149,0,-532,27750,27158,27199,27225
A002250,알보젠코리아,20181116,27650,29350,27300,28850,26887,0,-8174,27410,27090,27172,27216
A002250,알보젠코리아,20181115,27050,27500,26900,27300,2900,0,1047,27030,27010,27144,27206
A002250,알보젠코리아,20181114,27000,27000,26900,26900,184,0,4,26950,27020,27142,27208
A002250,알보젠코리아,20181113,27000,27000,26850,27000,46,0,3,26950,27035,27147,27213
A002250,알보젠코리아,20181112,26850,27000,26850,27000,202,0,148,26960,27045,27150,27217
A002250,알보젠코리아,20181109,26900,26950,26750,26950,754,0,469,26970,27052,27152,27222
A002250,알보젠코리아,20181108,26850,26900,26750,26900,67,0,7,27020,27062,27156,27224
A002250,알보젠코리아,20181107,26850,26900,26700,26900,826,0,315,27010,27068,27159,27227
A002250,알보젠코리아,20181106,27050,27100,26750,27050,466,0,-61,26990,27072,27162,27230
A002250,알보젠코리아,20181105,26700,27100,26700,27050,3358,0,1203,26920,27080,27165,27232
A002250,알보젠코리아,20181102,26850,27300,26850,27200,390,0,-92,26880,27088,27166,27234
A002250,알보젠코리아,20181101,26800,26850,26650,26850,14076,0,13049,26810,27085,27161,27236
A002250,알보젠코리아,20181031,26950,27000,26500,26800,5152,0,2938,26810,27105,27163,27241
A002250,알보젠코리아,20181030,26800,26800,26550,26700,4952,0,3773,26900,27130,27170,27246
A002250,알보젠코리아,20181029,26700,27000,26700,26850,2266,0,2024,27000,27142,27175,27254
A002250,알보젠코리아,20181026,26900,27000,26500,26850,10087,0,1419,27100,27150,27177,27260
A002250,알보젠코리아,20181025,27000,27250,26800,26850,11694,0,8384,27180,27170,27178,27265
A002250,알보젠코리아,20181024,27300,27300,27000,27250,1529,0,26,27310,27192,27179,27270
A002250,알보젠코리아,20181023,27500,27500,27100,27200,120,0,-24,27300,27200,27175,27272
A002250,알보젠코리아,20181022,27200,27350,27150,27350,198,0,8,27300,27210,27172,27276
A002250,알보젠코리아,20181019,27150,27450,27150,27250,110,0,85,27260,27210,27167,27279
A002250,알보젠코리아,20181018,27050,27500,27050,27500,348,0,2,27240,27215,27163,27282
A002250,알보젠코리아,20181017,27150,27200,27150,27200,115,0,2,27140,27205,27157,27285
A002250,알보젠코리아,20181016,27150,27200,27100,27200,66,0,12,27100,27212,27155,27289
A002250,알보젠코리아,20181015,27000,27150,26950,27150,190,0,48,27100,27212,27158,27294
A002250,알보젠코리아,20181012,27200,27200,26950,27150,338,0,83,27110,27218,27162,27298
A002250,알보젠코리아,20181011,27000,28500,26850,27000,2124,0,118,27110,27215,27166,27303
A002250,알보젠코리아,20181010,27200,27250,27000,27000,2559,0,63,27160,27228,27171,27310
A002250,알보젠코리아,20181008,27200,27200,27000,27200,540,0,488,27220,27230,27176,27317
A002250,알보젠코리아,20181005,27150,27200,26950,27200,473,0,255,27170,27232,27172,27319
A002250,알보젠코리아,20181004,26950,27250,26950,27150,82,0,44,27130,27248,27173,27325
A002250,알보젠코리아,20181002,27400,27400,26950,27250,377,0,116,27150,27258,27172,27331
A002250,알보젠코리아,20181001,26950,27300,26950,27300,279,0,48,27160,27252,27171,27333
A002250,알보젠코리아,20180928,27100,27100,26950,26950,4145,0,998,27180,27245,27169,27340
A002250,알보젠코리아,20180927,27250,27250,27000,27000,2938,0,785,27270,27255,27169,27349
A002250,알보젠코리아,20180921,27300,27350,27150,27250,438,0,136,27340,27260,27172,27358
A002250,알보젠코리아,20180920,27400,27400,27250,27300,413,0,6,27360,27252,27175,27365
A002250,알보젠코리아,20180919,27400,27400,27150,27400,1811,0,1,27360,27250,27173,27368
A002250,알보젠코리아,20180918,27350,27400,27150,27400,443,0,7,27350,27245,27170,27372
A002250,알보젠코리아,20180917,27350,27400,27350,27350,339,0,1,27310,27230,27168,27377
A002250,알보젠코리아,20180914,27300,27350,27150,27350,1764,0,-9,27290,27218,27167,27381
A002250,알보젠코리아,20180913,27350,27350,27200,27300,1112,0,331,27240,27208,27169,27388
A002250,알보젠코리아,20180912,27200,27450,27000,27350,1352,0,230,27230,27200,27172,27395
A002250,알보젠코리아,20180911,27200,27250,26950,27200,2223,0,114,27170,27192,27175,27400
A002250,알보젠코리아,20180910,27100,27300,27000,27250,1886,0,386,27180,27192,27182,27405
A002250,알보젠코리아,20180907,26800,27200,26800,27100,2049,0,198,27230,27188,27186,27410
A002250,알보젠코리아,20180906,27000,27250,26600,27250,4510,0,103,27280,27190,27194,27415
A002250,알보젠코리아,20180905,27200,27200,26700,27050,9406,0,3662,27260,27182,27199,27421
A002250,알보젠코리아,20180904,27250,27350,26900,27250,2300,0,99,27280,27185,27208,27428
A002250,알보젠코리아,20180903,27350,27550,27350,27500,2595,0,0,27260,27182,27214,27434
A002250,알보젠코리아,20180831,27200,27350,27150,27350,2119,0,205,27180,27162,27216,27439
A002250,알보젠코리아,20180830,27000,27150,27000,27150,619,0,0,27130,27140,27220,27445
A002250,알보젠코리아,20180829,27300,27300,26950,27150,707,0,0,27150,27132,27224,27450
A002250,알보젠코리아,20180828,27000,27250,27000,27150,1372,0,550,27180,27135,27227,27457
A002250,알보젠코리아,20180827,27100,27100,26950,27100,498,0,0,27170,27128,27229,27464
A002250,알보젠코리아,20180824,26950,27100,26750,27100,445,0,95,27170,27120,27233,27471
A002250,알보젠코리아,20180823,27300,27450,26800,27250,347,0,105,27180,27110,27240,27478
A002250,알보젠코리아,20180822,27150,27350,27150,27300,575,0,477,27160,27095,27242,27485
A002250,알보젠코리아,20180821,27000,27100,26900,27100,675,0,469,27140,27080,27247,27490
A002250,알보젠코리아,20180820,27400,27400,26800,27100,229,0,105,27160,27075,27250,27496
A002250,알보젠코리아,20180817,27150,27200,26850,27150,322,0,221,27170,27072,27260,27503
A002250,알보젠코리아,20180816,27200,27800,26900,27150,767,0,294,27170,27068,27268,27510
A002250,알보젠코리아,20180814,27200,27200,27200,27200,23,0,21,27160,27065,27275,27517
A002250,알보젠코리아,20180813,27150,27450,27150,27200,629,0,419,27140,27060,27280,27524
A002250,알보젠코리아,20180810,26900,27200,26900,27150,1504,0,1372,27140,27068,27284,27530
A002250,알보젠코리아,20180809,27100,27150,27100,27150,45,0,21,27130,27080,27291,27538
A002250,알보젠코리아,20180808,27100,27250,26700,27100,1152,0,161,27080,27092,27292,27545
A002250,알보젠코리아,20180807,27100,27150,27000,27100,110,0,33,27060,27102,27295,27553
A002250,알보젠코리아,20180806,27200,27200,27150,27200,728,0,711,27080,27112,27298,27562
A002250,알보젠코리아,20180803,27000,27100,26800,27100,1665,0,647,27040,27102,27298,27570
A002250,알보젠코리아,20180802,26950,27000,26900,26900,305,0,-27,27010,27110,27302,27582
A002250,알보젠코리아,20180801,26950,27200,26950,27000,39,0,2,27010,27120,27311,27592
A002250,알보젠코리아,20180731,26750,27200,26750,27200,416,0,166,27000,27128,27319,27602
A002250,알보젠코리아,20180730,26950,27000,26800,27000,181,0,7,26960,27128,27322,27610
A002250,알보젠코리아,20180727,26850,26950,26700,26950,122,0,21,26960,27125,27333,27620
A002250,알보젠코리아,20180726,26950,26950,26900,26900,39,0,1,26980,27138,27343,27631
A002250,알보젠코리아,20180725,27000,27000,26900,26950,9,0,2,27010,27162,27353,27640
