stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A002600,조흥,20190129,179000,179500,179000,179000,26,0,-2,179800,180000,183642,190962
A002600,조흥,20190128,181000,181000,179000,179000,178,0,-1,180000,180175,183633,191279
A002600,조흥,20190125,181000,181000,180500,181000,23,0,0,180300,180200,183550,191604
A002600,조흥,20190124,181000,181000,178500,179000,36,0,-1,180200,180575,183417,191929
A002600,조흥,20190123,179500,181000,179500,181000,40,0,1,180100,180775,183267,192288
A002600,조흥,20190122,180000,180500,180000,180000,79,0,-1,179600,181125,183083,192629
A002600,조흥,20190121,180500,180500,180000,180500,6,0,-1,179500,181375,183092,192950
A002600,조흥,20190118,178500,180500,178500,180500,52,0,1,179400,181600,183167,193254
A002600,조흥,20190117,178000,179500,178000,178500,91,0,-1,179500,181750,183192,193558
A002600,조흥,20190116,178500,179000,178000,178500,39,0,1,179800,182075,183342,193938
A002600,조흥,20190115,179000,180000,179000,179500,32,0,-9,180100,182375,183500,194300
A002600,조흥,20190114,180000,180000,180000,180000,10,0,0,179800,182650,183633,194675
A002600,조흥,20190111,180000,181000,180000,181000,18,0,2,180100,182900,183800,195046
A002600,조흥,20190110,180000,180000,179500,180000,27,0,2,180100,183075,183975,195404
A002600,조흥,20190109,178000,180000,178000,180000,6,0,0,180600,183300,184133,195788
A002600,조흥,20190108,179500,179500,178000,178000,105,0,0,180500,183475,184283,196121
A002600,조흥,20190107,181000,182000,179500,181500,48,0,4,181400,183650,184442,196462
A002600,조흥,20190104,178000,187000,178000,181000,89,0,0,181000,184000,184600,196762
A002600,조흥,20190103,184000,184000,179000,182500,7,0,4,182500,184375,184733,197062
A002600,조흥,20190102,181000,181000,179500,179500,12,0,-1,182600,184700,184850,197350
A002600,조흥,20181228,183000,183000,181000,182500,27,0,-2,184300,185025,185117,197662
A002600,조흥,20181227,182000,185000,179500,179500,50,0,-4,184800,185200,185367,197942
A002600,조흥,20181226,183000,188500,183000,188500,12,0,7,185900,185625,185692,198242
A002600,조흥,20181224,186000,188000,182500,183000,20,0,-6,184900,185725,185858,198500
A002600,조흥,20181221,186000,188000,186000,188000,12,0,6,185300,185825,186117,198783
A002600,조흥,20181220,185000,185000,185000,185000,7,0,2,184600,185725,186267,199033
A002600,조흥,20181219,184000,185500,183000,185000,20,0,1,184600,185525,186533,199283
A002600,조흥,20181218,182500,183500,182500,183500,3,0,1,184600,185600,186825,199558
A002600,조흥,20181217,182000,185000,182000,185000,3,0,1,184800,185650,187075,199838
A002600,조흥,20181214,185000,185500,181000,184500,79,0,9,184700,185750,187300,200062
A002600,조흥,20181213,185000,185500,185000,185000,12,0,12,184500,185975,187600,200275
A002600,조흥,20181212,184500,185500,182000,185000,16,0,7,183800,186175,187883,200492
A002600,조흥,20181211,184500,184500,184500,184500,5,0,2,184500,186175,188167,200725
A002600,조흥,20181210,180000,186000,180000,184500,47,0,0,185300,186225,188400,200921
A002600,조흥,20181207,184500,185000,182500,183500,8,0,4,186200,186375,188675,201146
A002600,조흥,20181206,188000,188000,181500,181500,39,0,2,186700,186600,188975,201375
A002600,조흥,20181205,188500,188500,185500,188500,3,0,-1,187600,186925,189342,201696
A002600,조흥,20181204,186000,188500,186000,188500,5,0,0,187500,186625,189600,201933
A002600,조흥,20181203,186500,190000,186000,189000,70,0,2,187900,186375,189900,202192
A002600,조흥,20181130,186000,188500,185000,186000,165,0,0,187100,185950,190133,202438
A002600,조흥,20181129,185500,187500,185500,186000,19,0,1,187100,185900,190467,202654
A002600,조흥,20181128,186500,189500,184500,188000,123,0,0,186100,185525,190767,202871
