stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A002630,오리엔트바이오,20190129,576,588,566,567,2215035,1703366,-28568,565,557,605,776
A002630,오리엔트바이오,20190128,561,587,558,579,4032003,2229759,-45651,567,557,609,779
A002630,오리엔트바이오,20190125,575,579,557,558,2797720,1376636,-126584,567,555,612,781
A002630,오리엔트바이오,20190124,559,570,556,569,2572804,1784440,72975,568,552,616,784
A002630,오리엔트바이오,20190123,569,569,553,554,2797480,1271428,-229778,567,551,619,786
A002630,오리엔트바이오,20190122,585,607,572,573,6405490,1191071,-158106,568,551,625,789
A002630,오리엔트바이오,20190121,571,617,565,581,11141867,1365872,-47019,561,551,629,791
A002630,오리엔트바이오,20190118,565,568,556,565,1481583,2337854,-18,555,550,634,793
A002630,오리엔트바이오,20190117,561,579,556,562,2526707,2231860,-12037,552,550,640,796
A002630,오리엔트바이오,20190116,547,593,541,557,8762294,2293928,-176564,553,550,646,798
A002630,오리엔트바이오,20190115,553,562,541,542,2644964,2073295,-295526,551,551,653,801
A002630,오리엔트바이오,20190114,546,556,540,551,1707971,3114818,-16898,549,554,660,804
A002630,오리엔트바이오,20190111,563,566,546,550,2613533,2853342,135701,547,556,668,807
A002630,오리엔트바이오,20190110,544,645,544,565,11971700,3053836,-587002,544,557,675,810
A002630,오리엔트바이오,20190109,538,551,525,545,2230616,3436958,-359289,541,557,681,814
A002630,오리엔트바이오,20190108,539,546,528,535,1085425,3231438,-67531,545,558,689,817
A002630,오리엔트바이오,20190107,542,548,537,539,740707,3084620,-67533,551,559,697,820
A002630,오리엔트바이오,20190104,566,567,524,538,801857,2991730,-8481,550,561,706,823
A002630,오리엔트바이오,20190103,564,567,545,547,659729,3196258,-840,545,564,717,826
A002630,오리엔트바이오,20190102,575,588,557,564,784308,3259343,-21006,544,566,727,830
A002630,오리엔트바이오,20181228,519,584,519,567,1578523,3283335,-54821,543,567,738,833
A002630,오리엔트바이오,20181227,524,539,519,536,882657,3210934,-77169,542,568,747,836
A002630,오리엔트바이오,20181226,540,540,510,510,1285769,2578143,95478,549,571,759,839
A002630,오리엔트바이오,20181224,551,554,544,545,646172,2517024,83,559,575,772,843
A002630,오리엔트바이오,20181221,562,570,553,556,472195,2512537,-5772,563,579,778,846
A002630,오리엔트바이오,20181220,575,577,557,561,582174,2602037,126,566,586,785,850
A002630,오리엔트바이오,20181219,554,576,554,575,775745,2664173,-4860,573,594,791,853
A002630,오리엔트바이오,20181218,555,564,546,560,832425,2274350,-9557,577,603,797,856
A002630,오리엔트바이오,20181217,566,570,544,562,1373326,2174363,-7900,578,612,803,858
