stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A002710,TCC동양,20190129,2160,2195,2105,2180,38032,407798,-58,2183,2036,1955,1988
A002710,TCC동양,20190128,2230,2275,2175,2200,34171,406795,-38,2167,2027,1948,1987
A002710,TCC동양,20190125,2165,2275,2160,2250,125279,408750,2828,2138,2017,1941,1986
A002710,TCC동양,20190124,2145,2160,2125,2160,30387,409339,5724,2096,2001,1932,1985
A002710,TCC동양,20190123,2100,2140,2100,2125,37132,413947,5778,2064,1991,1925,1984
A002710,TCC동양,20190122,2055,2105,2055,2100,41638,413687,-34,2039,1984,1920,1983
A002710,TCC동양,20190121,2045,2075,2035,2055,37349,412889,-1873,2015,1976,1914,1982
A002710,TCC동양,20190118,2000,2040,1995,2040,33959,411809,33,1997,1972,1909,1981
A002710,TCC동양,20190117,2040,2040,1990,2000,12305,403369,-1,1981,1968,1905,1981
A002710,TCC동양,20190116,1995,2055,1995,2000,33307,402599,13,1973,1966,1902,1982
A002710,TCC동양,20190115,1965,2000,1965,1980,14150,402178,27,1963,1965,1898,1982
A002710,TCC동양,20190114,1960,1995,1950,1965,22005,400941,13,1957,1966,1895,1984
A002710,TCC동양,20190111,1960,1980,1935,1960,30837,399585,87,1953,1967,1893,1985
A002710,TCC동양,20190110,1945,1960,1930,1960,21110,398918,48,1948,1967,1890,1986
A002710,TCC동양,20190109,1940,1965,1895,1950,49778,398187,15,1952,1966,1887,1988
A002710,TCC동양,20190108,1945,1970,1935,1950,34621,397963,48,1960,1968,1884,1989
A002710,TCC동양,20190107,1935,1975,1935,1945,4647,398695,101,1970,1970,1880,1990
A002710,TCC동양,20190104,1960,1980,1910,1935,23580,398809,-618,1979,1972,1879,1992
A002710,TCC동양,20190103,1990,1990,1955,1980,7472,399432,2116,1980,1972,1880,1993
A002710,TCC동양,20190102,2040,2040,1955,1990,25236,400358,-18,1976,1970,1881,1994
A002710,TCC동양,20181228,1990,2010,1960,2000,16893,400137,-85,1972,1966,1881,1994
A002710,TCC동양,20181227,1940,2055,1915,1990,23664,434895,-87,1963,1962,1882,1994
A002710,TCC동양,20181226,1960,1960,1930,1940,11876,435992,240,1958,1958,1883,1994
A002710,TCC동양,20181224,1990,1990,1940,1960,13686,437235,-175,1963,1957,1885,1995
A002710,TCC동양,20181221,1995,1995,1945,1970,18540,437774,204,1965,1956,1888,1998
A002710,TCC동양,20181220,1955,1985,1955,1955,5610,439485,36,1966,1952,1889,2001
A002710,TCC동양,20181219,1990,2000,1945,1965,13490,440606,21,1973,1950,1893,2005
A002710,TCC동양,20181218,1975,1990,1955,1965,7117,443154,913,1978,1945,1896,2008
A002710,TCC동양,20181217,1950,1995,1950,1970,8940,443988,1335,1977,1941,1901,2010
A002710,TCC동양,20181214,1990,1990,1960,1975,13076,444754,4682,1973,1939,1906,2012
A002710,TCC동양,20181213,1970,2020,1960,1990,12707,445625,370,1974,1934,1910,2015
A002710,TCC동양,20181212,1950,1990,1950,1990,7173,445567,385,1976,1927,1914,2017
A002710,TCC동양,20181211,1950,1970,1930,1960,19710,446158,2744,1972,1920,1918,2019
A002710,TCC동양,20181210,1980,1980,1915,1950,39278,448754,1027,1970,1912,1922,2022
A002710,TCC동양,20181207,2180,2285,1955,1980,309610,447788,-18873,1964,1904,1926,2025
A002710,TCC동양,20181206,1990,2035,1970,2000,88652,454046,202,1951,1896,1928,2028
A002710,TCC동양,20181205,1925,1975,1895,1970,16537,455914,-15,1935,1887,1931,2031
A002710,TCC동양,20181204,1920,1955,1910,1950,26158,457032,0,1925,1878,1934,2033
A002710,TCC동양,20181203,1950,1950,1915,1920,10592,457281,-296,1918,1871,1938,2035
A002710,TCC동양,20181130,1920,1935,1890,1915,12034,458056,1619,1922,1866,1943,2036
A002710,TCC동양,20181129,1920,1945,1905,1920,15488,458620,2288,1919,1862,1946,2038
A002710,TCC동양,20181128,1905,1940,1900,1920,23275,460406,-69,1914,1856,1950,2039
