stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A002785,진흥기업우B,20190129,5170,5600,4970,5380,201506,40236,0,5200,4820,4801,4094
A002785,진흥기업우B,20190128,5100,5290,5080,5170,45527,44025,0,5288,4786,4758,4078
A002785,진흥기업우B,20190125,5250,5270,4975,5100,55779,40852,0,5196,4760,4718,4064
A002785,진흥기업우B,20190124,5230,5450,5150,5150,98079,39828,0,5118,4750,4679,4052
A002785,진흥기업우B,20190123,5800,5800,5110,5200,307417,30937,0,4986,4712,4638,4038
A002785,진흥기업우B,20190122,4630,6050,4630,5820,1101824,37195,0,4880,4688,4599,4022
A002785,진흥기업우B,20190121,4755,4755,4625,4710,15827,35693,0,4648,4643,4547,4002
A002785,진흥기업우B,20190118,4550,4785,4405,4710,45253,37022,0,4637,4670,4518,3990
A002785,진흥기업우B,20190117,4690,4745,4460,4490,25473,32188,0,4606,4715,4491,3979
A002785,진흥기업우B,20190116,4715,4880,4655,4670,70048,34520,0,4589,4800,4469,3970
A002785,진흥기업우B,20190115,4695,4725,4605,4660,44753,35657,0,4552,4857,4445,3959
A002785,진흥기업우B,20190114,4630,4700,4515,4655,39678,30877,0,4514,4887,4420,3950
A002785,진흥기업우B,20190111,4340,4600,4340,4555,23980,29310,0,4507,4922,4396,3940
A002785,진흥기업우B,20190110,4545,4545,4400,4405,15187,27584,0,4537,4952,4374,3932
A002785,진흥기업우B,20190109,4500,4635,4455,4485,15917,26765,0,4588,5005,4354,3924
A002785,진흥기업우B,20190108,4625,4625,4405,4470,24763,24731,0,4647,5052,4333,3916
A002785,진흥기업우B,20190107,4800,4800,4530,4620,41951,23174,0,4693,5111,4310,3907
A002785,진흥기업우B,20190104,4565,4850,4565,4705,44922,20385,0,4702,5145,4288,3898
A002785,진흥기업우B,20190103,4770,4850,4650,4660,41781,19798,0,4739,5195,4267,3887
A002785,진흥기업우B,20190102,4855,4990,4560,4780,60745,19798,0,4683,5265,4247,3877
A002785,진흥기업우B,20181228,4670,4895,4465,4700,65866,23912,0,4673,5297,4224,3865
A002785,진흥기업우B,20181227,4880,5080,4665,4665,125408,23451,0,4717,5307,4203,3854
A002785,진흥기업우B,20181226,4300,5390,4210,4890,460389,20629,0,4832,5329,4183,3843
A002785,진흥기업우B,20181224,4730,4800,4340,4380,63616,22080,0,4978,5299,4158,3830
A002785,진흥기업우B,20181221,4800,5220,4700,4730,114043,25008,0,5342,5287,4144,3825
A002785,진흥기업우B,20181220,5240,5300,4805,4920,100904,27663,0,5556,5268,4124,3816
A002785,진흥기업우B,20181219,5620,5640,5200,5240,163549,26242,0,5624,5242,4102,3805
A002785,진흥기업우B,20181218,6860,7100,5500,5620,429635,26470,0,5648,5216,4074,3791
A002785,진흥기업우B,20181217,6300,6540,5960,6200,560827,27309,0,5554,5188,4041,3774
A002785,진흥기업우B,20181214,5280,6570,5280,5800,1431616,49501,0,5408,5123,3999,3752
A002785,진흥기업우B,20181213,5410,5490,5250,5260,41004,17510,0,5330,5103,3963,3734
A002785,진흥기업우B,20181212,5080,5570,5050,5360,135533,12216,0,5410,5106,3936,3723
A002785,진흥기업우B,20181211,5640,5790,5120,5150,112135,4931,0,5398,5140,3907,3710
A002785,진흥기업우B,20181210,5500,5880,5380,5470,227759,4971,0,5508,5142,3882,3701
A002785,진흥기업우B,20181207,5550,6440,5340,5410,683379,9885,0,5628,5069,3852,3690
A002785,진흥기업우B,20181206,5360,6340,5020,5660,1395093,3082,0,5628,4952,3823,3678
A002785,진흥기업우B,20181205,5690,5800,5300,5300,138331,4654,0,5477,4834,3788,3665
A002785,진흥기업우B,20181204,5950,6450,5610,5700,560183,4894,0,5439,4715,3757,3655
A002785,진흥기업우B,20181203,5870,6270,5630,6070,825625,9222,0,5156,4574,3721,3642
A002785,진흥기업우B,20181130,4870,6220,4850,5410,1280254,9688,0,4770,4414,3679,3626
A002785,진흥기업우B,20181129,5000,5710,4840,4905,337697,1340,0,4559,4285,3651,3616
A002785,진흥기업우B,20181128,4595,5420,4365,5110,806750,8935,0,4458,4182,3628,3610
A002785,진흥기업우B,20181127,4245,4305,4085,4285,69935,1287,0,4377,4064,3601,3604
