stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A003070,코오롱글로벌,20190129,8130,8130,7870,8010,46705,457491,-4836,8274,7868,7286,7508
A003070,코오롱글로벌,20190128,8370,8400,8120,8180,30908,460796,-4605,8318,7824,7252,7512
A003070,코오롱글로벌,20190125,8490,8490,8230,8370,21854,456684,515,8360,7764,7214,7513
A003070,코오롱글로벌,20190124,8500,8500,8270,8380,19313,453660,2812,8322,7693,7175,7513
A003070,코오롱글로벌,20190123,8230,8460,8160,8430,23776,462402,6467,8260,7632,7138,7512
A003070,코오롱글로벌,20190122,8390,8440,8230,8230,21554,458711,869,8220,7575,7102,7508
A003070,코오롱글로벌,20190121,8200,8440,8200,8390,47386,459822,8386,8176,7522,7071,7505
A003070,코오롱글로벌,20190118,8040,8180,8040,8180,26014,454936,354,8098,7462,7043,7501
A003070,코오롱글로벌,20190117,8310,8310,8010,8070,30201,450575,1035,8018,7418,7024,7498
A003070,코오롱글로벌,20190116,8170,8770,8150,8230,83652,447875,936,7902,7383,7008,7500
A003070,코오롱글로벌,20190115,7930,8070,7930,8010,25547,452364,-8,7754,7341,6992,7502
A003070,코오롱글로벌,20190114,8090,8150,7900,8000,99153,448721,-997,7626,7310,6980,7505
A003070,코오롱글로벌,20190111,7410,7830,7410,7780,57136,456011,-3302,7476,7278,6968,7510
A003070,코오롱글로벌,20190110,7580,7580,7400,7490,17701,454345,768,7344,7253,6959,7516
A003070,코오롱글로벌,20190109,7470,7520,7430,7490,27130,457486,-491,7296,7260,6957,7525
A003070,코오롱글로벌,20190108,7250,7420,7230,7370,30775,456781,392,7222,7273,6952,7533
A003070,코오롱글로벌,20190107,7280,7320,7130,7250,29372,454445,163,7174,7271,6946,7543
A003070,코오롱글로벌,20190104,7160,7170,7070,7120,10883,449473,-865,7124,7278,6952,7554
A003070,코오롱글로벌,20190103,7070,7290,6940,7250,34772,450059,16944,7088,7295,6961,7564
A003070,코오롱글로벌,20190102,7150,7150,6990,7120,7821,456809,1347,7072,7298,6970,7574
A003070,코오롱글로벌,20181228,6980,7130,6980,7130,5319,410486,-265,7104,7306,6984,7584
A003070,코오롱글로벌,20181227,6940,7080,6930,7000,12426,456451,123,7110,7315,7000,7596
A003070,코오롱글로벌,20181226,7170,7170,6840,6940,30078,453971,131,7148,7329,7018,7610
A003070,코오롱글로벌,20181224,7270,7270,7090,7170,11508,470328,-379,7222,7346,7037,7626
A003070,코오롱글로벌,20181221,7190,7330,7000,7280,25129,485359,-484,7262,7346,7054,7648
A003070,코오롱글로벌,20181220,7230,7270,7120,7160,11650,474750,-248,7284,7338,7070,7670
A003070,코오롱글로벌,20181219,7370,7370,7190,7190,23518,470591,47,7330,7310,7088,7692
A003070,코오롱글로벌,20181218,7230,7400,7210,7310,23643,471373,112,7364,7284,7108,7714
A003070,코오롱글로벌,20181217,7390,7410,7230,7370,11515,468845,710,7358,7254,7127,7736
A003070,코오롱글로벌,20181214,7300,7450,7300,7390,39577,467556,6403,7412,7226,7146,7758
A003070,코오롱글로벌,20181213,7370,7450,7270,7390,29071,463960,465,7482,7187,7163,7781
A003070,코오롱글로벌,20181212,7200,7450,7200,7360,20196,452835,677,7470,7140,7182,7802
A003070,코오롱글로벌,20181211,7610,7620,7200,7280,74540,439948,508,7478,7092,7196,7824
A003070,코오롱글로벌,20181210,7540,7780,7500,7640,60116,454623,47,7512,7048,7215,7848
A003070,코오롱글로벌,20181207,7460,8110,7460,7740,621293,429829,49,7444,6988,7224,7871
A003070,코오롱글로벌,20181206,7350,7430,7210,7330,28443,470616,55,7356,6927,7228,7895
A003070,코오롱글로벌,20181205,7310,7420,7260,7400,16705,475590,-20,7350,6886,7240,7924
A003070,코오롱글로벌,20181204,7350,7460,7250,7450,45000,473046,-88,7326,6834,7250,7954
A003070,코오롱글로벌,20181203,7370,7380,7250,7300,40853,449369,135,7292,6782,7260,7984
A003070,코오롱글로벌,20181130,7300,7400,7210,7300,39354,446354,8,7264,6730,7271,8016
A003070,코오롱글로벌,20181129,7310,7420,7240,7300,40929,434442,32,7228,6683,7282,8047
A003070,코오롱글로벌,20181128,7200,7330,7200,7280,53583,424489,12,7090,6617,7294,8081
A003070,코오롱글로벌,20181127,7200,7570,7200,7280,197716,410651,14,6970,6549,7307,8113
A003070,코오롱글로벌,20181126,7000,7690,6870,7160,555830,405401,138,6854,6485,7321,8145
A003070,코오롱글로벌,20181123,6610,8260,6600,7120,2052575,408953,-18,6786,6436,7336,8176
A003070,코오롱글로벌,20181122,6800,6800,6610,6610,17948,445391,-40,6682,6394,7352,8210
A003070,코오롱글로벌,20181121,6540,6730,6540,6680,24846,448465,41,6652,6382,7374,8249
A003070,코오롱글로벌,20181120,6800,6800,6650,6700,20563,446545,-8,6592,6384,7395,8281
A003070,코오롱글로벌,20181119,6520,7130,6520,6820,204653,440364,976,6532,6399,7415,8318
A003070,코오롱글로벌,20181116,6500,6680,6450,6600,20458,454887,510,6458,6414,7434,8356
A003070,코오롱글로벌,20181115,6250,6460,6250,6460,4495,451337,58,6442,6446,7457,8398
A003070,코오롱글로벌,20181114,6430,6430,6290,6380,9967,451299,10,6452,6488,7481,8438
A003070,코오롱글로벌,20181113,6400,6400,6220,6400,16098,453188,195,6448,6536,7507,8481
A003070,코오롱글로벌,20181112,6500,6500,6420,6450,22690,457039,11,6448,6576,7534,8522
A003070,코오롱글로벌,20181109,6500,6630,6420,6520,5964,461060,122,6412,6622,7561,8567
A003070,코오롱글로벌,20181108,6400,6590,6400,6510,16671,461470,61,6380,6656,7586,8613
A003070,코오롱글로벌,20181107,6400,6600,6330,6360,33964,463107,-19,6274,6681,7612,8654
A003070,코오롱글로벌,20181106,6350,6490,6160,6400,39896,465854,-76,6186,6744,7640,8695
A003070,코오롱글로벌,20181105,6400,6410,6150,6270,22487,473168,-3292,6106,6807,7668,8735
A003070,코오롱글로벌,20181102,6010,6410,6010,6360,33993,480521,15,6090,6884,7698,8776
A003070,코오롱글로벌,20181101,5940,6110,5840,5980,24607,480929,-37,6074,6963,7731,8821
A003070,코오롱글로벌,20181031,6050,6050,5820,5920,43717,485587,-7671,6148,7068,7771,8868
A003070,코오롱글로벌,20181030,5800,6050,5800,6000,31168,496206,1116,6310,7178,7812,8920
A003070,코오롱글로벌,20181029,6060,6340,5970,6190,34546,499657,743,6510,7280,7850,8966
A003070,코오롱글로벌,20181026,6310,6410,6150,6280,21135,507172,223,6698,7380,7885,9003
A003070,코오롱글로벌,20181025,6500,6630,6240,6350,50591,508966,-365,6890,7478,7914,9039
A003070,코오롱글로벌,20181024,6850,7100,6730,6730,16493,518272,33,7080,7572,7939,9074
A003070,코오롱글로벌,20181023,7200,7200,6930,7000,21278,515888,16,7198,7655,7959,9110
A003070,코오롱글로벌,20181022,7250,7300,7130,7130,10075,517732,12,7242,7729,7973,9141
A003070,코오롱글로벌,20181019,7300,7300,7110,7240,12439,519017,255,7286,7796,7992,9171
A003070,코오롱글로벌,20181018,7320,7350,7180,7300,5430,521155,-4,7278,7856,8012,9200
A003070,코오롱글로벌,20181017,7300,7360,7230,7320,12902,523383,30,7222,7916,8031,9223
A003070,코오롱글로벌,20181016,7200,7410,7200,7220,15148,525519,29,7280,7962,8052,9244
A003070,코오롱글로벌,20181015,7200,7390,7200,7350,15075,525640,111,7370,8022,8074,9267
A003070,코오롱글로벌,20181012,6400,7200,6400,7200,50523,527270,1552,7460,8061,8093,9288
A003070,코오롱글로벌,20181011,7470,7630,6980,7020,36705,524542,75,7610,8102,8114,9311
A003070,코오롱글로벌,20181010,7630,7850,7500,7610,27087,528597,88,7824,8152,8140,9336
A003070,코오롱글로벌,20181008,7750,7830,7670,7670,17490,534283,521,7922,8172,8156,9356
A003070,코오롱글로벌,20181005,7900,8010,7730,7800,33690,537015,-5267,8000,8192,8168,9378
A003070,코오롱글로벌,20181004,8170,8170,7920,7950,20615,545727,91,8078,8200,8178,9398
A003070,코오롱글로벌,20181002,8120,8180,8050,8090,7106,548119,41,8132,8200,8184,9415
A003070,코오롱글로벌,20181001,8060,8150,7980,8100,13347,549585,71,8164,8198,8192,9431
A003070,코오롱글로벌,20180928,8200,8200,7850,8060,19176,548384,378,8220,8195,8201,9451
A003070,코오롱글로벌,20180927,8250,8290,8160,8190,20591,550123,1410,8304,8198,8215,9469
A003070,코오롱글로벌,20180921,8250,8400,8120,8220,16549,551051,-3929,8362,8192,8242,9483
A003070,코오롱글로벌,20180920,8400,8530,8190,8250,44228,554123,15,8402,8183,8270,9498
A003070,코오롱글로벌,20180919,8390,8520,8340,8380,27191,561757,378,8454,8168,8295,9511
A003070,코오롱글로벌,20180918,8480,8550,8370,8480,35909,570210,41,8428,8146,8320,9524
A003070,코오롱글로벌,20180917,8330,8520,8330,8480,18438,577213,2,8412,8116,8345,9536
A003070,코오롱글로벌,20180914,8520,8700,8350,8420,62260,578858,-18,8344,8092,8370,9546
A003070,코오롱글로벌,20180913,8200,8560,8200,8510,59328,600519,69,8266,8069,8398,9559
A003070,코오롱글로벌,20180912,8320,8400,8150,8250,35617,588037,353,8164,8040,8423,9572
A003070,코오롱글로벌,20180911,8210,8430,8160,8400,53278,599635,28,8118,8023,8450,9588
A003070,코오롱글로벌,20180910,8070,8170,7920,8140,36000,600327,-49,8050,8002,8480,9603
A003070,코오롱글로벌,20180907,7950,8050,7950,8030,25937,596862,5,8016,8002,8519,9620
A003070,코오롱글로벌,20180906,7950,8050,7950,8000,8538,594084,15,8002,8000,8561,9638
A003070,코오롱글로벌,20180905,8060,8060,7970,8020,21283,594688,-6457,8010,8004,8608,9657
A003070,코오롱글로벌,20180904,7960,8060,7950,8060,5043,597056,3,8014,8004,8657,9678
A003070,코오롱글로벌,20180903,7960,8060,7950,7970,15391,596588,930,8028,8006,8707,9701
A003070,코오롱글로벌,20180831,8080,8080,7960,7960,52781,596038,-7664,8044,8010,8762,9724
A003070,코오롱글로벌,20180830,8120,8120,7990,8040,6326,601282,0,8062,8030,8812,9746
A003070,코오롱글로벌,20180829,8130,8130,8000,8040,7472,604087,-19,8044,8048,8867,9762
A003070,코오롱글로벌,20180828,8090,8150,8000,8130,20302,604946,1,8026,8062,8920,9778
A003070,코오롱글로벌,20180827,8050,8150,7910,8050,16432,607262,-927,7976,8072,8969,9791
A003070,코오롱글로벌,20180824,7950,8090,7920,8050,26152,609544,-26,7962,8082,9016,9807
A003070,코오롱글로벌,20180823,7970,8000,7900,7950,9925,614485,24,7946,8081,9067,9824
A003070,코오롱글로벌,20180822,7870,8040,7850,7950,14299,616114,10,7940,8077,9124,9844
A003070,코오롱글로벌,20180821,7840,7970,7800,7880,24171,614867,8,7934,8076,9167,9864
A003070,코오롱글로벌,20180820,8010,8030,7810,7980,21019,616219,24,7956,8074,9221,9883
A003070,코오롱글로벌,20180817,8000,8040,7850,7970,13065,616994,45,7984,8089,9279,9902
A003070,코오롱글로벌,20180816,8000,8220,7640,7920,39349,617876,31,7992,8110,9338,9920
A003070,코오롱글로벌,20180814,8080,8080,7520,7920,31449,617861,46,8020,8138,9396,9940
A003070,코오롱글로벌,20180813,8110,8110,7940,7990,17940,626775,46,8040,8170,9455,9956
A003070,코오롱글로벌,20180810,8060,8130,7970,8120,20410,629482,1489,8062,8196,9510,9971
A003070,코오롱글로벌,20180809,8080,8080,7980,8010,12280,621560,41,8052,8216,9572,9986
A003070,코오롱글로벌,20180808,8070,8150,8000,8060,18165,622296,-6,8120,8240,9639,10000
A003070,코오롱글로벌,20180807,8060,8080,8000,8020,16202,623054,83,8186,8264,9696,10015
A003070,코오롱글로벌,20180806,8040,8110,8030,8100,17589,621499,1558,8250,8292,9750,10032
A003070,코오롱글로벌,20180803,8150,8170,8010,8070,88059,618680,7,8296,8306,9803,10048
A003070,코오롱글로벌,20180802,8320,8430,8310,8350,13253,624764,1425,8332,8325,9855,10066
A003070,코오롱글로벌,20180801,8530,8530,8280,8390,17234,624857,-377,8266,8322,9912,10084
A003070,코오롱글로벌,20180731,8350,8450,8300,8340,20252,627419,0,8162,8332,9964,10104
A003070,코오롱글로벌,20180730,8300,8410,8250,8330,21141,628847,-7,8078,8345,10028,10126
A003070,코오롱글로벌,20180727,8080,8780,8010,8250,320351,618660,-17,7980,8373,10082,10145
A003070,코오롱글로벌,20180726,7950,8070,7890,8020,17856,663624,2,7988,8450,10121,10165
A003070,코오롱글로벌,20180725,7920,8040,7870,7870,30428,656533,-7267,8064,8544,10164,10189
A003070,코오롱글로벌,20180724,7900,8120,7800,7920,34556,657456,4,8184,8641,10209,10215
A003070,코오롱글로벌,20180723,8350,8350,7840,7840,72169,652048,-235,8310,8740,10260,10241
A003070,코오롱글로벌,20180720,8330,8400,8240,8290,26729,654613,-10464,8448,8845,10310,10265
A003070,코오롱글로벌,20180719,8480,8530,8330,8400,17215,662198,3,8492,8928,10349,10284
A003070,코오롱글로벌,20180718,8550,8650,8420,8470,27812,665074,-5,8508,9016,10388,10304
A003070,코오롱글로벌,20180717,8550,8610,8470,8550,24243,671254,-1222,8524,9091,10415,10319
A003070,코오롱글로벌,20180716,8550,8600,8450,8530,21645,673052,-1359,8530,9159,10437,10334
A003070,코오롱글로벌,20180713,8500,8570,8440,8510,18715,679256,-1342,8500,9242,10460,10349
A003070,코오롱글로벌,20180712,8560,8590,8360,8480,33016,682517,-1398,8488,9340,10484,10365
A003070,코오롱글로벌,20180711,8580,8580,8450,8550,20812,697096,-2349,8452,9443,10508,10381
A003070,코오롱글로벌,20180710,8410,8670,8400,8580,36260,702038,88,8458,9558,10532,10396
A003070,코오롱글로벌,20180709,8470,8490,8280,8380,39687,707473,-21,8462,9676,10557,10412
