stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A003220,대원제약,20190129,16650,16950,16600,16750,66948,4542828,-1425,16590,15965,16088,17442
A003220,대원제약,20190128,16600,16750,16450,16650,47663,4525001,3070,16520,15935,16083,17462
A003220,대원제약,20190125,16500,16500,16300,16500,33959,4524880,289,16500,15890,16075,17483
A003220,대원제약,20190124,16550,16600,16400,16500,38888,4519768,-11211,16480,15845,16057,17508
A003220,대원제약,20190123,16400,16700,16300,16550,39093,4513393,-273,16350,15820,16034,17533
A003220,대원제약,20190122,16600,16650,16250,16400,38778,4507459,-2739,16210,15800,16037,17559
A003220,대원제약,20190121,16400,16850,16350,16550,58435,4498628,780,16060,15778,16040,17585
A003220,대원제약,20190118,15850,16400,15850,16400,76936,4491906,16876,15840,15745,16050,17607
A003220,대원제약,20190117,15800,16000,15800,15850,29368,4461604,7847,15650,15712,16065,17626
A003220,대원제약,20190116,15600,15850,15500,15850,43198,4459867,8593,15590,15712,16097,17654
A003220,대원제약,20190115,15400,15850,15400,15650,56137,4453901,3006,15560,15720,16127,17685
A003220,대원제약,20190114,15550,15550,15300,15450,29012,4450678,289,15520,15755,16162,17723
A003220,대원제약,20190111,15500,15650,15400,15450,19829,4452176,708,15500,15792,16208,17766
A003220,대원제약,20190110,15700,15700,15400,15550,36882,4454082,-3024,15510,15805,16248,17811
A003220,대원제약,20190109,15450,15750,15450,15700,27349,4462786,153,15480,15818,16287,17853
A003220,대원제약,20190108,15400,15500,15350,15450,12544,4458785,245,15500,15850,16329,17893
A003220,대원제약,20190107,15700,15700,15350,15350,31781,4459384,-714,15640,15895,16368,17935
A003220,대원제약,20190104,15400,15550,15200,15500,26194,4481546,1165,15720,15960,16424,17978
A003220,대원제약,20190103,15800,15800,15400,15400,35312,4491923,765,15740,16028,16487,18022
A003220,대원제약,20190102,16350,16350,15700,15800,24958,4501764,-1202,15860,16100,16551,18062
A003220,대원제약,20181228,15800,16300,15700,16150,41537,4504709,13729,15930,16145,16607,18100
A003220,대원제약,20181227,15700,15800,15550,15750,27134,4494488,-1077,15890,16168,16655,18135
A003220,대원제약,20181226,15800,15850,15450,15600,59625,4488054,-10387,15920,16208,16718,18171
A003220,대원제약,20181224,16150,16200,15850,16000,35922,4495639,-5348,15950,16245,16789,18205
A003220,대원제약,20181221,15950,16200,15800,16150,39111,4496429,-9207,15920,16280,16858,18238
A003220,대원제약,20181220,15900,16200,15750,15950,35187,4495930,3196,15890,16290,16913,18270
A003220,대원제약,20181219,15850,16050,15550,15900,46317,4494864,-4671,15970,16338,16972,18305
A003220,대원제약,20181218,15650,16000,15550,15750,22968,4519134,-1824,16030,16335,17027,18341
A003220,대원제약,20181217,15850,16000,15650,15850,71880,4520565,558,16020,16340,17084,18373
A003220,대원제약,20181214,16350,16400,15950,16000,37807,4514616,6982,16010,16345,17137,18402
A003220,대원제약,20181213,16350,16500,16200,16350,34918,4529354,10804,16080,16342,17188,18430
A003220,대원제약,20181212,15850,16300,15850,16200,46967,4516440,-1998,16080,16292,17232,18460
A003220,대원제약,20181211,15850,16100,15550,15700,49140,4494298,-6900,16170,16275,17280,18488
A003220,대원제약,20181210,16100,16300,15650,15800,109039,4494547,-19059,16400,16265,17338,18523
A003220,대원제약,20181207,16450,16550,16250,16350,16602,4500278,-1130,16610,16240,17395,18564
A003220,대원제약,20181206,16600,16700,16100,16350,60679,4502233,-712,16680,16202,17442,18602
A003220,대원제약,20181205,16450,16750,16450,16650,21918,4498921,-313,16730,16182,17489,18637
A003220,대원제약,20181204,16950,16950,16650,16850,17099,4500495,-85,16710,16118,17538,18662
A003220,대원제약,20181203,16700,17050,16700,16850,62386,4500981,2039,16610,16130,17582,18686
A003220,대원제약,20181130,16450,16750,16450,16700,32363,4501200,9238,16580,16145,17626,18710
A003220,대원제약,20181129,16700,16850,16500,16600,62763,4497516,-16492,16510,16155,17674,18739
A003220,대원제약,20181128,16450,16600,16250,16550,39507,4494641,17148,16570,16148,17718,18766
A003220,대원제약,20181127,16800,16800,16200,16350,100830,4497095,-11107,16430,16128,17759,18794
A003220,대원제약,20181126,16350,16800,16250,16700,39532,4528764,11778,16330,16080,17810,18820
