stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A003340,SK건설,20190129,27800,28450,27650,27950,613,0,0,28050,27988,28469,29675
A003340,SK건설,20190128,28200,28200,27750,28050,215,0,0,28040,27990,28489,29665
A003340,SK건설,20190125,27950,27950,27500,27950,596,0,0,27950,27962,28518,29657
A003340,SK건설,20190124,27850,28300,27500,28300,196,0,0,27960,27980,28547,29645
A003340,SK건설,20190123,29950,29950,27600,28000,649,0,0,27890,27965,28567,29634
A003340,SK건설,20190122,28100,28100,27750,27900,1068,0,0,27890,27965,28600,29642
A003340,SK건설,20190121,28100,28100,27300,27600,271,0,0,27990,27960,28630,29619
A003340,SK건설,20190118,27900,28000,27900,28000,2154,0,0,28010,27985,28670,29689
A003340,SK건설,20190117,28950,28950,27550,27950,42,0,0,28110,27985,28692,29778
A003340,SK건설,20190116,29500,29500,27400,28000,755,0,0,28120,28008,28728,29864
A003340,SK건설,20190115,29550,29550,27500,28400,678,0,0,28180,28040,28763,29952
A003340,SK건설,20190114,29950,29950,27500,27700,313,0,0,28040,28045,28802,30044
A003340,SK건설,20190111,27100,28500,27100,28500,817,0,0,28070,28102,28852,30140
A003340,SK건설,20190110,29050,29050,28000,28000,104,0,0,27980,28088,28889,30229
A003340,SK건설,20190109,28450,28450,27600,28300,1132,0,0,27960,28128,28938,30322
A003340,SK건설,20190108,28950,28950,27500,27700,127,0,0,27830,28195,28981,30411
A003340,SK건설,20190107,27750,28450,27750,27850,511,0,0,27890,28235,29019,30505
A003340,SK건설,20190104,27650,28250,27650,28050,503,0,0,27820,28268,29072,30599
A003340,SK건설,20190103,28950,28950,27100,27900,864,0,0,27870,28340,29130,30693
A003340,SK건설,20190102,32950,32950,27500,27650,343,0,0,27890,28415,29173,30789
A003340,SK건설,20181228,28800,28800,27000,28000,1091,0,0,27960,28508,29241,30889
A003340,SK건설,20181227,29000,29000,27500,27500,807,0,0,27920,28602,29306,30983
A003340,SK건설,20181226,35900,35900,28300,28300,2,0,0,28040,28678,29369,31079
A003340,SK건설,20181224,28000,29000,27500,28000,518,0,0,27980,28708,29424,31176
A003340,SK건설,20181221,29950,29950,27500,28000,841,0,0,28060,28730,29482,31275
A003340,SK건설,20181220,28050,28050,27800,27800,1246,0,0,28190,28730,29555,31367
A003340,SK건설,20181219,28950,28950,27600,28100,2731,0,0,28330,28755,29632,31468
A003340,SK건설,20181218,29900,29900,27950,28000,952,0,0,28480,28785,29714,31571
A003340,SK건설,20181217,28000,28600,27400,28400,359,0,0,28520,28832,29786,31675
A003340,SK건설,20181214,29000,29000,28000,28650,1470,0,0,28600,28842,29852,31776
A003340,SK건설,20181213,28950,28950,28250,28500,520,0,0,28800,28810,29921,31875
A003340,SK건설,20181212,28000,29750,28000,28850,373,0,0,28800,28742,29993,31975
A003340,SK건설,20181211,29000,29750,27100,28200,799,0,0,28730,28750,30054,32072
