stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A003547,대신증권2우B,20190129,8300,8300,8190,8220,3849,327981,-496,8224,8102,8433,8497
A003547,대신증권2우B,20190128,8160,8290,8160,8230,3179,327981,1011,8214,8101,8436,8499
A003547,대신증권2우B,20190125,8300,8300,8230,8250,1262,327981,4,8200,8099,8439,8499
A003547,대신증권2우B,20190124,8150,8250,8150,8250,13091,327981,1550,8176,8117,8439,8500
A003547,대신증권2우B,20190123,8100,8200,8100,8170,11357,329181,-7930,8148,8135,8437,8500
A003547,대신증권2우B,20190122,8070,8220,8070,8170,6949,329181,1818,8134,8157,8440,8502
A003547,대신증권2우B,20190121,8180,8180,8140,8160,8683,329181,-549,8110,8178,8445,8503
A003547,대신증권2우B,20190118,8190,8190,8100,8130,4527,329181,398,8076,8201,8450,8504
A003547,대신증권2우B,20190117,8130,8130,8060,8110,4096,329181,2,8050,8225,8456,8506
A003547,대신증권2우B,20190116,8050,8180,8040,8100,8412,329181,-2957,8028,8250,8463,8508
A003547,대신증권2우B,20190115,8030,8060,7940,8050,8186,329181,28,8016,8275,8470,8511
A003547,대신증권2우B,20190114,8000,8040,7990,7990,4640,329181,1006,8014,8306,8477,8514
A003547,대신증권2우B,20190111,8000,8030,7990,8000,4895,325867,-142,8028,8338,8486,8517
A003547,대신증권2우B,20190110,8030,8030,7950,8000,1742,325867,38,8028,8366,8494,8520
A003547,대신증권2우B,20190109,7970,8060,7970,8040,3598,325867,-1295,8028,8394,8502,8523
A003547,대신증권2우B,20190108,8120,8120,8000,8040,2315,325867,-819,8032,8425,8510,8524
A003547,대신증권2우B,20190107,8140,8140,8000,8060,5014,325867,1681,8066,8456,8518,8526
A003547,대신증권2우B,20190104,7950,8010,7900,8000,9436,325867,2158,8092,8486,8528,8528
A003547,대신증권2우B,20190103,8080,8110,7950,8000,4643,325867,740,8214,8520,8540,8530
A003547,대신증권2우B,20190102,8200,8250,8050,8060,10618,325867,690,8336,8555,8553,8531
A003547,대신증권2우B,20181228,8280,8280,8140,8210,18615,325867,-10216,8446,8585,8564,8532
A003547,대신증권2우B,20181227,8250,8280,8150,8190,16471,325867,8539,8524,8607,8574,8531
A003547,대신증권2우B,20181226,8600,8610,8560,8610,35555,325867,7300,8608,8628,8584,8531
A003547,대신증권2우B,20181224,8600,8610,8560,8610,17893,325867,2793,8608,8629,8588,8527
A003547,대신증권2우B,20181221,8600,8610,8530,8610,17430,325867,0,8608,8630,8591,8523
A003547,대신증권2우B,20181220,8610,8610,8550,8600,9295,325867,6000,8606,8634,8594,8519
A003547,대신증권2우B,20181219,8630,8630,8530,8610,17279,325867,6000,8618,8637,8597,8516
A003547,대신증권2우B,20181218,8560,8610,8480,8610,29476,325867,6000,8622,8640,8600,8513
A003547,대신증권2우B,20181217,8610,8620,8570,8610,5023,325867,0,8614,8642,8603,8509
A003547,대신증권2우B,20181214,8590,8680,8570,8600,2324,325867,0,8606,8643,8606,8506
A003547,대신증권2우B,20181213,8630,8680,8530,8660,3488,325867,600,8616,8646,8609,8502
A003547,대신증권2우B,20181212,8580,8630,8530,8630,7844,325867,600,8616,8642,8610,8498
A003547,대신증권2우B,20181211,8580,8580,8510,8570,2218,325867,0,8622,8642,8612,8495
A003547,대신증권2우B,20181210,8650,8650,8520,8570,5997,325867,0,8646,8645,8615,8492
A003547,대신증권2우B,20181207,8680,8680,8620,8650,7031,325867,0,8670,8647,8617,8491
A003547,대신증권2우B,20181206,8720,8720,8630,8660,3896,325867,0,8672,8645,8618,8488
A003547,대신증권2우B,20181205,8630,8700,8620,8660,8537,326077,3000,8670,8642,8619,8485
A003547,대신증권2우B,20181204,8700,8710,8600,8690,6622,326077,0,8662,8635,8620,8483
A003547,대신증권2우B,20181203,8700,8720,8650,8690,4400,326077,0,8648,8627,8620,8480
A003547,대신증권2우B,20181130,8650,8690,8620,8660,7342,326077,0,8638,8618,8619,8476
A003547,대신증권2우B,20181129,8650,8650,8600,8650,19803,326377,2000,8640,8612,8618,8473
A003547,대신증권2우B,20181128,8620,8630,8600,8620,6109,326377,0,8644,8600,8618,8470
A003547,대신증권2우B,20181127,8650,8650,8610,8620,15984,325867,2000,8654,8589,8618,8468
A003547,대신증권2우B,20181126,8650,8650,8620,8640,6263,325867,0,8658,8570,8617,8465
A003547,대신증권2우B,20181123,8710,8710,8630,8670,3424,325867,0,8658,8546,8616,8462
A003547,대신증권2우B,20181122,8700,8700,8620,8670,4134,325867,0,8654,8531,8614,8459
A003547,대신증권2우B,20181121,8660,8670,8550,8670,6364,325867,0,8640,8519,8612,8457
A003547,대신증권2우B,20181120,8660,8660,8600,8640,4050,325867,0,8632,8510,8610,8454
A003547,대신증권2우B,20181119,8690,8730,8580,8640,77966,325867,0,8628,8502,8608,8452
A003547,대신증권2우B,20181116,8600,8650,8590,8650,82941,325867,0,8622,8496,8604,8450
A003547,대신증권2우B,20181115,8660,8660,8560,8600,13079,325867,0,8614,8488,8599,8448
A003547,대신증권2우B,20181114,8620,8650,8600,8630,4474,325867,0,8612,8484,8594,8447
A003547,대신증권2우B,20181113,8560,8620,8530,8620,5036,325867,0,8592,8479,8588,8445
A003547,대신증권2우B,20181112,8580,8630,8550,8610,5937,325867,0,8574,8472,8582,8444
A003547,대신증권2우B,20181109,8520,8640,8520,8610,8465,325867,0,8554,8466,8578,8443
A003547,대신증권2우B,20181108,8610,8620,8590,8590,6145,325867,0,8538,8460,8574,8442
A003547,대신증권2우B,20181107,8550,8610,8530,8530,8295,325867,0,8506,8456,8570,8440
