stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A003550,LG,20190129,76500,76800,75100,75900,173312,59703032,-40204,76060,72705,71180,70538
A003550,LG,20190128,76700,77600,75700,77100,202032,59671736,5630,75860,72405,71002,70531
A003550,LG,20190125,75400,77200,75000,77100,302555,59669006,-21900,75480,71985,70822,70517
A003550,LG,20190124,73700,75300,73500,75300,241607,59613456,-45281,75160,71600,70593,70508
A003550,LG,20190123,74600,75300,73100,74900,177655,59563837,31005,74980,71410,70385,70504
A003550,LG,20190122,74600,75800,74300,74900,115169,59588561,2716,74860,71245,70170,70516
A003550,LG,20190121,75800,76200,74500,75200,164235,59588511,-1723,74520,71070,69995,70520
A003550,LG,20190118,75100,75500,74400,75500,187690,59579504,27864,73480,70875,69815,70523
A003550,LG,20190117,74600,74900,74000,74400,243924,59577239,-67339,72540,70715,69613,70523
A003550,LG,20190116,73400,74300,72600,74300,190700,59496401,-11010,71740,70720,69453,70531
A003550,LG,20190115,70700,73400,69900,73200,204124,59448802,34959,70940,70695,69295,70525
A003550,LG,20190114,70800,70800,69100,70000,169610,59415879,-33084,70060,70720,69165,70526
A003550,LG,20190111,70800,71000,70000,70800,214367,59385568,-15780,70060,70785,69095,70561
A003550,LG,20190110,70900,72500,70000,70400,358356,59378303,-16861,69800,70620,69002,70572
A003550,LG,20190109,68600,70900,68300,70300,213079,59355749,1818,69400,70510,68922,70592
A003550,LG,20190108,71000,71000,68600,68800,119131,59340322,-27499,68960,70520,68822,70604
A003550,LG,20190107,70100,70600,69000,70000,177297,59326613,44227,69180,70620,68723,70635
A003550,LG,20190104,69600,69800,67500,69500,176280,59331412,7437,68920,70705,68677,70654
A003550,LG,20190103,68200,69700,67600,68400,117519,59337919,-8830,68900,70815,68680,70662
A003550,LG,20190102,69400,70000,67800,68100,135878,59322163,9440,69520,71015,68738,70667
A003550,LG,20181228,69000,70500,68700,69900,145775,59336340,-10187,70220,71220,68810,70682
A003550,LG,20181227,68400,69500,67200,68700,149994,59314467,-37512,70520,71375,68855,70683
A003550,LG,20181226,70700,71400,68700,69400,173278,59339020,-5105,71040,71515,68932,70690
A003550,LG,20181224,71600,72200,70700,71500,135299,59360409,41455,71620,71665,68985,70700
A003550,LG,20181221,72000,72000,70600,71600,331052,59435473,63634,72220,71635,69000,70705
A003550,LG,20181220,71600,72200,70400,71400,180563,59509065,35065,72660,71550,69013,70698
A003550,LG,20181219,72400,73300,71100,71300,289797,59562536,33054,73120,71515,69017,70697
A003550,LG,20181218,74600,74600,72100,72300,331006,59624094,65845,73120,71505,69020,70696
A003550,LG,20181217,74700,75900,74100,74500,332291,59711597,67656,72160,71495,69008,70691
A003550,LG,20181214,74500,74800,72700,73800,383038,59771468,-31677,70900,71410,68962,70669
A003550,LG,20181213,71700,73700,71400,73700,546844,59720476,15898,70240,71265,68935,70642
A003550,LG,20181212,68600,71600,67900,71300,230477,59712646,4724,69660,71025,68897,70642
A003550,LG,20181211,67500,68200,67000,67500,266260,59696181,46954,69740,70905,68902,70654
A003550,LG,20181210,69000,70000,67500,68200,331029,59778028,33628,70580,70935,68958,70719
A003550,LG,20181207,70700,71000,70100,70500,186050,59834849,-10116,71420,70975,69003,70776
A003550,LG,20181206,72500,72500,69800,70800,221289,59848983,-6005,71760,70845,69020,70830
A003550,LG,20181205,71400,72800,70900,71700,157964,59839878,9564,72200,70670,69028,70898
