stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A003830,대한화섬,20190129,107000,109000,105500,108000,244,2104,-22,107300,105200,107767,116492
A003830,대한화섬,20190128,107000,107000,106000,107000,127,2104,-16,106400,105075,107750,116667
A003830,대한화섬,20190125,107500,108500,104500,108500,541,2104,-85,106000,104975,107717,116850
A003830,대한화섬,20190124,105000,107500,105000,107500,227,2104,3,105200,104800,107642,117025
A003830,대한화섬,20190123,103500,105500,103500,105500,201,2114,1,104600,104775,107592,117204
A003830,대한화섬,20190122,105500,105500,103000,103500,848,2114,-11,104300,104900,107642,117404
A003830,대한화섬,20190121,104500,105000,103500,105000,489,2114,-17,104400,105150,107767,117621
A003830,대한화섬,20190118,105000,105000,103000,104500,510,2114,-3,104300,105375,107892,117825
A003830,대한화섬,20190117,104000,106500,103000,104500,261,2114,-26,104500,105500,108033,118038
A003830,대한화섬,20190116,104500,105000,103000,104000,506,2114,-17,104500,105750,108258,118258
A003830,대한화섬,20190115,104500,108000,104000,104000,47,2114,-6,104600,106000,108525,118483
A003830,대한화섬,20190114,105500,105500,103500,104500,56,2114,-2,104700,106275,108800,118721
A003830,대한화섬,20190111,104500,106000,104500,105500,356,2114,11,104800,106525,109075,118954
A003830,대한화섬,20190110,106500,106500,102500,104500,116,2114,-33,104200,106625,109333,119188
A003830,대한화섬,20190109,105000,105000,103500,104500,67,2114,-1,104400,106825,109600,119417
A003830,대한화섬,20190108,104000,104500,102500,104500,546,2114,-13,104600,107075,109867,119650
A003830,대한화섬,20190107,102500,105500,102500,105000,471,2117,8,104800,107375,110092,119879
A003830,대한화섬,20190104,104000,104000,102000,102500,580,2128,-4,104800,107575,110408,120104
A003830,대한화섬,20190103,105500,106000,104000,105500,273,2152,5,105300,107975,110850,120333
A003830,대한화섬,20190102,104000,105500,104000,105500,60,2161,2,105600,108275,111208,120529
A003830,대한화섬,20181228,105000,107000,104500,105500,155,2179,-16,106100,108400,111617,120733
A003830,대한화섬,20181227,106000,107000,104000,105000,181,2200,-2,106700,108725,112042,120933
A003830,대한화섬,20181226,106500,106500,103500,105000,2655,2221,-21,107600,108975,112450,121125
A003830,대한화섬,20181224,109500,109500,106000,107000,535,2245,-16,108000,109200,112867,121308
A003830,대한화섬,20181221,107500,108000,107000,108000,334,2267,-2,108500,109450,113250,121467
A003830,대한화섬,20181220,109500,109500,107500,108500,163,2289,-5,108700,109500,113608,121629
A003830,대한화섬,20181219,107000,109500,106500,109500,103,2313,19,108900,109675,113950,121783
A003830,대한화섬,20181218,111000,111000,106000,107000,1112,2336,6,108900,109800,114292,121925
A003830,대한화섬,20181217,109000,109500,108000,109500,468,2357,31,109000,109975,114708,122117
A003830,대한화섬,20181214,109000,109000,108000,109000,388,2361,-66,108800,110150,115033,122296
A003830,대한화섬,20181213,108000,109500,106500,109500,1623,2268,27,108900,110300,115400,122488
A003830,대한화섬,20181212,108500,109500,106000,109500,257,2296,27,109100,110450,115758,122683
A003830,대한화섬,20181211,107000,107500,106000,107500,139,2325,2,109000,110400,116058,122862
A003830,대한화섬,20181210,108500,108500,105500,108500,367,2369,-44,109600,110425,116408,123079
A003830,대한화섬,20181207,110500,113000,106000,109500,246,2404,-21,110200,110350,116742,123262
A003830,대한화섬,20181206,109000,110500,107000,110500,767,2424,8,109900,110325,117058,123458
A003830,대한화섬,20181205,110000,110000,108500,109000,527,2424,-42,110200,110200,117375,123679
A003830,대한화섬,20181204,112500,112500,109500,110500,256,2424,-66,110400,110050,117700,123929
A003830,대한화섬,20181203,109500,112000,108000,111500,983,2424,-25,110200,109875,117983,124175
A003830,대한화섬,20181130,109500,112000,108000,108000,171,2457,0,110300,109650,118250,124408
A003830,대한화섬,20181129,110000,112000,108500,112000,32,2457,2,110500,109700,118583,124654
A003830,대한화섬,20181128,110000,110000,107000,110000,885,2457,-224,110500,109450,118842,124862
A003830,대한화섬,20181127,110500,110500,108000,109500,358,2457,-122,110900,109200,119158,125121
A003830,대한화섬,20181126,109000,113500,108000,112000,83,2473,0,111100,108925,119458,125396
A003830,대한화섬,20181123,112500,112500,109000,109000,227,2475,-93,111300,108550,119683,125633
A003830,대한화섬,20181122,114000,114000,110500,112000,182,2492,34,111900,108525,119958,125896
