stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A003920,남양유업,20190129,619000,628000,618000,621000,407,160737,-65,622800,627050,633000,635658
A003920,남양유업,20190128,617000,626000,616000,625000,549,160739,-7,621800,627200,632617,635900
A003920,남양유업,20190125,614000,630000,614000,623000,1001,160763,-113,620400,628450,632217,636033
A003920,남양유업,20190124,620000,628000,615000,617000,888,160340,-359,619400,629800,632067,636133
A003920,남양유업,20190123,620000,629000,615000,628000,934,160449,87,618600,631950,632167,636267
A003920,남양유업,20190122,616000,625000,616000,616000,483,160246,-107,616600,633400,631950,636325
A003920,남양유업,20190121,617000,624000,614000,618000,486,160160,14,619200,635600,632150,636517
A003920,남양유업,20190118,621000,623000,613000,618000,487,159750,-122,623000,637900,632450,636617
A003920,남양유업,20190117,619000,623000,613000,613000,779,159651,-382,629000,640000,632383,636717
A003920,남양유업,20190116,628000,637000,617000,618000,922,159557,-485,635600,642800,632600,636800
A003920,남양유업,20190115,647000,649000,629000,629000,825,159533,-149,641600,645450,632783,636800
A003920,남양유업,20190114,642000,656000,636000,637000,523,159237,-138,644600,646650,632783,636767
A003920,남양유업,20190111,642000,659000,637000,648000,467,159258,-44,643800,648500,632967,636742
A003920,남양유업,20190110,643000,657000,637000,646000,543,159203,-94,640400,649150,632800,636567
A003920,남양유업,20190109,640000,670000,639000,648000,927,159138,113,633400,649700,632633,636458
A003920,남양유업,20190108,642000,651000,632000,644000,483,158792,123,627200,649950,632433,636300
A003920,남양유업,20190107,637000,642000,627000,633000,543,158687,92,623200,650600,632617,636117
A003920,남양유업,20190104,615000,637000,615000,631000,738,158576,265,626600,651600,633417,636083
A003920,남양유업,20190103,617000,619000,607000,611000,616,158668,-115,630400,652200,634300,636117
A003920,남양유업,20190102,624000,627000,605000,617000,775,158581,27,640200,653800,635500,636358
A003920,남양유업,20181228,642000,642000,624000,624000,730,158829,-152,648200,655450,636367,636508
A003920,남양유업,20181227,637000,650000,630000,650000,958,159076,165,655400,656650,636933,636567
A003920,남양유업,20181226,660000,660000,639000,650000,565,159513,167,658200,656550,636983,636383
A003920,남양유업,20181224,657000,662000,648000,660000,401,159806,65,660200,655750,636950,636250
A003920,남양유업,20181221,655000,665000,653000,657000,766,159997,138,662000,654900,636683,636117
A003920,남양유업,20181220,670000,676000,652000,660000,657,160174,-88,664800,654250,636583,636050
A003920,남양유업,20181219,660000,673000,653000,664000,678,160316,165,663400,653500,636250,635892
A003920,남양유업,20181218,670000,679000,649000,660000,788,160533,233,665400,652650,636000,635767
A003920,남양유업,20181217,677000,689000,665000,669000,951,160878,204,665600,651750,635767,635717
A003920,남양유업,20181214,650000,671000,648000,671000,1182,161216,361,663200,650000,635317,635525
A003920,남양유업,20181213,673000,674000,653000,653000,2269,160710,-497,659600,647100,634833,635333
A003920,남양유업,20181212,661000,677000,656000,674000,1222,160683,392,660400,644400,634533,635333
A003920,남양유업,20181211,649000,669000,649000,661000,708,160596,355,656200,640900,633867,635225
A003920,남양유업,20181210,643000,658000,641000,657000,901,160742,218,652600,637450,633283,635217
A003920,남양유업,20181207,657000,661000,644000,653000,450,160461,0,649800,634300,632767,635367
A003920,남양유업,20181206,653000,660000,646000,657000,511,160545,30,649200,631250,632433,635550
A003920,남양유업,20181205,645000,660000,642000,653000,1187,160332,453,647400,628250,631867,635683
A003920,남양유업,20181204,644000,649000,639000,643000,1397,160072,650,646400,624900,631383,635958
A003920,남양유업,20181203,649000,653000,641000,643000,761,159867,163,644600,622300,631100,636167
A003920,남양유업,20181130,648000,650000,640000,650000,684,160021,-15,644600,619250,630967,636383
A003920,남양유업,20181129,648000,650000,637000,648000,749,160012,134,643400,616500,630667,636450
A003920,남양유업,20181128,634000,648000,624000,648000,827,159988,3,642800,614000,630333,636492
A003920,남양유업,20181127,643000,643000,630000,634000,282,160076,-61,642600,611650,630067,636558
A003920,남양유업,20181126,644000,652000,640000,643000,489,160182,-1,644200,610650,630033,636733
A003920,남양유업,20181123,644000,649000,642000,644000,550,160495,172,642400,609650,629833,636925
A003920,남양유업,20181122,647000,650000,630000,645000,630,160612,-87,636200,608200,629633,637092
A003920,남양유업,20181121,641000,653000,630000,647000,658,160307,178,627000,607350,629450,637325
A003920,남양유업,20181120,634000,645000,629000,642000,621,160418,324,618400,606800,629233,637550
A003920,남양유업,20181119,620000,634000,613000,634000,866,160337,443,608400,605400,629183,637833
A003920,남양유업,20181116,607000,617000,595000,613000,635,160498,39,600400,605000,629300,638183
