stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A004105,태양금속우,20190129,3595,3620,3545,3565,73666,104805,0,3553,3356,3396,3414
A004105,태양금속우,20190128,3560,3640,3545,3595,94510,105194,0,3528,3336,3385,3414
A004105,태양금속우,20190125,3545,3605,3510,3550,93091,95643,0,3489,3314,3374,3413
A004105,태양금속우,20190124,3520,3745,3485,3550,276993,82097,0,3467,3290,3361,3413
A004105,태양금속우,20190123,3440,4150,3440,3505,1727885,79777,0,3427,3273,3348,3413
A004105,태양금속우,20190122,3365,3500,3355,3440,49112,63803,0,3424,3259,3340,3413
A004105,태양금속우,20190121,3500,3545,3340,3400,42136,64129,0,3434,3252,3332,3413
A004105,태양금속우,20190118,3300,3500,3300,3440,86051,58738,0,3417,3251,3326,3414
A004105,태양금속우,20190117,3500,3500,3350,3350,111295,42468,0,3399,3254,3322,3414
A004105,태양금속우,20190116,3450,3525,3400,3490,134112,36817,0,3380,3249,3320,3415
A004105,태양금속우,20190115,3360,3780,3360,3490,999072,20831,0,3328,3236,3317,3416
A004105,태양금속우,20190114,3355,3395,3255,3315,167487,22657,0,3250,3225,3314,3416
A004105,태양금속우,20190111,3290,3995,3290,3350,2700311,19999,0,3202,3220,3313,3418
A004105,태양금속우,20190110,3230,3285,3175,3255,16493,27322,0,3159,3213,3312,3419
A004105,태양금속우,20190109,3140,3270,3105,3230,46808,29766,0,3134,3218,3312,3422
A004105,태양금속우,20190108,3065,3135,3060,3100,20113,24646,0,3119,3226,3312,3426
A004105,태양금속우,20190107,3180,3180,3075,3075,40466,22937,0,3134,3242,3313,3430
A004105,태양금속우,20190104,3060,3145,3060,3135,21046,22469,0,3146,3263,3316,3433
A004105,태양금속우,20190103,3130,3190,3100,3130,32036,20778,0,3136,3280,3321,3435
A004105,태양금속우,20190102,3225,3225,3135,3155,26351,23299,0,3151,3298,3326,3438
A004105,태양금속우,20181228,3105,3220,3070,3175,38220,21994,0,3166,3314,3333,3441
A004105,태양금속우,20181227,3365,3365,3105,3135,35856,16353,0,3188,3330,3340,3444
A004105,태양금속우,20181226,3160,3190,3080,3085,58121,16003,0,3240,3348,3348,3447
A004105,태양금속우,20181224,3245,3245,3165,3205,46232,21881,0,3322,3368,3358,3450
A004105,태양금속우,20181221,3245,3350,3225,3230,72416,25704,0,3330,3384,3367,3455
A004105,태양금속우,20181220,3360,3490,3250,3285,162350,22515,0,3331,3399,3372,3458
A004105,태양금속우,20181219,3690,3740,3360,3395,857388,22321,0,3327,3406,3377,3462
A004105,태양금속우,20181218,3275,4000,3245,3495,3034832,10503,0,3291,3412,3380,3467
A004105,태양금속우,20181217,3235,3255,3205,3245,20893,20602,0,3236,3422,3383,3471
A004105,태양금속우,20181214,3265,3280,3205,3235,18398,19068,0,3257,3442,3391,3476
A004105,태양금속우,20181213,3200,3290,3200,3265,16358,20238,0,3290,3468,3399,3485
A004105,태양금속우,20181212,3265,3265,3170,3215,25791,15862,0,3318,3496,3408,3491
A004105,태양금속우,20181211,3355,3355,3210,3220,53685,12465,0,3375,3534,3416,3497
A004105,태양금속우,20181210,3330,3465,3310,3350,25831,18689,0,3425,3592,3426,3505
A004105,태양금속우,20181207,3425,3425,3310,3400,34299,20273,0,3454,3594,3432,3510
A004105,태양금속우,20181206,3490,3540,3305,3405,51142,13029,0,3469,3585,3437,3516
A004105,태양금속우,20181205,3495,3520,3410,3500,48467,23736,0,3487,3584,3439,3518
A004105,태양금속우,20181204,3535,3535,3465,3470,42162,20432,0,3488,3580,3439,3522
A004105,태양금속우,20181203,3495,3550,3450,3495,52376,16510,0,3487,3561,3440,3525
A004105,태양금속우,20181130,3495,3535,3365,3475,72481,14750,0,3495,3541,3439,3530
A004105,태양금속우,20181129,3540,3540,3400,3495,54301,14485,0,3506,3518,3440,3535
A004105,태양금속우,20181128,3480,3540,3425,3505,56009,15166,0,3493,3489,3440,3540
A004105,태양금속우,20181127,3585,3600,3430,3465,102311,13217,0,3495,3458,3439,3547
A004105,태양금속우,20181126,3500,3615,3465,3535,62041,5035,0,3539,3424,3438,3554
A004105,태양금속우,20181123,3435,3630,3400,3530,167326,939,0,3564,3387,3438,3559
A004105,태양금속우,20181122,3515,3635,3430,3430,117172,2486,0,3608,3362,3438,3566
A004105,태양금속우,20181121,3710,3885,3505,3515,362964,10040,0,3687,3337,3441,3579
A004105,태양금속우,20181120,3600,3760,3545,3685,203364,7109,0,3776,3315,3440,3591
A004105,태양금속우,20181119,3825,3860,3650,3660,203707,6111,0,3919,3290,3440,3599
A004105,태양금속우,20181116,3890,3890,3610,3750,409915,13817,0,3864,3270,3441,3616
A004105,태양금속우,20181115,4030,4250,3750,3825,851996,8527,0,3757,3247,3436,3634
A004105,태양금속우,20181114,4655,4700,3830,3960,1369046,22851,0,3667,3220,3428,3641
A004105,태양금속우,20181113,3395,4400,3275,4400,1984793,32349,0,3560,3186,3419,3643
A004105,태양금속우,20181112,3240,3550,3115,3385,96313,43069,0,3298,3130,3402,3638
A004105,태양금속우,20181109,3365,3370,3190,3215,41590,47608,0,3240,3124,3403,3644
A004105,태양금속우,20181108,3410,3410,3270,3375,73479,49212,0,3201,3125,3406,3653
A004105,태양금속우,20181107,3135,3725,3105,3425,458385,52325,0,3109,3115,3407,3661
A004105,태양금속우,20181106,3155,3155,3065,3090,4729,54337,0,3003,3105,3408,3665
A004105,태양금속우,20181105,3045,3165,2990,3095,13748,55117,0,2942,3122,3415,3669
A004105,태양금속우,20181102,2915,3050,2915,3020,14616,55597,0,2881,3141,3422,3674
