stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A004540,깨끗한나라,20190129,3365,3390,3290,3380,54829,827957,-79,3396,3274,3270,3532
A004540,깨끗한나라,20190128,3350,3395,3330,3365,50681,826284,-47,3400,3257,3266,3536
A004540,깨끗한나라,20190125,3370,3430,3350,3410,31993,819449,-8,3413,3240,3261,3540
A004540,깨끗한나라,20190124,3410,3455,3365,3410,28390,812513,-5,3394,3217,3254,3545
A004540,깨끗한나라,20190123,3400,3475,3355,3415,40228,814721,29,3366,3198,3246,3550
A004540,깨끗한나라,20190122,3450,3515,3380,3400,80061,813016,-84,3342,3183,3240,3554
A004540,깨끗한나라,20190121,3330,3435,3315,3430,82890,825438,-457,3325,3170,3236,3557
A004540,깨끗한나라,20190118,3270,3340,3240,3315,44084,810258,53,3301,3158,3234,3560
A004540,깨끗한나라,20190117,3290,3300,3235,3270,43080,793368,-51,3298,3148,3236,3563
A004540,깨끗한나라,20190116,3345,3360,3270,3295,46861,789473,12,3291,3140,3240,3568
A004540,깨끗한나라,20190115,3295,3345,3265,3315,59567,786405,-159,3271,3133,3243,3573
A004540,깨끗한나라,20190114,3345,3345,3265,3310,49864,774972,-39,3234,3128,3246,3578
A004540,깨끗한나라,20190111,3235,3360,3225,3300,117344,765113,142,3191,3119,3249,3584
A004540,깨끗한나라,20190110,3200,3240,3200,3235,37168,778266,67,3145,3107,3251,3590
A004540,깨끗한나라,20190109,3125,3230,3100,3195,111542,775518,-9,3112,3104,3254,3597
A004540,깨끗한나라,20190108,3075,3185,3075,3130,62041,758368,-216,3087,3109,3257,3603
A004540,깨끗한나라,20190107,3060,3150,3015,3095,67172,754678,502,3070,3118,3260,3610
A004540,깨끗한나라,20190104,3065,3080,3025,3070,38139,739376,-203,3054,3131,3270,3618
A004540,깨끗한나라,20190103,3090,3095,3030,3070,21289,738543,134,3030,3146,3283,3625
A004540,깨끗한나라,20190102,3175,3175,3055,3070,38198,736879,-21,3024,3158,3296,3632
A004540,깨끗한나라,20181228,3050,3065,3020,3045,29546,744587,-137,3032,3170,3308,3638
A004540,깨끗한나라,20181227,2955,3075,2955,3015,16410,742821,-23,3050,3187,3322,3646
A004540,깨끗한나라,20181226,3040,3055,2935,2950,61933,739566,181,3086,3204,3338,3652
A004540,깨끗한나라,20181224,3110,3110,3015,3040,46365,757918,-558,3117,3225,3356,3660
A004540,깨끗한나라,20181221,3120,3180,3065,3110,33644,764205,-915,3131,3240,3372,3669
A004540,깨끗한나라,20181220,3210,3210,3115,3135,31898,764278,-218,3141,3247,3386,3680
A004540,깨끗한나라,20181219,3105,3220,3050,3195,55880,767945,66,3156,3257,3400,3692
A004540,깨끗한나라,20181218,3090,3170,3070,3105,41489,766991,163,3146,3266,3413,3707
A004540,깨끗한나라,20181217,3105,3160,3095,3110,50819,766959,1073,3136,3281,3430,3722
A004540,깨끗한나라,20181214,3210,3215,3055,3160,40217,759420,678,3149,3296,3448,3736
A004540,깨끗한나라,20181213,3145,3220,3100,3210,40971,763675,772,3177,3307,3466,3749
A004540,깨끗한나라,20181212,3100,3155,3060,3145,38668,750464,804,3197,3316,3484,3761
A004540,깨끗한나라,20181211,3235,3235,3055,3055,61839,740331,320,3238,3330,3500,3773
A004540,깨끗한나라,20181210,3280,3280,3170,3175,49816,734851,74,3299,3348,3517,3788
A004540,깨끗한나라,20181207,3370,3370,3280,3300,23296,739168,186,3329,3362,3533,3802
A004540,깨끗한나라,20181206,3380,3380,3250,3310,49881,742142,69,3332,3365,3544,3814
