stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A005010,휴스틸,20190129,12750,12950,12500,12600,20185,462939,-139,12920,12375,11920,12797
A005010,휴스틸,20190128,13050,13200,12800,12800,18704,462715,-2929,12940,12322,11895,12810
A005010,휴스틸,20190125,13200,13350,13000,13200,18965,467683,-3025,13000,12252,11869,12818
A005010,휴스틸,20190124,12700,13400,12700,13200,76512,468245,-2284,12940,12175,11835,12825
A005010,휴스틸,20190123,12650,12800,12500,12800,24426,472933,307,12840,12115,11793,12829
A005010,휴스틸,20190122,13050,13150,12700,12700,28723,469196,-61,12870,12072,11771,12838
A005010,휴스틸,20190121,13500,13500,13100,13100,57947,464762,5848,12860,12030,11758,12845
A005010,휴스틸,20190118,12700,12950,12600,12900,22359,469795,212,12700,11982,11740,12848
A005010,휴스틸,20190117,12950,12950,12550,12700,26689,462486,4376,12560,11938,11732,12849
A005010,휴스틸,20190116,12650,13000,12650,12950,44884,465858,-420,12390,11902,11733,12854
A005010,휴스틸,20190115,12350,12650,12250,12650,35036,458605,15277,12190,11858,11731,12858
A005010,휴스틸,20190114,12150,12500,12100,12300,31868,455427,-3007,11970,11835,11731,12868
A005010,휴스틸,20190111,12100,12250,11900,12200,25253,450477,133,11840,11820,11739,12885
A005010,휴스틸,20190110,12200,12200,11800,11850,12088,447202,-390,11680,11792,11739,12905
A005010,휴스틸,20190109,11550,12200,11550,11950,42227,446165,1040,11610,11782,11741,12930
A005010,휴스틸,20190108,11800,11850,11500,11550,15948,441630,29,11520,11782,11740,12951
A005010,휴스틸,20190107,11450,11850,11450,11650,17399,440004,67,11520,11792,11746,12977
A005010,휴스틸,20190104,11250,11500,11250,11400,15660,436396,-43,11470,11805,11768,13000
A005010,휴스틸,20190103,11500,11700,11350,11500,16351,438566,34,11520,11835,11810,13020
A005010,휴스틸,20190102,11850,11850,11300,11500,21867,439033,36,11620,11860,11852,13048
A005010,휴스틸,20181228,11500,11650,11350,11550,8301,436557,38,11710,11875,11901,13071
A005010,휴스틸,20181227,11650,11650,11350,11400,30459,433750,37,11770,11890,11948,13097
A005010,휴스틸,20181226,11950,12050,11600,11650,37764,433191,-9782,11920,11902,11997,13127
A005010,휴스틸,20181224,12000,12150,11850,12000,24036,435674,-5618,11990,11908,12042,13150
A005010,휴스틸,20181221,11800,12000,11800,11950,12878,438505,-84,11990,11880,12083,13180
A005010,휴스틸,20181220,12100,12100,11850,11850,10700,439692,-43,12010,11852,12132,13210
A005010,휴스틸,20181219,11950,12150,11850,12150,7932,439609,585,12080,11832,12177,13243
A005010,휴스틸,20181218,12000,12050,11750,12000,15637,438421,39,12050,11805,12217,13280
A005010,휴스틸,20181217,11950,12050,11850,12000,4560,459522,612,11980,11782,12268,13335
A005010,휴스틸,20181214,12200,12250,11900,12050,15268,459159,2608,11910,11760,12321,13395
A005010,휴스틸,20181213,12000,12200,11950,12200,22679,458272,2658,11890,11725,12380,13465
A005010,휴스틸,20181212,11500,12050,11500,12000,31025,454935,7231,11800,11680,12435,13550
A005010,휴스틸,20181211,11650,11700,11200,11650,39953,444191,-7955,11780,11642,12492,13638
A005010,휴스틸,20181210,11750,11850,11500,11650,24658,450187,-146,11850,11622,12552,13741
A005010,휴스틸,20181207,11900,12050,11800,11950,16275,448446,-267,11920,11605,12616,13798
A005010,휴스틸,20181206,11850,12650,11750,11750,111429,444326,80,11890,11578,12658,13841
A005010,휴스틸,20181205,12000,12000,11750,11900,15618,459979,-802,11910,11578,12701,13886
A005010,휴스틸,20181204,12100,12100,11900,12000,10832,458627,-478,11860,11552,12745,13930
A005010,휴스틸,20181203,11900,12050,11800,12000,20748,458695,28,11810,11538,12790,13976
A005010,휴스틸,20181130,11850,11900,11600,11800,11951,457494,3,11700,11520,12839,14027
A005010,휴스틸,20181129,11700,11950,11650,11850,18696,458965,150,11620,11510,12882,14072
A005010,휴스틸,20181128,11700,11850,11450,11650,15063,458892,-73,11540,11472,12933,14114
A005010,휴스틸,20181127,11450,11750,11450,11750,13369,459934,2040,11530,11452,12961,14158
A005010,휴스틸,20181126,11450,11650,11400,11450,17919,455419,-29,11490,11422,12987,14200
A005010,휴스틸,20181123,11450,11600,11350,11400,9020,458808,-3,11510,11385,13018,14248
A005010,휴스틸,20181122,11500,11650,11350,11450,16738,458813,1026,11500,11388,13059,14297
A005010,휴스틸,20181121,11400,11650,11350,11600,12440,461970,21,11470,11412,13100,14341
A005010,휴스틸,20181120,11400,11550,11400,11550,12496,461653,247,11400,11432,13136,14372
A005010,휴스틸,20181119,11400,11600,11350,11550,19748,459738,275,11340,11475,13173,14411
A005010,휴스틸,20181116,11400,11400,11250,11350,13263,454354,140,11290,11538,13207,14455
A005010,휴스틸,20181115,11250,11400,11100,11300,19499,450404,162,11300,11610,13250,14503
A005010,휴스틸,20181114,11300,11350,11100,11250,12637,448095,201,11390,11678,13297,14553
A005010,휴스틸,20181113,11100,11250,10900,11250,24462,450099,0,11420,11755,13340,14600
A005010,휴스틸,20181112,11250,11400,11200,11300,17683,454659,767,11510,11802,13377,14645
A005010,휴스틸,20181109,11600,11750,11250,11400,31739,453517,593,11580,11835,13424,14698
A005010,휴스틸,20181108,11450,11800,11450,11750,18121,452069,18,11620,11860,13468,14735
A005010,휴스틸,20181107,11700,11950,11300,11400,44706,445524,957,11490,11868,13508,14761
A005010,휴스틸,20181106,11700,11850,11450,11700,23693,459017,-1357,11460,11945,13556,14790
A005010,휴스틸,20181105,11500,11700,11200,11650,25214,459515,8898,11350,12058,13598,14812
A005010,휴스틸,20181102,11200,11650,11200,11600,21450,460087,-558,11160,12175,13638,14835
A005010,휴스틸,20181101,11250,11550,11100,11100,23041,453690,-4046,11130,12318,13674,14868
A005010,휴스틸,20181031,11150,11350,10800,11250,20363,450255,5800,11300,12480,13724,14899
A005010,휴스틸,20181030,10350,11250,10050,11150,95664,451885,-16381,11450,12635,13767,14932
A005010,휴스틸,20181029,11250,11500,10650,10700,67738,421868,7890,11700,12795,13815,14966
A005010,휴스틸,20181026,12000,12250,11400,11450,55647,430012,-1398,12120,12985,13865,14996
A005010,휴스틸,20181025,11600,12000,11400,11950,52957,437904,6244,12390,13155,13904,15019
A005010,휴스틸,20181024,12600,12750,12000,12000,63629,432175,18711,12530,13285,13931,15038
A005010,휴스틸,20181023,12850,12900,12200,12400,30890,428620,-68,12690,13412,13956,15056
A005010,휴스틸,20181022,12600,13000,12400,12800,37722,431948,-498,12650,13548,13966,15069
A005010,휴스틸,20181019,12500,12900,12400,12800,17444,434840,1,12480,13665,13975,15078
A005010,휴스틸,20181018,12900,13050,12650,12650,22932,433606,-287,12300,13805,13985,15087
A005010,휴스틸,20181017,12300,12900,12300,12800,48543,433509,11753,12150,13948,14005,15092
A005010,휴스틸,20181016,11950,12600,11950,12200,46262,427368,11951,12180,14080,14031,15092
A005010,휴스틸,20181015,11950,12150,11750,11950,32331,425404,-3668,12530,14232,14070,15098
A005010,휴스틸,20181012,11650,12100,11650,11900,97018,420851,-23091,12940,14408,14120,15107
A005010,휴스틸,20181011,12300,12450,11900,11900,149542,408939,-6673,13450,14535,14162,15114
A005010,휴스틸,20181010,13900,13950,12700,12950,143985,402353,-56889,13940,14658,14208,15122
A005010,휴스틸,20181008,13800,14200,13800,13950,34539,402488,7058,14220,14738,14232,15121
A005010,휴스틸,20181005,14300,14450,13850,14000,46830,400146,3901,14300,14775,14230,15111
A005010,휴스틸,20181004,14550,14800,14150,14450,61230,403086,3239,14400,14822,14243,15103
A005010,휴스틸,20181002,14350,14600,14250,14350,40827,409911,543,14480,14820,14241,15091
A005010,휴스틸,20181001,14250,14600,14150,14350,36257,404261,5836,14520,14848,14247,15080
A005010,휴스틸,20180928,14300,14400,14000,14350,82069,401010,9391,14560,14795,14258,15072
A005010,휴스틸,20180927,15000,15050,14450,14500,59625,394834,-433,14710,14742,14258,15063
A005010,휴스틸,20180921,14600,14950,14550,14850,48117,400376,-1260,14840,14682,14278,15055
A005010,휴스틸,20180920,14700,14850,14200,14550,62226,388691,2943,14990,14635,14288,15042
A005010,휴스틸,20180919,15100,15150,14500,14550,75403,385730,-1264,15180,14602,14309,15032
A005010,휴스틸,20180918,15200,15250,14900,15100,57775,388443,4800,15360,14562,14344,15023
A005010,휴스틸,20180917,15700,15800,15100,15150,68000,382305,-7731,15390,14498,14402,15010
A005010,휴스틸,20180914,15300,15700,15200,15600,71093,379098,21849,15450,14418,14469,14993
