stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A005385,현대차우,20190129,75500,77000,75300,77000,31517,16702343,-4151,76860,73160,68042,71858
A005385,현대차우,20190128,75500,77100,74300,75700,46827,16696951,5007,76640,72820,67873,71898
A005385,현대차우,20190125,77000,77900,75900,77300,42167,16715099,-2917,76540,72485,67722,71949
A005385,현대차우,20190124,76800,77500,75000,77500,60166,16712050,1930,76400,72135,67518,71986
A005385,현대차우,20190123,74900,76800,74900,76800,18442,16714988,-3393,75840,71825,67285,72016
A005385,현대차우,20190122,75600,76200,74800,75900,21696,16710702,-2880,74980,71535,67077,72060
A005385,현대차우,20190121,76800,76800,74100,75200,23555,16706815,624,74400,71255,66845,72108
A005385,현대차우,20190118,75300,76600,74400,76600,42987,16714790,-1980,73300,71055,66680,72168
A005385,현대차우,20190117,73000,75100,72300,74700,57248,16699001,-5930,72160,70685,66497,72218
A005385,현대차우,20190116,73000,73000,71700,72500,27123,16670083,3736,71320,70375,66363,72275
A005385,현대차우,20190115,70300,73000,69000,73000,64676,16663300,-24091,71020,70245,66252,72345
A005385,현대차우,20190114,71100,71200,68900,69700,58262,16629062,-3586,70400,70100,66152,72411
A005385,현대차우,20190111,70900,71800,70000,70900,34629,16628139,-2177,70500,69980,66140,72518
A005385,현대차우,20190110,70400,71000,69500,70500,56598,16627222,6589,70400,69690,66098,72608
A005385,현대차우,20190109,70500,71100,69900,71000,98016,16637012,35657,70260,69460,66043,72688
A005385,현대차우,20190108,70800,71100,69200,69900,33228,16673439,2661,69780,69245,66015,72754
A005385,현대차우,20190107,71200,71200,69700,70200,50093,16679453,18718,69840,69095,66005,72824
A005385,현대차우,20190104,69200,70800,67000,70400,133978,16697045,53990,69600,68880,66035,72898
A005385,현대차우,20190103,69800,70400,68700,69800,51796,16762729,4698,69580,68660,66085,72967
A005385,현대차우,20190102,70200,70300,68100,68600,33150,16764364,-3781,69880,68480,66183,73027
A005385,현대차우,20181228,69300,70300,68100,70200,39919,16758872,7910,70360,68340,66315,73091
A005385,현대차우,20181227,69000,69400,68200,69000,23369,16756430,1330,70380,67965,66443,73141
A005385,현대차우,20181226,70800,70800,68900,70300,38681,16765168,-5060,70820,67610,66595,73222
A005385,현대차우,20181224,71300,71400,70500,71300,20954,16770598,-478,70600,67145,66728,73298
A005385,현대차우,20181221,69800,71000,69700,71000,70496,16774776,1270,70040,66540,66850,73390
A005385,현대차우,20181220,70800,71100,69600,70300,82195,16768242,18224,69820,65890,66957,73480
A005385,현대차우,20181219,69700,71300,69300,71200,47056,16794809,2845,69780,65265,67103,73584
A005385,현대차우,20181218,68100,69700,67700,69200,43487,16781484,7866,69000,64720,67233,73694
A005385,현대차우,20181217,69800,69800,67200,68500,49132,16787481,-2096,68180,64275,67405,73818
A005385,현대차우,20181214,70000,70000,68200,69900,29794,16799567,-919,67660,64010,67585,73942
A005385,현대차우,20181213,67600,70100,67300,70100,109026,16797404,2662,67020,63710,67745,74040
A005385,현대차우,20181212,65800,68800,64700,67300,128693,16770820,18916,66380,63430,67892,74155
A005385,현대차우,20181211,65200,65500,64100,65100,39070,16806413,3021,66100,63225,68083,74298
A005385,현대차우,20181210,66500,66600,65400,65900,47186,16816112,4409,66280,63110,68317,74465
A005385,현대차우,20181207,66900,66900,66000,66700,33804,16832321,-1637,66340,62990,68563,74622
A005385,현대차우,20181206,66200,67600,64600,66900,73744,16838188,21131,66160,62945,68802,74788
A005385,현대차우,20181205,65000,66000,64600,65900,22667,16858446,-902,65320,62865,69020,74971
A005385,현대차우,20181204,66000,66100,65000,66000,52358,16866944,-162,64520,62775,69243,75158
A005385,현대차우,20181203,66300,66700,65700,66200,45861,16873044,22944,63520,62745,69447,75346
A005385,현대차우,20181130,63000,66800,63000,65800,149869,16900020,14392,62120,62625,69647,75544
A005385,현대차우,20181129,62300,62700,61600,62700,41385,16895970,-8837,60560,62625,69855,75762
A005385,현대차우,20181128,61000,61900,60200,61900,56012,16874206,-1741,59580,62835,70115,76006
A005385,현대차우,20181127,59200,61300,58900,61000,105470,16864787,-3760,59260,63070,70392,76242
A005385,현대차우,20181126,58000,59200,57500,59200,43227,16875457,-3721,59120,63275,70677,76479
A005385,현대차우,20181123,57400,58400,57300,58000,50232,16871900,5345,59920,63490,70995,76710
A005385,현대차우,20181122,60500,60500,57000,57800,81269,16884811,-7911,61100,63805,71345,76968
A005385,현대차우,20181121,59800,60700,59000,60300,46623,16893779,-6371,62440,64015,71707,77222
A005385,현대차우,20181120,62400,62400,60100,60300,63874,16888133,916,63020,64265,72035,77458
A005385,현대차우,20181119,64400,64400,62600,63200,29167,16916393,2083,63520,64530,72365,77696
A005385,현대차우,20181116,64800,65000,63200,63900,46914,16929221,4060,63580,64705,72650,77931
A005385,현대차우,20181115,63600,64500,62200,64500,62616,16944957,-2118,63960,64800,72933,78182
A005385,현대차우,20181114,63300,64000,61600,63200,32701,16951579,-706,64120,64925,73193,78422
A005385,현대차우,20181113,62500,63300,61200,62800,42123,16946225,-1674,64300,65215,73482,78681
A005385,현대차우,20181112,65800,65800,62900,63500,64911,16954886,-4325,64820,65495,73775,78953
A005385,현대차우,20181109,65000,67800,64800,65800,25131,16970178,9162,64880,65680,74082,79202
