stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A005420,코스모화학,20190129,12900,15850,12800,15650,4626536,303155,308148,13020,12328,13520,16140
A005420,코스모화학,20190128,12700,13300,12600,12900,436524,469100,-19550,12290,12150,13505,16184
A005420,코스모화학,20190125,12050,12900,11900,12700,630466,477611,7811,12110,12108,13528,16250
A005420,코스모화학,20190124,11900,12050,11750,12000,107814,361126,467,11940,12080,13553,16318
A005420,코스모화학,20190123,11950,12250,11850,11850,137002,353791,63,11900,12090,13588,16405
A005420,코스모화학,20190122,12050,12400,11950,12000,206357,344047,-4312,12020,12118,13662,16498
A005420,코스모화학,20190121,11900,12100,11850,12000,159794,357490,-3589,12100,12112,13756,16585
A005420,코스모화학,20190118,11900,12050,11650,11850,235562,315142,-22230,12130,12110,13859,16663
A005420,코스모화학,20190117,12600,12600,11600,11800,347143,270964,-41967,12250,12088,13976,16743
A005420,코스모화학,20190116,12500,12550,12250,12450,133929,364577,-7128,12350,12058,14110,16831
A005420,코스모화학,20190115,12150,12550,12100,12400,212385,356431,346,12390,12022,14221,16921
A005420,코스모화학,20190114,12500,12500,12000,12150,217059,331858,-48357,12360,12040,14325,17006
A005420,코스모화학,20190111,12450,13200,12350,12450,511770,350681,-33463,12400,12038,14437,17098
A005420,코스모화학,20190110,12600,12650,12200,12300,216929,393466,-31089,12230,11998,14542,17193
A005420,코스모화학,20190109,12350,12800,12350,12650,278671,407511,-6750,12050,11985,14645,17281
A005420,코스모화학,20190108,12450,12500,12100,12250,128673,403128,-6008,11880,12032,14755,17349
A005420,코스모화학,20190107,11800,12550,11750,12350,394778,420830,13539,11850,12095,14851,17415
A005420,코스모화학,20190104,11250,11650,11150,11600,164002,320761,-27965,11790,12208,14967,17480
A005420,코스모화학,20190103,11800,11900,11300,11400,164826,311106,2758,11900,12390,15092,17553
A005420,코스모화학,20190102,12400,12550,11700,11800,180057,321599,1098,12060,12588,15210,17623
A005420,코스모화학,20181228,12050,12250,11950,12100,133705,337902,-28168,12180,12735,15351,17686
A005420,코스모화학,20181227,12550,12650,11950,12050,164179,295574,-4502,12140,12870,15501,17751
A005420,코스모화학,20181226,11800,12250,11650,12150,146937,301507,10783,12120,13015,15642,17819
A005420,코스모화학,20181224,12350,12750,12150,12200,147197,294163,3107,11970,13180,15796,17881
A005420,코스모화학,20181221,11800,12800,11700,12400,389875,323626,40309,11770,13320,15937,17948
A005420,코스모화학,20181220,11850,12250,11500,11900,173516,314961,20866,11640,13450,16073,18015
A005420,코스모화학,20181219,11600,12350,11500,11950,387619,334259,-21169,11810,13645,16218,18090
A005420,코스모화학,20181218,11150,11650,10850,11400,208266,326197,-9955,11840,13800,16374,18172
A005420,코스모화학,20181217,11600,11700,11000,11200,268444,296834,-78736,11890,13978,16541,18258
A005420,코스모화학,20181214,12750,12750,11700,11750,294446,242444,-97579,12060,14190,16672,18345
A005420,코스모화학,20181213,12250,12950,12200,12750,325677,243884,-6445,12430,14370,16766,18424
A005420,코스모화학,20181212,11650,12100,11650,12100,248517,231560,-70057,12580,14518,16843,18508
A005420,코스모화학,20181211,12200,12250,11600,11650,362822,204573,-141508,13080,14700,16938,18588
A005420,코스모화학,20181210,13100,13200,11950,12050,609345,145588,-254764,13800,14928,17043,18688
A005420,코스모화학,20181207,13700,13800,13250,13600,170081,141828,-37462,14460,15128,17139,18804
A005420,코스모화학,20181206,14450,14600,13450,13500,332685,136275,-91283,14690,15290,17211,18910
A005420,코스모화학,20181205,14900,15100,14500,14600,272916,150655,-51911,14950,15462,17286,19014
A005420,코스모화학,20181204,15500,15600,15100,15250,105664,186403,2437,15020,15472,17354,19110
A005420,코스모화학,20181203,15100,15550,14950,15350,179534,178587,-5071,15060,15460,17420,19199
A005420,코스모화학,20181130,14900,15100,14700,14750,47432,139259,184,14990,15460,17468,19293
A005420,코스모화학,20181129,15200,15200,14800,14800,112874,143555,218,15040,15498,17533,19389
A005420,코스모화학,20181128,15500,15500,14800,14950,202989,157030,-69087,15240,15495,17600,19480
A005420,코스모화학,20181127,15150,15600,14850,15450,114551,179248,497,15260,15462,17665,19548
A005420,코스모화학,20181126,14850,15300,14800,15000,97380,163837,-5933,15160,15400,17721,19610
A005420,코스모화학,20181123,16100,16100,14950,15000,223194,153941,8333,15250,15355,17792,19678
A005420,코스모화학,20181122,15100,15850,15100,15800,284761,204209,79378,15320,15420,17859,19742
A005420,코스모화학,20181121,14650,15200,14600,15050,120505,185094,-7803,15300,15510,17914,19801
A005420,코스모화학,20181120,15100,15250,14900,14950,138639,169520,-17592,15440,15668,17977,19871
A005420,코스모화학,20181119,15450,15750,15250,15450,127127,166591,-7752,15690,15862,18046,19933
A005420,코스모화학,20181116,15550,15800,15250,15350,162337,160838,1385,15810,16082,18087,19999
A005420,코스모화학,20181115,15100,15850,15050,15700,229313,159739,-26877,16110,16270,18138,20066
A005420,코스모화학,20181114,16100,16700,15550,15750,227319,143021,-37558,16360,16418,18183,20118
A005420,코스모화학,20181113,15550,16450,14850,16200,325203,163735,-35646,16170,16572,18218,20168
A005420,코스모화학,20181112,16400,16850,16050,16050,191187,153425,-10937,15930,16700,18250,20199
A005420,코스모화학,20181109,16950,17450,16600,16850,323845,174194,19477,15790,16822,18297,20244
A005420,코스모화학,20181108,15400,17000,15300,16950,744319,197539,95073,15520,16942,18337,20290
A005420,코스모화학,20181107,15100,15450,14550,14800,195648,172727,-10331,15080,16995,18387,20330
A005420,코스모화학,20181106,15550,15600,14800,15000,161936,132876,-18471,14980,17220,18484,20397
A005420,코스모화학,20181105,15450,15500,15000,15350,131023,142521,-2038,14820,17428,18578,20455
A005420,코스모화학,20181102,15000,15500,15000,15500,205929,141558,6439,14570,17582,18672,20491
A005420,코스모화학,20181101,14500,15300,14450,14750,301955,134945,5487,14730,17820,18761,20527
A005420,코스모화학,20181031,14450,14650,13800,14300,249513,139181,9885,15300,18138,18862,20580
A005420,코스모화학,20181030,13600,14350,12950,14200,726306,161720,-36559,16080,18448,18972,20634
A005420,코스모화학,20181029,16050,16450,13750,14100,750594,123767,-2581,17010,18808,19082,20690
A005420,코스모화학,20181026,18050,18050,16200,16300,302237,64887,-10682,18160,19135,19222,20759
A005420,코스모화학,20181025,17600,18150,17300,17600,246155,75860,-11556,18720,19350,19332,20816
A005420,코스모화학,20181024,19400,19600,17800,18200,299780,72655,-6698,18930,19498,19414,20860
A005420,코스모화학,20181023,19950,20400,18650,18850,302778,73065,657,19060,19655,19468,20904
A005420,코스모화학,20181022,18700,20250,18700,19850,325826,99789,53647,19040,19782,19510,20947
A005420,코스모화학,20181019,18500,19100,18300,19100,112320,69685,1649,18770,19745,19552,20991
A005420,코스모화학,20181018,18850,18950,18450,18650,101509,65911,20268,18800,19658,19621,21039
A005420,코스모화학,20181017,19300,19750,18500,18850,264785,53940,2647,18670,19595,19688,21095
A005420,코스모화학,20181016,18700,19050,18500,18750,130945,44409,16049,18760,19540,19758,21152
A005420,코스모화학,20181015,19250,19500,18350,18500,254142,46925,-19706,18840,19502,19844,21202
A005420,코스모화학,20181012,17950,19550,17950,19250,329763,68992,-1080,18830,19468,19918,21257
A005420,코스모화학,20181011,18150,19050,18000,18000,268482,51073,2446,19030,19400,19943,21304
A005420,코스모화학,20181010,19300,19600,18550,19300,227365,37116,26598,19650,19400,19978,21353
A005420,코스모화학,20181008,18250,19400,18000,19150,333828,76531,121052,19890,19370,19994,21385
A005420,코스모화학,20181005,20000,20000,18400,18450,601362,68861,-26432,20340,19372,20013,21415
A005420,코스모화학,20181004,21200,21350,20000,20250,284834,131452,-13455,20780,19362,20036,21460
A005420,코스모화학,20181002,20850,21850,20800,21100,594274,129464,90173,20850,19282,20021,21496
A005420,코스모화학,20181001,21200,21500,20500,20500,218965,142128,-15722,20740,19168,20001,21525
A005420,코스모화학,20180928,21250,22300,20800,21400,923033,137552,23625,20910,19085,19996,21572
A005420,코스모화학,20180927,20250,20900,19950,20650,291842,228158,31036,20910,18955,19967,21609
A005420,코스모화학,20180921,20700,21400,20250,20600,356481,223897,42542,20600,18888,19960,21653
A005420,코스모화학,20180920,21350,21350,20100,20550,687758,264058,91672,19950,18808,19957,21695
A005420,코스모화학,20180919,21350,21850,20750,21350,602368,299892,76504,19320,18735,19962,21736
A005420,코스모화학,20180918,19100,21550,18750,21400,1664436,300820,149909,18600,18608,19970,21779
A005420,코스모화학,20180917,17500,19150,17050,19100,666662,232135,143066,17920,18492,19976,21823
A005420,코스모화학,20180914,17600,17650,17300,17350,159841,215039,-18541,17660,18432,20017,21890
A005420,코스모화학,20180913,17800,17900,17350,17400,121916,198684,-11587,17770,18488,20082,21979
A005420,코스모화학,20180912,18100,18150,17500,17750,162298,207013,8493,17890,18538,20172,22059
A005420,코스모화학,20180911,17700,18350,17700,18000,137740,217578,19117,18080,18542,20238,22143
A005420,코스모화학,20180910,17900,18150,17650,17800,112898,213831,-9286,18320,18548,20332,22227
A005420,코스모화학,20180907,17950,18300,17650,17900,236223,213337,-8716,18410,18600,20468,22312
A005420,코스모화학,20180906,18550,18600,17950,18000,276299,238592,-60999,18560,18668,20608,22410
A005420,코스모화학,20180905,19250,19300,18700,18700,162549,270008,-12057,18720,18765,20742,22504
A005420,코스모화학,20180904,18250,19400,18250,19200,391162,287077,15583,18750,18862,20866,22590
A005420,코스모화학,20180903,18650,18900,18150,18250,174312,233879,-45671,18670,18932,20978,22666
A005420,코스모화학,20180831,18800,18900,18600,18650,107551,233921,-12937,18880,19070,21118,22746
A005420,코스모화학,20180830,18750,19100,18750,18800,103870,230216,17423,18950,19180,21244,22803
A005420,코스모화학,20180829,18950,19150,18700,18850,93841,214240,-12,19010,19282,21359,22853
A005420,코스모화학,20180828,19600,19650,18800,18800,177059,199553,-10853,19000,19382,21430,22910
A005420,코스모화학,20180827,19200,19650,19050,19300,197532,206847,-3461,19060,19482,21499,22948
A005420,코스모화학,20180824,19300,19300,18750,19000,102123,189471,-9983,18780,19645,21562,22994
A005420,코스모화학,20180823,18900,19100,18500,19100,95905,184654,16,18670,19840,21624,23050
A005420,코스모화학,20180822,19450,19450,18800,18800,124456,186768,1005,18530,20010,21688,23115
A005420,코스모화학,20180821,18100,19300,18100,19100,265669,212154,23978,18340,20140,21766,23183
A005420,코스모화학,20180820,18400,18700,17900,17900,99382,174539,10,18140,20255,21821,23252
A005420,코스모화학,20180817,18600,18650,18150,18450,135761,179271,6652,18330,20478,21911,23337
A005420,코스모화학,20180816,17550,18550,17150,18400,209928,213560,-24467,18490,20718,21993,23414
A005420,코스모화학,20180814,18000,18550,17450,17850,239551,205782,14436,18800,20930,22052,23494
A005420,코스모화학,20180813,18550,18800,18100,18100,215250,179968,-2121,19360,21192,22117,23588
