stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A006040,동원산업,20190129,233000,234000,227000,233000,4019,339382,1303,226800,210625,205858,246004
A006040,동원산업,20190128,233000,236500,229000,233000,6062,340720,1439,222400,209125,205975,246775
A006040,동원산업,20190125,226000,238500,222500,235000,23140,343268,4319,217700,207850,206117,247483
A006040,동원산업,20190124,214000,225000,211000,222500,12254,344663,3238,212200,206200,206175,248175
A006040,동원산업,20190123,213000,214500,207500,210500,5687,345709,-1874,209100,205050,206467,249079
A006040,동원산업,20190122,210500,214500,207500,211000,3623,346199,-932,208500,204475,207192,250096
A006040,동원산업,20190121,208000,214500,207500,209500,3829,346075,170,207200,203725,207875,251033
A006040,동원산업,20190118,208500,210500,206000,207500,2875,346221,53,207100,202850,208550,251979
A006040,동원산업,20190117,208500,208500,205000,207000,1852,346733,-52,206800,202150,209350,252900
A006040,동원산업,20190116,205500,208000,203500,207500,1395,348096,-54,206200,201375,210233,253854
A006040,동원산업,20190115,206500,208500,203500,204500,2385,347844,-156,206200,200750,211033,254858
A006040,동원산업,20190114,204000,210000,203500,209000,2195,349157,212,206900,200300,211958,255942
A006040,동원산업,20190111,204500,211000,204500,206000,2503,349367,-73,205700,199650,212717,257021
A006040,동원산업,20190110,209500,209500,204000,204000,956,350316,-44,203900,199025,213517,258154
A006040,동원산업,20190109,208000,210500,207500,207500,5671,350723,2009,202700,198775,214500,259329
A006040,동원산업,20190108,202500,210000,202500,208000,2942,349848,1966,201000,198475,215425,260467
A006040,동원산업,20190107,199000,207500,197500,203000,4055,349593,2110,200000,198075,216433,261596
A006040,동원산업,20190104,197000,197500,193000,197000,1790,349626,-263,200900,198000,217667,262746
A006040,동원산업,20190103,201000,201000,193500,198000,4040,350274,1670,201900,198450,219008,263854
A006040,동원산업,20190102,204000,204000,198500,199000,1357,352172,101,202200,198800,220508,264917
A006040,동원산업,20181228,208500,208500,202000,203000,2939,352806,796,202200,199225,222025,265967
A006040,동원산업,20181227,205000,211000,199000,207500,4659,354161,1642,200800,199425,223533,267000
A006040,동원산업,20181226,195000,206000,195000,202000,6428,354642,2718,197700,199800,225008,268025
A006040,동원산업,20181224,199000,204500,198500,199500,4253,355635,-1908,196000,199525,226625,269133
A006040,동원산업,20181221,196500,203500,193500,199000,6328,356175,28,194400,199575,228217,270321
A006040,동원산업,20181220,191500,197000,188500,196000,6387,356999,1882,193600,199575,229767,271458
A006040,동원산업,20181219,193500,194000,189500,192000,3688,357385,-632,193500,199800,231275,272658
A006040,동원산업,20181218,191500,193500,189500,193500,4083,357582,-621,194300,200175,232825,273879
A006040,동원산업,20181217,198000,198000,190000,191500,5279,357506,-1932,194300,200450,234383,274996
A006040,동원산업,20181214,196000,199000,195000,195000,2541,357808,38,195800,200950,236008,276071
A006040,동원산업,20181213,199000,199000,193500,195500,4251,357575,-1627,197100,201425,237658,277108
A006040,동원산업,20181212,194000,199000,191500,196000,5392,357086,-396,198000,201325,239392,278138
A006040,동원산업,20181211,199500,199500,192000,193500,8617,355261,-1489,199100,201225,241067,279171
A006040,동원산업,20181210,201500,203000,197500,199000,3387,357669,654,201600,201675,242642,280308
A006040,동원산업,20181207,201000,204500,199000,201500,3937,358921,-1153,202800,202025,244142,281383
A006040,동원산업,20181206,202500,206000,199000,200000,6569,358591,-428,204000,202275,245683,282538
A006040,동원산업,20181205,205000,205000,199500,201500,4125,358802,-365,205400,202775,247183,283692
A006040,동원산업,20181204,206500,210500,203500,206000,5305,358607,-2764,208100,203350,248642,284888
A006040,동원산업,20181203,207500,210000,203000,205000,6839,357997,-2099,206200,204775,250075,285954
A006040,동원산업,20181130,206000,210000,203000,207500,5337,358837,1377,205300,206125,251617,287054
A006040,동원산업,20181129,216500,217000,206000,207000,7625,360075,-1621,203600,207725,253183,288058
A006040,동원산업,20181128,199500,216000,198000,215000,14019,362383,3372,202300,209375,254750,289083
A006040,동원산업,20181127,201000,201000,193500,196500,9693,361002,1923,199200,210700,256142,290100
A006040,동원산업,20181126,198000,201500,197500,200500,3203,365042,-1351,199700,212800,257808,291246
A006040,동원산업,20181123,199500,201000,198500,199000,2188,364758,490,199900,214775,259392,292350
A006040,동원산업,20181122,200000,203500,198500,200500,2346,365106,-536,201000,217525,260992,293450
A006040,동원산업,20181121,197500,200000,196000,199500,4121,365256,-638,199600,220100,262500,294462
A006040,동원산업,20181120,200000,200000,197000,199000,3461,365833,-866,198500,222625,264058,295462
A006040,동원산업,20181119,204500,206500,196000,201500,11261,366368,2,199200,225450,265842,296525
A006040,동원산업,20181116,195500,204500,195500,204500,5599,369508,-628,200100,228375,267567,297517
A006040,동원산업,20181115,194500,197000,191500,193500,14500,366900,-3596,200500,230925,269242,298558
A006040,동원산업,20181114,202000,202500,194000,194000,10808,366097,-4893,203800,234250,271083,299692
A006040,동원산업,20181113,204500,206000,199000,202500,13522,364485,-5288,207600,237275,272892,300808
