stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A006390,한일현대시멘트,20190129,50500,50600,48450,48550,65043,200597,-404,50470,48288,45182,51625
A006390,한일현대시멘트,20190128,51300,51900,50000,50300,52155,207282,-1858,50730,47968,45028,51688
A006390,한일현대시멘트,20190125,51500,52100,50900,51100,46107,209500,-2718,50790,47528,44807,51739
A006390,한일현대시멘트,20190124,51100,52800,50500,51300,72135,211034,9025,50750,47000,44582,51794
A006390,한일현대시멘트,20190123,49100,51600,49100,51100,58859,219999,11633,50730,46580,44299,51836
A006390,한일현대시멘트,20190122,51000,51100,49750,49850,47166,217298,446,51110,46168,44081,51872
A006390,한일현대시멘트,20190121,51200,51800,49900,50600,60960,215956,190,51400,45790,43927,51875
A006390,한일현대시멘트,20190118,50600,52600,50600,50900,84692,209505,-1839,51480,45335,43765,51870
A006390,한일현대시멘트,20190117,53000,53400,50400,51200,105128,208254,-8647,51000,44840,43633,51785
A006390,한일현대시멘트,20190116,52900,53900,51800,53000,148751,207952,7032,49930,44325,43506,51719
A006390,한일현대시멘트,20190115,50400,52000,49650,51300,99492,220320,2494,48740,43828,43408,51654
A006390,한일현대시멘트,20190114,49800,51100,48550,51000,177578,225004,13573,47880,43455,43357,51628
A006390,한일현대시멘트,20190111,45500,49050,45500,48500,122532,243181,1097,46120,43048,43323,51644
A006390,한일현대시멘트,20190110,47300,47650,45800,45850,55648,227386,-535,44650,42872,43318,51694
A006390,한일현대시멘트,20190109,47200,48000,46400,47050,89667,236042,736,43900,42910,43347,51766
A006390,한일현대시멘트,20190108,42200,49300,42200,47000,304694,242602,53,42830,42978,43371,51810
A006390,한일현대시멘트,20190107,42400,42400,41550,42200,30286,220235,-973,41860,42942,43371,51867
A006390,한일현대시멘트,20190104,41600,41900,40400,41150,38105,213675,-525,41720,43272,43472,51941
A006390,한일현대시멘트,20190103,41750,43750,40650,42100,59288,222182,3871,41600,43665,43703,52019
A006390,한일현대시멘트,20190102,43000,43400,41450,41700,39433,228097,13543,41760,43960,43940,52182
A006390,한일현대시멘트,20181228,41400,42350,41250,42150,25754,234157,-2660,41990,44135,44210,52343
A006390,한일현대시멘트,20181227,41000,42850,40650,41500,47208,228798,1246,42020,44308,44442,52495
A006390,한일현대시멘트,20181226,42100,42900,40400,40550,44268,216575,790,42020,44480,44701,52658
