stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A006405,삼성SDI우,20190129,92100,92300,90800,92200,1744,532495,-1,92100,89425,88125,92175
A006405,삼성SDI우,20190128,93200,93200,91600,92100,3544,532280,-1220,91920,89125,88170,92220
A006405,삼성SDI우,20190125,91600,93000,91600,92700,3912,532921,240,91880,88890,88210,92267
A006405,삼성SDI우,20190124,91500,91900,90700,91600,3084,532490,-422,91620,88605,88232,92289
A006405,삼성SDI우,20190123,90800,92000,90800,91900,2021,532705,-25,91320,88315,88230,92343
A006405,삼성SDI우,20190122,91900,92200,90800,91300,3393,532350,-1016,91600,88010,88233,92385
A006405,삼성SDI우,20190121,91500,92200,90100,91900,3644,532115,-86,91740,87575,88247,92422
A006405,삼성SDI우,20190118,90700,92000,90700,91400,3480,531728,-785,91280,87155,88233,92450
A006405,삼성SDI우,20190117,93400,93400,89600,90100,4774,532088,-1765,90980,86650,88327,92468
A006405,삼성SDI우,20190116,92300,93700,91500,93300,4031,533176,23,90760,86270,88485,92529
A006405,삼성SDI우,20190115,90400,92000,89100,92000,7389,534296,824,89660,85720,88592,92569
A006405,삼성SDI우,20190114,90400,90500,89200,89600,899,533304,20,88480,85365,88700,92602
A006405,삼성SDI우,20190111,89000,90600,89000,89900,3141,533176,1059,87680,85105,88838,92667
A006405,삼성SDI우,20190110,88000,89300,87500,89000,2916,533159,1467,85940,84800,88933,92728
A006405,삼성SDI우,20190109,86700,88000,86300,87800,5561,532981,324,84740,84565,89047,92819
A006405,삼성SDI우,20190108,86100,86800,85100,86100,2308,531644,-11,84340,84450,89220,92899
A006405,삼성SDI우,20190107,83200,85900,83200,85600,3103,531118,848,84360,84405,89330,92972
A006405,삼성SDI우,20190104,82700,82700,80800,81200,3676,530865,-414,84720,84470,89493,93068
A006405,삼성SDI우,20190103,85100,85700,81100,83000,4728,530080,-2275,85880,84830,89740,93212
A006405,삼성SDI우,20190102,87000,87200,84900,85800,2099,529324,-56,86440,85110,89947,93324
A006405,삼성SDI우,20181228,87400,87600,86100,86200,1291,528825,0,86440,85115,90135,93381
A006405,삼성SDI우,20181227,87300,87700,86200,87400,3089,528991,5,85720,85100,90335,93428
A006405,삼성SDI우,20181226,85800,87000,85000,87000,4632,529260,-258,84940,85000,90527,93468
A006405,삼성SDI우,20181224,84900,86500,84900,85800,1912,528358,199,83800,84940,90752,93516
A006405,삼성SDI우,20181221,82600,86100,82600,85800,5707,528406,-2248,83140,84895,91022,93575
A006405,삼성SDI우,20181220,82900,83500,82200,82600,3082,526759,-503,82440,84845,91275,93638
A006405,삼성SDI우,20181219,81500,84600,81500,83500,4383,527274,-808,82900,85060,91565,93741
A006405,삼성SDI우,20181218,82300,82500,81000,81300,3639,525063,-196,83080,85285,91848,93834
A006405,삼성SDI우,20181217,82000,82600,81800,82500,463,523511,-4,83580,85605,92158,93946
A006405,삼성SDI우,20181214,85200,85200,81800,82300,4027,523454,-2477,83940,86005,92417,94050
A006405,삼성SDI우,20181213,84900,86500,84600,84900,6968,523027,-3429,84580,86405,92683,94159
A006405,삼성SDI우,20181212,84800,85200,83600,84400,7437,520308,-1010,84640,86675,92880,94244
A006405,삼성SDI우,20181211,84600,85000,83300,83800,1541,520994,-869,85140,86900,93123,94295
A006405,삼성SDI우,20181210,84400,85100,84000,84300,2303,520612,-539,86060,87175,93392,94375
A006405,삼성SDI우,20181207,86000,86000,84500,85500,3764,519636,-1208,86920,87485,93628,94491
A006405,삼성SDI우,20181206,86900,86900,84400,85200,5000,518881,-1568,87000,87805,93820,94582
A006405,삼성SDI우,20181205,87300,87800,86000,86900,5305,517491,-1177,87140,88285,94033,94669
A006405,삼성SDI우,20181204,88400,88900,87800,88400,1593,518662,98,86840,88690,94223,94727
A006405,삼성SDI우,20181203,86600,88900,86000,88600,9808,518623,-615,86320,89020,94410,94770
A006405,삼성SDI우,20181130,86400,86600,85700,85900,1436,521034,2,85580,89345,94578,94809
A006405,삼성SDI우,20181129,86500,86900,85400,85900,2088,521521,61,85360,89835,94777,94844
A006405,삼성SDI우,20181128,86100,86100,85000,85400,3862,522256,67,85560,90285,94967,94893
A006405,삼성SDI우,20181127,85400,86500,84400,85800,2487,522956,-4,86080,90740,95168,94915
