stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A007210,벽산,20190129,2635,2680,2610,2665,352719,7148596,-8641,2610,2564,2399,2740
A007210,벽산,20190128,2610,2650,2570,2650,407936,7168985,-48338,2585,2553,2395,2746
A007210,벽산,20190125,2600,2665,2590,2610,579836,7213082,-32090,2569,2547,2391,2751
A007210,벽산,20190124,2525,2770,2510,2600,1901085,7143066,82837,2554,2539,2382,2756
A007210,벽산,20190123,2560,2565,2480,2525,330993,7403887,-21827,2536,2530,2373,2761
A007210,벽산,20190122,2570,2600,2530,2540,239545,7402998,-26645,2561,2531,2369,2766
A007210,벽산,20190121,2525,2575,2525,2570,174999,7450915,-750,2577,2535,2367,2771
A007210,벽산,20190118,2530,2545,2490,2535,228778,7438528,188,2588,2542,2368,2775
A007210,벽산,20190117,2645,2655,2480,2510,615770,7433270,-214,2602,2526,2370,2780
A007210,벽산,20190116,2650,2690,2620,2650,391670,7478227,-32886,2610,2512,2376,2784
A007210,벽산,20190115,2625,2640,2580,2620,288782,7460329,21648,2599,2490,2378,2788
A007210,벽산,20190114,2605,2645,2585,2625,291048,7449970,1479,2576,2469,2380,2793
A007210,벽산,20190111,2565,2630,2520,2605,402358,7421342,13060,2553,2446,2384,2798
A007210,벽산,20190110,2635,2710,2540,2550,817829,7349727,308,2543,2421,2385,2804
A007210,벽산,20190109,2515,2655,2500,2595,1015535,7513985,426,2528,2400,2387,2810
A007210,벽산,20190108,2540,2550,2465,2505,286044,7390500,4346,2486,2379,2390,2816
A007210,벽산,20190107,2560,2580,2500,2510,427322,7405291,4619,2475,2362,2393,2823
A007210,벽산,20190104,2475,2565,2400,2555,631787,7463716,32255,2477,2347,2401,2830
A007210,벽산,20190103,2375,2530,2370,2475,796116,7459864,29798,2458,2330,2409,2836
A007210,벽산,20190102,2460,2495,2345,2385,456233,7343686,7839,2448,2316,2420,2843
A007210,벽산,20181228,2510,2540,2440,2450,577887,7357585,-1576,2477,2305,2433,2850
A007210,벽산,20181227,2460,2555,2390,2520,1741613,7346628,-154059,2512,2294,2448,2857
A007210,벽산,20181226,2390,2460,2330,2460,630526,7456140,70606,2552,2278,2462,2863
A007210,벽산,20181224,2500,2565,2400,2425,949836,7470482,-41366,2503,2266,2476,2869
A007210,벽산,20181221,2665,2800,2515,2530,4926034,7448180,51448,2462,2254,2492,2877
A007210,벽산,20181220,2690,2795,2600,2625,3333976,7673205,-10545,2396,2236,2504,2885
A007210,벽산,20181219,2250,2870,2250,2720,8555938,7706816,-278855,2314,2216,2515,2892
A007210,벽산,20181218,2205,2240,2165,2215,100840,8122503,1963,2201,2194,2524,2898
A007210,벽산,20181217,2180,2245,2165,2220,124891,8106509,-3667,2180,2196,2541,2908
A007210,벽산,20181214,2230,2230,2165,2200,78715,8120874,11068,2160,2202,2559,2919
A007210,벽산,20181213,2215,2240,2155,2215,113022,8137164,11336,2157,2208,2578,2929
A007210,벽산,20181212,2145,2155,2120,2155,79675,8138041,1943,2145,2210,2598,2939
A007210,벽산,20181211,2140,2145,2110,2110,67629,8139459,1007,2157,2222,2618,2950
A007210,벽산,20181210,2165,2175,2115,2120,93434,8158800,128,2180,2235,2639,2963
A007210,벽산,20181207,2165,2195,2160,2185,76453,8178747,7534,2195,2253,2661,2977
