stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A007640,애큐온저축은행,20190129,12350,12350,12350,12350,0,0,0,12350,12350,12350,12350
A007640,애큐온저축은행,20190128,12350,12350,12350,12350,0,0,0,12350,12350,12350,12350
A007640,애큐온저축은행,20190125,12350,12350,12350,12350,0,0,0,12350,12350,12350,12350
A007640,애큐온저축은행,20190124,12350,12350,12350,12350,0,0,0,12350,12350,12350,12326
A007640,애큐온저축은행,20190123,12350,12350,12350,12350,0,0,0,12350,12350,12350,12302
A007640,애큐온저축은행,20190122,12350,12350,12350,12350,0,0,0,12350,12350,12350,12279
A007640,애큐온저축은행,20190121,12350,12350,12350,12350,0,0,0,12350,12350,12350,12255
A007640,애큐온저축은행,20190118,12350,12350,12350,12350,0,0,0,12350,12350,12350,12231
A007640,애큐온저축은행,20190117,12350,12350,12350,12350,0,0,0,12350,12350,12350,12208
A007640,애큐온저축은행,20190116,12350,12350,12350,12350,0,0,0,12350,12350,12350,12184
A007640,애큐온저축은행,20190115,12350,12350,12350,12350,0,0,0,12350,12350,12350,12160
A007640,애큐온저축은행,20190114,12350,12350,12350,12350,0,0,0,12350,12350,12350,12136
A007640,애큐온저축은행,20190111,12350,12350,12350,12350,0,0,0,12350,12350,12350,12112
A007640,애큐온저축은행,20190110,12350,12350,12350,12350,0,0,0,12350,12350,12350,12089
A007640,애큐온저축은행,20190109,12350,12350,12350,12350,0,0,0,12350,12350,12350,12065
A007640,애큐온저축은행,20190108,12350,12350,12350,12350,0,0,0,12350,12350,12350,12041
A007640,애큐온저축은행,20190107,12350,12350,12350,12350,0,0,0,12350,12350,12350,12018
A007640,애큐온저축은행,20190104,12350,12350,12350,12350,0,0,0,12350,12350,12350,11994
A007640,애큐온저축은행,20190103,12350,12350,12350,12350,0,0,0,12350,12350,12350,11970
A007640,애큐온저축은행,20190102,12350,12350,12350,12350,0,0,0,12350,12350,12350,11946
A007640,애큐온저축은행,20181228,12350,12350,12350,12350,0,0,0,12350,12350,12350,11922
A007640,애큐온저축은행,20181227,12350,12350,12350,12350,0,0,0,12350,12350,12350,11899
A007640,애큐온저축은행,20181226,12350,12350,12350,12350,0,0,0,12350,12350,12350,11875
A007640,애큐온저축은행,20181224,12350,12350,12350,12350,0,0,0,12350,12350,12350,11851
A007640,애큐온저축은행,20181221,12350,12350,12350,12350,0,0,0,12350,12350,12350,11828
A007640,애큐온저축은행,20181220,12350,12350,12350,12350,0,0,0,12350,12350,12350,11804
A007640,애큐온저축은행,20181219,12350,12350,12350,12350,0,0,0,12350,12350,12350,11780
A007640,애큐온저축은행,20181218,12350,12350,12350,12350,0,0,0,12350,12350,12350,11756
A007640,애큐온저축은행,20181217,12350,12350,12350,12350,0,0,0,12350,12350,12350,11732
A007640,애큐온저축은행,20181214,12350,12350,12350,12350,0,0,0,12350,12350,12350,11709
A007640,애큐온저축은행,20181213,12350,12350,12350,12350,0,0,0,12350,12350,12350,11685
A007640,애큐온저축은행,20181212,12350,12350,12350,12350,0,0,0,12350,12350,12350,11661
A007640,애큐온저축은행,20181211,12350,12350,12350,12350,0,0,0,12350,12350,12350,11638
A007640,애큐온저축은행,20181210,12350,12350,12350,12350,0,0,0,12350,12350,12350,11614
A007640,애큐온저축은행,20181207,12350,12350,12350,12350,0,0,0,12350,12350,12350,11590
A007640,애큐온저축은행,20181206,12350,12350,12350,12350,0,0,0,12350,12350,12350,11566
A007640,애큐온저축은행,20181205,12350,12350,12350,12350,0,0,0,12350,12350,12350,11542
