stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A008490,서흥,20190129,24600,24900,24400,24650,16555,746352,-573,24900,24300,24381,27023
A008490,서흥,20190128,25100,25350,24650,24850,11536,743135,5,25000,24238,24415,27058
A008490,서흥,20190125,25400,25400,24900,25000,11888,741643,1234,25180,24155,24456,27091
A008490,서흥,20190124,24600,25400,24350,25400,20589,743907,149,25290,24070,24487,27120
A008490,서흥,20190123,24900,25150,24400,24600,20535,738441,-4574,25190,23978,24505,27146
A008490,서흥,20190122,25750,25800,24950,25150,8812,737743,-1437,25270,23935,24543,27181
A008490,서흥,20190121,25550,25900,25200,25750,16219,740031,-2492,25240,23860,24570,27212
A008490,서흥,20190118,24900,25650,24650,25550,13068,740520,-677,24850,23768,24598,27239
A008490,서흥,20190117,24700,25000,24500,24900,14644,739628,720,24440,23695,24634,27269
A008490,서흥,20190116,24900,25150,24650,25000,14162,740320,-517,24150,23665,24689,27312
A008490,서흥,20190115,23700,25000,23700,25000,41480,741123,5957,23840,23628,24743,27352
A008490,서흥,20190114,23600,24050,23450,23800,12124,741722,1695,23460,23592,24796,27395
A008490,서흥,20190111,23250,23650,23000,23500,15331,740398,-1357,23330,23618,24865,27452
A008490,서흥,20190110,23300,23550,23150,23450,12982,739667,-4751,23270,23610,24940,27508
A008490,서흥,20190109,22850,23600,22850,23450,11102,735101,440,23210,23615,25022,27569
A008490,서흥,20190108,23050,23200,22800,23100,6958,727294,-771,23190,23650,25129,27625
A008490,서흥,20190107,22850,23350,22850,23150,7164,728052,-825,23250,23705,25224,27684
A008490,서흥,20190104,22850,23200,22550,23200,12463,728360,-1315,23260,23778,25342,27741
A008490,서흥,20190103,23300,23300,22950,23150,8030,729131,741,23280,23842,25482,27804
A008490,서흥,20190102,23450,23600,23000,23350,8409,728931,362,23360,23915,25624,27868
A008490,서흥,20181228,23000,23450,23000,23400,6171,729192,796,23440,23960,25765,27930
A008490,서흥,20181227,23100,23400,22950,23200,5787,726837,-956,23490,23992,25900,27995
A008490,서흥,20181226,23150,23300,22800,23300,15711,726585,1934,23630,24048,26035,28059
A008490,서흥,20181224,23400,23650,23250,23550,6757,727319,-628,23790,24100,26172,28127
A008490,서흥,20181221,23450,23750,23300,23750,7647,727883,-1421,23940,24102,26302,28199
A008490,서흥,20181220,23800,24250,23200,23650,6930,727412,-2037,24040,24075,26418,28265
A008490,서흥,20181219,23750,24050,23500,23900,14416,728140,666,24170,24072,26540,28336
A008490,서흥,20181218,23850,24200,23700,24100,6886,730405,-9,24250,24068,26663,28408
A008490,서흥,20181217,23850,24300,23700,24300,6684,731408,938,24100,24045,26773,28482
A008490,서흥,20181214,24400,24500,23750,24250,10939,732241,-235,23950,24025,26890,28560
A008490,서흥,20181213,24200,24400,23800,24300,11781,731533,2567,23930,23970,27012,28640
A008490,서흥,20181212,23350,24300,23250,24300,12713,728226,-557,23910,23902,27133,28718
A008490,서흥,20181211,23400,23700,23050,23350,13746,715793,-614,23970,23872,27255,28790
A008490,서흥,20181210,23650,24150,23300,23550,9995,716495,158,24200,23968,27373,28880
A008490,서흥,20181207,24250,24350,23850,24150,12221,718148,-1364,24410,24085,27492,28972
A008490,서흥,20181206,24250,24500,23950,24200,12679,718444,2605,24430,24200,27601,29052
A008490,서흥,20181205,24300,24600,23850,24600,10107,719893,4690,24400,24335,27708,29135
A008490,서흥,20181204,24600,24600,24300,24500,8902,720092,-777,24340,24440,27807,29215
A008490,서흥,20181203,24200,24700,24200,24600,12083,720336,-539,24310,24588,27911,29296
A008490,서흥,20181130,23900,24350,23750,24250,15227,720989,-3782,24110,24728,28012,29366
A008490,서흥,20181129,24400,24400,24050,24050,13976,717387,-5391,23900,24882,28124,29436
A008490,서흥,20181128,24300,24350,24100,24300,15721,716983,-2350,23810,25015,28237,29514
A008490,서흥,20181127,23500,24350,23450,24350,31958,714527,-33,23710,25165,28335,29590
A008490,서흥,20181126,23050,23650,23000,23600,16844,712000,-2342,23570,25290,28424,29662
A008490,서흥,20181123,23600,23600,23100,23200,15787,705989,-5194,23630,25435,28526,29743
A008490,서흥,20181122,23800,23900,23200,23600,22033,703889,-6783,23620,25620,28632,29834
