stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A009470,삼화전기,20190129,24550,25300,23700,25250,202458,1551938,2,24460,22665,21454,24356
A009470,삼화전기,20190128,25900,25900,24500,24600,288089,1533432,-5010,24100,22488,21407,24446
A009470,삼화전기,20190125,23700,24950,23700,24700,372456,1550450,398,24160,22318,21332,24540
A009470,삼화전기,20190124,24050,24050,23150,23650,139497,1547532,41,23730,22165,21249,24644
A009470,삼화전기,20190123,23750,24850,23700,24100,292121,1542593,1104,23340,22028,21164,24798
A009470,삼화전기,20190122,25100,25650,23450,23450,481233,1543769,2482,22980,21952,21106,24949
A009470,삼화전기,20190121,23100,25350,22950,24900,1136870,1561658,-5264,22740,21950,21075,25102
A009470,삼화전기,20190118,21900,24000,21900,22550,752050,1548232,8074,22080,21828,21026,25230
A009470,삼화전기,20190117,22250,22300,21600,21700,148388,1546179,-2013,22000,21565,21031,25373
A009470,삼화전기,20190116,22450,22750,22000,22300,182409,1565101,-1425,22090,21360,21078,25555
A009470,삼화전기,20190115,21500,22700,21450,22250,255524,1580797,1457,21990,21150,21108,25722
A009470,삼화전기,20190114,21900,22100,21250,21600,118502,1569632,-508,21660,20990,21138,25885
A009470,삼화전기,20190111,21950,22750,21700,22150,183823,1573780,24,21590,20848,21185,26048
A009470,삼화전기,20190110,22200,22800,21750,22150,334823,1589931,-988,21400,20625,21220,26222
A009470,삼화전기,20190109,20800,22350,20700,21800,364935,1603062,11775,21290,20425,21248,26415
A009470,삼화전기,20190108,21200,21450,20400,20600,175449,1568734,10,21230,20302,21275,26605
A009470,삼화전기,20190107,21650,22200,21150,21250,201338,1569381,36,21450,20238,21282,26831
A009470,삼화전기,20190104,21400,21550,20400,21200,209533,1579561,-63,21440,20182,21311,27070
A009470,삼화전기,20190103,22600,24350,21600,21600,1273655,1566128,-36852,21530,20165,21358,27308
A009470,삼화전기,20190102,21950,22000,21150,21500,176489,1592595,35,21390,20132,21408,27483
A009470,삼화전기,20181228,21050,22400,21000,21700,247598,1592254,-69,21610,20080,21495,27624
A009470,삼화전기,20181227,22100,22300,20700,21200,270178,1583767,96,21950,19998,21589,27754
A009470,삼화전기,20181226,20500,21800,20150,21650,274014,1620178,142,22200,19960,21712,27894
A009470,삼화전기,20181224,22350,22900,20700,20900,348819,1608455,-95,21330,19912,21822,28018
A009470,삼화전기,20181221,23150,23800,22600,22600,553290,1599056,34,20670,19880,21931,28114
A009470,삼화전기,20181220,23100,24100,22150,23400,1445311,1632622,-9921,19770,19735,22006,28203
A009470,삼화전기,20181219,17550,22450,17500,22450,1240068,1683997,-21456,18900,19580,22071,28282
A009470,삼화전기,20181218,17100,17550,16900,17300,53451,1698719,36,18160,19502,22166,28355
A009470,삼화전기,20181217,17750,18100,17050,17600,59556,1697822,203,18240,19688,22372,28488
A009470,삼화전기,20181214,18850,19000,17800,18100,48607,1692816,94,18350,19902,22511,28627
A009470,삼화전기,20181213,19050,19300,18750,19050,60336,1703305,119,18600,20072,22656,28751
A009470,삼화전기,20181212,17700,19100,17700,18750,94570,1695420,-8001,18650,20195,22785,28862
A009470,삼화전기,20181211,18400,18500,17700,17700,56015,1680521,39,18930,20340,22927,28914
A009470,삼화전기,20181210,18750,19100,18000,18150,74455,1667671,12,19560,20545,23102,28970
A009470,삼화전기,20181207,19600,19700,18950,19350,35903,1673316,12,20120,20738,23269,29046
A009470,삼화전기,20181206,20150,20250,18850,19300,76721,1676737,14,20340,20908,23418,29120
A009470,삼화전기,20181205,20250,20600,20100,20150,49695,1699589,-310,20490,21110,23578,29181
A009470,삼화전기,20181204,20900,21000,20600,20850,43198,1715239,-25,20550,21242,23725,29237
A009470,삼화전기,20181203,20750,21000,20500,20950,70291,1710496,30,20520,21378,23868,29291
A009470,삼화전기,20181130,20400,20650,19900,20450,35973,1693667,3,20380,21495,23998,29333
A009470,삼화전기,20181129,21150,21150,20050,20050,58885,1693156,9,20230,21618,24150,29359
A009470,삼화전기,20181128,20950,20950,20100,20450,65910,1694342,4,20280,21735,24313,29388
A009470,삼화전기,20181127,20650,21850,20400,20700,200169,1696629,5,20370,21720,24476,29418
A009470,삼화전기,20181126,19650,20450,19600,20250,58560,1726098,30,20430,21670,24612,29441
A009470,삼화전기,20181123,20400,20800,19600,19700,91873,1711504,88,20760,21585,24777,29466
A009470,삼화전기,20181122,21300,21300,20300,20300,44304,1710139,72,21120,21630,24943,29502
A009470,삼화전기,20181121,20600,21150,20150,20900,58109,1714420,73,21360,21695,25110,29522
A009470,삼화전기,20181120,21300,21700,21000,21000,55608,1710268,330,21510,21748,25272,29542
A009470,삼화전기,20181119,21650,22300,21550,21900,41913,1714883,248,21670,21840,25421,29564
A009470,삼화전기,20181116,21800,22400,21450,21500,55644,1705146,393,21690,21970,25527,29577
A009470,삼화전기,20181115,20650,21550,20550,21500,87552,1708929,97,21940,22102,25628,29593
A009470,삼화전기,20181114,21900,22450,21350,21650,41460,1697173,3,22310,22228,25745,29607
A009470,삼화전기,20181113,21050,21950,20550,21800,96710,1696624,-1015,22540,22368,25852,29595
A009470,삼화전기,20181112,22400,22850,22000,22000,43867,1685750,3,22890,22490,26006,29564
A009470,삼화전기,20181109,23350,23500,22250,22750,50533,1686462,33,23150,22580,26174,29520
A009470,삼화전기,20181108,23600,23950,23050,23350,84847,1692048,15,23180,22615,26339,29472
A009470,삼화전기,20181107,23650,23900,22400,22800,86820,1682567,-6,22990,22498,26489,29419
A009470,삼화전기,20181106,24000,24200,23200,23550,143096,1686273,-21,22460,22508,26680,29370
A009470,삼화전기,20181105,22600,23650,22200,23300,89096,1717632,4,21690,22530,26844,29316
A009470,삼화전기,20181102,23000,23300,22550,22900,127053,1709788,-808,20740,22598,27050,29260
A009470,삼화전기,20181101,20950,23600,20600,22400,394498,1712816,-15,20280,22788,27258,29205
A009470,삼화전기,20181031,20050,20900,19650,20150,83995,1702102,-1995,20120,23035,27485,29159
A009470,삼화전기,20181030,17900,19950,17850,19700,177655,1709736,7471,20480,23458,27747,29132
A009470,삼화전기,20181029,20350,21000,18500,18550,150631,1664075,-1207,21110,23885,28038,29110
A009470,삼화전기,20181026,22250,22350,20000,20600,110273,1640393,35,22300,24328,28431,29107
A009470,삼화전기,20181025,21150,21850,20300,21600,123364,1663668,10380,23010,24652,28792,29079
A009470,삼화전기,20181024,23400,23850,21700,21950,92598,1643362,34,23490,24938,29129,29042
A009470,삼화전기,20181023,24450,24800,22850,22850,90470,1638429,-30,23990,25248,29434,29007
A009470,삼화전기,20181022,23800,24950,23700,24500,59431,1647754,2,24270,25588,29715,28974
A009470,삼화전기,20181019,23500,24300,23150,24150,63297,1640679,69,24130,25660,30032,28928
A009470,삼화전기,20181018,24600,24950,24000,24000,39183,1631132,-4,23990,25792,30336,28884
A009470,삼화전기,20181017,25200,25350,24200,24450,90130,1633978,4,23390,25932,30632,28852
A009470,삼화전기,20181016,24100,25250,23850,24250,140190,1640555,-18,23100,26072,30911,28824
A009470,삼화전기,20181015,23700,24750,23000,23800,133105,1648171,839,23050,26270,31225,28776
A009470,삼화전기,20181012,21000,25300,21000,23450,458079,1649094,326,23220,26490,31583,28725
A009470,삼화전기,20181011,21000,22800,20950,21000,138980,1650781,-164,23870,26730,31934,28680
A009470,삼화전기,20181010,23600,24300,22850,23000,105149,1602424,8573,25140,27128,32381,28647
A009470,삼화전기,20181008,24000,25400,24000,24000,80358,1579466,595,26260,27425,32829,28592
A009470,삼화전기,20181005,26700,26700,24150,24650,195295,1569381,-191,27110,27695,33258,28522
A009470,삼화전기,20181004,27300,27850,26500,26700,76343,1570433,10,27660,27902,33558,28455
A009470,삼화전기,20181002,28500,28750,27150,27350,122133,1567494,-30,27740,28045,33752,28372
A009470,삼화전기,20181001,28250,28800,28000,28600,147901,1576127,-9584,27730,28170,33919,28283
A009470,삼화전기,20180928,27800,29650,27450,28250,361499,1581254,44,27640,28250,34075,28194
A009470,삼화전기,20180927,27350,27800,26950,27400,84319,1597321,174,27920,28282,34212,28109
A009470,삼화전기,20180921,27550,28500,26900,27100,169660,1589953,175,27630,28418,34297,28035
A009470,삼화전기,20180920,28550,28600,26900,27300,239745,1605102,-6023,27570,28548,34400,27962
A009470,삼화전기,20180919,30100,30600,28000,28150,368189,1620076,972,27470,28698,34493,27889
A009470,삼화전기,20180918,25850,29750,25350,29650,790688,1693045,25248,27290,28820,34543,27817
A009470,삼화전기,20180917,26700,26700,25650,25950,126584,1717498,-16,27000,28835,34603,27727
A009470,삼화전기,20180914,27250,27250,26600,26800,97740,1692425,6,27450,28950,34742,27666
A009470,삼화전기,20180913,27700,27900,26700,26800,110350,1684928,-1383,27740,28990,34847,27611
A009470,삼화전기,20180912,28400,28450,26850,27250,156761,1691159,89,28170,29075,34940,27549
A009470,삼화전기,20180911,28150,29250,28050,28200,107000,1716498,-892,28510,29115,34902,27487
A009470,삼화전기,20180910,28200,28600,27600,28200,87259,1713798,-473,28750,29258,34839,27417
A009470,삼화전기,20180907,29050,29200,28100,28250,117754,1698999,146,28870,29452,34822,27352
A009470,삼화전기,20180906,28800,29450,28400,28950,102795,1717470,-1096,29130,29672,34822,27293
A009470,삼화전기,20180905,29500,29700,28800,28950,129922,1694589,-1501,29310,29842,34784,27226
A009470,삼화전기,20180904,28850,29750,28850,29400,123309,1694364,1515,29560,30108,34749,27151
A009470,삼화전기,20180903,30000,30000,28800,28800,132129,1662161,63,29460,30308,34715,27068
A009470,삼화전기,20180831,29700,29700,28750,29550,151720,1678556,506,29720,30650,34668,26983
A009470,삼화전기,20180830,29900,30650,29600,29850,148301,1675100,2,29750,30942,34568,26888
A009470,삼화전기,20180829,29400,30700,28950,30200,282715,1685982,-1005,29840,31250,34462,26788
A009470,삼화전기,20180828,30550,31000,28900,28900,314981,1647375,498,29920,31532,34361,26692
