stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A009770,삼정펄프,20190129,35950,36350,35450,36350,480,100578,-96,36550,34315,33806,34508
A009770,삼정펄프,20190128,36950,36950,35550,36350,323,100601,-73,36370,34170,33773,34498
A009770,삼정펄프,20190125,36950,37000,35900,37000,717,100623,-121,36060,34020,33750,34489
A009770,삼정펄프,20190124,35950,37000,35900,37000,877,100213,5,35360,33822,33710,34475
A009770,삼정펄프,20190123,35400,36150,34950,36050,542,99886,3,34580,33648,33670,34462
A009770,삼정펄프,20190122,35250,35450,34250,35450,1031,99877,126,34010,33515,33632,34460
A009770,삼정펄프,20190121,33600,35100,33600,34800,1796,99528,-22,33540,33410,33602,34467
A009770,삼정펄프,20190118,33100,33500,33000,33500,519,99856,-112,33250,33320,33578,34483
A009770,삼정펄프,20190117,33050,33150,33050,33100,267,99887,-209,33260,33300,33572,34511
A009770,삼정펄프,20190116,33150,33200,32850,33200,419,99907,-150,33330,33318,33567,34544
A009770,삼정펄프,20190115,33200,33500,33100,33100,300,99935,-148,33380,33322,33543,34578
A009770,삼정펄프,20190114,33600,33700,33350,33350,291,99970,-2,33370,33305,33563,34612
A009770,삼정펄프,20190111,33500,33900,33450,33550,295,99994,29,33390,33292,33592,34642
A009770,삼정펄프,20190110,33500,33500,33200,33450,75,100234,-57,33350,33288,33622,34673
A009770,삼정펄프,20190109,33050,33450,33050,33450,78,100242,-61,33330,33290,33652,34705
A009770,삼정펄프,20190108,33350,33400,33050,33050,46,100242,-26,33320,33292,33683,34732
A009770,삼정펄프,20190107,33300,33600,33300,33450,263,100242,14,33400,33312,33719,34764
A009770,삼정펄프,20190104,32900,33500,32900,33350,123,100444,-21,33380,33322,33755,34790
A009770,삼정펄프,20190103,33300,33350,33100,33350,37,100425,9,33320,33338,33799,34820
A009770,삼정펄프,20190102,33450,33600,32750,33400,621,100425,2,33350,33355,33840,34850
A009770,삼정펄프,20181228,33850,33850,32800,33450,196,100274,-153,33350,33372,33881,34880
A009770,삼정펄프,20181227,32700,33350,32700,33350,131,100279,-12,33330,33388,33916,34910
A009770,삼정펄프,20181226,33200,33450,32800,33050,129,100258,-75,33260,33418,33952,34938
A009770,삼정펄프,20181224,33400,33500,33050,33500,138,100228,-40,33270,33460,33992,34967
A009770,삼정펄프,20181221,33350,33500,33000,33400,426,100254,10,33260,33468,34024,34995
A009770,삼정펄프,20181220,33450,33450,32850,33350,190,100006,-16,33240,33470,34050,35022
A009770,삼정펄프,20181219,33100,33150,32800,33000,106,100006,42,33120,33485,34071,35048
A009770,삼정펄프,20181218,33450,33450,33100,33100,18,100006,17,33140,33520,34097,35079
A009770,삼정펄프,20181217,33500,33500,33100,33450,352,100006,91,33210,33550,34121,35112
A009770,삼정펄프,20181214,33300,33300,32700,33300,421,99771,-350,33220,33575,34142,35139
A009770,삼정펄프,20181213,32800,33300,32750,32750,465,99773,42,33260,33595,34168,35169
A009770,삼정펄프,20181212,33900,33900,33100,33100,464,99786,51,33400,33645,34205,35201
A009770,삼정펄프,20181211,33500,33500,33150,33450,226,99404,-7,33510,33685,34244,35231
A009770,삼정펄프,20181210,33500,33500,32750,33500,1115,99233,-91,33550,33672,34277,35257
A009770,삼정펄프,20181207,33400,33500,32550,33500,690,98544,195,33590,33690,34301,35288
A009770,삼정펄프,20181206,33600,33600,33250,33450,205,98570,13,33640,33730,34333,35320
A009770,삼정펄프,20181205,33600,33850,33100,33650,444,98431,-137,33700,33772,34375,35355
A009770,삼정펄프,20181204,33700,33700,33150,33650,1271,98197,553,33760,33778,34413,35388
A009770,삼정펄프,20181203,33950,33950,33350,33700,626,98065,10,33810,33770,34446,35420
A009770,삼정펄프,20181130,33750,33800,33400,33750,466,97580,45,33800,33758,34476,35452
A009770,삼정펄프,20181129,33950,33950,33400,33750,1365,97423,1289,33740,33730,34513,35488
A009770,삼정펄프,20181128,33500,33950,33400,33950,400,97760,132,33720,33762,34552,35527
A009770,삼정펄프,20181127,33400,33950,33350,33900,620,97762,391,33670,33812,34584,35561
A009770,삼정펄프,20181126,33500,33950,33350,33650,220,97788,-39,33630,33848,34630,35598
A009770,삼정펄프,20181123,33500,33500,32800,33450,298,97788,-124,33690,33895,34685,35633
A009770,삼정펄프,20181122,34200,34200,33100,33650,279,97698,126,33740,33912,34738,35672
A009770,삼정펄프,20181121,33700,33700,33150,33700,210,97608,-23,33760,33910,34787,35711
A009770,삼정펄프,20181120,34800,34800,33150,33700,162,97665,43,33800,33892,34835,35752
A009770,삼정펄프,20181119,34750,34750,33500,33950,146,97671,86,33700,33868,34888,35793
A009770,삼정펄프,20181116,33750,34450,33700,33700,158,97741,47,33680,33808,34913,35832
A009770,삼정펄프,20181115,34900,34900,33750,33750,302,97753,19,33800,33712,34938,35872
A009770,삼정펄프,20181114,33500,34300,32400,33900,419,97667,20,33910,33740,34962,35912
