stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A010170,대한광통신,20190129,5460,5470,5190,5240,2705135,1945435,-153606,5374,5331,5098,5738
A010170,대한광통신,20190128,5420,5600,5360,5530,2769702,2322821,-61316,5420,5324,5096,5748
A010170,대한광통신,20190125,5380,5430,5320,5390,848026,1970045,-22034,5434,5284,5088,5755
A010170,대한광통신,20190124,5400,5410,5310,5350,866704,1835592,-51843,5414,5244,5080,5763
A010170,대한광통신,20190123,5400,5450,5320,5360,1275500,1777579,-18513,5384,5212,5070,5772
A010170,대한광통신,20190122,5620,5640,5410,5470,1447396,1775814,-30269,5368,5187,5066,5780
A010170,대한광통신,20190121,5420,5650,5340,5600,3495853,1932713,-38315,5338,5160,5061,5786
A010170,대한광통신,20190118,5200,5290,5200,5290,786730,1891574,11989,5284,5120,5058,5790
A010170,대한광통신,20190117,5300,5390,5200,5200,1031993,1755710,4381,5306,5093,5066,5796
A010170,대한광통신,20190116,5330,5350,5250,5280,738258,1800346,-31537,5310,5077,5076,5803
A010170,대한광통신,20190115,5320,5370,5250,5320,752385,1811633,-16515,5298,5058,5085,5810
A010170,대한광통신,20190114,5370,5380,5290,5330,1049755,1862708,1351,5268,5050,5093,5816
A010170,대한광통신,20190111,5250,5410,5250,5400,2068566,1966536,-1642,5276,5027,5103,5823
A010170,대한광통신,20190110,5250,5270,5180,5220,588871,2039460,-36426,5250,4990,5112,5831
A010170,대한광통신,20190109,5220,5280,5160,5220,857805,2250328,253,5258,4963,5121,5839
A010170,대한광통신,20190108,5440,5440,5170,5170,1377463,2176447,-169745,5284,4944,5132,5847
A010170,대한광통신,20190107,5360,5420,5270,5370,1210337,1717658,-2763,5270,4925,5142,5855
A010170,대한광통신,20190104,5210,5450,5210,5270,2771042,1823738,10789,5142,4906,5152,5860
A010170,대한광통신,20190103,5440,5460,5190,5260,2071912,2073882,2272,5004,4899,5165,5865
