stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A010580,지코,20190129,790,793,762,780,455222,460636,-192,781,720,718,741
A010580,지코,20190128,804,804,775,783,365723,424935,-55,779,715,718,741
A010580,지코,20190125,795,808,779,785,433402,417978,-8,776,710,717,741
A010580,지코,20190124,773,845,773,785,1679114,351394,-8,761,703,717,741
A010580,지코,20190123,770,890,759,772,3526553,467429,38,738,698,716,740
A010580,지코,20190122,767,772,747,770,505407,472076,-83,719,695,717,740
A010580,지코,20190121,716,804,712,767,1996218,436143,-61,699,691,718,740
A010580,지코,20190118,676,714,671,710,528134,454283,73,682,688,719,740
A010580,지코,20190117,683,683,664,672,151953,445431,-46,679,688,721,741
A010580,지코,20190116,685,685,662,675,217043,443073,29,685,690,723,742
A010580,지코,20190115,678,680,672,673,173664,433950,17,689,692,725,743
A010580,지코,20190114,697,700,680,680,150883,423994,21,695,693,727,744
A010580,지코,20190111,708,708,693,697,50004,431118,182,699,695,729,746
A010580,지코,20190110,706,706,693,699,28740,429793,89,698,695,730,747
A010580,지코,20190109,704,706,697,697,108005,436788,27,694,696,732,748
A010580,지코,20190108,707,707,690,700,86589,437932,99,690,696,734,749
A010580,지코,20190107,692,710,692,700,110417,440684,215,686,698,735,750
A010580,지코,20190104,683,698,676,692,61058,442363,23,682,699,737,752
A010580,지코,20190103,673,690,668,683,228126,440837,201,676,700,738,753
A010580,지코,20190102,679,700,670,673,273596,421699,-260,676,702,739,755
A010580,지코,20181228,683,692,678,680,127140,405550,188,681,705,739,756
A010580,지코,20181227,683,684,665,681,33357,381244,100,686,706,740,758
A010580,지코,20181226,684,684,658,661,193127,375727,50,691,709,741,759
A010580,지코,20181224,701,705,684,684,166931,359935,-768,701,712,742,761
A010580,지코,20181221,704,707,699,700,106250,379982,458,705,714,743,762
A010580,지코,20181220,707,715,696,704,109000,382748,77,706,714,743,763
A010580,지코,20181219,705,715,697,707,318262,390312,47,708,714,744,765
A010580,지코,20181218,703,713,691,710,197944,356410,7,708,714,744,766
A010580,지코,20181217,715,715,700,703,32364,355924,9,706,714,745,767
A010580,지코,20181214,715,720,684,708,424058,352706,1095,707,715,746,768
A010580,지코,20181213,710,711,699,710,210668,339257,958,708,715,746,770
A010580,지코,20181212,681,712,681,710,163175,323675,302,711,715,747,771
A010580,지코,20181211,703,707,697,700,66183,277769,370,715,716,748,772
A010580,지코,20181210,713,713,695,707,108131,275162,42,718,718,749,774
A010580,지코,20181207,705,720,704,715,106169,268735,245,720,719,750,775
A010580,지코,20181206,722,722,700,722,248100,267913,113,722,722,751,777
A010580,지코,20181205,700,729,700,729,169618,288284,-4,721,723,751,778
A010580,지코,20181204,729,729,700,715,339385,272708,78,721,725,752,780
A010580,지코,20181203,729,730,716,720,96291,252002,75,724,727,753,781
A010580,지코,20181130,724,726,707,726,198406,249687,16,724,729,753,782
A010580,지코,20181129,734,734,714,715,223069,257793,60,721,730,754,782
A010580,지코,20181128,715,730,713,730,172571,291540,17,718,732,755,783
A010580,지코,20181127,729,731,707,730,152218,284421,31,714,733,756,784
A010580,지코,20181126,710,730,697,720,283034,288151,74,708,735,756,785
A010580,지코,20181123,710,724,705,709,26401,312060,47,707,737,757,785
A010580,지코,20181122,711,713,700,703,68944,313482,-59,707,743,758,786
A010580,지코,20181121,704,715,702,706,73347,310970,111,711,748,759,787
A010580,지코,20181120,712,717,698,704,156127,313699,11,716,755,759,788
A010580,지코,20181119,720,720,709,713,81098,310284,206,720,760,759,789
A010580,지코,20181116,712,727,703,711,193865,294337,26,726,765,760,790
A010580,지코,20181115,735,740,710,720,80101,256455,126,735,768,760,792
A010580,지코,20181114,734,741,717,730,189837,253994,99,744,771,761,792
A010580,지코,20181113,739,739,700,727,399218,252603,196,749,774,761,793
A010580,지코,20181112,764,764,741,741,127954,253475,32,754,778,762,794
A010580,지코,20181109,760,775,745,759,108782,259564,245,758,782,762,795
A010580,지코,20181108,768,768,745,761,113892,251258,27,758,785,762,795
A010580,지코,20181107,755,765,743,755,176558,255399,8,754,785,762,796
A010580,지코,20181106,765,765,744,755,93168,251295,2,754,786,763,797
A010580,지코,20181105,742,765,740,759,269115,244769,10,759,787,763,797
A010580,지코,20181102,736,760,736,759,220733,245918,89,757,785,763,798
A010580,지코,20181101,754,770,740,742,169290,218874,21,770,783,763,799
A010580,지코,20181031,797,797,750,754,186760,202531,65,785,782,764,799
A010580,지코,20181030,712,793,685,781,575570,199578,254,802,781,764,800
A010580,지코,20181029,825,825,740,748,604158,208112,106,807,778,764,800
A010580,지코,20181026,820,829,791,825,442284,242089,122,820,778,764,800
