stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A010640,진양폴리,20190129,2730,2805,2610,2745,310949,172634,-22,2810,2564,2217,2116
A010640,진양폴리,20190128,2890,2890,2710,2730,285062,173038,-15,2821,2539,2200,2109
A010640,진양폴리,20190125,2920,2920,2815,2890,200837,213003,-1,2809,2508,2182,2103
A010640,진양폴리,20190124,2750,2915,2745,2900,239095,217555,0,2769,2469,2162,2095
A010640,진양폴리,20190123,2775,2820,2710,2785,192826,220403,1,2721,2428,2143,2087
A010640,진양폴리,20190122,2675,3030,2650,2800,1590635,202307,-19,2730,2397,2128,2080
A010640,진양폴리,20190121,2690,2720,2600,2670,190399,156669,-12,2753,2367,2114,2073
A010640,진양폴리,20190118,2635,2730,2500,2690,225244,164205,15,2709,2344,2104,2067
A010640,진양폴리,20190117,2760,2800,2570,2660,482333,143156,-11,2629,2318,2093,2060
A010640,진양폴리,20190116,2920,3365,2740,2830,3455640,134699,-28,2547,2300,2085,2054
A010640,진양폴리,20190115,2450,2940,2415,2915,2619289,160062,3,2443,2269,2075,2047
A010640,진양폴리,20190114,2290,2450,2250,2450,208521,162884,4,2313,2229,2063,2039
A010640,진양폴리,20190111,2250,2295,2250,2290,21578,139380,-157,2280,2214,2060,2036
A010640,진양폴리,20190110,2310,2310,2215,2250,53893,136369,-9,2274,2204,2059,2034
A010640,진양폴리,20190109,2225,2325,2220,2310,46981,134356,3,2266,2200,2056,2032
A010640,진양폴리,20190108,2285,2340,2200,2265,74186,121621,18,2273,2191,2052,2030
A010640,진양폴리,20190107,2255,2350,2230,2285,76828,109871,55,2269,2196,2050,2029
A010640,진양폴리,20190104,2205,2265,2130,2260,77214,107198,4,2234,2214,2047,2029
A010640,진양폴리,20190103,2335,2350,2175,2210,137100,106891,35,2203,2212,2045,2026
A010640,진양폴리,20190102,2260,2345,2225,2345,143232,117856,-7,2178,2213,2043,2023
A010640,진양폴리,20181228,2085,2265,2085,2245,116256,126297,52,2142,2202,2039,2020
A010640,진양폴리,20181227,2075,2160,2075,2110,39054,151422,22,2132,2191,2036,2018
A010640,진양폴리,20181226,2020,2150,2010,2105,105292,148315,280,2155,2181,2035,2018
A010640,진양폴리,20181224,2160,2190,2085,2085,100823,127932,-181,2166,2172,2034,2016
A010640,진양폴리,20181221,2195,2240,2155,2165,82737,139391,74,2207,2160,2035,2015
A010640,진양폴리,20181220,2160,2300,2115,2195,92739,141631,-4,2219,2146,2034,2014
A010640,진양폴리,20181219,2150,2230,2100,2225,141787,137059,470,2203,2132,2031,2012
A010640,진양폴리,20181218,2255,2305,2145,2160,162481,130372,-11,2188,2114,2028,2010
A010640,진양폴리,20181217,2230,2395,2230,2290,405850,118860,-329,2173,2102,2028,2010
A010640,진양폴리,20181214,2090,2260,2085,2225,269818,122837,14775,2147,2082,2026,2008
A010640,진양폴리,20181213,2190,2240,2070,2115,318422,112160,149,2129,2065,2024,2006
A010640,진양폴리,20181212,2100,2190,2015,2150,264033,107010,105,2181,2054,2023,2005
A010640,진양폴리,20181211,2160,2190,2060,2085,168161,100794,47,2281,2042,2021,2005
A010640,진양폴리,20181210,2100,2190,2040,2160,295159,102237,7,2304,2030,2019,2004
A010640,진양폴리,20181207,2375,2505,2100,2135,898279,102378,-49314,2320,2014,2016,2003
A010640,진양폴리,20181206,2690,2690,2360,2375,660828,102288,49388,2319,2003,2013,2002
A010640,진양폴리,20181205,2170,2740,2115,2650,2353400,100778,-8,2248,1979,2006,1999
A010640,진양폴리,20181204,2240,2400,2160,2200,192125,102510,5,2101,1941,1996,1994
A010640,진양폴리,20181203,2130,2240,2105,2240,216974,103712,19,2043,1926,1992,1992
A010640,진양폴리,20181130,2025,2400,1965,2130,901982,105314,14565,1967,1903,1988,1990
A010640,진양폴리,20181129,1980,2150,1910,2020,95544,102775,10684,1919,1885,1986,1990
A010640,진양폴리,20181128,1950,1985,1880,1915,50172,104335,34,1894,1870,1986,1990
A010640,진양폴리,20181127,1860,1915,1845,1910,9868,104678,1064,1887,1858,1988,1990
A010640,진양폴리,20181126,1890,1905,1830,1860,20387,104678,2019,1886,1845,1989,1991
A010640,진양폴리,20181123,1895,1900,1855,1890,8176,104698,1104,1895,1840,1991,1992
A010640,진양폴리,20181122,1885,1895,1860,1895,8697,103296,3477,1893,1840,1994,1994
A010640,진양폴리,20181121,1905,1905,1840,1880,4601,103296,53,1891,1845,1995,1995
A010640,진양폴리,20181120,1900,1915,1860,1905,6000,103284,-25,1898,1854,1996,1996
A010640,진양폴리,20181119,1885,1925,1850,1905,16339,103346,79,1889,1861,1997,1996
A010640,진양폴리,20181116,1885,1990,1865,1880,13019,104029,4,1876,1873,1998,1996
A010640,진양폴리,20181115,1915,1915,1850,1885,6871,101418,25,1881,1891,1999,1997
A010640,진양폴리,20181114,1860,1955,1845,1915,21123,101480,5,1882,1906,2000,1998
A010640,진양폴리,20181113,1860,1860,1750,1860,20639,103734,23,1878,1923,2000,1998
A010640,진양폴리,20181112,1910,1920,1830,1840,9996,103365,-24,1887,1942,2000,1998
A010640,진양폴리,20181109,1895,1905,1860,1905,8897,103375,23,1873,1955,2003,1999
A010640,진양폴리,20181108,1915,1915,1810,1890,27195,103428,3,1848,1963,2005,1999
A010640,진양폴리,20181107,1940,1940,1860,1895,14368,102430,4,1813,1974,2006,1999
A010640,진양폴리,20181106,1770,1920,1760,1905,44094,103486,1,1770,1987,2008,1999
A010640,진양폴리,20181105,1780,1840,1705,1770,39085,104536,7,1719,1998,2009,1999
A010640,진양폴리,20181102,1720,1780,1720,1780,27351,105334,3,1717,2014,2012,2000
A010640,진양폴리,20181101,1685,1820,1685,1715,49399,105213,111,1737,2030,2014,2001
A010640,진양폴리,20181031,1650,1715,1650,1680,25811,105141,11,1795,2047,2018,2002
A010640,진양폴리,20181030,1510,1800,1430,1650,118739,105479,51,1871,2064,2023,2004
A010640,진양폴리,20181029,1800,1860,1760,1760,41343,104294,52,1948,2087,2028,2006
A010640,진양폴리,20181026,2000,2035,1880,1880,39585,103976,21,2027,2104,2031,2007
A010640,진양폴리,20181025,1985,2105,1960,2005,78912,103900,-128,2097,2114,2032,2006
A010640,진양폴리,20181024,2035,2085,1955,2060,103760,103841,46,2136,2115,2031,2005
A010640,진양폴리,20181023,2135,2170,2035,2035,129961,105008,-30,2173,2117,2029,2003
A010640,진양폴리,20181022,2220,2230,2135,2155,168278,104012,3,2213,2122,2026,2001
A010640,진양폴리,20181019,2200,2665,2120,2230,2171426,101345,79,2203,2123,2023,1999
A010640,진양폴리,20181018,2245,2245,2165,2200,34957,103086,-1,2170,2116,2019,1995
A010640,진양폴리,20181017,2260,2260,2200,2245,26881,101403,6,2150,2110,2016,1992
A010640,진양폴리,20181016,2085,2280,2085,2235,114433,101426,14,2133,2097,2013,1989
A010640,진양폴리,20181015,2065,2140,2045,2105,14461,102072,45,2112,2085,2010,1985
A010640,진양폴리,20181012,2050,2085,2010,2065,16005,102851,-9,2108,2077,2008,1982
A010640,진양폴리,20181011,2070,2160,2000,2100,26740,102851,-14,2114,2072,2008,1979
A010640,진양폴리,20181010,2100,2160,2070,2160,44611,102182,-5,2106,2067,2009,1976
A010640,진양폴리,20181008,2070,2150,2070,2130,24802,103946,-14,2081,2060,2010,1972
A010640,진양폴리,20181005,2085,2130,2065,2085,41149,104771,-19,2074,2053,2007,1968
A010640,진양폴리,20181004,2060,2105,2030,2095,26795,103757,5,2076,2048,2004,1965
A010640,진양폴리,20181002,2035,2100,2030,2060,22336,104466,18,2076,2044,2001,1962
A010640,진양폴리,20181001,2075,2110,2030,2035,13839,103728,-2,2068,2040,2001,1959
A010640,진양폴리,20180928,2130,2130,2075,2095,15837,103728,22,2081,2040,2000,1956
A010640,진양폴리,20180927,2090,2125,2075,2095,21564,103728,7,2087,2035,1998,1953
A010640,진양폴리,20180921,2020,2125,2020,2095,15688,102949,102,2105,2030,1995,1950
A010640,진양폴리,20180920,2100,2195,2020,2020,12314,102949,6,2106,2027,1994,1947
A010640,진양폴리,20180919,2125,2250,2050,2100,61875,102949,1,2114,2024,1994,1945
A010640,진양폴리,20180918,2185,2200,2120,2125,40415,102949,-2249,2093,2018,1992,1942
A010640,진양폴리,20180917,2100,2185,2090,2185,81652,102187,0,2067,2010,1991,1938
A010640,진양폴리,20180914,2060,2145,2040,2100,90561,102187,-8,2020,1999,1989,1934
A010640,진양폴리,20180913,1995,2185,1970,2060,218215,101427,0,1994,1990,1988,1931
A010640,진양폴리,20180912,1995,2020,1980,1995,13918,100665,503,1980,1983,1988,1928
A010640,진양폴리,20180911,1935,2020,1935,1995,37601,101694,39,1985,1979,1989,1927
A010640,진양폴리,20180910,1930,1965,1925,1950,19002,103471,557,1985,1975,1990,1925
