stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A011230,삼화전자,20190129,3030,3095,2940,3040,150569,675090,-450,2959,2596,2479,3047
A011230,삼화전자,20190128,3080,3260,3020,3030,392542,680456,447,2927,2556,2468,3072
A011230,삼화전자,20190125,2920,3035,2800,2950,205818,689156,0,2938,2517,2457,3096
A011230,삼화전자,20190124,2905,2935,2810,2875,119265,692377,0,2990,2483,2443,3121
A011230,삼화전자,20190123,2880,2920,2715,2900,183387,697031,0,2935,2454,2429,3151
A011230,삼화전자,20190122,3090,3110,2850,2880,322034,699061,-9,2866,2425,2419,3178
A011230,삼화전자,20190121,3300,3315,2995,3085,866055,698558,-171977,2784,2398,2412,3210
A011230,삼화전자,20190118,2720,3380,2650,3210,3139268,725480,171974,2638,2365,2405,3239
A011230,삼화전자,20190117,2555,2620,2480,2600,148079,788310,-2,2464,2311,2397,3266
A011230,삼화전자,20190116,2490,2590,2435,2555,176559,794072,-2,2396,2289,2402,3303
A011230,삼화전자,20190115,2355,2510,2335,2470,185733,794163,-44,2334,2270,2407,3348
A011230,삼화전자,20190114,2350,2400,2320,2355,103653,791556,-4,2283,2258,2416,3395
A011230,삼화전자,20190111,2285,2640,2285,2340,609009,786466,1,2256,2252,2424,3440
A011230,삼화전자,20190110,2260,2270,2225,2260,34040,787450,0,2232,2245,2432,3482
A011230,삼화전자,20190109,2230,2275,2200,2245,57261,785499,-7,2224,2243,2440,3526
A011230,삼화전자,20190108,2220,2250,2190,2215,44398,781060,-2,2224,2248,2447,3568
A011230,삼화전자,20190107,2260,2275,2220,2220,38757,782024,-2,2230,2259,2456,3611
A011230,삼화전자,20190104,2210,2260,2200,2220,45228,782761,-50,2235,2270,2467,3652
A011230,삼화전자,20190103,2295,2375,2215,2220,125260,780874,5,2247,2283,2482,3688
A011230,삼화전자,20190102,2250,2285,2210,2245,40960,783064,4,2259,2295,2495,3711
A011230,삼화전자,20181228,2215,2300,2195,2245,54449,782960,2,2276,2305,2509,3733
A011230,삼화전자,20181227,2350,2355,2220,2245,44401,799073,50,2293,2316,2525,3756
