stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A011330,유니켐,20190129,1735,1785,1720,1740,620639,630831,-134,1740,1644,1550,1578
A011330,유니켐,20190128,1815,1815,1735,1735,844033,610058,-91,1746,1632,1546,1575
A011330,유니켐,20190125,1705,1785,1705,1770,886828,805913,-11,1749,1620,1541,1573
A011330,유니켐,20190124,1785,1785,1690,1705,1104048,686355,954,1728,1603,1534,1570
A011330,유니켐,20190123,1740,1800,1730,1750,1297393,704303,2049,1715,1592,1528,1567
A011330,유니켐,20190122,1845,1885,1765,1770,5610705,525834,3851,1699,1582,1522,1564
A011330,유니켐,20190121,1660,1765,1660,1750,1954095,909901,-628,1685,1574,1516,1560
A011330,유니켐,20190118,1660,1735,1660,1665,1191731,752475,-118978,1638,1563,1510,1556
A011330,유니켐,20190117,1680,1705,1640,1640,890445,679679,-83110,1608,1557,1507,1553
A011330,유니켐,20190116,1695,1695,1640,1670,1210686,690768,42,1593,1552,1506,1550
A011330,유니켐,20190115,1520,1700,1510,1700,2587455,736149,7949,1577,1548,1507,1547
A011330,유니켐,20190114,1515,1540,1490,1515,585043,648438,-126,1556,1542,1508,1544
A011330,유니켐,20190111,1565,1570,1505,1515,578981,530459,227,1570,1541,1513,1543
A011330,유니켐,20190110,1590,1610,1545,1565,338361,497971,132,1581,1538,1517,1542
A011330,유니켐,20190109,1615,1615,1575,1590,171449,468015,-5,1580,1530,1520,1541
A011330,유니켐,20190108,1590,1620,1580,1595,369088,455558,107,1561,1522,1523,1539
A011330,유니켐,20190107,1570,1615,1560,1585,516961,436422,-14510,1541,1515,1526,1537
A011330,유니켐,20190104,1565,1575,1535,1570,273464,401152,-335,1522,1509,1531,1535
A011330,유니켐,20190103,1500,1585,1480,1560,400419,427737,236,1496,1506,1537,1533
A011330,유니켐,20190102,1495,1515,1475,1495,138105,432366,-74,1480,1502,1543,1531
A011330,유니켐,20181228,1480,1505,1480,1495,120247,420515,-183,1490,1501,1548,1529
A011330,유니켐,20181227,1450,1505,1450,1490,182269,408874,-32,1512,1499,1553,1528
A011330,유니켐,20181226,1435,1485,1415,1440,476795,411851,312,1521,1499,1558,1527
A011330,유니켐,20181224,1530,1555,1470,1480,695778,392473,-867,1544,1502,1564,1527
A011330,유니켐,20181221,1595,1635,1545,1545,823553,379330,-1478,1557,1502,1568,1526
