stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A011560,세보엠이씨,20190129,9580,9650,9300,9420,42262,524769,-4326,9418,9187,8914,10099
A011560,세보엠이씨,20190128,9490,9680,9430,9590,69136,526653,495,9394,9176,8902,10133
A011560,세보엠이씨,20190125,9480,9480,9290,9430,46803,516692,1452,9348,9160,8886,10165
A011560,세보엠이씨,20190124,9300,9420,9230,9410,26691,516118,594,9392,9162,8867,10196
A011560,세보엠이씨,20190123,9300,9350,9240,9240,29144,507895,497,9406,9169,8847,10222
A011560,세보엠이씨,20190122,9350,9460,9180,9300,34166,500150,3430,9474,9154,8837,10248
A011560,세보엠이씨,20190121,9580,9680,9340,9360,63386,498490,-8,9462,9141,8830,10269
A011560,세보엠이씨,20190118,9490,9690,9310,9650,30843,499405,-19,9478,9136,8824,10289
A011560,세보엠이씨,20190117,10000,10050,9400,9480,176498,496823,4993,9326,9090,8817,10306
A011560,세보엠이씨,20190116,9330,9630,9130,9580,69373,520592,-8,9210,9052,8823,10331
A011560,세보엠이씨,20190115,9500,9500,9180,9240,76384,516502,1,9092,9006,8827,10355
A011560,세보엠이씨,20190114,8970,9490,8960,9440,157397,518196,-9,9000,8988,8836,10382
A011560,세보엠이씨,20190111,9000,9000,8800,8890,37492,472325,-561,8868,8948,8843,10411
A011560,세보엠이씨,20190110,9060,9110,8840,8900,35370,468128,-301,8808,8924,8857,10444
A011560,세보엠이씨,20190109,8900,9010,8730,8990,23703,471699,-5,8772,8904,8866,10478
A011560,세보엠이씨,20190108,8780,8820,8650,8780,26334,465834,-4,8764,8904,8874,10511
A011560,세보엠이씨,20190107,8790,8860,8640,8780,26680,460955,-3,8848,8920,8881,10545
A011560,세보엠이씨,20190104,8720,8720,8450,8590,33698,465798,-13,8944,8926,8900,10580
A011560,세보엠이씨,20190103,8950,8950,8600,8720,73201,466220,-25,9120,8940,8932,10611
A011560,세보엠이씨,20190102,9410,9410,8830,8950,44393,465999,-1,9288,8945,8961,10646
A011560,세보엠이씨,20181228,9300,9510,9110,9200,57745,471278,-240,9286,8932,8992,10675
A011560,세보엠이씨,20181227,9640,9640,9110,9260,91691,471326,-354,9254,8910,9031,10706
A011560,세보엠이씨,20181226,9700,9870,9280,9470,169458,481989,-174,9252,8885,9076,10739
A011560,세보엠이씨,20181224,9180,9800,9180,9560,220597,509783,-198,9108,8840,9115,10767
A011560,세보엠이씨,20181221,8960,9220,8810,8940,44453,519358,-14,8938,8787,9152,10800
A011560,세보엠이씨,20181220,9450,10300,9030,9040,638041,520172,-32,8880,8765,9204,10838
A011560,세보엠이씨,20181219,8900,9360,8770,9250,121839,582138,0,8848,8744,9249,10879
A011560,세보엠이씨,20181218,8710,8770,8560,8750,31491,576250,1,8728,8703,9295,10916
A011560,세보엠이씨,20181217,8560,8880,8510,8710,37561,580492,15,8658,8686,9358,10956
A011560,세보엠이씨,20181214,8970,8970,8530,8650,44103,583310,-28,8618,8675,9424,10996
A011560,세보엠이씨,20181213,8630,8900,8530,8880,39466,588551,2,8688,8664,9491,11039
A011560,세보엠이씨,20181212,8370,8650,8370,8650,22289,574598,3,8732,8633,9542,11085
A011560,세보엠이씨,20181211,8510,8550,8310,8400,48245,569722,39,8778,8624,9594,11133
A011560,세보엠이씨,20181210,8930,8940,8410,8510,110083,575127,11,8872,8633,9657,11198
A011560,세보엠이씨,20181207,9170,9270,8780,9000,134870,600174,-77,8936,8642,9716,11252
A011560,세보엠이씨,20181206,8880,9550,8880,9100,299638,626152,-516,8872,8628,9767,11306
A011560,세보엠이씨,20181205,8760,8990,8710,8880,52184,618555,-19,8804,8615,9822,11358
A011560,세보엠이씨,20181204,8870,9080,8760,8870,40767,625232,-3,8782,8610,9870,11416
A011560,세보엠이씨,20181203,8760,8870,8700,8830,45574,623854,-25,8724,8610,9916,11473
A011560,세보엠이씨,20181130,8870,8870,8610,8680,36095,619643,124,8656,8608,9963,11531
A011560,세보엠이씨,20181129,8910,9130,8760,8760,58319,622739,-3,8620,8624,10012,11590
A011560,세보엠이씨,20181128,8680,8800,8640,8770,36125,622865,1,8594,8619,10060,11645
A011560,세보엠이씨,20181127,8520,8670,8510,8580,43388,620596,2,8524,8612,10107,11701
A011560,세보엠이씨,20181126,8560,8570,8380,8490,43358,602778,32,8488,8600,10158,11762
A011560,세보엠이씨,20181123,8790,8790,8380,8500,51182,594359,-4,8490,8584,10211,11819
A011560,세보엠이씨,20181122,8490,8650,8420,8630,51950,607207,-5,8476,8592,10266,11880
A011560,세보엠이씨,20181121,8380,8440,8260,8420,40673,603897,-10202,8402,8604,10319,11942
A011560,세보엠이씨,20181120,8370,8510,8300,8400,66985,600777,12009,8410,8634,10378,12000
A011560,세보엠이씨,20181119,8500,8580,8300,8500,71157,583240,1,8448,8676,10432,12060
A011560,세보엠이씨,20181116,8280,8530,8180,8430,44466,569693,2174,8488,8741,10486,12122
A011560,세보엠이씨,20181115,8370,8440,8100,8260,44050,548971,-9,8546,8811,10542,12196
A011560,세보엠이씨,20181114,8590,8690,8320,8460,24315,541952,-9,8660,8886,10601,12266
A011560,세보엠이씨,20181113,8530,8690,8410,8590,18635,541746,-16,8726,8958,10658,12327
