stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A012160,영흥철강,20190129,1285,1290,1215,1230,391357,1658340,-176,1253,1207,1118,1176
A012160,영흥철강,20190128,1265,1275,1240,1260,297749,1667845,1855,1255,1199,1114,1176
A012160,영흥철강,20190125,1270,1280,1245,1255,345219,1703584,2072,1256,1190,1109,1175
A012160,영흥철강,20190124,1265,1300,1250,1255,395088,1721999,-12,1256,1178,1104,1175
A012160,영흥철강,20190123,1230,1290,1220,1265,950889,1795670,3177,1260,1168,1099,1175
A012160,영흥철강,20190122,1290,1295,1240,1240,271107,1644656,-251,1267,1158,1094,1174
A012160,영흥철강,20190121,1280,1295,1250,1265,524628,1641462,13828,1272,1151,1091,1174
A012160,영흥철강,20190118,1260,1285,1230,1255,569847,1659690,2153,1268,1144,1088,1173
A012160,영흥철강,20190117,1300,1305,1255,1275,799275,1520276,-161,1261,1138,1086,1172
A012160,영흥철강,20190116,1280,1300,1260,1300,812988,1537739,-19,1235,1130,1084,1171
A012160,영흥철강,20190115,1245,1300,1225,1265,1910609,1503402,-409,1209,1122,1082,1171
A012160,영흥철강,20190114,1225,1250,1205,1245,1538066,1508496,-125,1184,1116,1081,1170
A012160,영흥철강,20190111,1155,1355,1135,1220,7544955,1622367,335,1163,1108,1081,1170
A012160,영흥철강,20190110,1155,1165,1145,1145,377253,1554184,150,1134,1101,1079,1171
A012160,영흥철강,20190109,1150,1180,1140,1170,568686,1550281,-34,1118,1100,1078,1172
A012160,영흥철강,20190108,1145,1190,1115,1140,1527022,1542789,152,1098,1100,1077,1172
A012160,영흥철강,20190107,1100,1215,1085,1140,6692670,1425590,495,1084,1102,1076,1173
A012160,영흥철강,20190104,1080,1100,1050,1075,217993,1520866,-490,1071,1102,1076,1174
A012160,영흥철강,20190103,1095,1095,1065,1065,227804,1564287,395,1063,1106,1078,1175
A012160,영흥철강,20190102,1095,1095,1055,1070,90259,1578588,-81,1059,1108,1081,1176
A012160,영흥철강,20181228,1080,1110,1070,1070,243009,1564118,-366,1059,1107,1084,1178
A012160,영흥철강,20181227,1045,1085,1045,1075,205721,1599005,87,1065,1106,1088,1179
A012160,영흥철강,20181226,1040,1045,1015,1035,203148,1608373,-7077,1076,1105,1091,1181
A012160,영흥철강,20181224,1070,1070,1045,1045,201136,1659411,-1362,1092,1106,1096,1183
