stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A012620,원일특강,20190129,9580,9580,9430,9470,2693,35182,-125,9548,9374,9324,9575
A012620,원일특강,20190128,9570,9610,9530,9580,2649,35182,-52,9546,9358,9306,9581
A012620,원일특강,20190125,9550,9600,9520,9570,3293,35182,-115,9540,9332,9285,9586
A012620,원일특강,20190124,9780,9780,9460,9550,2498,35182,0,9540,9296,9263,9590
A012620,원일특강,20190123,9460,9570,9360,9570,7970,36122,0,9526,9270,9241,9596
A012620,원일특강,20190122,9560,9660,9410,9460,6720,36122,0,9500,9252,9232,9600
A012620,원일특강,20190121,9600,9740,9530,9550,4073,36327,-13,9508,9238,9223,9605
A012620,원일특강,20190118,9650,9650,9450,9570,7059,36727,-7,9488,9222,9214,9610
A012620,원일특강,20190117,9440,9790,9420,9480,6624,37102,-138,9474,9213,9208,9613
A012620,원일특강,20190116,9500,9500,9430,9440,4901,37452,-27,9430,9210,9206,9618
A012620,원일특강,20190115,9450,9690,9380,9500,8650,37802,0,9370,9204,9204,9623
A012620,원일특강,20190114,9500,9510,9350,9450,5565,38127,0,9288,9198,9200,9627
A012620,원일특강,20190111,9260,10000,9260,9500,12546,38175,0,9206,9200,9197,9633
A012620,원일특강,20190110,9140,9270,9100,9260,3935,38425,-336,9124,9197,9192,9639
A012620,원일특강,20190109,9090,9150,9000,9140,3127,38675,0,9088,9209,9193,9646
A012620,원일특강,20190108,9150,9150,8990,9090,1291,38995,-28,9076,9233,9201,9655
A012620,원일특강,20190107,9090,9240,9010,9040,2798,39284,0,9088,9262,9205,9663
A012620,원일특강,20190104,9070,9090,8790,9090,2548,39702,229,9094,9292,9219,9672
A012620,원일특강,20190103,9080,9080,8900,9080,2955,40300,0,9044,9322,9232,9680
A012620,원일특강,20190102,9060,9150,8990,9080,6385,40956,0,9036,9352,9246,9690
A012620,원일특강,20181228,9070,9150,8960,9150,4276,41503,0,9060,9384,9261,9699
A012620,원일특강,20181227,8840,9140,8760,9070,8796,42401,-3,9070,9412,9276,9706
A012620,원일특강,20181226,9040,9040,8750,8840,17495,43498,-149,9102,9440,9293,9714
A012620,원일특강,20181224,9200,9200,9040,9040,2015,44894,0,9210,9478,9314,9724
A012620,원일특강,20181221,9160,9220,9020,9200,6124,48120,147,9288,9504,9333,9736
A012620,원일특강,20181220,9120,9200,9070,9200,2841,48218,0,9308,9533,9347,9745
A012620,원일특강,20181219,9370,9370,9120,9230,4080,48372,-23,9348,9552,9361,9755
