stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A012760,동아,20190129,2390,2390,2390,2390,0,0,0,2390,2390,2286,1988
A012760,동아,20190128,2390,2390,2390,2390,0,0,0,2390,2390,2280,1974
A012760,동아,20190125,2390,2390,2390,2390,0,0,0,2390,2390,2273,1963
A012760,동아,20190124,2390,2390,2390,2390,0,0,0,2390,2390,2266,1951
A012760,동아,20190123,2390,2390,2390,2390,0,0,0,2390,2390,2260,1940
A012760,동아,20190122,2390,2390,2390,2390,0,0,0,2390,2390,2254,1929
A012760,동아,20190121,2390,2390,2390,2390,0,0,0,2390,2390,2247,1917
A012760,동아,20190118,2390,2390,2390,2390,0,0,0,2390,2390,2240,1906
A012760,동아,20190117,2390,2390,2390,2390,0,0,0,2390,2390,2234,1894
A012760,동아,20190116,2390,2390,2390,2390,0,0,0,2390,2390,2228,1883
A012760,동아,20190115,2390,2390,2390,2390,0,0,0,2390,2390,2221,1872
A012760,동아,20190114,2390,2390,2390,2390,0,0,0,2390,2390,2214,1858
A012760,동아,20190111,2390,2390,2390,2390,0,0,0,2390,2390,2208,1848
A012760,동아,20190110,2390,2390,2390,2390,0,0,0,2390,2390,2202,1835
A012760,동아,20190109,2390,2390,2390,2390,0,0,0,2390,2390,2195,1822
A012760,동아,20190108,2390,2390,2390,2390,0,0,0,2390,2390,2188,1810
A012760,동아,20190107,2390,2390,2390,2390,0,0,0,2390,2390,2182,1797
A012760,동아,20190104,2390,2390,2390,2390,0,0,0,2390,2390,2176,1784
A012760,동아,20190103,2390,2390,2390,2390,0,0,0,2390,2390,2169,1772
A012760,동아,20190102,2390,2390,2390,2390,0,0,0,2390,2390,2162,1759
A012760,동아,20181228,2390,2390,2390,2390,0,0,0,2390,2390,2156,1749
A012760,동아,20181227,2390,2390,2390,2390,0,0,0,2390,2390,2150,1739
A012760,동아,20181226,2390,2390,2390,2390,0,0,0,2390,2390,2143,1729
A012760,동아,20181224,2390,2390,2390,2390,0,0,0,2390,2390,2136,1719
A012760,동아,20181221,2390,2390,2390,2390,0,0,0,2390,2390,2130,1712
A012760,동아,20181220,2390,2390,2390,2390,0,0,0,2390,2370,2124,1705
A012760,동아,20181219,2390,2390,2390,2390,0,0,0,2390,2351,2117,1699
A012760,동아,20181218,2390,2390,2390,2390,0,0,0,2390,2332,2110,1692
A012760,동아,20181217,2390,2390,2390,2390,0,0,0,2390,2312,2104,1691
A012760,동아,20181214,2390,2390,2390,2390,0,0,0,2390,2292,2098,1690
A012760,동아,20181213,2390,2390,2390,2390,0,0,0,2390,2273,2091,1689
A012760,동아,20181212,2390,2390,2390,2390,0,0,0,2390,2254,2084,1687
A012760,동아,20181211,2390,2390,2390,2390,0,0,0,2390,2234,2078,1686
A012760,동아,20181210,2390,2390,2390,2390,0,0,0,2390,2214,2072,1685
A012760,동아,20181207,2390,2390,2390,2390,0,0,0,2390,2195,2065,1684
A012760,동아,20181206,2390,2390,2390,2390,0,0,0,2390,2176,2057,1683
A012760,동아,20181205,2390,2390,2390,2390,0,0,0,2390,2156,2048,1682
A012760,동아,20181204,2390,2390,2390,2390,0,0,0,2390,2136,2040,1681
A012760,동아,20181203,2390,2390,2390,2390,0,0,0,2390,2117,2032,1688
A012760,동아,20181130,2390,2390,2390,2390,0,0,0,2390,2098,2016,1695
A012760,동아,20181129,2390,2390,2390,2390,0,0,0,2312,2078,2001,1701
A012760,동아,20181128,2390,2390,2390,2390,0,0,0,2234,2058,1986,1708
A012760,동아,20181127,2390,2390,2390,2390,0,0,0,2156,2039,1970,1715
A012760,동아,20181126,2390,2390,2390,2390,1,0,0,2078,2020,1949,1722
A012760,동아,20181123,2000,2000,2000,2000,0,0,0,2000,2000,1928,1729
A012760,동아,20181122,2000,2000,2000,2000,0,0,0,2000,2000,1913,1739
A012760,동아,20181121,2000,2000,2000,2000,0,0,0,2000,2000,1899,1749
A012760,동아,20181120,2000,2000,2000,2000,0,0,0,2000,2000,1884,1760
A012760,동아,20181119,2000,2000,2000,2000,0,0,0,2000,2000,1870,1770
A012760,동아,20181116,2000,2000,2000,2000,0,0,0,2000,2000,1855,1780
A012760,동아,20181115,2000,2000,2000,2000,0,0,0,2000,2000,1840,1790
A012760,동아,20181114,2000,2000,2000,2000,0,0,0,2000,2000,1826,1800
A012760,동아,20181113,2000,2000,2000,2000,0,0,0,2000,2000,1811,1810
A012760,동아,20181112,2000,2000,2000,2000,0,0,0,2000,2000,1797,1821
A012760,동아,20181109,2000,2000,2000,2000,0,0,0,2000,2000,1790,1831
A012760,동아,20181108,2000,2000,2000,2000,0,0,0,2000,2000,1777,1841
A012760,동아,20181107,2000,2000,2000,2000,0,0,0,2000,2000,1764,1851
A012760,동아,20181106,2000,2000,2000,2000,0,0,0,2000,2000,1746,1861
A012760,동아,20181105,2000,2000,2000,2000,0,0,0,2000,2000,1729,1868
A012760,동아,20181102,2000,2000,2000,2000,0,0,0,2000,2000,1711,1875
A012760,동아,20181101,2000,2000,2000,2000,0,0,0,2000,2000,1690,1881
A012760,동아,20181031,2000,2000,2000,2000,0,0,0,2000,2000,1669,1888
A012760,동아,20181030,2000,2000,2000,2000,0,0,0,2000,2000,1652,1895
A012760,동아,20181029,2000,2000,2000,2000,0,0,0,2000,2000,1636,1901
A012760,동아,20181026,2000,2000,2000,2000,0,0,0,2000,2000,1620,1908
A012760,동아,20181025,2000,2000,2000,2000,0,0,0,2000,2000,1604,1915
A012760,동아,20181024,2000,2000,2000,2000,0,0,0,2000,2000,1587,1921
A012760,동아,20181023,2000,2000,2000,2000,0,0,0,2000,2000,1571,1928
A012760,동아,20181022,2000,2000,2000,2000,0,0,0,2000,2000,1555,1935
A012760,동아,20181019,2000,2000,2000,2000,0,0,0,2000,2000,1539,1941
A012760,동아,20181018,2000,2000,2000,2000,0,0,0,2000,2000,1522,1948
