stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A013000,세우글로벌,20190129,2090,2350,2020,2350,6481429,103151,-67,2162,2003,1750,1673
A013000,세우글로벌,20190128,2155,2155,2100,2120,1139660,51728,-27,2103,1972,1733,1667
A013000,세우글로벌,20190125,2115,2125,2055,2120,1604247,146853,-3,2091,1952,1719,1662
A013000,세우글로벌,20190124,2225,2225,2060,2100,2893512,81134,638,2084,1932,1704,1658
A013000,세우글로벌,20190123,2090,2175,2045,2120,3271613,91220,17,2068,1912,1689,1655
A013000,세우글로벌,20190122,2095,2140,2050,2055,2289681,201247,-36,2045,1895,1677,1650
A013000,세우글로벌,20190121,2095,2095,2020,2060,1330619,439806,-27,2040,1887,1667,1646
A013000,세우글로벌,20190118,2035,2170,2000,2085,3589802,507744,37,2025,1876,1657,1643
A013000,세우글로벌,20190117,2020,2035,1980,2020,924615,335827,-23,1990,1863,1648,1639
A013000,세우글로벌,20190116,2030,2040,1975,2005,1319123,383884,15,1948,1859,1640,1637
A013000,세우글로벌,20190115,1985,2090,1975,2030,5213847,365290,30,1918,1858,1632,1634
A013000,세우글로벌,20190114,1965,2050,1945,1985,3518444,338908,8,1884,1850,1623,1632
A013000,세우글로벌,20190111,1825,1945,1820,1910,3403433,385748,94,1875,1842,1614,1630
A013000,세우글로벌,20190110,1840,1885,1775,1810,2023654,372422,47,1889,1838,1607,1628
A013000,세우글로벌,20190109,1875,1895,1805,1855,1165622,533104,11,1908,1842,1600,1628
A013000,세우글로벌,20190108,1955,1990,1800,1860,2141408,387776,46,1888,1843,1592,1627
A013000,세우글로벌,20190107,1980,2070,1930,1940,3942923,128272,101,1861,1845,1584,1627
A013000,세우글로벌,20190104,1930,2080,1915,1980,12239395,112168,1,1816,1836,1575,1626
A013000,세우글로벌,20190103,1780,1950,1740,1905,6216970,42417,97,1765,1819,1568,1622
A013000,세우글로벌,20190102,1770,1830,1720,1755,1409603,165523,-16,1724,1806,1562,1619
A013000,세우글로벌,20181228,1700,1785,1690,1725,822164,317925,-93,1729,1799,1559,1617
A013000,세우글로벌,20181227,1755,1785,1705,1715,1064733,194666,-139,1762,1789,1557,1616
A013000,세우글로벌,20181226,1655,1775,1650,1725,1419740,242292,977,1786,1780,1556,1616
A013000,세우글로벌,20181224,1775,1830,1690,1700,1306308,113200,-177,1808,1771,1555,1615
A013000,세우글로벌,20181221,1855,1875,1780,1780,1931267,18202,233,1857,1762,1554,1615
A013000,세우글로벌,20181220,1840,2005,1810,1890,8855345,17690,37630,1895,1747,1552,1616
A013000,세우글로벌,20181219,1845,1880,1780,1835,4245960,102884,625,1891,1730,1548,1614
