stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A013030,하이록코리아,20190129,19650,19650,19200,19550,47355,6462319,3711,19500,18085,18262,20928
A013030,하이록코리아,20190128,19350,19800,19000,19800,39039,6481154,3645,19450,17930,18305,20974
A013030,하이록코리아,20190125,19200,19500,19150,19300,26490,6479340,2835,19530,17808,18356,21014
A013030,하이록코리아,20190124,19500,19600,19100,19400,68629,6474998,-463,19340,17712,18442,21057
A013030,하이록코리아,20190123,19150,19600,18950,19450,30446,6462552,2082,19110,17588,18551,21102
A013030,하이록코리아,20190122,20200,20250,19200,19300,80038,6464066,-41760,18880,17445,18630,21147
A013030,하이록코리아,20190121,18200,20850,18050,20200,228511,6445731,-4260,18570,17302,18708,21188
A013030,하이록코리아,20190118,18400,18500,18000,18350,11509,6420724,2707,17940,17178,18760,21220
A013030,하이록코리아,20190117,18400,18400,17950,18250,10879,6417912,3,17700,17178,18839,21268
A013030,하이록코리아,20190116,17650,18300,17450,18300,21739,6424316,2394,17510,17210,18914,21314
A013030,하이록코리아,20190115,16900,17850,16900,17750,17290,6416699,-98,17290,17212,18992,21357
A013030,하이록코리아,20190114,17000,17350,17000,17050,6934,6408236,-4006,17070,17218,19069,21404
A013030,하이록코리아,20190111,17200,17500,17050,17150,10736,6397462,-913,17100,17255,19174,21454
A013030,하이록코리아,20190110,16950,17350,16800,17300,13853,6400143,-4715,17100,17265,19271,21507
A013030,하이록코리아,20190109,16600,17400,16600,17200,15885,6398431,2102,16880,17295,19365,21562
A013030,하이록코리아,20190108,17200,17350,16500,16650,23309,6388368,-2947,16670,17350,19495,21615
A013030,하이록코리아,20190107,17150,17300,16850,17200,24299,6397393,-2305,16630,17405,19631,21680
A013030,하이록코리아,20190104,16200,17350,16200,17150,23007,6398135,8525,16660,17438,19761,21747
A013030,하이록코리아,20190103,16100,16500,16100,16200,23174,6392484,-617,16710,17480,19887,21814
A013030,하이록코리아,20190102,16700,16850,16100,16150,27746,6379034,-7631,16850,17540,20012,21900
A013030,하이록코리아,20181228,17400,17400,16400,16450,40366,6377483,-9777,16940,17572,20144,21981
A013030,하이록코리아,20181227,17600,17700,17100,17350,26614,6399986,10076,16940,17628,20276,22054
A013030,하이록코리아,20181226,16900,18550,16250,17400,46280,6400211,7756,17010,17642,20382,22122
A013030,하이록코리아,20181224,16550,16900,16450,16900,20559,6409585,11197,17200,17648,20488,22181
A013030,하이록코리아,20181221,16550,16800,16400,16600,16029,6420069,-307,17600,17675,20604,22253
A013030,하이록코리아,20181220,17600,17700,16450,16450,73805,6420145,-7538,17950,17705,20726,22329
A013030,하이록코리아,20181219,18350,18700,17600,17700,26955,6444009,-1383,18230,17750,20842,22408
A013030,하이록코리아,20181218,18850,18900,18150,18350,26269,6451965,4863,18250,17740,20941,22488
A013030,하이록코리아,20181217,18350,19000,18200,18900,29547,6464612,14100,18050,17748,21031,22572
A013030,하이록코리아,20181214,18000,18800,17900,18350,40081,6471907,5113,17850,17785,21104,22650
A013030,하이록코리아,20181213,17650,18200,17650,17850,44154,6476407,-6805,17840,17842,21195,22718
A013030,하이록코리아,20181212,17350,18100,17350,17800,14988,6472934,6769,17820,17910,21286,22793
A013030,하이록코리아,20181211,17900,18150,17300,17350,15177,6475674,3994,17830,17948,21358,22859
A013030,하이록코리아,20181210,18250,18250,17600,17900,18656,6480423,-1372,17960,18018,21443,22948
A013030,하이록코리아,20181207,17700,18300,17550,18300,31999,6486106,13289,17860,18110,21515,23046
A013030,하이록코리아,20181206,18100,18100,17600,17750,16042,6493444,-131,17560,18192,21584,23144
A013030,하이록코리아,20181205,18000,18300,17700,17850,42070,6493989,6000,17520,18320,21661,23251
A013030,하이록코리아,20181204,17400,18150,17400,18000,46169,6497601,3705,17480,18472,21738,23348
A013030,하이록코리아,20181203,17150,17600,16900,17400,38248,6502025,9292,17380,18652,21825,23444
A013030,하이록코리아,20181130,17650,17650,16800,16800,34659,6507007,-3068,17390,18860,21921,23541
A013030,하이록코리아,20181129,17700,17950,17450,17550,17764,6513758,-2633,17470,19130,22050,23644
A013030,하이록코리아,20181128,17500,17650,17300,17650,12861,6513686,290,17430,19358,22164,23751
A013030,하이록코리아,20181127,17350,17550,17200,17500,20608,6506015,2816,17400,19618,22268,23858
A013030,하이록코리아,20181126,17250,17500,17100,17450,14513,6510155,3869,17600,19968,22382,23962
A013030,하이록코리아,20181123,17300,17550,17200,17200,15339,6512907,-1656,18040,20390,22503,24055
A013030,하이록코리아,20181122,17550,17550,17250,17350,29627,6515322,4229,18500,20740,22620,24155
A013030,하이록코리아,20181121,18300,18300,17300,17500,57001,6517771,-3316,18870,21072,22738,24264
A013030,하이록코리아,20181120,19500,19500,18450,18500,46198,6537680,-13333,19080,21362,22847,24359
A013030,하이록코리아,20181119,19300,19850,19300,19650,22320,6553482,-2195,19130,21592,22942,24445
A013030,하이록코리아,20181116,19150,19700,18850,19500,25808,6551411,-2117,19150,21748,23003,24527
A013030,하이록코리아,20181115,18350,19250,18300,19200,27134,6551027,-358,19240,21922,23062,24622
A013030,하이록코리아,20181114,18800,19100,18350,18550,27748,6548853,-2652,19460,22080,23122,24720
A013030,하이록코리아,20181113,19750,19750,18650,18750,26546,6547240,-1262,19930,22320,23197,24814
A013030,하이록코리아,20181112,19800,20300,19650,19750,19659,6546778,52,20500,22530,23254,24899
A013030,하이록코리아,20181109,20350,20500,19750,19950,22290,6549514,-968,20860,22690,23311,25009
A013030,하이록코리아,20181108,20800,21000,20300,20300,41013,6556393,-12277,21310,22942,23365,25085
A013030,하이록코리아,20181107,21550,21750,20750,20900,42031,6554860,-1569,21670,23168,23425,25150
A013030,하이록코리아,20181106,21750,21750,21200,21600,21495,6555829,-4779,22060,23372,23480,25203
A013030,하이록코리아,20181105,21850,22100,21250,21550,36554,6567453,-13356,22640,23528,23521,25245
A013030,하이록코리아,20181102,22100,22350,21550,22200,50657,6572057,-5882,23510,23635,23564,25286
A013030,하이록코리아,20181101,22650,22850,21800,22100,44375,6579338,-15200,23910,23730,23594,25331
A013030,하이록코리아,20181031,24200,24400,22650,22850,34786,6579967,-10633,24290,23842,23643,25372
A013030,하이록코리아,20181030,25650,25900,24000,24500,58722,6578539,15960,24380,23885,23672,25413
A013030,하이록코리아,20181029,25000,26000,24300,25900,61406,6592921,22536,24100,23848,23671,25439
A013030,하이록코리아,20181026,24000,24550,23250,24200,27613,6609779,7859,23470,23748,23653,25443
A013030,하이록코리아,20181025,23500,24500,22400,24000,43262,6616217,20098,23230,23732,23664,25463
A013030,하이록코리아,20181024,23400,23400,22800,23300,46333,6621630,16181,22900,23705,23667,25479
A013030,하이록코리아,20181023,22950,23100,22400,23100,17612,6634465,5185,22910,23720,23681,25505
A013030,하이록코리아,20181022,22450,23000,22100,22750,12719,6632253,357,22880,23752,23696,25526
A013030,하이록코리아,20181019,22200,23000,22200,23000,13303,6632378,9391,22920,23780,23713,25538
A013030,하이록코리아,20181018,23350,23350,22150,22350,14387,6636122,-5514,23320,23820,23721,25548
A013030,하이록코리아,20181017,22900,23550,22900,23350,16412,6636598,1288,23810,23868,23738,25560
A013030,하이록코리아,20181016,22950,23500,22800,22950,17104,6640350,7995,24140,23805,23733,25565
A013030,하이록코리아,20181015,25250,25250,22850,22950,48433,6647146,-3727,24490,23782,23742,25573
A013030,하이록코리아,20181012,25500,25700,24500,25000,32588,6651303,9782,24640,23745,23758,25583
A013030,하이록코리아,20181011,25000,28000,24000,24800,206493,6654314,27586,24460,23618,23735,25577
A013030,하이록코리아,20181010,24900,25150,24400,25000,36166,6660720,7660,24370,23495,23729,25570
A013030,하이록코리아,20181008,24550,24700,23850,24700,64947,6661899,5307,24110,23368,23733,25560
A013030,하이록코리아,20181005,24550,24600,23000,23700,20301,6658057,5034,23920,23295,23741,25554
A013030,하이록코리아,20181004,24450,24750,23250,24100,26166,6657307,461,23960,23268,23789,25556
A013030,하이록코리아,20181002,23400,24650,23400,24350,23759,6659265,-1708,23920,23290,23818,25555
A013030,하이록코리아,20181001,23500,24000,23450,23700,12861,6658707,115,23740,23292,23832,25545
