stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A013890,지누스,20190129,59700,59700,56800,57700,6152,0,0,54080,50255,49784,45009
A013890,지누스,20190128,54500,58200,54500,57800,7701,0,0,52320,49945,49506,44912
A013890,지누스,20190125,50800,57500,50800,54900,5792,0,0,50500,49530,49224,44814
A013890,지누스,20190124,49700,51400,49500,50700,3982,0,0,49130,49238,49034,44740
A013890,지누스,20190123,48850,49600,48800,49300,3308,0,0,48680,49158,48881,44697
A013890,지누스,20190122,48600,49200,48600,48900,3535,0,0,48460,49142,48826,44661
A013890,지누스,20190121,48000,50300,48000,48700,6475,0,0,48350,49072,48731,44653
A013890,지누스,20190118,48950,48950,47500,48050,5757,0,0,48380,48978,48702,44649
A013890,지누스,20190117,48200,49500,48000,48450,4969,0,0,48370,48950,48661,44643
A013890,지누스,20190116,48500,49000,48200,48200,9943,0,0,48660,48978,48457,44656
A013890,지누스,20190115,48300,49500,48200,48350,6751,0,0,48880,49068,48253,44672
A013890,지누스,20190114,53400,53400,48600,48850,3692,0,0,49210,49080,48026,44710
A013890,지누스,20190111,51000,51000,48000,48000,12247,0,0,49340,49112,47790,44755
A013890,지누스,20190110,49650,50000,49000,49900,1503,0,0,49540,49195,47565,44808
A013890,지누스,20190109,53000,53000,49300,49300,4052,0,0,49360,49200,47308,44826
A013890,지누스,20190108,50000,50100,49000,50000,2910,0,0,49600,49300,47070,44846
A013890,지누스,20190107,50000,50000,48000,49500,5073,0,0,49900,49400,46803,44871
A013890,지누스,20190104,49600,49900,48750,49000,5422,0,0,49900,49545,46610,44896
A013890,지누스,20190103,49400,50300,49000,49000,8000,0,0,49910,49780,46388,44922
A013890,지누스,20190102,49650,51000,49650,50500,8060,0,0,49930,50010,46169,44947
A013890,지누스,20181228,51900,51900,49150,51500,6360,0,0,49630,50130,45928,44959
A013890,지누스,20181227,50400,51500,49000,49500,8467,0,0,48830,50240,45684,44968
A013890,지누스,20181226,50500,51000,48500,49050,15437,0,0,48290,50415,45492,44989
A013890,지누스,20181224,49000,52000,49000,49100,5870,0,0,47980,50602,45320,45017
A013890,지누스,20181221,47000,49000,47000,49000,2790,0,0,47960,50832,45147,45037
A013890,지누스,20181220,48000,50000,46000,47500,14917,0,0,48160,51082,44988,45054
A013890,지누스,20181219,47900,49300,45150,46800,18128,0,0,48380,51368,44847,45096
A013890,지누스,20181218,49600,49600,47500,47500,5061,0,0,48920,51712,44725,45145
A013890,지누스,20181217,51500,51500,49000,49000,4510,0,0,49350,52098,44598,45207
A013890,지누스,20181214,51900,51900,49000,50000,2906,0,0,49550,52482,44448,45256
A013890,지누스,20181213,52000,52000,48500,48600,6209,0,0,49810,52862,44284,45300
A013890,지누스,20181212,51500,51500,48500,49500,4932,0,0,50490,52982,44124,45378
A013890,지누스,20181211,50900,50900,49500,49650,1874,0,0,51070,52588,43949,45451
A013890,지누스,20181210,51900,53200,49500,50000,2714,0,0,51880,52230,43769,45527
A013890,지누스,20181207,53800,53800,50800,51300,1416,0,0,52600,51855,43582,45594
A013890,지누스,20181206,52400,53400,51100,52000,3420,0,0,52920,51448,43377,45656
A013890,지누스,20181205,54100,54100,52000,52400,2679,0,0,53260,51042,43165,45680
A013890,지누스,20181204,54100,54900,53500,53700,3386,0,0,53380,50552,42958,45692
A013890,지누스,20181203,54500,54500,53100,53600,4049,0,0,53200,50132,42732,45692
A013890,지누스,20181130,54900,54900,52300,52900,1219,0,0,53220,49532,42522,45691
A013890,지누스,20181129,52800,55200,52800,53700,4447,0,0,53440,48968,42332,45702
A013890,지누스,20181128,52700,53800,52500,53000,3144,0,0,53340,48332,42136,45704
A013890,지누스,20181127,54800,54800,52500,52800,5244,0,0,53480,47728,41961,45718
A013890,지누스,20181126,56800,56800,52400,53700,3669,0,0,53960,47262,41801,45722
A013890,지누스,20181123,53600,56800,52100,54000,4480,0,0,54560,46652,41638,45736
A013890,지누스,20181122,55000,55700,52500,53200,5001,0,0,55280,46252,41462,45756
A013890,지누스,20181121,55300,55300,53700,53700,13655,0,0,54840,45752,41276,45801
A013890,지누스,20181120,57800,57800,55000,55200,4837,0,0,52420,45415,41096,45863
A013890,지누스,20181119,59900,59900,56300,56700,21632,0,0,49880,44935,40876,45917
A013890,지누스,20181116,53600,58400,52900,57600,20067,0,0,47040,43910,40594,45959
A013890,지누스,20181115,55000,55000,48050,51000,63440,0,0,44150,42830,40282,45992
A013890,지누스,20181114,42600,49900,41600,41600,10541,0,0,42730,42015,40069,46100
A013890,지누스,20181113,42500,43000,41000,42500,5993,0,0,42930,41670,40059,46268
A013890,지누스,20181112,42000,43000,41500,42500,776,0,0,43490,41270,40026,46439
A013890,지누스,20181109,45000,45000,43000,43150,3313,0,0,43310,40870,40075,46764
A013890,지누스,20181108,44000,44000,42500,43900,3594,0,0,43000,40462,40074,47084
A013890,지누스,20181107,43000,46000,42600,42600,19897,0,0,42420,39968,40068,47410
A013890,지누스,20181106,41000,47700,40650,45300,10066,0,0,42080,39732,40092,47743
A013890,지누스,20181105,41300,41600,40400,41600,3770,0,0,41720,39252,40088,48055
A013890,지누스,20181102,42000,43000,40500,41600,3651,0,0,41700,38965,40162,48406
A013890,지누스,20181101,42000,42000,38950,41000,4349,0,0,42580,38688,40233,48760
A013890,지누스,20181031,42300,42300,40800,40900,3336,0,0,43020,38480,40318,49120
A013890,지누스,20181030,31100,45000,31100,43500,3991,0,0,44230,38335,40404,49479
A013890,지누스,20181029,48650,48650,40200,41500,4778,0,0,44650,38095,40446,49804
A013890,지누스,20181026,44050,49300,44000,46000,14774,0,0,43590,37955,40512,50139
A013890,지누스,20181025,49900,49900,41250,43200,4202,0,0,41590,37628,40496,50428
A013890,지누스,20181024,43200,49900,43200,46950,7352,0,0,39890,37420,40576,50751
