stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A014470,부방,20190129,2340,2340,2295,2315,84445,766961,-1,2335,2215,2092,2340
A014470,부방,20190128,2315,2345,2290,2315,158453,775417,0,2351,2201,2085,2346
A014470,부방,20190125,2360,2385,2305,2315,173020,764570,0,2331,2184,2078,2351
A014470,부방,20190124,2370,2380,2320,2350,210689,763328,-47775,2310,2165,2070,2356
A014470,부방,20190123,2365,2380,2305,2380,432765,768441,47776,2278,2147,2060,2360
A014470,부방,20190122,2220,2650,2215,2395,2469041,766043,0,2244,2128,2053,2364
A014470,부방,20190121,2210,2230,2190,2215,47976,781312,0,2209,2106,2046,2368
A014470,부방,20190118,2200,2220,2170,2210,51281,777184,25,2200,2095,2043,2374
A014470,부방,20190117,2210,2245,2190,2190,24691,760375,25,2186,2083,2043,2380
A014470,부방,20190116,2195,2240,2185,2210,56704,765239,0,2174,2072,2045,2388
A014470,부방,20190115,2150,2240,2150,2220,71335,760388,0,2164,2061,2046,2396
A014470,부방,20190114,2140,2185,2140,2170,39177,742895,0,2146,2051,2048,2404
A014470,부방,20190111,2120,2175,2120,2140,44735,736417,0,2139,2040,2050,2413
A014470,부방,20190110,2190,2190,2130,2130,37941,723796,0,2140,2030,2053,2422
A014470,부방,20190109,2130,2190,2110,2160,85091,721676,0,2137,2021,2054,2433
A014470,부방,20190108,2100,2150,2095,2130,64247,712118,0,2117,2014,2056,2444
A014470,부방,20190107,2195,2195,2125,2135,60004,701948,0,2098,2010,2058,2454
A014470,부방,20190104,2095,2200,2075,2145,179140,702327,0,2067,2013,2063,2465
A014470,부방,20190103,2115,2220,2025,2115,343372,710667,0,2025,2017,2068,2475
A014470,부방,20190102,2065,2140,2045,2060,70342,741772,0,1999,2020,2074,2485
A014470,부방,20181228,1970,2035,1970,2035,47217,748595,0,1989,2025,2082,2496
A014470,부방,20181227,1975,1995,1940,1980,21981,740658,0,1973,2036,2092,2510
A014470,부방,20181226,1965,1965,1915,1935,60179,741410,-27,1974,2040,2104,2522
A014470,부방,20181224,2020,2020,1970,1985,61941,748306,0,1980,2046,2117,2535
A014470,부방,20181221,1955,2025,1955,2010,42674,747914,0,1979,2048,2128,2548
A014470,부방,20181220,2045,2045,1935,1955,42216,746109,0,1974,2047,2141,2558
A014470,부방,20181219,1965,2040,1965,1985,38502,750468,0,1987,2051,2154,2567
A014470,부방,20181218,1980,1990,1940,1965,27807,747550,0,1982,2056,2166,2576
A014470,부방,20181217,1960,1995,1925,1980,25432,750707,0,1974,2060,2180,2585
A014470,부방,20181214,2005,2045,1975,1985,35356,747698,0,1969,2066,2193,2593
A014470,부방,20181213,1960,2025,1960,2020,72733,755922,0,1976,2070,2206,2602
A014470,부방,20181212,1910,1970,1910,1960,43836,745711,0,1982,2070,2219,2612
A014470,부방,20181211,1920,1960,1905,1925,75743,724893,0,2030,2070,2233,2621
A014470,부방,20181210,1985,2035,1955,1955,56177,720506,-623,2089,2072,2248,2631
A014470,부방,20181207,2050,2085,2000,2020,117022,731503,0,2135,2074,2262,2642
A014470,부방,20181206,2175,2220,2050,2050,168776,725440,-5406,2160,2075,2276,2652
A014470,부방,20181205,2195,2250,2160,2200,123996,729641,0,2201,2074,2289,2661
A014470,부방,20181204,2180,2245,2165,2220,280956,743348,0,2174,2063,2299,2669
A014470,부방,20181203,2140,2250,2140,2185,220221,749176,0,2141,2053,2308,2677
A014470,부방,20181130,2215,2225,2130,2145,315986,742618,-28824,2110,2044,2318,2683
A014470,부방,20181129,2070,2435,2065,2255,2805018,750618,-72493,2078,2036,2329,2690
A014470,부방,20181128,2055,2090,2040,2065,39399,770843,27,2033,2019,2338,2695
A014470,부방,20181127,2025,2095,2015,2055,25628,767904,0,2037,2010,2350,2702
A014470,부방,20181126,1990,2065,1990,2030,7867,764354,0,2038,1997,2361,2709
A014470,부방,20181123,2030,2055,1985,1985,27987,762999,0,2052,1985,2373,2716
A014470,부방,20181122,2110,2110,2030,2030,36201,760712,0,2065,1982,2386,2724
A014470,부방,20181121,2060,2110,1995,2085,65079,761666,0,2065,1980,2399,2732
A014470,부방,20181120,2100,2120,2040,2060,28081,752747,0,2037,1980,2410,2739
A014470,부방,20181119,2050,2120,2025,2100,61421,750582,-1,2020,1986,2422,2747
A014470,부방,20181116,2055,2120,2015,2050,40545,737728,0,2001,1996,2432,2755
A014470,부방,20181115,1945,2045,1945,2030,64322,730637,-25,1998,2008,2444,2762
A014470,부방,20181114,1975,1975,1930,1945,65678,725381,-19100,1995,2021,2455,2771
A014470,부방,20181113,1950,1990,1895,1975,101415,713988,29,2004,2040,2468,2779
A014470,부방,20181112,2035,2100,2000,2005,59584,695914,-25,2012,2056,2481,2788
A014470,부방,20181109,2030,2065,2005,2035,42000,694987,-25,2011,2067,2496,2797
A014470,부방,20181108,2010,2165,1940,2015,279896,693088,0,2002,2080,2510,2805
A014470,부방,20181107,2060,2065,1935,1990,57401,703543,0,1984,2092,2525,2813
A014470,부방,20181106,2000,2065,1990,2015,71995,717391,1,1960,2114,2541,2822
A014470,부방,20181105,1985,2100,1930,2000,65705,722352,0,1919,2134,2557,2830
A014470,부방,20181102,1935,1990,1935,1990,75238,721994,0,1876,2157,2572,2839
A014470,부방,20181101,1890,1965,1880,1925,61424,713432,0,1865,2184,2589,2848
A014470,부방,20181031,1810,1990,1790,1870,102896,718505,0,1878,2220,2606,2858
A014470,부방,20181030,1620,1860,1620,1810,182772,706794,0,1917,2262,2624,2868
A014470,부방,20181029,1915,1990,1735,1785,151903,647765,18710,1995,2307,2642,2879
A014470,부방,20181026,2000,2040,1905,1935,123569,618851,-1020,2097,2352,2660,2889
A014470,부방,20181025,1970,2040,1970,1990,192605,602417,-2000,2167,2392,2676,2899
A014470,부방,20181024,2210,2250,2065,2065,136797,557863,0,2228,2430,2689,2908
A014470,부방,20181023,2270,2335,2200,2200,62348,537574,0,2278,2464,2704,2916
A014470,부방,20181022,2260,2315,2260,2295,25002,539974,0,2298,2493,2717,2923
A014470,부방,20181019,2285,2285,2220,2285,47406,540833,25,2283,2516,2731,2929
A014470,부방,20181018,2295,2335,2285,2295,36758,535854,0,2286,2542,2745,2935
A014470,부방,20181017,2290,2340,2290,2315,50541,534249,0,2278,2566,2760,2941
A014470,부방,20181016,2205,2310,2205,2300,81898,531033,25,2299,2590,2775,2947
A014470,부방,20181015,2260,2320,2220,2220,91661,515837,1788,2325,2615,2792,2953
A014470,부방,20181012,2155,2300,2150,2300,377463,514202,0,2373,2644,2812,2959
A014470,부방,20181011,2265,2395,2255,2255,263186,421968,0,2419,2672,2831,2964
A014470,부방,20181010,2435,2755,2420,2420,370186,395761,-800,2498,2701,2849,2970
A014470,부방,20181008,2425,2505,2425,2430,60505,417334,0,2552,2720,2868,2975
A014470,부방,20181005,2540,2540,2450,2460,128570,409718,0,2609,2737,2882,2980
A014470,부방,20181004,2650,2650,2510,2530,221183,408451,0,2656,2753,2897,2984
A014470,부방,20181002,2670,2695,2650,2650,101303,416271,0,2698,2767,2911,2988
A014470,부방,20181001,2695,2720,2680,2690,35180,421036,0,2715,2775,2927,2991
A014470,부방,20180928,2730,2730,2680,2715,41147,415938,0,2728,2778,2941,2993
A014470,부방,20180927,2740,2745,2610,2695,83346,415554,20,2739,2780,2954,2996
A014470,부방,20180921,2725,2750,2700,2740,63480,412036,0,2752,2782,2967,2998
A014470,부방,20180920,2760,2775,2705,2735,129465,409709,0,2764,2784,2974,3000
A014470,부방,20180919,2800,2800,2730,2755,84004,435010,0,2771,2787,2980,3001
A014470,부방,20180918,2750,2800,2745,2770,63161,434794,234,2779,2787,2986,3003
A014470,부방,20180917,2795,2815,2755,2760,58444,439490,0,2786,2786,2990,3004
A014470,부방,20180914,2770,2800,2755,2800,68780,446921,0,2794,2785,2993,3004
A014470,부방,20180913,2795,2795,2730,2770,146610,435418,1,2807,2782,2998,3006
A014470,부방,20180912,2845,2845,2755,2795,113359,428234,0,2821,2777,3005,3008
A014470,부방,20180911,2800,2835,2760,2805,74778,439554,0,2820,2775,3009,3011
A014470,부방,20180910,2865,2865,2775,2800,133055,432748,0,2813,2774,3015,3013
A014470,부방,20180907,2830,2895,2830,2865,173677,444914,0,2810,2778,3023,3016
A014470,부방,20180906,2795,2920,2760,2840,407720,452253,0,2798,2778,3029,3018
A014470,부방,20180905,2765,2820,2760,2790,103401,466809,0,2793,2782,3033,3021
A014470,부방,20180904,2780,2805,2745,2770,104534,453854,0,2786,2790,3040,3024
A014470,부방,20180903,2805,2830,2780,2785,72188,452008,0,2780,2799,3046,3027
A014470,부방,20180831,2815,2835,2775,2805,50507,452173,0,2772,2807,3048,3029
A014470,부방,20180830,2755,2860,2755,2815,188005,452283,0,2768,2816,3051,3031
A014470,부방,20180829,2725,2775,2725,2755,88237,443864,0,2762,2824,3052,3033
A014470,부방,20180828,2745,2780,2705,2740,88263,435753,0,2763,2832,3055,3035
A014470,부방,20180827,2815,2815,2730,2745,94335,426250,0,2767,2839,3058,3037
A014470,부방,20180824,2810,2810,2755,2785,82797,426173,0,2764,2846,3060,3039
A014470,부방,20180823,2795,2815,2760,2785,92350,413892,0,2753,2850,3062,3041
A014470,부방,20180822,2760,2795,2750,2760,69795,410335,738,2732,2851,3066,3044
A014470,부방,20180821,2735,2765,2730,2760,60865,407668,0,2732,2862,3069,3046
A014470,부방,20180820,2730,2765,2700,2730,39923,408077,0,2734,2873,3072,3048
A014470,부방,20180817,2680,2775,2680,2730,82353,410040,-1,2764,2893,3077,3050
A014470,부방,20180816,2740,2755,2600,2680,186565,398901,1,2795,2912,3081,3053
A014470,부방,20180814,2750,2870,2750,2760,96250,392192,0,2842,2937,3086,3055
A014470,부방,20180813,2865,2870,2770,2770,242256,377063,0,2877,2961,3091,3058
A014470,부방,20180810,2905,2905,2860,2880,101167,385179,0,2914,2988,3095,3059
A014470,부방,20180809,2940,2940,2870,2885,112384,385749,0,2929,3014,3097,3060
A014470,부방,20180808,2940,2960,2915,2915,94734,378869,0,2946,3042,3099,3061
A014470,부방,20180807,2970,2970,2915,2935,85478,372492,0,2960,3064,3101,3062
A014470,부방,20180806,3005,3005,2940,2955,80946,378824,0,2956,3094,3102,3064
A014470,부방,20180803,2990,2995,2955,2955,72541,377759,-4500,2942,3111,3103,3065
A014470,부방,20180802,2985,3015,2940,2970,91988,367170,0,2925,3130,3105,3066
A014470,부방,20180801,2900,3105,2900,2985,994815,359842,0,2905,3152,3107,3068
A014470,부방,20180731,2855,2930,2850,2915,202069,428061,0,2871,3183,3110,3072
A014470,부방,20180730,2820,2900,2820,2885,129467,460214,0,2883,3212,3113,3075
A014470,부방,20180727,2900,2915,2840,2870,192516,455020,2081,2902,3243,3116,3080
A014470,부방,20180726,2810,2870,2780,2870,180613,494237,1,2954,3272,3119,3082
A014470,부방,20180725,2975,3000,2775,2815,769357,491265,22793,3003,3290,3122,3086
