stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A014530,극동유화,20190129,3360,3365,3300,3350,62827,576907,-73,3363,3306,3322,3368
A014530,극동유화,20190128,3395,3445,3320,3365,113215,575497,-56,3383,3303,3319,3369
A014530,극동유화,20190125,3350,3405,3345,3395,130359,568076,-7,3380,3300,3316,3369
A014530,극동유화,20190124,3380,3385,3340,3350,62428,560158,994,3374,3298,3311,3370
A014530,극동유화,20190123,3430,3500,3340,3355,227394,554069,9,3378,3300,3307,3371
A014530,극동유화,20190122,3350,3570,3325,3450,527891,544644,-698,3375,3303,3303,3372
A014530,극동유화,20190121,3375,3390,3335,3350,86106,543300,-400,3343,3300,3300,3371
A014530,극동유화,20190118,3410,3640,3345,3365,524478,539151,532,3330,3300,3299,3372
A014530,극동유화,20190117,3340,3395,3300,3370,85045,545974,-43,3313,3298,3297,3372
A014530,극동유화,20190116,3290,3400,3290,3340,65830,551414,3,3295,3298,3296,3372
A014530,극동유화,20190115,3340,3340,3285,3290,14418,556269,-179,3275,3300,3295,3373
A014530,극동유화,20190114,3280,3320,3275,3285,29768,556806,-34,3257,3304,3296,3375
A014530,극동유화,20190111,3245,3295,3245,3280,7877,555266,136,3243,3307,3297,3378
A014530,극동유화,20190110,3250,3290,3250,3280,13078,555228,83,3230,3310,3298,3380
A014530,극동유화,20190109,3215,3250,3190,3240,28214,555717,-8,3213,3314,3299,3382
A014530,극동유화,20190108,3215,3260,3180,3200,26888,555336,70,3211,3323,3301,3385
A014530,극동유화,20190107,3220,3235,3195,3215,19424,557206,183,3230,3332,3301,3388
A014530,극동유화,20190104,3195,3295,3160,3215,65547,555493,-165,3245,3343,3304,3391
A014530,극동유화,20190103,3230,3250,3195,3195,34056,549814,140,3275,3352,3308,3393
A014530,극동유화,20190102,3295,3295,3230,3230,23266,550300,-44,3314,3363,3312,3395
A014530,극동유화,20181228,3300,3360,3285,3295,15471,551488,-132,3350,3368,3316,3397
A014530,극동유화,20181227,3300,3330,3265,3290,16389,550992,15,3369,3370,3319,3399
A014530,극동유화,20181226,3315,3390,3315,3365,39098,550055,-2796,3381,3374,3323,3400
A014530,극동유화,20181224,3420,3420,3340,3390,31607,552491,-2243,3375,3372,3326,3401
A014530,극동유화,20181221,3400,3420,3350,3410,37148,555783,-3235,3369,3370,3328,3403
A014530,극동유화,20181220,3340,3400,3340,3390,44641,555636,-201,3363,3366,3330,3404
A014530,극동유화,20181219,3330,3370,3330,3350,47200,552029,-571,3360,3363,3331,3406
A014530,극동유화,20181218,3355,3360,3330,3335,17881,548985,162,3358,3362,3333,3408
A014530,극동유화,20181217,3370,3370,3320,3360,18663,548890,989,3360,3363,3336,3410
A014530,극동유화,20181214,3370,3420,3320,3380,11366,548899,40,3362,3362,3339,3412
A014530,극동유화,20181213,3340,3430,3325,3375,16956,548712,746,3367,3357,3341,3415
A014530,극동유화,20181212,3320,3415,3285,3340,38018,546980,278,3371,3353,3344,3417
A014530,극동유화,20181211,3350,3400,3310,3345,23516,539678,51,3387,3348,3346,3420
A014530,극동유화,20181210,3405,3405,3320,3370,42257,539936,67,3398,3344,3348,3424
A014530,극동유화,20181207,3400,3430,3355,3405,38420,546950,480,3406,3338,3350,3428
A014530,극동유화,20181206,3385,3460,3360,3395,46740,547687,78,3391,3332,3350,3431
A014530,극동유화,20181205,3385,3450,3370,3420,53600,554385,-24,3382,3325,3351,3434
A014530,극동유화,20181204,3400,3425,3390,3400,59975,556681,0,3368,3315,3353,3438
A014530,극동유화,20181203,3350,3850,3330,3410,896222,549249,168,3357,3306,3355,3442
A014530,극동유화,20181130,3325,3350,3310,3330,8050,564532,14,3344,3297,3356,3448
A014530,극동유화,20181129,3385,3385,3335,3350,6266,564758,49,3342,3292,3358,3455
A014530,극동유화,20181128,3345,3390,3320,3350,3086,564984,21,3338,3283,3360,3463
A014530,극동유화,20181127,3370,3370,3315,3345,7041,565665,25,3336,3274,3361,3468
A014530,극동유화,20181126,3345,3365,3330,3345,9959,565795,116,3336,3262,3362,3473
A014530,극동유화,20181123,3355,3355,3310,3320,9054,566044,-3,3334,3250,3362,3477
A014530,극동유화,20181122,3355,3375,3290,3330,9612,567015,-52,3329,3241,3365,3480
A014530,극동유화,20181121,3300,3365,3300,3340,5231,568015,61,3321,3236,3367,3484
A014530,극동유화,20181120,3330,3380,3305,3345,15393,568420,-7,3302,3234,3370,3488
A014530,극동유화,20181119,3295,3340,3295,3335,22231,569657,1318,3284,3230,3373,3493
A014530,극동유화,20181116,3295,3330,3270,3295,21172,569833,613,3269,3229,3375,3498
A014530,극동유화,20181115,3260,3320,3225,3290,33393,570205,93,3265,3229,3378,3503
A014530,극동유화,20181114,3260,3270,3220,3245,8910,570815,15,3259,3230,3381,3508
A014530,극동유화,20181113,3190,3255,3190,3255,16654,571457,11,3254,3236,3384,3513
A014530,극동유화,20181112,3270,3290,3205,3260,14286,572711,20,3249,3242,3387,3517
A014530,극동유화,20181109,3260,3325,3250,3275,15601,574244,176,3242,3246,3391,3522
A014530,극동유화,20181108,3230,3340,3230,3260,12675,575426,67,3231,3248,3394,3525
A014530,극동유화,20181107,3250,3270,3200,3220,13721,577362,1,3215,3246,3398,3529
A014530,극동유화,20181106,3250,3260,3220,3230,5112,579098,-4,3204,3253,3402,3533
A014530,극동유화,20181105,3220,3225,3190,3225,15487,578607,19,3180,3264,3406,3538
A014530,극동유화,20181102,3180,3250,3155,3220,19300,578783,27,3155,3277,3410,3542
A014530,극동유화,20181101,3165,3220,3160,3180,17772,576349,90,3140,3288,3414,3546
A014530,극동유화,20181031,3200,3205,3095,3165,11993,577827,92,3149,3304,3419,3550
A014530,극동유화,20181030,3035,3140,3030,3110,46356,578679,856,3175,3322,3423,3555
A014530,극동유화,20181029,3100,3195,3070,3100,89927,579068,833,3206,3342,3429,3560
A014530,극동유화,20181026,3225,3225,3105,3145,68319,582734,308,3250,3363,3435,3563
A014530,극동유화,20181025,3200,3250,3175,3225,27928,584160,-413,3280,3382,3440,3566
A014530,극동유화,20181024,3265,3305,3250,3295,16263,585407,52,3299,3394,3443,3568
A014530,극동유화,20181023,3330,3350,3250,3265,17129,588016,34,3310,3404,3445,3570
A014530,극동유화,20181022,3300,3320,3260,3320,15204,590000,45,3331,3416,3447,3572
A014530,극동유화,20181019,3320,3325,3240,3295,34664,591031,199,3335,3425,3449,3573
A014530,극동유화,20181018,3350,3380,3295,3320,13591,592959,-1,3343,3437,3451,3575
A014530,극동유화,20181017,3380,3385,3325,3350,9094,596684,21,3319,3448,3455,3575
A014530,극동유화,20181016,3340,3370,3305,3370,19202,598086,-390,3322,3455,3458,3574
A014530,극동유화,20181015,3335,3340,3285,3340,26136,603271,84,3341,3460,3461,3574
A014530,극동유화,20181012,3110,3360,3110,3335,31468,609989,329,3367,3465,3464,3574
A014530,극동유화,20181011,3280,3345,3200,3200,158848,611096,70,3388,3471,3469,3574
A014530,극동유화,20181010,3465,3465,3300,3365,115894,632628,79,3449,3483,3475,3575
A014530,극동유화,20181008,3425,3475,3425,3465,17871,653303,55,3481,3491,3479,3575
