stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A016670,포비스티앤씨,20190129,1480,1715,1465,1615,5930677,499413,0,1474,1558,1161,1140
A016670,포비스티앤씨,20190128,1525,1580,1480,1500,2414187,615803,0,1426,1550,1149,1136
A016670,포비스티앤씨,20190125,1405,1550,1375,1550,4907001,858213,0,1426,1544,1138,1134
A016670,포비스티앤씨,20190124,1385,1400,1340,1360,904146,1195621,41,1419,1519,1125,1131
A016670,포비스티앤씨,20190123,1385,1435,1330,1345,1658452,1203491,0,1461,1504,1115,1130
A016670,포비스티앤씨,20190122,1480,1500,1335,1375,3951666,1255735,-13,1528,1493,1106,1129
A016670,포비스티앤씨,20190121,1500,1555,1485,1500,1044451,974141,-10,1582,1468,1098,1127
A016670,포비스티앤씨,20190118,1555,1565,1475,1515,1487275,828416,-13,1601,1439,1088,1125
A016670,포비스티앤씨,20190117,1685,1710,1525,1570,1783667,798816,-29,1594,1409,1079,1122
A016670,포비스티앤씨,20190116,1635,1725,1600,1680,1450139,825402,-26,1581,1377,1069,1119
A016670,포비스티앤씨,20190115,1595,1685,1570,1645,1910798,865993,-26,1567,1339,1057,1116
A016670,포비스티앤씨,20190114,1510,1625,1485,1595,2313961,868257,-25,1561,1304,1046,1113
A016670,포비스티앤씨,20190111,1505,1565,1440,1480,1794953,852897,-17599,1575,1272,1036,1110
A016670,포비스티앤씨,20190110,1595,1620,1465,1505,2058715,853182,-24,1633,1245,1028,1109
A016670,포비스티앤씨,20190109,1590,1645,1570,1610,1043254,847657,-25,1666,1216,1018,1107
A016670,포비스티앤씨,20190108,1650,1700,1545,1615,2091226,849087,-24,1664,1183,1008,1104
A016670,포비스티앤씨,20190107,1630,1725,1550,1665,5512252,846782,-26,1629,1149,996,1100
A016670,포비스티앤씨,20190104,1700,1795,1600,1770,3268194,852567,-26,1572,1113,984,1097
A016670,포비스티앤씨,20190103,1630,1790,1580,1670,6630778,860793,-27,1431,1073,972,1093
A016670,포비스티앤씨,20190102,1470,1650,1435,1600,7349370,976773,0,1308,1036,961,1090
