stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A017250,인터엠,20190129,3445,3995,3370,3610,11891812,0,3000,3408,3361,3231,2930
A017250,인터엠,20190128,3470,3560,3405,3445,1845137,0,0,3357,3341,3217,2919
A017250,인터엠,20190125,3265,3415,3255,3415,666244,0,4000,3325,3334,3204,2908
A017250,인터엠,20190124,3310,3330,3245,3260,361165,0,0,3298,3322,3192,2898
A017250,인터엠,20190123,3360,3425,3300,3310,539783,0,0,3287,3320,3181,2889
A017250,인터엠,20190122,3295,3400,3295,3355,1010181,0,0,3287,3324,3171,2879
A017250,인터엠,20190121,3320,3325,3230,3285,686984,0,488,3287,3324,3162,2869
A017250,인터엠,20190118,3180,3295,3170,3280,572748,0,444,3359,3341,3156,2860
A017250,인터엠,20190117,3315,3325,3200,3205,562540,0,0,3353,3364,3151,2850
A017250,인터엠,20190116,3400,3410,3240,3310,1137810,0,0,3365,3406,3150,2841
A017250,인터엠,20190115,3500,3555,3320,3355,2401217,11134,0,3369,3442,3144,2832
A017250,인터엠,20190114,4000,4070,3620,3645,6029586,47926,0,3359,3471,3140,2824
A017250,인터엠,20190111,3280,3345,3195,3250,341958,92798,0,3319,3477,3127,2812
A017250,인터엠,20190110,3400,3510,3240,3265,1357221,66019,8800,3324,3503,3122,2803
A017250,인터엠,20190109,3305,3395,3290,3330,408135,130213,7570,3348,3530,3118,2795
A017250,인터엠,20190108,3445,3450,3270,3305,901638,94948,0,3381,3544,3108,2786
A017250,인터엠,20190107,3340,3470,3275,3445,705007,258851,0,3362,3564,3096,2777
A017250,인터엠,20190104,3345,3455,3235,3275,812479,96145,0,3332,3586,3082,2767
A017250,인터엠,20190103,3470,3510,3345,3385,811608,33677,0,3313,3612,3074,2758
A017250,인터엠,20190102,3300,3545,3290,3495,1682605,123458,0,3280,3620,3063,2749
A017250,인터엠,20181228,3355,3400,3210,3210,686088,247990,0,3258,3585,3052,2738
A017250,인터엠,20181227,3250,3370,3225,3295,491893,359486,0,3288,3565,3046,2730
A017250,인터엠,20181226,3100,3240,3095,3180,532099,401234,0,3353,3536,3039,2721
A017250,인터엠,20181224,3370,3380,3215,3220,466429,255179,0,3465,3515,3034,2714
A017250,인터엠,20181221,3355,3450,3305,3385,521492,215731,0,3633,3492,3030,2705
A017250,인터엠,20181220,3560,3690,3360,3360,903843,199237,0,3762,3458,3022,2696
A017250,인터엠,20181219,3670,3720,3550,3620,854702,131406,0,3874,3428,3012,2686
A017250,인터엠,20181218,4010,4010,3610,3740,1539159,136339,0,3904,3388,2999,2675
A017250,인터엠,20181217,3960,4080,3895,4060,1277356,222249,0,3910,3338,2985,2662
A017250,인터엠,20181214,3850,4080,3800,4030,2936135,268685,0,3857,3274,2964,2647
A017250,인터엠,20181213,3750,3945,3750,3920,1511596,320854,0,3777,3211,2945,2632
A017250,인터엠,20181212,3875,3935,3720,3770,2833967,169009,0,3731,3149,2927,2618
A017250,인터엠,20181211,3785,3850,3685,3770,1446878,198075,0,3755,3093,2909,2606
A017250,인터엠,20181210,3670,3795,3560,3795,1613743,291194,0,3758,3037,2890,2593
A017250,인터엠,20181207,3695,3825,3555,3630,1549121,323176,0,3711,2983,2869,2580
A017250,인터엠,20181206,3890,3890,3565,3690,2600778,291690,0,3543,2943,2852,2568
A017250,인터엠,20181205,3700,4070,3675,3890,4865080,302819,0,3366,2898,2834,2556
A017250,인터엠,20181204,3505,4140,3410,3785,11407014,488414,0,3130,2842,2813,2542
A017250,인터엠,20181203,2875,3625,2860,3560,12059049,485676,0,2927,2789,2793,2530
A017250,인터엠,20181130,2810,2885,2765,2790,518479,555833,0,2768,2747,2777,2519
A017250,인터엠,20181129,2750,2815,2730,2805,319303,531929,0,2752,2748,2772,2514
A017250,인터엠,20181128,2760,2785,2700,2710,134635,486222,0,2741,2744,2767,2509
A017250,인터엠,20181127,2765,2790,2740,2770,110813,494523,0,2765,2743,2762,2505
A017250,인터엠,20181126,2745,2785,2690,2765,182194,501123,0,2757,2739,2757,2501
A017250,인터엠,20181123,2750,2820,2690,2710,202083,438198,0,2758,2731,2751,2497
A017250,인터엠,20181122,2830,2835,2735,2750,206257,459527,0,2772,2731,2746,2493
A017250,인터엠,20181121,2705,2835,2680,2830,425399,473885,0,2757,2734,2739,2488
A017250,인터엠,20181120,2730,2750,2670,2730,276539,381715,0,2723,2738,2731,2484
A017250,인터엠,20181119,2825,2825,2755,2770,215445,371775,0,2707,2751,2723,2479
A017250,인터엠,20181116,2685,2780,2680,2780,263840,396873,0,2695,2769,2715,2475
A017250,인터엠,20181115,2665,2705,2650,2675,184481,353740,0,2705,2780,2706,2471
A017250,인터엠,20181114,2655,2695,2620,2660,234579,360906,0,2728,2799,2700,2467
A017250,인터엠,20181113,2665,2690,2595,2650,309602,354750,1,2748,2810,2693,2463
A017250,인터엠,20181112,2860,2865,2710,2710,417147,348584,0,2766,2826,2686,2460
A017250,인터엠,20181109,2820,2920,2785,2830,637547,365439,0,2767,2840,2680,2456
A017250,인터엠,20181108,2840,2865,2750,2790,413749,391853,0,2761,2836,2671,2451
A017250,인터엠,20181107,2730,2895,2685,2760,924313,449447,0,2750,2826,2662,2447
A017250,인터엠,20181106,2715,2755,2660,2740,358990,460133,0,2736,2819,2654,2443
A017250,인터엠,20181105,2780,2790,2690,2715,316954,532240,0,2726,2822,2646,2439
A017250,인터엠,20181102,2770,2800,2730,2800,407680,598200,0,2703,2822,2639,2435
A017250,인터엠,20181101,2735,2810,2685,2735,492537,567854,0,2686,2822,2630,2430
A017250,인터엠,20181031,2740,2750,2630,2690,404218,602948,0,2701,2828,2621,2426
A017250,인터엠,20181030,2530,2760,2530,2690,1044575,638375,0,2747,2838,2613,2422
A017250,인터엠,20181029,2705,2915,2595,2600,1555869,583495,0,2804,2850,2604,2418
A017250,인터엠,20181026,2810,2845,2595,2715,692226,647411,0,2911,2866,2598,2414
A017250,인터엠,20181025,2790,2880,2735,2810,821032,600238,0,2968,2876,2587,2411
A017250,인터엠,20181024,3010,3080,2905,2920,950169,502102,0,3018,2875,2576,2410
A017250,인터엠,20181023,3135,3185,2930,2975,926686,466155,0,3008,2870,2563,2408
A017250,인터엠,20181022,3030,3145,2895,3135,1189181,559617,0,3006,2866,2549,2406
A017250,인터엠,20181019,3000,3090,2925,3000,668938,575548,0,2979,2851,2533,2404
A017250,인터엠,20181018,2870,3110,2850,3060,1622574,596358,0,2929,2844,2520,2402
A017250,인터엠,20181017,2965,2985,2835,2870,689772,624802,0,2837,2833,2507,2400
A017250,인터엠,20181016,2940,2995,2875,2965,1030796,721214,0,2786,2823,2497,2399
A017250,인터엠,20181015,2805,3150,2805,3000,3419142,699687,0,2750,2807,2485,2397
A017250,인터엠,20181012,2550,2755,2550,2750,484823,702448,0,2695,2785,2472,2395
A017250,인터엠,20181011,2495,2695,2450,2600,471018,644084,0,2707,2778,2464,2394
A017250,인터엠,20181010,2760,2825,2600,2615,333442,546657,0,2755,2778,2458,2395
A017250,인터엠,20181008,2720,2870,2685,2785,229206,531725,0,2813,2778,2451,2395
A017250,인터엠,20181005,2800,2800,2630,2725,528464,522901,0,2838,2770,2442,2394
A017250,인터엠,20181004,2840,2890,2775,2810,146301,500691,0,2878,2762,2434,2395
A017250,인터엠,20181002,2900,2945,2810,2840,215285,485173,0,2902,2746,2425,2394
A017250,인터엠,20181001,2930,2985,2895,2905,246602,473430,0,2891,2728,2415,2394
A017250,인터엠,20180928,2880,2940,2865,2910,240228,476950,0,2875,2705,2404,2392
A017250,인터엠,20180927,2980,3050,2855,2925,1274660,499165,-23,2869,2682,2392,2391
A017250,인터엠,20180921,2825,2950,2765,2930,899642,567356,-23,2851,2658,2381,2390
A017250,인터엠,20180920,2830,2850,2750,2785,199743,543869,-24,2839,2630,2370,2388
A017250,인터엠,20180919,2840,2865,2750,2825,328888,550865,-24,2848,2608,2360,2388
A017250,인터엠,20180918,2825,2910,2800,2880,221533,534364,-24,2819,2584,2351,2387
A017250,인터엠,20180917,2860,2860,2775,2835,284019,529882,-25,2772,2554,2340,2386
A017250,인터엠,20180914,2805,2885,2780,2870,435431,540953,-25,2717,2525,2330,2385
A017250,인터엠,20180913,2700,2945,2685,2830,1775739,542595,-25,2664,2495,2320,2385
A017250,인터엠,20180912,2680,2705,2600,2680,330725,528065,-25,2617,2467,2310,2385
A017250,인터엠,20180911,2560,2645,2530,2645,184699,567870,-25,2607,2446,2302,2387
A017250,인터엠,20180910,2490,2575,2415,2560,761731,545573,-25,2599,2426,2296,2388
A017250,인터엠,20180907,2645,2650,2560,2605,190157,528746,-25,2601,2414,2290,2390
A017250,인터엠,20180906,2635,2695,2510,2595,242068,537006,-25,2579,2398,2284,2392
A017250,인터엠,20180905,2605,2780,2550,2630,895076,546948,0,2558,2382,2278,2393
A017250,인터엠,20180904,2630,2645,2565,2605,322727,557128,0,2520,2363,2272,2395
A017250,인터엠,20180903,2480,2575,2460,2570,363344,556415,0,2489,2346,2266,2398
A017250,인터엠,20180831,2495,2505,2450,2495,77101,558516,0,2462,2333,2260,2402
A017250,인터엠,20180830,2440,2550,2435,2490,307430,562953,0,2436,2320,2256,2408
A017250,인터엠,20180829,2410,2460,2410,2440,62113,559960,0,2410,2307,2252,2414
A017250,인터엠,20180828,2455,2490,2430,2450,121314,561362,23,2392,2295,2249,2419
A017250,인터엠,20180827,2370,2440,2365,2435,293499,572274,23,2354,2282,2245,2423
A017250,인터엠,20180824,2360,2375,2335,2365,90268,567355,24,2321,2270,2242,2428
A017250,인터엠,20180823,2350,2375,2305,2360,132160,574456,24,2301,2256,2240,2432
A017250,인터엠,20180822,2315,2485,2305,2350,288938,575945,24,2284,2244,2238,2438
A017250,인터엠,20180821,2255,2300,2255,2260,53418,579770,25,2263,2234,2236,2443
A017250,인터엠,20180820,2265,2285,2245,2270,46017,589046,25,2261,2229,2236,2450
A017250,인터엠,20180817,2275,2290,2265,2265,43013,597629,25,2271,2223,2235,2456
A017250,인터엠,20180816,2245,2295,2220,2275,63358,611542,0,2278,2222,2235,2464
A017250,인터엠,20180814,2250,2275,2240,2245,43127,615245,25,2275,2222,2234,2469
A017250,인터엠,20180813,2315,2345,2240,2250,103109,610699,25,2276,2222,2234,2474
A017250,인터엠,20180810,2310,2355,2270,2320,130825,611497,25,2282,2222,2234,2479
A017250,인터엠,20180809,2285,2510,2220,2300,680383,614226,25,2277,2218,2232,2483
A017250,인터엠,20180808,2250,2295,2235,2260,30161,636438,0,2266,2214,2232,2487
A017250,인터엠,20180807,2280,2280,2235,2250,69857,638284,0,2258,2214,2233,2492
A017250,인터엠,20180806,2295,2315,2255,2280,42911,639524,0,2248,2213,2233,2496
A017250,인터엠,20180803,2245,2330,2245,2295,87498,640342,0,2229,2211,2232,2500
A017250,인터엠,20180802,2260,2260,2220,2245,35373,642083,0,2209,2208,2231,2505
A017250,인터엠,20180801,2190,2225,2190,2220,22319,637376,0,2180,2208,2230,2509
A017250,인터엠,20180731,2160,2225,2160,2200,66409,639125,0,2160,2209,2230,2515
A017250,인터엠,20180730,2170,2220,2160,2185,50797,629787,0,2151,2211,2230,2521
A017250,인터엠,20180727,2090,2295,2085,2195,370319,631246,0,2144,2214,2231,2526
A017250,인터엠,20180726,2130,2140,2080,2100,102647,611666,0,2136,2216,2231,2532
A017250,인터엠,20180725,2185,2185,2100,2120,99500,613353,1,2165,2223,2234,2538
A017250,인터엠,20180724,2125,2195,2120,2155,90419,604806,0,2196,2229,2243,2545
A017250,인터엠,20180723,2135,2200,2105,2150,126185,626114,0,2213,2233,2252,2551
A017250,인터엠,20180720,2245,2245,2135,2155,189968,637014,0,2231,2238,2263,2556
A017250,인터엠,20180719,2250,2300,2220,2245,255019,678579,25,2248,2242,2274,2562
A017250,인터엠,20180718,2410,2640,2255,2275,1695298,686140,-25,2247,2242,2283,2566
A017250,인터엠,20180717,2240,2240,2240,2240,0,687777,0,2240,2240,2292,2571
A017250,인터엠,20180716,2240,2240,2240,2240,0,687777,0,2240,2240,2300,2576
A017250,인터엠,20180713,2240,2240,2240,2240,0,687777,0,2240,2240,2309,2581
A017250,인터엠,20180712,2240,2240,2240,2240,0,687777,0,2240,2240,2317,2585
A017250,인터엠,20180711,2240,2240,2240,2240,0,687777,0,2240,2240,2325,2590
A017250,인터엠,20180710,2240,2240,2240,2240,0,687777,0,2240,2240,2332,2594
A017250,인터엠,20180709,2240,2240,2240,2240,0,687777,0,2240,2240,2339,2599
A017250,인터엠,20180706,2240,2240,2240,2240,0,687777,0,2240,2240,2347,2603
A017250,인터엠,20180705,2240,2240,2240,2240,0,687777,0,2240,2240,2355,2608
A017250,인터엠,20180704,2240,2240,2240,2240,0,687777,0,2240,2240,2364,2612
A017250,인터엠,20180703,2240,2240,2240,2240,0,689722,0,2240,2240,2373,2618
A017250,인터엠,20180702,2240,2240,2240,2240,0,689722,0,2240,2240,2381,2623
A017250,인터엠,20180629,2240,2240,2240,2240,0,689722,0,2240,2240,2390,2628
A017250,인터엠,20180628,2240,2240,2240,2240,0,689722,0,2240,2240,2399,2633
A017250,인터엠,20180627,2240,2240,2240,2240,0,689722,0,2240,2240,2407,2638
A017250,인터엠,20180626,2240,2240,2240,2240,0,688722,0,2240,2240,2415,2643
A017250,인터엠,20180625,2240,2240,2240,2240,0,688722,0,2240,2240,2424,2647
A017250,인터엠,20180622,2240,2240,2240,2240,0,688722,0,2240,2240,2432,2652
A017250,인터엠,20180621,2240,2240,2240,2240,0,688722,0,2240,2240,2440,2657
A017250,인터엠,20180620,2240,2240,2240,2240,0,690762,0,2240,2240,2450,2662
A017250,인터엠,20180619,2240,2240,2240,2240,0,690762,0,2240,2240,2460,2667
A017250,인터엠,20180618,2240,2240,2240,2240,0,690762,0,2240,2240,2471,2673
A017250,인터엠,20180615,2240,2240,2240,2240,0,690762,0,2240,2240,2480,2678
A017250,인터엠,20180614,2240,2240,2240,2240,0,690762,0,2240,2240,2490,2684
