stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A017510,세명전기,20190129,8260,8390,7930,8070,270340,613428,300,8396,8118,7389,7831
A017510,세명전기,20190128,8550,8550,8310,8340,188218,601095,7467,8490,8066,7351,7830
A017510,세명전기,20190125,8580,8640,8470,8510,149535,585725,6161,8518,7992,7306,7826
A017510,세명전기,20190124,8660,8750,8480,8520,193426,581161,-81,8536,7907,7256,7822
A017510,세명전기,20190123,8430,8710,8360,8540,217818,591749,200,8556,7844,7198,7818
A017510,세명전기,20190122,8430,9060,8430,8540,645455,565841,-100,8610,7782,7162,7813
A017510,세명전기,20190121,8630,8640,8350,8480,210292,632998,100,8572,7714,7135,7804
A017510,세명전기,20190118,8670,8740,8450,8600,364815,631385,-6548,8556,7636,7110,7797
A017510,세명전기,20190117,8900,8900,8400,8620,419822,654188,-5599,8500,7555,7088,7779
A017510,세명전기,20190116,8500,8820,8400,8810,610463,729264,-2400,8396,7479,7069,7767
A017510,세명전기,20190115,8410,8480,8220,8350,248872,683856,0,8284,7409,7055,7754
A017510,세명전기,20190114,8520,8540,8280,8400,325261,684711,0,8130,7369,7047,7744
A017510,세명전기,20190111,8160,8410,8070,8320,382498,687411,0,7922,7308,7039,7738
A017510,세명전기,20190110,8200,8360,8100,8100,280389,655315,0,7674,7267,7025,7734
A017510,세명전기,20190109,7690,8680,7620,8250,2566090,638161,0,7476,7248,7012,7732
A017510,세명전기,20190108,7350,7740,7350,7580,424381,679535,0,7184,7247,6992,7724
A017510,세명전기,20190107,7230,7440,7120,7360,212417,660988,0,7074,7245,6981,7722
A017510,세명전기,20190104,7010,7090,6900,7080,162581,624589,0,6970,7271,6984,7720
A017510,세명전기,20190103,6800,7400,6720,7110,557975,643658,0,6918,7310,7012,7718
A017510,세명전기,20190102,7230,7300,6710,6790,232602,536935,0,6948,7321,7040,7725
A017510,세명전기,20181228,6880,7060,6880,7030,128760,586271,0,7050,7340,7077,7732
A017510,세명전기,20181227,6900,7140,6560,6840,177102,555559,0,7080,7341,7107,7743
A017510,세명전기,20181226,7080,7180,6820,6820,304258,510481,0,7098,7340,7142,7755
A017510,세명전기,20181224,7330,7360,7040,7260,227971,552166,0,7128,7354,7174,7766
A017510,세명전기,20181221,7290,7420,7190,7300,245727,560974,0,7096,7342,7202,7780
A017510,세명전기,20181220,7050,7450,7020,7180,494393,583825,200,7118,7329,7234,7790
A017510,세명전기,20181219,6970,7100,6910,6930,96934,574027,0,7192,7312,7264,7806
A017510,세명전기,20181218,6930,7220,6920,6970,191824,572136,0,7244,7310,7295,7828
A017510,세명전기,20181217,7270,7340,7050,7100,197701,568271,0,7348,7308,7334,7856
A017510,세명전기,20181214,7660,7670,7310,7410,174424,585232,0,7470,7298,7378,7880
A017510,세명전기,20181213,7190,7570,7140,7550,332057,608660,0,7636,7256,7418,7906
A017510,세명전기,20181212,7380,7570,7060,7190,298613,584347,0,7634,7207,7454,7938
A017510,세명전기,20181211,7680,7750,7300,7490,266089,588514,0,7772,7164,7498,7970
A017510,세명전기,20181210,7920,8100,7630,7710,511739,604109,100,7848,7106,7534,8002
A017510,세명전기,20181207,7690,8270,7670,8240,851428,735039,600,7770,7041,7569,8029
A017510,세명전기,20181206,7880,7950,7500,7540,266144,682463,0,7558,6962,7588,8048
A017510,세명전기,20181205,7680,7990,7620,7880,375341,699456,0,7458,6928,7615,8082
A017510,세명전기,20181204,7360,7970,7350,7870,710814,763555,0,7248,6848,7628,8120
A017510,세명전기,20181203,7320,7440,7230,7320,286340,684485,0,7090,6784,7639,8155
A017510,세명전기,20181130,7100,7180,6970,7180,125287,667358,0,7032,6748,7658,8202
A017510,세명전기,20181129,7040,7470,7000,7040,663543,665149,0,7004,6707,7674,8254
A017510,세명전기,20181128,7140,7140,6800,6830,203788,661583,100,6962,6645,7692,8306
A017510,세명전기,20181127,6940,7140,6860,7080,250534,715053,0,6978,6586,7709,8365
A017510,세명전기,20181126,7450,7540,7030,7030,542379,688666,100,6946,6509,7723,8436
A017510,세명전기,20181123,7030,7390,6870,7040,781435,740867,0,6920,6408,7743,8508
A017510,세명전기,20181122,7020,7050,6730,6830,186315,851129,0,6828,6376,7781,8578
A017510,세명전기,20181121,6920,7210,6800,6910,347760,896153,0,6774,6378,7823,8636
A017510,세명전기,20181120,6800,6980,6680,6920,161853,939168,0,6656,6383,7863,8668
A017510,세명전기,20181119,6800,6990,6650,6900,215622,952123,0,6538,6402,7900,8726
A017510,세명전기,20181116,6570,6660,6480,6580,168335,937922,0,6442,6430,7936,8783
A017510,세명전기,20181115,6280,6570,6220,6560,187283,941863,0,6456,6500,7980,8842
A017510,세명전기,20181114,6640,6640,6230,6320,164053,912339,0,6518,6566,8023,8898
A017510,세명전기,20181113,6150,6350,6040,6330,203803,957519,0,6508,6646,8062,8953
A017510,세명전기,20181112,6480,6690,6400,6420,177969,929549,166,6560,6702,8095,8984
A017510,세명전기,20181109,6900,6900,6500,6650,210830,942574,0,6596,6746,8128,9026
A017510,세명전기,20181108,6460,7200,6450,6870,465018,1006740,0,6540,6769,8150,9061
A017510,세명전기,20181107,6730,7190,6100,6270,787663,983029,0,6326,6770,8169,9087
A017510,세명전기,20181106,6530,6760,6500,6590,191749,981766,0,6204,6833,8197,9117
A017510,세명전기,20181105,6360,6760,6210,6600,306116,1005872,0,5992,6942,8220,9145
A017510,세명전기,20181102,5930,6410,5930,6370,274747,1036707,0,5672,7052,8245,9172
A017510,세명전기,20181101,5840,6110,5800,5800,322602,999870,0,5678,7184,8273,9207
A017510,세명전기,20181031,5540,5670,5370,5660,285599,974599,0,5896,7334,8309,9241
A017510,세명전기,20181030,4755,5640,4755,5530,891405,974852,0,6164,7498,8346,9284
A017510,세명전기,20181029,6280,6420,5000,5000,990601,854531,0,6518,7658,8388,9326
A017510,세명전기,20181026,6940,6980,6280,6400,318986,625402,0,7012,7857,8438,9353
A017510,세명전기,20181025,6660,7000,6650,6890,334320,638420,0,7328,7999,8464,9365
A017510,세명전기,20181024,7260,7530,6900,7000,157553,596650,0,7524,8101,8474,9376
A017510,세명전기,20181023,7470,7650,7100,7300,123120,601063,0,7706,8192,8483,9388
A017510,세명전기,20181022,7720,7740,7390,7470,173280,579332,100,7736,8290,8470,9400
A017510,세명전기,20181019,8010,8010,7720,7980,91789,597282,0,7706,8406,8464,9415
A017510,세명전기,20181018,7960,8200,7850,7870,155013,576966,0,7530,8498,8452,9426
A017510,세명전기,20181017,7640,8200,7550,7910,207742,589900,0,7332,8590,8442,9431
A017510,세명전기,20181016,7320,7610,7310,7450,106294,565843,0,7258,8686,8437,9433
A017510,세명전기,20181015,7100,7930,7100,7320,326610,552214,0,7522,8794,8444,9441
A017510,세명전기,20181012,6880,7220,6840,7100,196042,534464,100,7820,8920,8452,9448
A017510,세명전기,20181011,6710,7350,6700,6880,371250,458477,0,8200,9034,8455,9452
A017510,세명전기,20181010,8690,8690,7530,7540,299403,357534,0,8584,9148,8464,9460
A017510,세명전기,20181008,8710,8950,8710,8770,112369,384614,0,8866,9204,8456,9463
A017510,세명전기,20181005,8820,8980,8700,8810,155017,366606,0,8856,9192,8424,9452
A017510,세명전기,20181004,9110,9230,8910,9000,357955,366489,100,8890,9175,8409,9440
A017510,세명전기,20181002,8850,9100,8700,8800,202596,378320,0,8938,9132,8388,9429
A017510,세명전기,20181001,8750,9520,8750,8950,698610,355873,0,8964,9096,8378,9423
A017510,세명전기,20180928,8900,9000,8590,8720,191907,432349,200,8940,9042,8369,9406
A017510,세명전기,20180927,9500,9500,8970,8980,193399,433243,0,9048,9003,8359,9392
A017510,세명전기,20180921,8820,9270,8810,9240,319369,486332,0,9210,8966,8357,9377
A017510,세명전기,20180920,9150,9290,8700,8930,266290,405692,100,9322,8970,8345,9361
A017510,세명전기,20180919,9320,9440,8550,8830,492836,396725,100,9478,8990,8348,9349
A017510,세명전기,20180918,9700,9840,9260,9260,394269,340254,100,9680,9012,8361,9336
A017510,세명전기,20180917,9990,9990,9550,9790,444534,343327,300,9752,9006,8379,9319
A017510,세명전기,20180914,9740,9860,9460,9800,286185,371956,-700,9758,8970,8381,9296
A017510,세명전기,20180913,9840,9920,9700,9710,163883,314987,500,9676,8944,8394,9275
A017510,세명전기,20180912,9680,9850,9420,9840,433103,320733,-150,9568,8914,8422,9256
A017510,세명전기,20180911,10100,10150,9610,9620,537121,284409,244,9332,8854,8441,9234
A017510,세명전기,20180910,9620,9930,9450,9820,804375,328441,-70,9112,8790,8470,9212
A017510,세명전기,20180907,9110,9500,8990,9390,706305,341849,-530,8842,8720,8489,9188
A017510,세명전기,20180906,9100,9720,8640,9170,2774660,270795,-1600,8594,8646,8508,9166
A017510,세명전기,20180905,8620,8970,8460,8660,567877,447401,0,8376,8588,8549,9147
A017510,세명전기,20180904,8420,8630,8360,8520,323905,436700,0,8214,8553,8612,9133
A017510,세명전기,20180903,8400,8480,8270,8470,249179,427121,100,8100,8527,8670,9122
A017510,세명전기,20180831,7930,8150,7860,8150,157813,425827,0,8052,8508,8745,9110
A017510,세명전기,20180830,7900,8210,7890,8080,256569,426906,400,8286,8502,8832,9100
A017510,세명전기,20180829,7850,7980,7800,7850,213309,377439,0,8540,8496,8921,9092
