stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A020120,키다리스튜디오,20190129,2515,2545,2480,2515,15504,153534,-34,2515,2432,2452,2655
A020120,키다리스튜디오,20190128,2515,2535,2490,2525,16729,153475,-19,2507,2418,2443,2657
A020120,키다리스튜디오,20190125,2520,2560,2500,2515,58905,152338,-3,2494,2404,2434,2658
A020120,키다리스튜디오,20190124,2560,2560,2480,2520,14082,145568,-2,2484,2390,2424,2660
A020120,키다리스튜디오,20190123,2475,2530,2435,2500,27761,144814,14,2472,2384,2415,2661
A020120,키다리스튜디오,20190122,2485,2485,2435,2475,17996,143797,-23,2466,2379,2412,2662
A020120,키다리스튜디오,20190121,2515,2515,2445,2460,20686,142421,-19,2457,2373,2410,2664
A020120,키다리스튜디오,20190118,2460,2485,2405,2465,29739,139216,24,2450,2371,2412,2666
A020120,키다리스튜디오,20190117,2535,2535,2455,2460,25837,134422,-16,2441,2366,2414,2668
A020120,키다리스튜디오,20190116,2545,2550,2440,2470,60143,128021,9,2432,2363,2418,2672
A020120,키다리스튜디오,20190115,2440,2585,2410,2430,34102,124134,18,2422,2355,2420,2675
A020120,키다리스튜디오,20190114,2435,2435,2380,2425,10857,122052,7,2416,2354,2423,2680
A020120,키다리스튜디오,20190111,2435,2435,2365,2420,18801,121275,61,2398,2349,2428,2685
A020120,키다리스튜디오,20190110,2455,2475,2400,2415,12770,116960,30,2378,2342,2433,2689
A020120,키다리스튜디오,20190109,2400,2530,2345,2420,101084,117564,6,2349,2343,2438,2693
A020120,키다리스튜디오,20190108,2325,2400,2325,2400,35165,115862,22,2324,2351,2442,2697
A020120,키다리스튜디오,20190107,2430,2430,2310,2335,28342,111592,79,2293,2354,2445,2700
A020120,키다리스튜디오,20190104,2235,2330,2235,2320,18800,110139,7,2273,2368,2452,2704
A020120,키다리스튜디오,20190103,2350,2350,2255,2270,27253,108659,55,2258,2372,2460,2708
A020120,키다리스튜디오,20190102,2255,2375,2255,2295,18753,108008,-11,2281,2376,2469,2713
A020120,키다리스튜디오,20181228,2250,2325,2210,2245,34527,106169,-67,2304,2379,2478,2718
A020120,키다리스튜디오,20181227,2265,2335,2215,2235,53081,101240,-93,2327,2386,2486,2723
A020120,키다리스튜디오,20181226,2420,2420,2210,2245,88487,99038,149,2363,2394,2496,2729
A020120,키다리스튜디오,20181224,2525,2525,2375,2385,28258,107119,-126,2389,2399,2505,2734
A020120,키다리스튜디오,20181221,2410,2545,2400,2410,77523,109302,146,2389,2394,2514,2739
A020120,키다리스튜디오,20181220,2450,2450,2360,2360,48347,99106,12142,2371,2390,2522,2744
A020120,키다리스튜디오,20181219,2345,2425,2255,2415,48530,97223,17,2378,2396,2532,2749
A020120,키다리스튜디오,20181218,2360,2450,2335,2375,42020,93753,11,2363,2400,2543,2754
A020120,키다리스튜디오,20181217,2285,2430,2285,2385,40914,89574,20,2344,2410,2554,2759
A020120,키다리스튜디오,20181214,2390,2390,2275,2320,42993,90335,361,2353,2416,2566,2764
A020120,키다리스튜디오,20181213,2305,2440,2305,2395,38840,96209,295,2404,2429,2581,2770
A020120,키다리스튜디오,20181212,2270,2385,2270,2340,29160,85449,273,2419,2441,2595,2776
A020120,키다리스튜디오,20181211,2450,2450,2270,2280,55869,82814,76,2471,2455,2610,2783
A020120,키다리스튜디오,20181210,2515,2525,2390,2430,70229,78184,13,2495,2474,2626,2790
A020120,키다리스튜디오,20181207,2520,2590,2460,2575,108599,92424,78,2480,2486,2639,2797
A020120,키다리스튜디오,20181206,2635,2635,2440,2470,193296,87904,-4365,2436,2496,2650,2803
A020120,키다리스튜디오,20181205,2390,2855,2345,2600,1145743,97393,-2212,2420,2520,2662,2809
A020120,키다리스튜디오,20181204,2370,2405,2335,2400,21658,117750,-1,2380,2525,2672,2814
A020120,키다리스튜디오,20181203,2370,2400,2320,2355,35997,116237,25,2369,2527,2687,2822
A020120,키다리스튜디오,20181130,2380,2430,2350,2355,39055,104540,5,2355,2533,2701,2830
A020120,키다리스튜디오,20181129,2440,2440,2350,2390,40922,104369,28,2349,2546,2716,2837
A020120,키다리스튜디오,20181128,2325,2445,2315,2400,67261,99828,8,2369,2526,2731,2843
A020120,키다리스튜디오,20181127,2260,2355,2260,2345,63448,100644,5,2387,2503,2745,2850
A020120,키다리스튜디오,20181126,2315,2365,2260,2285,65356,95561,8,2432,2482,2762,2856
A020120,키다리스튜디오,20181123,2475,2590,2315,2325,90169,76452,13,2477,2468,2778,2863
A020120,키다리스튜디오,20181122,2500,2525,2455,2490,42177,86532,-758,2527,2466,2794,2870
A020120,키다리스튜디오,20181121,2570,2670,2465,2490,175741,82986,-37815,2555,2460,2809,2877
A020120,키다리스튜디오,20181120,2480,2570,2440,2570,109512,99849,11,2581,2465,2820,2883
A020120,키다리스튜디오,20181119,2580,2620,2475,2510,107179,81302,290,2599,2466,2830,2889
A020120,키다리스튜디오,20181116,2630,2670,2575,2575,92423,62162,281,2632,2474,2837,2896
A020120,키다리스튜디오,20181115,2620,2715,2515,2630,119934,49770,47,2670,2476,2842,2901
A020120,키다리스튜디오,20181114,2660,2740,2600,2620,166055,31972,8,2736,2476,2844,2907
A020120,키다리스튜디오,20181113,2590,2830,2535,2660,299682,30662,37,2752,2480,2846,2912
A020120,키다리스튜디오,20181112,2705,2760,2625,2675,250382,41576,8,2707,2483,2848,2918
A020120,키다리스튜디오,20181109,2930,2955,2755,2765,440650,41537,78,2669,2486,2851,2924
A020120,키다리스튜디오,20181108,2700,3180,2650,2960,3059833,35067,5,2636,2479,2853,2929
A020120,키다리스튜디오,20181107,2480,3050,2435,2700,4251589,58426,8,2444,2461,2848,2933
A020120,키다리스튜디오,20181106,2465,2525,2400,2435,211582,86674,6,2291,2462,2848,2939
A020120,키다리스튜디오,20181105,2570,2670,2440,2485,717954,93775,16,2191,2482,2853,2947
A020120,키다리스튜디오,20181102,1905,2600,1895,2600,2733012,99353,1,2093,2498,2857,2954
A020120,키다리스튜디오,20181101,1935,2035,1925,2000,18175,136257,173,2031,2510,2859,2965
A020120,키다리스튜디오,20181031,1915,2015,1855,1935,72613,138349,23,2104,2547,2870,2982
A020120,키다리스튜디오,20181030,1515,1970,1515,1935,182593,124769,7038,2235,2590,2883,3000
A020120,키다리스튜디오,20181029,2200,2290,1915,1995,84753,114123,301,2369,2635,2896,3017
A020120,키다리스튜디오,20181026,2500,2500,2200,2290,72573,110466,31,2500,2680,2907,3033
A020120,키다리스튜디오,20181025,2415,2540,2340,2365,113370,120548,-185,2565,2712,2913,3047
A020120,키다리스튜디오,20181024,2580,2690,2570,2590,22263,117164,3,2618,2738,2918,3061
A020120,키다리스튜디오,20181023,2660,2695,2450,2605,28403,116730,3,2641,2763,2921,3074
A020120,키다리스튜디오,20181022,2615,2675,2610,2650,3948,118231,11,2666,2786,2922,3085
A020120,키다리스튜디오,20181019,2630,2710,2565,2615,18625,118934,63,2681,2808,2926,3096
A020120,키다리스튜디오,20181018,2765,2775,2590,2630,87538,120733,739,2685,2840,2930,3106
A020120,키다리스튜디오,20181017,2715,2780,2660,2705,31764,116850,9,2679,2868,2937,3116
A020120,키다리스튜디오,20181016,2640,2765,2640,2730,9481,118178,8,2682,2894,2942,3125
A020120,키다리스튜디오,20181015,2605,2790,2605,2725,18454,117591,71,2702,2920,2946,3135
A020120,키다리스튜디오,20181012,2460,2705,2460,2635,27360,116445,81,2720,2946,2948,3145
A020120,키다리스튜디오,20181011,2670,2715,2600,2600,66691,118035,21,2760,2975,2951,3155
A020120,키다리스튜디오,20181010,2780,2840,2720,2720,35383,114267,35,2786,3003,2956,3166
