stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A020180,대신정보통신,20190129,1635,1660,1575,1630,1803759,232862,0,1619,1602,1447,1235
A020180,대신정보통신,20190128,1635,1700,1615,1625,4077086,125735,0,1607,1602,1440,1230
A020180,대신정보통신,20190125,1645,1665,1605,1615,2156126,118618,0,1594,1602,1432,1225
A020180,대신정보통신,20190124,1585,1685,1580,1645,5319766,146403,0,1581,1599,1423,1220
A020180,대신정보통신,20190123,1570,1625,1570,1580,2132875,203129,36,1569,1597,1412,1214
A020180,대신정보통신,20190122,1550,1610,1550,1570,1519939,278017,0,1565,1602,1406,1210
A020180,대신정보통신,20190121,1550,1585,1525,1560,1147651,245295,0,1567,1613,1398,1205
A020180,대신정보통신,20190118,1590,1590,1540,1550,1160247,132886,0,1568,1631,1390,1200
A020180,대신정보통신,20190117,1575,1600,1525,1585,2178282,114138,-30,1564,1634,1382,1195
A020180,대신정보통신,20190116,1565,1600,1535,1560,1231507,167361,4,1553,1642,1374,1191
A020180,대신정보통신,20190115,1565,1685,1520,1580,4293658,121182,3,1562,1648,1364,1186
A020180,대신정보통신,20190114,1530,1595,1505,1565,1908305,353718,3,1568,1647,1353,1182
A020180,대신정보통신,20190111,1515,1545,1510,1530,1282680,241615,37,1593,1647,1343,1177
A020180,대신정보통신,20190110,1605,1610,1485,1530,2857069,185482,36,1627,1644,1333,1173
A020180,대신정보통신,20190109,1615,1635,1595,1605,1397395,244472,-2948,1652,1639,1323,1169
A020180,대신정보통신,20190108,1690,1710,1595,1610,2942750,143965,-2900,1663,1629,1312,1164
A020180,대신정보통신,20190107,1700,1735,1675,1690,2949609,206557,5848,1667,1623,1300,1159
A020180,대신정보통신,20190104,1665,1740,1650,1700,4763313,142881,0,1651,1614,1288,1153
A020180,대신정보통신,20190103,1675,1755,1635,1655,6949056,189393,0,1623,1597,1276,1147
A020180,대신정보통신,20190102,1645,1670,1585,1660,3352909,122808,-84,1613,1582,1265,1141
A020180,대신정보통신,20181228,1610,1690,1585,1630,4127500,136031,-45,1618,1561,1254,1135
A020180,대신정보통신,20181227,1600,1680,1580,1610,5607163,333704,-319372,1649,1538,1243,1130
A020180,대신정보통신,20181226,1585,1635,1540,1560,3994090,258434,94787,1712,1514,1233,1124
A020180,대신정보통신,20181224,1660,1700,1590,1605,5087275,350085,76091,1722,1492,1224,1119
A020180,대신정보통신,20181221,1795,1825,1680,1685,7886230,255075,84052,1750,1467,1215,1114
A020180,대신정보통신,20181220,1900,1940,1765,1785,11814186,720645,63068,1747,1437,1203,1109
A020180,대신정보통신,20181219,1620,1995,1535,1925,42393404,874467,-1530,1704,1404,1190,1102
A020180,대신정보통신,20181218,1720,1725,1605,1610,6835880,254016,-15,1633,1366,1175,1095
A020180,대신정보통신,20181217,1695,1760,1650,1745,8389743,500762,-15,1603,1344,1166,1090
A020180,대신정보통신,20181214,1580,1720,1575,1670,14059681,678192,-8444,1540,1318,1154,1084
A020180,대신정보통신,20181213,1565,1625,1545,1570,6114350,505890,-48,1489,1294,1144,1079
A020180,대신정보통신,20181212,1460,1615,1435,1570,18656983,631550,-48,1472,1274,1135,1074
A020180,대신정보통신,20181211,1445,1565,1415,1460,18800586,175393,-48,1461,1254,1126,1069
A020180,대신정보통신,20181210,1430,1475,1380,1430,4830058,533028,-48,1439,1241,1119,1066
A020180,대신정보통신,20181207,1485,1625,1415,1415,16770158,113174,-47,1423,1228,1113,1064
A020180,대신정보통신,20181206,1525,1540,1415,1485,11346769,179320,-146,1391,1219,1107,1061
A020180,대신정보통신,20181205,1305,1610,1305,1515,28730237,402503,142,1325,1209,1099,1059
A020180,대신정보통신,20181204,1420,1430,1285,1350,7385208,121316,42,1249,1194,1092,1056
A020180,대신정보통신,20181203,1245,1370,1235,1350,9326513,435051,0,1205,1188,1087,1056
A020180,대신정보통신,20181130,1150,1270,1150,1255,8421152,532239,0,1155,1181,1082,1055
A020180,대신정보통신,20181129,1145,1195,1140,1155,1215254,190866,0,1121,1178,1078,1055
A020180,대신정보통신,20181128,1160,1185,1130,1135,2505036,106521,0,1114,1180,1076,1055
A020180,대신정보통신,20181127,1115,1135,1095,1130,835594,300689,-2,1121,1182,1074,1056
A020180,대신정보통신,20181126,1080,1120,1080,1100,671577,296138,-7,1131,1178,1073,1057
A020180,대신정보통신,20181123,1120,1125,1080,1085,859234,222291,1,1156,1174,1071,1058
A020180,대신정보통신,20181122,1165,1175,1100,1120,1639073,215274,2,1176,1178,1070,1059
A020180,대신정보통신,20181121,1155,1190,1145,1170,755383,291428,3,1186,1177,1069,1060
A020180,대신정보통신,20181120,1195,1215,1170,1180,1644447,276712,-3,1185,1172,1067,1061
A020180,대신정보통신,20181119,1195,1230,1190,1225,1703042,198562,0,1189,1168,1064,1062
A020180,대신정보통신,20181116,1170,1220,1170,1185,2074665,262255,-2,1180,1160,1060,1062
A020180,대신정보통신,20181115,1160,1190,1155,1170,1218117,276138,-122,1187,1150,1057,1063
A020180,대신정보통신,20181114,1195,1215,1165,1165,1144495,306949,48,1212,1139,1054,1064
A020180,대신정보통신,20181113,1155,1210,1145,1200,1716286,361852,49,1222,1128,1050,1065
A020180,대신정보통신,20181112,1210,1230,1150,1180,1500376,202456,-14,1227,1114,1047,1066
A020180,대신정보통신,20181109,1295,1300,1200,1220,4733589,115904,-16,1232,1102,1044,1067
A020180,대신정보통신,20181108,1265,1300,1215,1295,8479202,131446,-62,1230,1087,1041,1068
A020180,대신정보통신,20181107,1225,1255,1175,1215,4230099,140888,-62,1210,1068,1036,1068
A020180,대신정보통신,20181106,1215,1245,1140,1225,4555786,205820,-58,1201,1055,1033,1069
A020180,대신정보통신,20181105,1215,1270,1195,1205,7703454,80325,-13,1166,1043,1029,1069
A020180,대신정보통신,20181102,1210,1250,1190,1210,9237512,169425,46,1127,1032,1026,1070
A020180,대신정보통신,20181101,1155,1230,1140,1195,9527439,98575,47,1119,1022,1023,1071
A020180,대신정보통신,20181031,1035,1190,1025,1170,8822684,214799,11,1100,1012,1020,1072
A020180,대신정보통신,20181030,990,1070,960,1050,4405958,148714,58,1080,1004,1017,1072
A020180,대신정보통신,20181029,1145,1165,995,1010,6513517,78953,-6,1091,1002,1016,1072
A020180,대신정보통신,20181026,1215,1295,1105,1170,24987218,151927,-8,1101,1003,1016,1074
A020180,대신정보통신,20181025,1160,1260,1075,1100,35337770,347570,-10,1064,995,1013,1074
