stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A020400,대동금속,20190129,50100,51900,50000,50200,313,1040,0,51840,50370,43952,45839
A020400,대동금속,20190128,51600,51600,50000,50700,795,1047,0,52580,50315,43752,45847
A020400,대동금속,20190125,51900,54600,49900,51600,1013,1057,0,53240,50052,43512,45856
A020400,대동금속,20190124,54800,56200,52200,52200,848,1057,0,53700,49845,43245,45859
A020400,대동금속,20190123,54300,54500,51900,54500,751,1049,0,53740,49535,42991,45850
A020400,대동금속,20190122,54000,54000,52700,53900,707,1062,0,52900,49122,42705,45821
A020400,대동금속,20190121,54000,54900,52200,54000,547,1065,0,52090,48772,42458,45795
A020400,대동금속,20190118,55700,55700,50400,53900,1839,1063,0,51250,48518,42238,45766
A020400,대동금속,20190117,50300,52500,49000,52400,1142,1087,0,50210,48085,42027,45725
A020400,대동금속,20190116,50800,50800,49000,50300,496,1107,0,49550,47622,41878,45710
A020400,대동금속,20190115,50000,51000,49050,49850,395,1107,0,49290,47108,41766,45715
A020400,대동금속,20190114,48450,50000,48000,49800,380,1116,0,49060,46610,41680,45745
A020400,대동금속,20190111,48950,50300,47900,48700,754,1141,-51,48710,46090,41592,45771
A020400,대동금속,20190110,49050,49100,47100,49100,569,1141,0,48210,45630,41515,45802
A020400,대동금속,20190109,49000,49000,47000,49000,613,1169,0,47850,45175,41432,45827
A020400,대동금속,20190108,48050,48900,46450,48700,115,1178,0,47450,44678,41378,45847
A020400,대동금속,20190107,46000,49000,46000,48050,378,1192,0,47530,44155,41332,45872
A020400,대동금속,20190104,47600,47600,45100,46200,271,1201,0,47010,43672,41322,45900
A020400,대동금속,20190103,47450,48800,46300,47300,146,1229,0,47260,43300,41387,45931
A020400,대동금속,20190102,49100,49100,46200,47000,621,1245,0,47000,42915,41438,45967
A020400,대동금속,20181228,45450,49100,45000,49100,401,1246,0,46850,42562,41498,46000
A020400,대동금속,20181227,47900,49000,45200,45450,889,1263,0,46410,42108,41528,46028
A020400,대동금속,20181226,45750,49400,45500,47450,2302,1274,96,47100,41875,41619,46079
A020400,대동금속,20181224,46250,46250,44800,46000,439,1304,0,46660,41502,41667,46129
A020400,대동금속,20181221,45050,47150,44900,46250,1668,1324,14,46090,41178,41738,46211
A020400,대동금속,20181220,48500,49500,45350,46900,1781,1324,11,44840,40820,41797,46265
A020400,대동금속,20181219,44750,49700,44750,48900,2780,1350,305,43440,40435,41845,46320
A020400,대동금속,20181218,42900,46500,42800,45250,851,1377,126,41540,39952,41863,46373
A020400,대동금속,20181217,40000,45000,39400,43150,1991,1392,221,40390,39662,41946,46471
A020400,대동금속,20181214,39150,40200,39150,40000,104,1394,27,39760,39478,42059,46583
A020400,대동금속,20181213,39500,40450,39500,39900,185,1409,0,39570,39398,42226,46725
A020400,대동금속,20181212,38650,39850,38650,39400,570,1409,0,39240,39300,42393,46876
