stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A021080,에이티넘인베스트,20190129,2250,2265,2195,2200,547143,2191681,-46,2215,2170,2096,2441
A021080,에이티넘인베스트,20190128,2215,2250,2210,2240,438541,2283882,-27,2220,2161,2091,2449
A021080,에이티넘인베스트,20190125,2235,2245,2210,2215,317535,2193236,287,2223,2150,2084,2457
A021080,에이티넘인베스트,20190124,2200,2245,2200,2220,353390,2181979,4470,2213,2142,2077,2464
A021080,에이티넘인베스트,20190123,2210,2230,2195,2200,260302,2161993,7,2205,2138,2068,2472
A021080,에이티넘인베스트,20190122,2255,2255,2200,2225,466504,2181536,-99,2208,2134,2063,2480
A021080,에이티넘인베스트,20190121,2165,2275,2160,2255,1414621,2274265,22703,2203,2128,2060,2487
A021080,에이티넘인베스트,20190118,2180,2205,2150,2165,356599,2009377,-129,2188,2121,2058,2493
A021080,에이티넘인베스트,20190117,2220,2250,2175,2180,774685,1948384,-44,2194,2121,2060,2500
A021080,에이티넘인베스트,20190116,2205,2245,2175,2215,524282,2055640,-57,2203,2111,2064,2507
A021080,에이티넘인베스트,20190115,2210,2250,2195,2200,664392,1985538,31,2188,2098,2067,2514
A021080,에이티넘인베스트,20190114,2195,2220,2155,2180,518970,1994649,-113,2170,2088,2070,2523
A021080,에이티넘인베스트,20190111,2195,2220,2160,2195,740834,1930113,-129,2167,2075,2074,2532
A021080,에이티넘인베스트,20190110,2155,2230,2145,2225,1666454,1983149,-42,2134,2060,2078,2540
A021080,에이티넘인베스트,20190109,2130,2160,2110,2140,413717,2065216,-56,2095,2046,2080,2547
A021080,에이티넘인베스트,20190108,2155,2175,2095,2110,715278,2073046,-63,2067,2037,2084,2554
A021080,에이티넘인베스트,20190107,2060,2175,2055,2165,995806,2184898,23404,2050,2030,2086,2562
A021080,에이티넘인베스트,20190104,2040,2050,1970,2030,664322,1998011,-132,2023,2025,2090,2570
A021080,에이티넘인베스트,20190103,2025,2095,2020,2030,715321,2168056,-142,2028,2027,2100,2577
A021080,에이티넘인베스트,20190102,2060,2085,1950,2000,398996,2119560,47,2050,2030,2110,2585
A021080,에이티넘인베스트,20181228,2030,2065,2015,2025,451012,2056608,-1577,2072,2033,2122,2593
A021080,에이티넘인베스트,20181227,2065,2095,2025,2030,377067,2016317,-2273,2091,2036,2134,2601
A021080,에이티넘인베스트,20181226,2070,2125,2025,2055,790414,2010780,-1093,2107,2041,2148,2608
A021080,에이티넘인베스트,20181224,2100,2165,2055,2140,948581,2122403,-1333,2128,2042,2161,2613
A021080,에이티넘인베스트,20181221,2300,2455,2110,2110,5947184,2135545,-19807,2095,2039,2173,2619
A021080,에이티넘인베스트,20181220,2120,2235,2110,2120,1982429,2574936,39,2067,2036,2187,2624
A021080,에이티넘인베스트,20181219,2185,2190,2090,2110,1131133,2631743,3,2043,2037,2200,2632
A021080,에이티넘인베스트,20181218,2025,2285,2000,2160,6754833,2650112,-41078,2004,2038,2216,2640
A021080,에이티넘인베스트,20181217,1955,1980,1920,1975,166038,3282142,98,1952,2041,2231,2647
A021080,에이티넘인베스트,20181214,2000,2010,1945,1970,161936,3283487,-182,1942,2056,2250,2657
A021080,에이티넘인베스트,20181213,1945,2005,1930,2000,295289,3329307,8,1942,2068,2270,2666
