stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A022100,포스코 ICT,20190129,5600,5670,5570,5650,411551,5445495,-60266,5696,5497,5514,6137
A022100,포스코 ICT,20190128,5670,5690,5550,5590,787220,5351391,-63416,5706,5475,5510,6147
A022100,포스코 ICT,20190125,5750,5780,5700,5730,404297,5300031,5858,5764,5473,5509,6158
A022100,포스코 ICT,20190124,5770,5770,5700,5750,222408,5320963,-8453,5780,5464,5503,6165
A022100,포스코 ICT,20190123,5640,5850,5640,5760,318778,5326734,-51806,5750,5456,5495,6171
A022100,포스코 ICT,20190122,5850,5860,5680,5700,348818,5305481,-17567,5718,5442,5493,6175
A022100,포스코 ICT,20190121,5940,5940,5760,5880,534542,5261380,-9756,5698,5432,5496,6178
A022100,포스코 ICT,20190118,5600,5890,5600,5810,713967,5362681,-24899,5628,5416,5498,6190
A022100,포스코 ICT,20190117,5660,5660,5520,5600,258909,5324851,-3423,5534,5404,5504,6201
A022100,포스코 ICT,20190116,5600,5690,5580,5600,421669,5298564,20483,5480,5404,5522,6215
A022100,포스코 ICT,20190115,5530,5630,5530,5600,417879,5308392,52155,5414,5400,5540,6229
A022100,포스코 ICT,20190114,5360,5550,5350,5530,604596,5321630,29484,5336,5398,5556,6243
A022100,포스코 ICT,20190111,5350,5380,5280,5340,293884,5248265,-12834,5274,5392,5575,6257
A022100,포스코 ICT,20190110,5310,5330,5230,5330,241945,5233632,-21903,5240,5388,5596,6273
A022100,포스코 ICT,20190109,5180,5290,5180,5270,256626,5279229,12527,5190,5384,5615,6288
A022100,포스코 ICT,20190108,5190,5250,5130,5210,364052,5230544,86333,5160,5396,5638,6303
A022100,포스코 ICT,20190107,5220,5270,5170,5220,276533,5246679,-6057,5160,5410,5658,6319
A022100,포스코 ICT,20190104,5020,5170,5000,5170,332048,5168492,9389,5226,5432,5684,6334
A022100,포스코 ICT,20190103,5140,5200,5030,5080,467696,5109233,41945,5300,5459,5715,6350
A022100,포스코 ICT,20190102,5350,5360,5120,5120,584060,5091301,-92067,5402,5492,5749,6366
A022100,포스코 ICT,20181228,5400,5420,5110,5210,1607491,5192660,54401,5478,5512,5782,6382
A022100,포스코 ICT,20181227,5580,5630,5520,5550,324378,5470812,-60180,5536,5528,5816,6397
A022100,포스코 ICT,20181226,5480,5580,5470,5540,282504,5482987,79586,5538,5525,5847,6407
A022100,포스코 ICT,20181224,5510,5600,5410,5590,306406,5541560,73818,5540,5523,5881,6416
A022100,포스코 ICT,20181221,5500,5620,5460,5500,183591,5513897,-416,5542,5516,5915,6426
A022100,포스코 ICT,20181220,5540,5590,5440,5500,292961,5536288,-14545,5548,5510,5947,6437
A022100,포스코 ICT,20181219,5550,5650,5500,5560,297357,5725331,20226,5558,5510,5976,6447
A022100,포스코 ICT,20181218,5550,5620,5480,5550,284140,5729991,-5278,5530,5506,6006,6457
A022100,포스코 ICT,20181217,5560,5600,5430,5600,232847,5741036,43355,5472,5503,6037,6468
A022100,포스코 ICT,20181214,5630,5630,5430,5530,436719,5726342,2585,5404,5504,6065,6476
A022100,포스코 ICT,20181213,5420,5550,5380,5550,491367,5785497,-73060,5400,5506,6096,6484
A022100,포스코 ICT,20181212,5250,5430,5240,5420,215039,5742143,34287,5386,5504,6126,6494
A022100,포스코 ICT,20181211,5270,5330,5230,5260,203594,5720183,29909,5432,5506,6159,6504
A022100,포스코 ICT,20181210,5370,5470,5220,5260,428786,5703614,-8598,5524,5522,6191,6517
A022100,포스코 ICT,20181207,5480,5540,5460,5510,248169,5764753,-16850,5620,5540,6226,6532
A022100,포스코 ICT,20181206,5640,5650,5430,5480,513304,5788412,-45068,5622,5544,6256,6545
A022100,포스코 ICT,20181205,5520,5670,5510,5650,275900,5898364,-11352,5630,5550,6287,6559
A022100,포스코 ICT,20181204,5790,5800,5660,5720,390753,5867568,-35057,5600,5542,6315,6572
A022100,포스코 ICT,20181203,5600,5750,5580,5740,532971,5943929,51223,5556,5534,6342,6584
A022100,포스코 ICT,20181130,5550,5640,5490,5520,332061,5863485,-45143,5496,5526,6358,6597
A022100,포스코 ICT,20181129,5560,5720,5520,5520,712933,5909005,-12596,5472,5534,6377,6610
A022100,포스코 ICT,20181128,5520,5540,5450,5500,276921,5908536,5427,5466,5528,6396,6623
A022100,포스코 ICT,20181127,5470,5530,5420,5500,301657,5955273,-6131,5460,5529,6416,6636
A022100,포스코 ICT,20181126,5380,5480,5380,5440,219989,5944354,21069,5460,5522,6436,6648
A022100,포스코 ICT,20181123,5530,5530,5370,5400,278096,5943550,-4498,5496,5514,6455,6661
A022100,포스코 ICT,20181122,5470,5570,5450,5490,244226,5994350,-16190,5528,5527,6476,6675
A022100,포스코 ICT,20181121,5450,5550,5380,5470,328218,6116891,-13616,5534,5545,6495,6689
A022100,포스코 ICT,20181120,5540,5600,5480,5500,322335,6170828,-35188,5534,5571,6514,6702
A022100,포스코 ICT,20181119,5560,5620,5540,5620,316774,6215884,-31343,5548,5606,6534,6715
A022100,포스코 ICT,20181116,5610,5610,5480,5560,360566,6207024,-12207,5546,5660,6550,6729
A022100,포스코 ICT,20181115,5470,5520,5380,5520,303357,6212095,-31038,5556,5714,6569,6743
A022100,포스코 ICT,20181114,5630,5630,5450,5470,351918,6187853,-85209,5568,5765,6586,6758
A022100,포스코 ICT,20181113,5480,5690,5360,5570,516233,6217102,-4466,5574,5826,6605,6774
A022100,포스코 ICT,20181112,5530,5700,5520,5610,335578,6268923,90260,5574,5876,6620,6785
A022100,포스코 ICT,20181109,5640,5650,5530,5610,341018,6313806,67953,5568,5920,6638,6797
A022100,포스코 ICT,20181108,5600,5690,5550,5580,477403,6378814,-105831,5578,5972,6657,6809
A022100,포스코 ICT,20181107,5650,5690,5500,5500,572266,6347453,59930,5546,6016,6676,6823
A022100,포스코 ICT,20181106,5590,5600,5490,5570,452422,6446537,52544,5548,6080,6698,6837
A022100,포스코 ICT,20181105,5590,5590,5450,5580,542990,6494685,-70541,5506,6152,6719,6850
A022100,포스코 ICT,20181102,5520,5660,5470,5660,744732,6585761,-166473,5444,6228,6740,6862
A022100,포스코 ICT,20181101,5560,5600,5420,5420,673971,6563698,-155682,5446,6302,6760,6874
A022100,포스코 ICT,20181031,5410,5570,5320,5510,585390,6679921,-18550,5532,6391,6784,6889
A022100,포스코 ICT,20181030,5120,5440,5100,5360,878755,6705804,125576,5628,6488,6807,6903
A022100,포스코 ICT,20181029,5630,5840,5260,5270,823461,6669106,-62489,5794,6597,6828,6917
A022100,포스코 ICT,20181026,6000,6000,5580,5670,721843,6614534,-25984,6080,6717,6848,6931
A022100,포스코 ICT,20181025,5770,5950,5750,5850,792237,6647478,77270,6276,6804,6856,6942
A022100,포스코 ICT,20181024,6280,6340,5950,5990,814882,6567178,30450,6414,6872,6861,6950
A022100,포스코 ICT,20181023,6660,6700,6140,6190,799134,6497470,-221331,6556,6940,6883,6962
A022100,포스코 ICT,20181022,6650,6740,6530,6700,202310,6408069,17671,6632,7004,6899,6974
A022100,포스코 ICT,20181019,6440,6690,6430,6650,283986,6430903,47832,6590,7032,6908,6980
A022100,포스코 ICT,20181018,6740,6740,6510,6540,301128,6426592,-124793,6590,7068,6917,6987
A022100,포스코 ICT,20181017,6800,6800,6620,6700,331305,6440903,-18716,6572,7110,6930,6995
A022100,포스코 ICT,20181016,6430,6640,6430,6570,248908,6368097,26654,6588,7143,6939,7002
A022100,포스코 ICT,20181015,6650,6690,6450,6490,399740,6536114,-116729,6678,7175,6950,7010
A022100,포스코 ICT,20181012,6380,6690,6380,6650,434420,6566288,58043,6800,7216,6962,7018
A022100,포스코 ICT,20181011,6500,6750,6450,6450,804362,6570751,48789,6894,7252,6969,7024
A022100,포스코 ICT,20181010,7060,7150,6740,6780,585905,6490950,25166,7046,7296,6979,7033
A022100,포스코 ICT,20181008,7080,7210,7010,7020,311825,6410393,19509,7180,7322,6984,7039
A022100,포스코 ICT,20181005,7100,7230,6990,7100,524335,6466876,5827,7284,7340,6984,7043
A022100,포스코 ICT,20181004,7210,7300,7110,7120,379275,6391257,-26617,7398,7318,6983,7048
A022100,포스코 ICT,20181002,7460,7510,7180,7210,675201,6349555,-106190,7458,7296,6981,7052
