stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A024060,흥구석유,20190129,3885,4140,3840,3940,1565798,69874,0,3979,3254,3072,3012
A024060,흥구석유,20190128,4120,4125,3880,3890,935698,57646,0,4016,3192,3057,3002
A024060,흥구석유,20190125,3890,4275,3830,4160,3181783,69752,0,3982,3132,3041,2993
A024060,흥구석유,20190124,4320,4600,3975,3975,5561025,48065,-27869,3893,3059,3020,2981
A024060,흥구석유,20190123,4215,4215,3825,3930,2638923,104861,25369,3828,3000,2999,2971
A024060,흥구석유,20190122,3800,4675,3800,4125,14121075,118657,2500,3668,2944,2984,2961
A024060,흥구석유,20190121,3675,3765,3585,3720,1929618,127527,0,3394,2878,2971,2949
A024060,흥구석유,20190118,3535,3745,3500,3715,3618801,132563,0,3192,2833,2967,2941
A024060,흥구석유,20190117,3315,3890,3215,3650,14080515,83412,-2396,3002,2789,2967,2932
A024060,흥구석유,20190116,2775,3580,2745,3130,10078605,264240,2083,2812,2750,2968,2925
A024060,흥구석유,20190115,2730,2770,2695,2755,65427,319327,0,2725,2740,2978,2922
A024060,흥구석유,20190114,2765,2765,2690,2710,71434,309130,0,2703,2749,2995,2922
A024060,흥구석유,20190111,2725,2780,2720,2765,100736,303355,0,2693,2760,3018,2922
A024060,흥구석유,20190110,2710,2750,2685,2700,62937,301444,0,2670,2764,3037,2923
A024060,흥구석유,20190109,2680,2710,2670,2695,67783,306539,0,2647,2774,3058,2924
A024060,흥구석유,20190108,2645,2675,2590,2645,64393,292709,0,2643,2784,3068,2925
A024060,흥구석유,20190107,2645,2680,2625,2660,56208,289355,0,2655,2797,3072,2927
A024060,흥구석유,20190104,2565,2650,2500,2650,118942,289925,-22,2661,2817,3084,2929
A024060,흥구석유,20190103,2665,2700,2550,2585,135365,277835,0,2670,2832,3094,2930
A024060,흥구석유,20190102,2710,2735,2675,2675,36057,257640,0,2711,2848,3097,2933
A024060,흥구석유,20181228,2690,2750,2690,2705,52190,259017,0,2738,2855,3102,2935
A024060,흥구석유,20181227,2710,2770,2690,2690,75079,250236,0,2758,2862,3103,2936
A024060,흥구석유,20181226,2760,2790,2655,2695,214553,235406,286,2786,2872,3104,2938
A024060,흥구석유,20181224,2785,2825,2780,2790,48648,270883,0,2814,2880,3105,2939
A024060,흥구석유,20181221,2785,2840,2775,2810,61909,267159,14,2828,2880,3104,2941
A024060,흥구석유,20181220,2790,2840,2790,2805,79701,257124,17,2852,2880,3102,2942
A024060,흥구석유,20181219,2845,2845,2795,2830,112597,243492,221,2879,2888,3101,2944
A024060,흥구석유,20181218,2815,2905,2805,2835,105702,241151,0,2899,2895,3099,2945
A024060,흥구석유,20181217,2895,2930,2860,2860,75638,234589,0,2900,2905,3098,2946
A024060,흥구석유,20181214,2940,2950,2870,2930,100025,234728,3726,2910,2920,3097,2947
A024060,흥구석유,20181213,2905,2960,2890,2940,130963,230339,0,2902,2931,3094,2947
A024060,흥구석유,20181212,2805,2930,2805,2930,104681,198604,0,2897,2940,3092,2947
A024060,흥구석유,20181211,2915,2945,2795,2840,166666,166764,0,2921,2950,3089,2946
A024060,흥구석유,20181210,2845,2970,2845,2910,198545,165738,0,2946,2966,3087,2946
A024060,흥구석유,20181207,2915,2950,2840,2890,140713,146717,0,2945,2974,3083,2946
