stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A025320,시노펙스,20190129,3530,3770,3530,3620,11360129,3813461,-169129,3541,3187,2849,2992
A025320,시노펙스,20190128,3575,3675,3520,3535,3565302,3640133,3,3491,3148,2829,2991
A025320,시노펙스,20190125,3515,3655,3435,3525,4353431,3743087,-46,3517,3108,2808,2990
A025320,시노펙스,20190124,3630,3700,3485,3495,5819869,3648830,-13805,3496,3064,2786,2990
A025320,시노펙스,20190123,3340,3550,3300,3530,6699517,3768394,-440,3428,3026,2762,2990
A025320,시노펙스,20190122,3710,3750,3370,3370,6819302,3602086,-35387,3352,2986,2746,2988
A025320,시노펙스,20190121,3480,3870,3470,3665,16759871,3767444,-128289,3298,2964,2734,2988
A025320,시노펙스,20190118,3205,3635,3200,3420,20897476,3799900,-53079,3148,2926,2720,2985
A025320,시노펙스,20190117,3190,3280,3050,3155,4238929,4008243,-3266,3039,2891,2712,2985
A025320,시노펙스,20190116,3160,3315,3110,3150,7228579,3802132,-8995,2993,2865,2708,2989
A025320,시노펙스,20190115,2930,3100,2920,3100,4847025,4240091,-13808,2941,2833,2706,2994
A025320,시노펙스,20190114,2880,2935,2820,2915,864079,4092714,2,2895,2808,2704,2999
A025320,시노펙스,20190111,2970,3000,2865,2875,1611865,3943877,3,2907,2792,2707,3007
A025320,시노펙스,20190110,2910,2985,2870,2925,1559821,4062915,2018,2923,2768,2711,3014
A025320,시노펙스,20190109,2890,2915,2855,2890,785164,4060473,6,2912,2746,2712,3022
A025320,시노펙스,20190108,2955,2975,2825,2870,1687207,4022971,8,2914,2726,2713,3029
A025320,시노펙스,20190107,3000,3005,2935,2975,1218491,4078151,10,2908,2708,2713,3037
A025320,시노펙스,20190104,2990,3100,2915,2955,4568015,3920723,13,2861,2693,2714,3043
A025320,시노펙스,20190103,2930,2985,2815,2870,2034831,4197515,-107,2800,2686,2719,3049
A025320,시노펙스,20190102,2935,2990,2820,2900,2782829,4225251,6,2770,2684,2728,3053
A025320,시노펙스,20181228,2770,2840,2740,2840,1419061,4318443,-22,2739,2678,2738,3058
A025320,시노펙스,20181227,2745,2785,2700,2740,1434798,4296471,72,2755,2672,2751,3062
A025320,시노펙스,20181226,2660,2780,2640,2650,1510428,4292133,-2,2788,2671,2765,3069
A025320,시노펙스,20181224,2705,2885,2705,2720,1858474,4199968,-3,2802,2675,2779,3077
A025320,시노펙스,20181221,2900,2945,2740,2745,2192347,4159248,-4,2785,2672,2791,3082
A025320,시노펙스,20181220,2905,2990,2855,2920,2859894,4379387,-4825,2737,2666,2802,3088
A025320,시노펙스,20181219,2860,3195,2830,2905,12647714,4483058,-6014,2673,2653,2812,3092
A025320,시노펙스,20181218,2610,2790,2595,2720,3849099,4841385,-9,2611,2647,2821,3097
A025320,시노펙스,20181217,2505,2685,2440,2635,1532783,4788463,49,2549,2649,2837,3101
A025320,시노펙스,20181214,2640,2640,2500,2505,706146,4551564,-16,2518,2661,2855,3106
A025320,시노펙스,20181213,2630,2675,2570,2600,997441,4556095,-21,2515,2668,2866,3111
A025320,시노펙스,20181212,2500,2720,2500,2595,4521810,4520020,0,2495,2670,2874,3116
A025320,시노펙스,20181211,2505,2520,2405,2410,387463,4764245,0,2513,2672,2883,3119
A025320,시노펙스,20181210,2450,2665,2430,2480,1049963,4755089,-8,2592,2686,2896,3126
A025320,시노펙스,20181207,2525,2565,2445,2490,520107,4824669,8878,2665,2694,2907,3133
A025320,시노펙스,20181206,2690,2710,2470,2500,1167814,4792318,0,2721,2702,2919,3140
A025320,시노펙스,20181205,2725,2760,2670,2685,773435,4958032,1,2763,2712,2929,3147
A025320,시노펙스,20181204,2840,2860,2790,2805,642677,5096292,1,2772,2712,2938,3154
A025320,시노펙스,20181203,2800,2850,2770,2845,1016342,5183599,8,2758,2704,2944,3160
A025320,시노펙스,20181130,2710,2905,2710,2770,1857759,5172800,-2998,2719,2693,2951,3167
A025320,시노펙스,20181129,2795,2795,2705,2710,370941,5053833,20,2689,2683,2958,3172
A025320,시노펙스,20181128,2745,2790,2715,2730,511707,5069378,0,2681,2667,2964,3177
A025320,시노펙스,20181127,2650,2765,2650,2735,561773,5124388,0,2691,2646,2971,3182
A025320,시노펙스,20181126,2660,2715,2640,2650,420070,4996658,0,2696,2619,2976,3186
A025320,시노펙스,20181123,2680,2730,2590,2620,506285,4915196,0,2742,2589,2983,3191
A025320,시노펙스,20181122,2755,2780,2630,2670,813424,4965188,0,2746,2585,2990,3197
A025320,시노펙스,20181121,2730,2785,2660,2780,732776,4962415,0,2741,2584,2996,3202
A025320,시노펙스,20181120,2820,2860,2745,2760,963137,5043612,-2522,2713,2588,3001,3205
A025320,시노펙스,20181119,2665,2965,2625,2880,4098660,5137430,0,2698,2596,3007,3210
A025320,시노펙스,20181116,2680,2700,2605,2640,636809,4946852,1069,2652,2599,3009,3214
A025320,시노펙스,20181115,2530,2645,2490,2645,819178,4927688,509,2652,2617,3015,3221
A025320,시노펙스,20181114,2700,2710,2625,2640,536868,4829238,-55033,2664,2635,3020,3228
A025320,시노펙스,20181113,2640,2735,2525,2685,906117,4850765,3199,2670,2657,3027,3235
A025320,시노펙스,20181112,2590,2725,2585,2650,742546,4875329,51831,2664,2679,3034,3241
A025320,시노펙스,20181109,2740,2750,2565,2640,597586,4854630,-2,2658,2694,3046,3249
A025320,시노펙스,20181108,2780,2780,2685,2705,780662,4807828,-2,2645,2710,3060,3259
A025320,시노펙스,20181107,2670,2780,2600,2670,1443411,4762208,-3,2581,2718,3073,3265
A025320,시노펙스,20181106,2600,2670,2590,2655,977511,4755494,-4,2509,2737,3089,3273
A025320,시노펙스,20181105,2550,2675,2515,2620,1031282,4643077,-5,2418,2767,3105,3280
A025320,시노펙스,20181102,2400,2730,2400,2575,3879541,4594373,-7,2305,2806,3120,3288
A025320,시노펙스,20181101,2350,2445,2325,2385,839257,4798193,-6740,2296,2854,3135,3297
A025320,시노펙스,20181031,2210,2315,2150,2310,777845,4801651,-6,2352,2914,3154,3310
A025320,시노펙스,20181030,1950,2245,1950,2200,2374051,4775073,0,2458,2978,3172,3322
A025320,시노펙스,20181029,2505,2580,2055,2055,2166324,4441482,875,2604,3042,3194,3335
A025320,시노펙스,20181026,2700,2750,2520,2530,1350307,4046517,-1000,2782,3112,3217,3352
A025320,시노펙스,20181025,2700,2805,2620,2665,1047046,3994502,-16,2875,3157,3230,3364
A025320,시노펙스,20181024,2930,2995,2825,2840,765784,3877335,3000,2944,3198,3241,3376
A025320,시노펙스,20181023,2960,3065,2930,2930,721388,3840132,0,2992,3229,3251,3387
A025320,시노펙스,20181022,2955,2995,2920,2945,484930,3927812,1112,3029,3266,3258,3396
A025320,시노펙스,20181019,2955,3015,2905,2995,546305,3935290,0,3030,3305,3270,3406
A025320,시노펙스,20181018,3080,3105,3000,3010,352826,3946203,0,3025,3312,3282,3415
A025320,시노펙스,20181017,3150,3160,3065,3080,760136,3938072,-3000,2996,3318,3294,3425
A025320,시노펙스,20181016,2965,3130,2965,3115,759766,4056904,1,2990,3320,3306,3434
A025320,시노펙스,20181015,3045,3160,2945,2950,2002390,3875872,-283,3018,3324,3317,3444
A025320,시노펙스,20181012,2800,2970,2800,2970,1155654,4119749,54,3107,3333,3332,3454
A025320,시노펙스,20181011,2880,2990,2840,2865,1443243,4055887,-7240,3219,3344,3345,3464
A025320,시노펙스,20181010,3255,3295,3050,3050,1526584,3873243,0,3364,3358,3361,3473
A025320,시노펙스,20181008,3345,3395,3255,3255,891187,3718297,0,3471,3364,3373,3480
A025320,시노펙스,20181005,3480,3520,3355,3395,1561539,3641072,-27620,3517,3362,3378,3482
A025320,시노펙스,20181004,3630,3640,3520,3530,1696627,3628420,0,3529,3354,3379,3484
A025320,시노펙스,20181002,3590,3605,3510,3590,1954286,3685100,0,3509,3337,3377,3486
A025320,시노펙스,20181001,3545,3830,3535,3585,6963160,3655108,-133907,3488,3312,3374,3487
A025320,시노펙스,20180928,3450,3535,3415,3485,1336746,4068961,-11734,3462,3290,3372,3491
A025320,시노펙스,20180927,3445,3545,3440,3455,1952191,4014039,-180065,3500,3267,3375,3495
A025320,시노펙스,20180921,3495,3555,3425,3430,2072076,3954002,16,3555,3247,3374,3501
A025320,시노펙스,20180920,3420,3535,3355,3485,2611484,4071590,0,3495,3228,3374,3506
A025320,시노펙스,20180919,3690,3820,3450,3455,4991209,3880825,0,3423,3205,3373,3510
A025320,시노펙스,20180918,3685,3700,3535,3675,5786114,4114240,-480,3356,3186,3372,3516
A025320,시노펙스,20180917,3140,4010,3140,3730,24372576,4060910,-1971,3259,3158,3365,3518
A025320,시노펙스,20180914,3145,3175,3100,3130,519719,4235965,100000,3140,3122,3358,3520
A025320,시노펙스,20180913,3120,3135,3060,3125,387996,4211928,50000,3154,3115,3356,3527
A025320,시노펙스,20180912,3210,3225,3085,3120,557516,4209957,3000,3155,3108,3357,3536
A025320,시노펙스,20180911,3150,3260,3150,3190,514721,4261674,2609,3167,3104,3355,3544
A025320,시노펙스,20180910,3165,3235,3135,3135,422922,4237982,0,3173,3100,3356,3551
A025320,시노펙스,20180907,3130,3245,3120,3200,597056,4286411,0,3191,3112,3360,3561
A025320,시노펙스,20180906,3180,3180,3080,3130,463230,4215439,0,3189,3125,3361,3570
A025320,시노펙스,20180905,3220,3260,3175,3180,316496,4147834,0,3183,3144,3365,3580
A025320,시노펙스,20180904,3235,3245,3180,3220,397093,4142107,0,3174,3165,3371,3590
A025320,시노펙스,20180903,3220,3305,3200,3225,589313,4148833,-8877,3137,3186,3376,3600
A025320,시노펙스,20180831,3100,3265,3090,3190,1005329,4112086,0,3102,3200,3383,3610
A025320,시노펙스,20180830,3155,3155,3095,3100,442813,4080794,28595,3076,3214,3386,3621
A025320,시노펙스,20180829,3045,3180,3035,3135,895288,4134397,71405,3060,3234,3390,3630
A025320,시노펙스,20180828,3060,3075,3015,3035,253238,4165412,0,3047,3250,3393,3641
A025320,시노펙스,20180827,3065,3075,2980,3050,370258,4195109,0,3063,3271,3396,3653
A025320,시노펙스,20180824,3020,3065,2985,3060,566509,4187192,0,3054,3292,3400,3666
A025320,시노펙스,20180823,3115,3115,3020,3020,381717,4158094,0,3042,3305,3404,3681
A025320,시노펙스,20180822,3125,3150,3070,3070,388546,4170980,1481,3033,3320,3408,3695
A025320,시노펙스,20180821,3015,3135,3015,3115,627542,4191016,0,3029,3338,3410,3708
A025320,시노펙스,20180820,3000,3075,3000,3005,514070,4180268,0,3026,3351,3412,3722
A025320,시노펙스,20180817,2995,3060,2980,3000,534123,4262417,0,3099,3384,3418,3738
A025320,시노펙스,20180816,3005,3050,2935,2975,761719,4292985,0,3192,3417,3427,3752
A025320,시노펙스,20180814,3030,3165,3015,3050,1325265,4254173,0,3299,3456,3437,3766
A025320,시노펙스,20180813,3245,3245,3090,3100,1823315,4258865,0,3410,3495,3443,3779
A025320,시노펙스,20180810,3480,3480,3370,3370,785009,4255606,0,3520,3528,3449,3792
A025320,시노펙스,20180809,3595,3595,3430,3465,1152033,4218973,0,3546,3552,3453,3799
A025320,시노펙스,20180808,3610,3635,3500,3510,814848,4302651,0,3548,3566,3457,3806
A025320,시노펙스,20180807,3690,3765,3500,3605,2135215,4264905,0,3545,3582,3457,3815
A025320,시노펙스,20180806,3500,3675,3485,3650,1399758,4415063,0,3514,3589,3457,3825
A025320,시노펙스,20180803,3475,3535,3440,3500,345436,4258969,0,3476,3586,3455,3834
A025320,시노펙스,20180802,3500,3540,3400,3475,355041,4196377,0,3468,3582,3456,3845
A025320,시노펙스,20180801,3465,3540,3440,3495,470864,4238073,0,3439,3581,3460,3857
A025320,시노펙스,20180731,3420,3495,3420,3450,317673,4160369,0,3405,3576,3466,3872
A025320,시노펙스,20180730,3530,3530,3415,3460,410126,4215785,0,3398,3577,3471,3886
A025320,시노펙스,20180727,3365,3500,3310,3460,650723,4373258,0,3381,3587,3477,3901
A025320,시노펙스,20180726,3335,3390,3260,3330,477881,4349976,0,3421,3582,3486,3916
A025320,시노펙스,20180725,3400,3445,3260,3325,708944,4338705,0,3490,3587,3498,3932
A025320,시노펙스,20180724,3350,3505,3340,3415,688543,4349622,0,3576,3593,3510,3948
A025320,시노펙스,20180723,3660,3690,3370,3375,810221,4269894,0,3659,3594,3522,3960
A025320,시노펙스,20180720,3680,3720,3600,3660,524056,4281325,0,3733,3587,3533,3970
A025320,시노펙스,20180719,3745,3850,3670,3675,906022,4251371,0,3771,3568,3542,3980
A025320,시노펙스,20180718,3830,3860,3740,3755,970859,4284025,-5,3787,3534,3549,3989
A025320,시노펙스,20180717,3745,3835,3570,3830,1202414,4337952,-991,3800,3506,3556,3998
A025320,시노펙스,20180716,3900,3900,3710,3745,1229954,4197965,0,3785,3466,3563,4007
A025320,시노펙스,20180713,3790,3870,3745,3850,1800333,4194540,0,3755,3440,3570,4016
A025320,시노펙스,20180712,3830,3840,3690,3755,1467082,4068260,-288,3669,3417,3576,4025
A025320,시노펙스,20180711,3755,3845,3650,3820,1725933,4302585,-14,3607,3392,3583,4035
A025320,시노펙스,20180710,3640,3845,3640,3755,4120390,4216814,-820,3524,3369,3585,4044
A025320,시노펙스,20180709,3415,3680,3400,3595,2767801,4484706,1009,3467,3358,3587,4055
A025320,시노펙스,20180706,3445,3550,3355,3420,1970135,4271402,-4,3479,3356,3586,4069
A025320,시노펙스,20180705,3410,3525,3345,3445,1881781,4654999,-6,3466,3367,3590,4084
A025320,시노펙스,20180704,3435,3560,3370,3405,1299358,4510806,-8,3463,3362,3594,4100
A025320,시노펙스,20180703,3620,3740,3375,3470,3769936,4656686,-10,3472,3361,3600,4116
A025320,시노펙스,20180702,3355,3825,3355,3655,7397416,5206615,-13,3464,3352,3609,4130
A025320,시노펙스,20180629,3445,3520,3335,3355,839678,4986793,11927,3381,3331,3616,4143
A025320,시노펙스,20180628,3470,3565,3380,3430,1524753,5053743,-24,3366,3326,3628,4157
A025320,시노펙스,20180627,3460,3560,3385,3450,2404527,5280985,-32,3280,3319,3638,4170
A025320,시노펙스,20180626,3195,3480,3125,3430,3163488,5402007,-43,3230,3312,3647,4184
A025320,시노펙스,20180625,3250,3355,3115,3240,2623721,5323330,-58,3149,3297,3659,4195
A025320,시노펙스,20180622,3000,3440,2900,3280,3383886,5735812,453,3145,3300,3671,4207
A025320,시노펙스,20180621,3200,3250,3000,3000,626094,5969184,84,3166,3304,3682,4221
A025320,시노펙스,20180620,2995,3200,2950,3200,769286,6067319,-4,3219,3328,3699,4236
A025320,시노펙스,20180619,3185,3250,3020,3025,685568,5982952,-18,3250,3347,3715,4247
A025320,시노펙스,20180618,3370,3370,3170,3220,832530,6006919,-389,3351,3368,3733,4265
A025320,시노펙스,20180615,3265,3410,3265,3385,838583,6279335,-4561,3420,3379,3747,4283
A025320,시노펙스,20180614,3360,3360,3215,3265,744386,6212649,14,3469,3390,3761,4291
A025320,시노펙스,20180612,3530,3565,3335,3355,1004177,6331135,1364,3487,3414,3780,4299
A025320,시노펙스,20180611,3600,3600,3520,3530,597493,6552606,-3,3491,3422,3795,4306
A025320,시노펙스,20180608,3680,3680,3535,3565,898624,6714646,-4,3444,3423,3809,4312
A025320,시노펙스,20180607,3355,3690,3355,3630,1820526,6941362,-8,3377,3422,3823,4314
A025320,시노펙스,20180605,3495,3495,3350,3355,581707,6633552,-6,3304,3419,3837,4316
A025320,시노펙스,20180604,3330,3485,3320,3375,923028,6795263,-641,3291,3436,3856,4322
A025320,시노펙스,20180601,3235,3470,3220,3295,1549854,6791685,19,3275,3460,3870,4329
A025320,시노펙스,20180531,3330,3330,3200,3230,434337,6707497,52,3245,3484,3889,4338
A025320,시노펙스,20180530,3300,3345,3255,3265,846985,6705573,2880,3257,3513,3909,4350
A025320,시노펙스,20180529,3325,3365,3235,3290,639818,6881699,2,3277,3551,3933,4363
A025320,시노펙스,20180528,3150,3390,3150,3295,1272809,6937565,-1,3316,3589,3958,4376
