stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A025870,신라에스지,20190129,5400,5820,5100,5200,213799,55448,0,5178,4964,4904,5299
A025870,신라에스지,20190128,5150,5200,5100,5140,15073,61663,0,5172,4941,4896,5305
A025870,신라에스지,20190125,5180,5230,5150,5190,6162,61465,0,5180,4921,4886,5311
A025870,신라에스지,20190124,5180,5190,5080,5180,8426,61491,0,5140,4898,4874,5317
A025870,신라에스지,20190123,5110,5190,5080,5180,13481,62015,0,5097,4881,4862,5322
A025870,신라에스지,20190122,5180,5240,5080,5170,37664,59952,0,5057,4865,4857,5326
A025870,신라에스지,20190121,5060,5200,5000,5180,53881,59209,0,5020,4848,4851,5329
A025870,신라에스지,20190118,4940,5430,4940,4990,168490,56463,0,4980,4835,4849,5332
A025870,신라에스지,20190117,4980,5040,4895,4965,12038,54253,0,4977,4832,4853,5336
A025870,신라에스지,20190116,4985,5050,4960,4980,8509,54379,0,4961,4837,4860,5342
A025870,신라에스지,20190115,4980,5040,4975,4985,13672,53494,0,4915,4844,4868,5349
A025870,신라에스지,20190114,4975,5010,4910,4980,17758,52979,0,4859,4842,4874,5357
A025870,신라에스지,20190111,4820,4975,4820,4975,23487,51370,0,4802,4836,4882,5366
A025870,신라에스지,20190110,4750,4895,4750,4885,21077,52104,0,4745,4826,4888,5377
A025870,신라에스지,20190109,4705,4750,4705,4750,5897,51912,0,4712,4822,4894,5390
A025870,신라에스지,20190108,4665,4780,4600,4705,14178,51260,0,4706,4829,4904,5404
A025870,신라에스지,20190107,4695,4705,4670,4695,5072,50638,0,4714,4836,4911,5417
A025870,신라에스지,20190104,4645,4710,4630,4690,6709,50648,126,4723,4848,4923,5431
A025870,신라에스지,20190103,4695,4725,4665,4720,6630,51533,0,4729,4860,4939,5446
A025870,신라에스지,20190102,4710,4745,4690,4720,11564,51747,0,4755,4869,4957,5457
A025870,신라에스지,20181228,4705,4765,4705,4745,13112,52361,0,4781,4878,4977,5466
A025870,신라에스지,20181227,4700,4775,4700,4740,2794,56806,-11,4797,4886,4997,5475
A025870,신라에스지,20181226,4790,4835,4615,4720,13004,56830,476,4835,4892,5019,5484
A025870,신라에스지,20181224,4825,4855,4795,4850,6405,58024,-11,4877,4904,5041,5493
A025870,신라에스지,20181221,4825,4935,4800,4850,8844,59324,40,4919,4908,5061,5504
A025870,신라에스지,20181220,4890,4950,4815,4825,10741,59411,38,4973,4911,5080,5517
A025870,신라에스지,20181219,4920,5000,4880,4930,9889,59576,812,4998,4924,5099,5532
A025870,신라에스지,20181218,5010,5010,4790,4930,30771,58964,875,4985,4920,5121,5549
A025870,신라에스지,20181217,5120,5180,4970,5060,32597,59956,529,4953,4912,5145,5568
A025870,신라에스지,20181214,4950,5440,4830,5120,268423,59150,6480,4904,4904,5167,5588
A025870,신라에스지,20181213,4865,4970,4815,4950,7193,59542,0,4855,4888,5186,5617
A025870,신라에스지,20181212,4840,4920,4780,4865,7105,59427,0,4834,4882,5209,5631
A025870,신라에스지,20181211,4815,4815,4745,4770,2782,59496,0,4851,4879,5228,5645
A025870,신라에스지,20181210,4780,4870,4750,4815,5348,60129,0,4879,4880,5251,5658
A025870,신라에스지,20181207,4845,4875,4840,4875,2646,60832,0,4897,4882,5272,5672
A025870,신라에스지,20181206,4950,4950,4845,4845,10027,60863,0,4902,4883,5292,5688
A025870,신라에스지,20181205,4910,4960,4810,4950,21668,61132,0,4914,4886,5313,5704
A025870,신라에스지,20181204,4860,4925,4860,4910,10863,61075,0,4896,4883,5333,5719
A025870,신라에스지,20181203,4880,4940,4880,4905,3843,60332,0,4906,4878,5353,5732
